IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.074821,8.552208,0.125097,8.757726,0.018369,0.260402,0.004897,0.048643,0.000800,0.013409,0.000416,0.001504,0.002784,0.000577,9.115416
0.120201,1.040808,0.080966,1.247223,0.024097,0.210351,0.004800,0.047268,0.000576,0.013473,0.000416,0.001536,0.001184,0.000384,1.556684
0.111687,1.066218,0.097222,1.282200,0.017761,0.210030,0.005313,0.048547,0.000832,0.014113,0.000448,0.001440,0.001889,0.000384,1.588462
0.106152,1.044104,0.087782,1.243926,0.018306,0.210126,0.004801,0.048291,0.000800,0.013761,0.000384,0.001440,0.001184,0.000384,1.548715
0.106919,1.061417,0.118504,1.293593,0.021025,0.209775,0.005312,0.048067,0.000800,0.013761,0.000416,0.001473,0.001568,0.000384,1.601615
0.106023,1.047976,0.089607,1.249815,0.017569,0.209838,0.005408,0.047715,0.000768,0.013985,0.000416,0.001504,0.001281,0.000448,1.554348
0.105480,1.064714,0.117768,1.294234,0.017633,0.209743,0.004864,0.047939,0.000800,0.013857,0.000416,0.001504,0.001248,0.000384,1.597775
0.106951,1.041608,0.098055,1.252022,0.017634,0.209390,0.004864,0.048036,0.000608,0.013473,0.000416,0.001440,0.001472,0.000416,1.555371
0.113704,1.042888,0.087622,1.252183,0.021089,0.229072,0.004961,0.048771,0.000608,0.013985,0.000384,0.001504,0.001536,0.000384,1.580590
0.136394,1.046504,0.098951,1.287769,0.017601,0.209518,0.005184,0.048068,0.000800,0.013697,0.000416,0.001472,0.001280,0.000416,1.591886
0.129128,1.042184,0.087782,1.265816,0.022210,0.209390,0.005377,0.049603,0.000832,0.013793,0.000416,0.001440,0.001568,0.000416,1.575982
0.128041,1.052009,0.125800,1.313403,0.021089,0.216367,0.005088,0.048131,0.000864,0.013953,0.000416,0.001568,0.002144,0.000352,1.629680
0.124329,1.052425,0.087174,1.269944,0.017761,0.210799,0.004864,0.048260,0.000800,0.014177,0.000416,0.001568,0.001024,0.000416,1.575437
0.126440,1.048392,0.093319,1.273208,0.017505,0.212207,0.004928,0.048259,0.000833,0.013888,0.000416,0.001632,0.001344,0.000352,1.579725
0.113320,1.046408,0.088166,1.253046,0.017666,0.210478,0.004897,0.048547,0.000832,0.013601,0.000416,0.001568,0.001312,0.000224,1.557804
0.104775,1.062954,0.113480,1.287193,0.024257,0.210318,0.005120,0.047908,0.000864,0.013793,0.000384,0.001472,0.001472,0.000384,1.598606
