IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.067141,9.128317,0.061828,9.264070,9.265990
0.108616,1.634956,0.073029,1.823225,1.824633
0.119208,1.615243,0.057988,1.798807,1.800119
0.119144,1.653005,0.067172,1.845242,1.846426
0.132680,1.636364,0.074405,1.849658,1.850842
0.133417,1.636588,0.061252,1.836377,1.837785
0.100870,1.614859,0.060900,1.782902,1.784182
0.130761,1.634348,0.066181,1.836794,1.838138
0.108167,1.606027,0.090022,1.812728,1.814360
0.136521,1.612363,0.058660,1.813080,1.814424
0.103014,1.633644,0.070213,1.813016,1.814360
0.105383,1.622795,0.063077,1.797367,1.798871
0.102215,1.636172,0.068644,1.814168,1.815608
0.085958,1.611627,0.060196,1.762613,1.763957
0.088070,1.629004,0.060548,1.782870,1.784406
0.103174,1.615691,0.060196,1.785430,1.786902
0.120008,1.644301,0.068101,1.838714,1.839930
0.107111,1.612747,0.064709,1.791223,1.793111
0.108583,1.631372,0.068485,1.814616,1.816056
0.130889,1.627756,0.067716,1.832826,1.834170
0.106823,1.631308,0.068133,1.812120,1.813368
0.139017,1.633837,0.072933,1.851515,1.852603
0.131721,1.645325,0.070917,1.854235,1.855419
0.130696,1.635501,0.075749,1.848378,1.849818
0.123784,1.649134,0.079589,1.859163,1.860891
0.131624,1.625164,0.060964,1.823096,1.824345
0.136073,1.634221,0.070372,1.846170,1.847451
0.135497,1.618315,0.068741,1.829785,1.831001
0.099206,1.633132,0.070436,1.808951,1.810328
0.098375,1.611019,0.064388,1.778870,1.780182
0.127816,1.635820,0.065220,1.835417,1.837050
0.098726,1.607563,0.057796,1.770389,1.771733
0.076357,1.618315,0.062116,1.761556,1.762677
0.093479,1.609194,0.062340,1.770582,1.771926
0.135625,1.646189,0.065861,1.853819,1.855259
0.133865,1.619659,0.059844,1.823225,1.824601
0.103559,1.614539,0.060260,1.784726,1.786070
0.105927,1.617867,0.063397,1.794391,1.795767
0.139497,1.616651,0.061924,1.824153,1.825369
0.098694,1.611690,0.071876,1.807032,1.808376
0.127656,1.617515,0.061060,1.812376,1.813656
0.104775,1.638252,0.072389,1.822329,1.823513
0.100999,1.614891,0.062244,1.783638,1.785206
0.130985,1.651373,0.067364,1.855259,1.856603
0.137193,1.623852,0.065988,1.831705,1.833113
0.142122,1.644717,0.064388,1.858363,1.859675
0.132201,1.633420,0.068645,1.839898,1.841114
0.141129,1.650638,0.067556,1.867195,1.868987
0.130376,1.643117,0.069093,1.848346,1.849850
0.137065,1.644717,0.063172,1.850202,1.851642
0.136713,1.626092,0.063588,1.832761,1.834297
0.133448,1.641964,0.072101,1.853850,1.855578
0.127753,1.621419,0.067141,1.822201,1.823353
0.127273,1.640844,0.074501,1.847066,1.848283
0.131465,1.621611,0.070725,1.828857,1.830041
0.101223,1.629516,0.061028,1.797335,1.798647
0.103047,1.620971,0.068772,1.798615,1.800055
0.109447,1.652046,0.067972,1.838041,1.839321
0.100359,1.621899,0.063333,1.791127,1.792471
0.103238,1.638540,0.072741,1.820824,1.822553
0.130056,1.612235,0.063428,1.810775,1.811991
0.153482,1.637388,0.065893,1.862907,1.864539
0.102535,1.632684,0.059843,1.800248,1.801528
0.129833,1.615339,0.067973,1.818233,1.819449
0.111880,1.619979,0.061476,1.799031,1.800407
0.125960,1.620780,0.060836,1.814296,1.816024
0.109799,1.623564,0.080485,1.819864,1.821208
0.108199,1.628812,0.068389,1.812856,1.814104
0.109415,1.648653,0.074309,1.838873,1.840634
0.136745,1.611243,0.058468,1.813368,1.814616
0.102151,1.631404,0.061284,1.800439,1.801815
0.134889,1.620427,0.070500,1.833049,1.834233
0.102439,1.626924,0.068132,1.803031,1.804343
0.099143,1.608683,0.059748,1.773110,1.774294
0.101831,1.628812,0.066532,1.803319,1.805015
0.133449,1.624747,0.066661,1.830009,1.831289
0.105319,1.638637,0.063300,1.814520,1.815896
0.119432,1.617835,0.065829,1.808440,1.809816
0.130249,1.653133,0.064485,1.853691,1.854971
0.100807,1.613867,0.059204,1.778902,1.780278
0.132104,1.630348,0.060644,1.828920,1.830136
0.100583,1.611627,0.062308,1.780982,1.782614
0.128649,1.637164,0.069317,1.841082,1.842330
0.115208,1.615627,0.060292,1.796759,1.797879
0.126824,1.636652,0.062148,1.831673,1.833305
0.103399,1.613835,0.062052,1.784918,1.786198
0.129641,1.628172,0.060932,1.825401,1.826585
0.100935,1.610346,0.061028,1.778518,1.779798
0.103367,1.632108,0.068581,1.810328,1.811736
0.103527,1.616555,0.060484,1.786006,1.787382
0.136457,1.643757,0.068645,1.855355,1.857051
0.102182,1.633195,0.065732,1.807095,1.808599
0.098662,1.628108,0.067012,1.799159,1.800567
0.101799,1.610091,0.060260,1.777750,1.779126
0.129096,1.641453,0.063204,1.839609,1.840922
0.091782,1.617483,0.059300,1.773941,1.775254
0.124008,1.627308,0.066212,1.824312,1.826040
0.138473,1.622795,0.072420,1.839993,1.841178
0.149226,1.609354,0.063044,1.827576,1.829016
0.135273,1.634668,0.074405,1.849626,1.850778
