IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.067941,8.564462,0.073669,8.711992,0.262227,0.005376,0.047011,0.000768,0.013441,0.000384,0.001408,0.009248,0.000576,9.058512
0.113096,1.064426,0.088902,1.271928,0.212943,0.009505,0.047747,0.000608,0.013793,0.000416,0.001792,0.001184,0.000608,1.565644
0.116552,1.082091,0.079813,1.286840,0.211631,0.009409,0.048291,0.000608,0.014337,0.000576,0.001472,0.001408,0.000416,1.580365
0.103911,1.059977,0.083910,1.254166,0.210479,0.005760,0.048579,0.000544,0.014561,0.000384,0.001568,0.001344,0.000416,1.543114
0.129449,1.058057,0.083013,1.277528,0.229424,0.005345,0.048995,0.000544,0.014273,0.000544,0.001472,0.001312,0.000417,1.585294
0.109256,1.056137,0.077573,1.249046,0.211343,0.005600,0.048900,0.000608,0.014529,0.000608,0.001600,0.001728,0.000384,1.539658
0.113480,1.061833,0.075845,1.257975,0.210638,0.005601,0.047875,0.000576,0.014817,0.000352,0.001536,0.001632,0.000416,1.546698
0.100487,1.059753,0.077861,1.243990,0.210095,0.005568,0.048355,0.000608,0.014561,0.000352,0.001536,0.001504,0.000448,1.531754
0.129961,1.058249,0.075365,1.270008,0.209902,0.005345,0.049251,0.000608,0.013825,0.000352,0.001505,0.001216,0.000416,1.557132
0.131529,1.081226,0.076934,1.295866,0.210222,0.005537,0.048835,0.000608,0.013985,0.000384,0.001536,0.001568,0.000384,1.583629
0.115144,1.066378,0.076773,1.263991,0.210095,0.009248,0.049508,0.000576,0.013761,0.000384,0.001472,0.001568,0.000384,1.556139
0.103079,1.077738,0.075398,1.263191,0.210158,0.009665,0.048771,0.000576,0.013601,0.000384,0.001473,0.001312,0.000448,1.554219
0.129897,1.061993,0.081190,1.278968,0.211055,0.005568,0.048932,0.000576,0.013633,0.000352,0.001536,0.001344,0.000416,1.567756
0.131465,1.078890,0.091334,1.308442,0.210094,0.005569,0.048547,0.000544,0.013697,0.000352,0.001568,0.001249,0.000384,1.595182
0.128969,1.070986,0.094919,1.301210,0.210479,0.005568,0.047843,0.000576,0.013569,0.000384,0.001537,0.001216,0.000384,1.587886
0.110503,1.066409,0.083270,1.267863,0.228144,0.005504,0.048452,0.000576,0.013505,0.000384,0.001504,0.001280,0.000416,1.573388
0.104487,1.060137,0.084998,1.256183,0.210126,0.005537,0.048195,0.000544,0.013761,0.000352,0.001568,0.001536,0.000384,1.543242
0.130857,1.060009,0.076293,1.273656,0.209743,0.009600,0.048996,0.000576,0.014369,0.000352,0.001504,0.001184,0.000384,1.565132
