IN[0],INFER[0-2],OUT[2],TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.109351,9.055918,0.088038,9.259771,0.005729,0.048515,0.000992,0.013409,0.000384,0.001536,0.002561,0.000768,9.338721
0.107111,1.558699,0.091559,1.763801,0.005568,0.048516,0.000576,0.013633,0.000416,0.001504,0.001088,0.000384,1.840094
0.147114,1.548650,0.099399,1.806300,0.009281,0.050147,0.000832,0.014209,0.000384,0.002304,0.001697,0.000544,1.891298
0.105031,1.539850,0.094631,1.745272,0.010016,0.052292,0.000832,0.013793,0.000384,0.001472,0.001312,0.000352,1.830557
0.112264,1.540873,0.096678,1.756216,0.008801,0.049123,0.000865,0.014689,0.000384,0.002176,0.001344,0.000384,1.839038
0.107303,1.535082,0.074917,1.723830,0.005312,0.048868,0.000832,0.014337,0.000448,0.001600,0.001152,0.000320,1.801307
0.114600,1.537098,0.100039,1.757337,0.005632,0.049060,0.000800,0.014081,0.000352,0.001600,0.001344,0.000576,1.835166
0.106087,1.536746,0.076421,1.724886,0.005408,0.049220,0.000896,0.014209,0.000416,0.001696,0.001280,0.000384,1.802587
0.106599,1.555818,0.087173,1.755193,0.014017,0.048707,0.000832,0.013825,0.000352,0.001408,0.001056,0.000416,1.840062
0.111559,1.536777,0.083366,1.738839,0.005281,0.048899,0.000864,0.013825,0.000448,0.001472,0.001216,0.000416,1.815740
0.135753,1.555563,0.085158,1.782266,0.009345,0.049443,0.001312,0.014401,0.000416,0.001601,0.001184,0.000384,1.864480
0.101703,1.536618,0.077605,1.721622,0.005409,0.048867,0.000832,0.013665,0.000384,0.001504,0.001088,0.000384,1.797915
0.115848,1.568044,0.088070,1.777978,0.009089,0.049571,0.000800,0.014017,0.000384,0.001505,0.001312,0.000384,1.859424
0.109128,1.534569,0.077030,1.726487,0.005312,0.048259,0.000832,0.013601,0.000416,0.001632,0.001120,0.000352,1.802140
0.107944,1.551050,0.088070,1.752248,0.005313,0.049731,0.000800,0.013729,0.000416,0.001440,0.001089,0.000352,1.829214
0.117768,1.540585,0.088678,1.752472,0.009312,0.048932,0.000832,0.013921,0.000416,0.001472,0.001088,0.000384,1.833054
0.109991,1.555946,0.085254,1.756760,0.010113,0.049475,0.000864,0.013793,0.000448,0.001536,0.001120,0.000352,1.838750
0.108392,1.536937,0.075749,1.726487,0.005376,0.049796,0.000992,0.013825,0.000384,0.001440,0.001088,0.000384,1.804060
0.134249,1.559115,0.088262,1.790683,0.005792,0.050916,0.000800,0.013953,0.000416,0.001792,0.001504,0.000320,1.870688
0.106568,1.541673,0.097382,1.751320,0.005633,0.049187,0.000896,0.014049,0.000608,0.001536,0.001024,0.000385,1.828894
0.108520,1.555434,0.091015,1.760313,0.010145,0.049059,0.000864,0.014753,0.000448,0.001728,0.001120,0.000352,1.843326
0.099815,1.535113,0.076678,1.716790,0.010176,0.048484,0.000832,0.014177,0.000384,0.001568,0.001408,0.000384,1.798619
0.112039,1.556586,0.088102,1.763416,0.011360,0.048644,0.000800,0.014273,0.000384,0.001536,0.001152,0.000384,1.846302
0.109896,1.536585,0.076806,1.729239,0.005376,0.048964,0.001024,0.013761,0.000416,0.001504,0.001120,0.000384,1.805948
0.107335,1.558507,0.102759,1.774457,0.006465,0.048675,0.000800,0.014113,0.000384,0.001504,0.001313,0.000384,1.852863
0.138313,1.537450,0.095622,1.777082,0.005600,0.048515,0.000800,0.014145,0.000384,0.001761,0.001056,0.000320,1.853759
0.159499,1.533321,0.095046,1.793339,0.005377,0.048835,0.000800,0.013537,0.000416,0.001504,0.001088,0.000352,1.869696
0.131209,1.537226,0.075365,1.749336,0.005472,0.048452,0.001056,0.013377,0.000384,0.001408,0.001056,0.000352,1.825213
0.094758,1.533001,0.093382,1.726102,0.005472,0.048292,0.000832,0.013473,0.000384,0.001408,0.000896,0.000256,1.801627
0.102983,1.533865,0.094630,1.736919,0.005216,0.048963,0.000608,0.013441,0.000448,0.001376,0.001056,0.000352,1.812828
0.148042,1.536969,0.089510,1.780250,0.014145,0.048708,0.000800,0.013537,0.000448,0.001504,0.001184,0.000352,1.865216
0.103591,1.534473,0.104167,1.747960,0.014945,0.048995,0.000832,0.013825,0.000448,0.001728,0.001088,0.000384,1.834462
0.110408,1.538249,0.078277,1.733079,0.005408,0.049092,0.001056,0.013825,0.000352,0.001440,0.001152,0.000384,1.810108
0.108936,1.571884,0.091942,1.778138,0.009217,0.048771,0.000864,0.013729,0.000416,0.001472,0.001089,0.000352,1.858144
0.142313,1.540362,0.076261,1.764473,0.005377,0.052195,0.000832,0.014369,0.000448,0.001472,0.001152,0.000384,1.845151
0.144138,1.570699,0.101351,1.821181,0.006976,0.049060,0.001120,0.014145,0.000448,0.001728,0.001184,0.000416,1.900834
0.137129,1.539914,0.087846,1.770458,0.008640,0.048804,0.000832,0.013921,0.000448,0.001472,0.001184,0.000416,1.850527
0.141386,1.561739,0.095687,1.805084,0.006112,0.048836,0.000832,0.013761,0.000544,0.001440,0.001216,0.000384,1.882977
0.109095,1.531497,0.089446,1.736375,0.011585,0.048803,0.000800,0.013537,0.000416,0.001504,0.001089,0.000384,1.819229
0.134281,1.574572,0.099527,1.816349,0.005856,0.049091,0.000832,0.014017,0.000416,0.002176,0.001376,0.000384,1.895586
0.118280,1.543050,0.086182,1.753912,0.009088,0.049540,0.000832,0.013569,0.000384,0.001536,0.001376,0.000384,1.835550
0.104391,1.559691,0.089990,1.760632,0.007105,0.049571,0.000800,0.013633,0.000416,0.002145,0.001184,0.000384,1.841182
0.113576,1.539113,0.092742,1.752344,0.008321,0.049155,0.001024,0.014017,0.000576,0.002048,0.001249,0.000352,1.834430
0.112776,1.573196,0.081317,1.773689,0.012992,0.049220,0.000800,0.014753,0.000384,0.001952,0.001248,0.000416,1.860703
0.102503,1.537449,0.077510,1.723414,0.009024,0.048996,0.000832,0.013601,0.000384,0.001728,0.001120,0.000384,1.804027
0.110920,1.562411,0.093479,1.773178,0.005408,0.048932,0.000896,0.014177,0.000416,0.001632,0.001120,0.000416,1.851359
0.099975,1.537769,0.078342,1.721846,0.009985,0.048803,0.001024,0.014241,0.000416,0.001568,0.001120,0.000384,1.804091
0.153611,1.541897,0.079974,1.780858,0.008929,0.049187,0.000800,0.014305,0.000384,0.001440,0.001088,0.000384,1.862304
0.101575,1.540969,0.079365,1.727734,0.005408,0.049027,0.000768,0.013569,0.000352,0.001440,0.001248,0.000384,1.804571
0.104455,1.535177,0.078277,1.724534,0.005440,0.049284,0.000800,0.013761,0.000416,0.001536,0.001312,0.000416,1.802075
0.109095,1.538986,0.100615,1.754296,0.005952,0.049476,0.000576,0.013633,0.000384,0.001472,0.001184,0.000384,1.831677
0.110344,1.538825,0.090726,1.745816,0.005696,0.048835,0.000864,0.013761,0.000448,0.001665,0.001216,0.000384,1.823709
0.144522,1.572684,0.092774,1.815484,0.007745,0.048419,0.000864,0.013569,0.000384,0.001504,0.001152,0.000448,1.893889
0.108007,1.538378,0.078949,1.730742,0.005473,0.049283,0.001056,0.014401,0.000384,0.001440,0.001120,0.000384,1.808699
0.132777,1.559755,0.089542,1.787482,0.005344,0.048900,0.000832,0.014145,0.000512,0.001536,0.001120,0.000416,1.864831
0.131849,1.540329,0.086182,1.764313,0.012481,0.048771,0.001025,0.014081,0.000416,0.001504,0.001120,0.000384,1.848767
0.142314,1.574220,0.098567,1.821725,0.012705,0.048867,0.000800,0.013569,0.000384,0.001505,0.001088,0.000384,1.906179
0.109608,1.539498,0.079781,1.734999,0.005473,0.049059,0.000576,0.013633,0.000448,0.001472,0.001216,0.000352,1.811484
0.142794,1.559627,0.079045,1.787931,0.013761,0.048675,0.000864,0.013537,0.000416,0.001504,0.001216,0.000416,1.872800
0.103527,1.540105,0.090759,1.740759,0.007552,0.049060,0.000832,0.013985,0.000416,0.001568,0.001408,0.000384,1.820636
0.099591,1.556330,0.095750,1.758040,0.011713,0.048803,0.000832,0.013537,0.000448,0.001504,0.001120,0.000352,1.841310
0.137834,1.543370,0.082565,1.770586,0.005472,0.048387,0.000832,0.013889,0.000416,0.001537,0.001152,0.000384,1.846975
0.105672,1.556202,0.093575,1.761849,0.007296,0.049284,0.000832,0.014017,0.000448,0.001536,0.001152,0.000384,1.841694
0.107111,1.541194,0.086054,1.741655,0.011809,0.048771,0.000864,0.013825,0.000384,0.001728,0.001152,0.000416,1.825756
0.108744,1.558379,0.092358,1.766137,0.005505,0.049059,0.000800,0.014785,0.000384,0.001568,0.001152,0.000416,1.844895
0.104615,1.537193,0.080678,1.728822,0.010049,0.049091,0.000864,0.014241,0.000448,0.001472,0.001248,0.000417,1.811196
0.140521,1.563275,0.096295,1.806619,0.005441,0.048867,0.000832,0.013793,0.000416,0.001632,0.001376,0.000384,1.883872
0.131017,1.539145,0.077509,1.753368,0.005409,0.049283,0.000800,0.013601,0.000416,0.001568,0.001409,0.000416,1.830846
0.153162,1.576556,0.086982,1.823132,0.012256,0.049060,0.000800,0.013921,0.000640,0.001504,0.001120,0.000416,1.908130
0.103431,1.533193,0.079686,1.721814,0.005440,0.048900,0.000896,0.013953,0.000384,0.001504,0.001248,0.000416,1.799035
0.109960,1.537289,0.099783,1.752280,0.009025,0.049763,0.000864,0.014049,0.000576,0.001440,0.001152,0.000384,1.834302
0.145866,1.543049,0.110119,1.805467,0.013697,0.049060,0.000832,0.013825,0.000384,0.001504,0.001216,0.000384,1.890753
0.106792,1.541673,0.090823,1.744824,0.011200,0.049988,0.000832,0.014817,0.000448,0.001856,0.001216,0.000416,1.829981
0.105447,1.566667,0.095591,1.775129,0.012833,0.049219,0.000832,0.013633,0.000384,0.001792,0.001152,0.000416,1.860255
0.128841,1.541641,0.085478,1.761080,0.012705,0.048643,0.000832,0.014113,0.000384,0.001536,0.001152,0.000416,1.845310
0.107656,1.559850,0.093606,1.767353,0.008193,0.048931,0.000832,0.013921,0.000416,0.001504,0.001088,0.000384,1.847614
0.139914,1.543754,0.079429,1.768825,0.005377,0.048547,0.000864,0.014081,0.000480,0.001504,0.001152,0.000384,1.845918
0.106311,1.560810,0.095046,1.769177,0.007457,0.048963,0.000864,0.014433,0.000448,0.001728,0.001120,0.000384,1.849599
0.112999,1.543881,0.092327,1.755256,0.008832,0.048932,0.000768,0.014145,0.000384,0.001536,0.001280,0.000352,1.836221
0.103367,1.558187,0.085030,1.752952,0.009952,0.049636,0.000768,0.014817,0.000448,0.001536,0.001120,0.000384,1.836029
0.113576,1.544394,0.077893,1.742039,0.008288,0.048867,0.000801,0.013632,0.000384,0.001952,0.001024,0.000384,1.822109
0.110951,1.564555,0.099751,1.783033,0.005473,0.049123,0.000832,0.014177,0.000416,0.001536,0.001216,0.000352,1.860448
0.117032,1.544042,0.080774,1.748056,0.008832,0.048612,0.000832,0.015457,0.000416,0.001664,0.001088,0.000384,1.830429
0.106312,1.560107,0.094630,1.767065,0.005697,0.049251,0.000864,0.013793,0.000640,0.001504,0.001120,0.000384,1.845407
0.128456,1.541129,0.087526,1.763064,0.008737,0.049155,0.000800,0.013761,0.000384,0.001504,0.001056,0.000384,1.843806
0.100871,1.556234,0.076997,1.740215,0.005440,0.049604,0.000864,0.014497,0.000384,0.001856,0.001088,0.000352,1.818588
0.101383,1.538313,0.089446,1.735543,0.013441,0.048963,0.000865,0.014081,0.000416,0.001600,0.001216,0.000384,1.821725
0.104167,1.555659,0.095974,1.762009,0.005472,0.048963,0.001025,0.014241,0.000608,0.001760,0.001088,0.000384,1.840126
0.106151,1.539017,0.100775,1.752599,0.005505,0.049283,0.000800,0.013761,0.000384,0.001504,0.001121,0.000384,1.829821
0.126377,1.544457,0.087718,1.765817,0.009856,0.048836,0.000864,0.014273,0.000640,0.001536,0.001152,0.000416,1.847838
0.101959,1.541002,0.078981,1.727638,0.005569,0.048547,0.000832,0.014145,0.000608,0.001568,0.001024,0.000416,1.804891
0.104935,1.541993,0.098151,1.751672,0.009953,0.048963,0.001088,0.015041,0.000576,0.001632,0.001505,0.000416,1.835390
0.101607,1.538569,0.080645,1.727062,0.005344,0.049251,0.000800,0.014273,0.000416,0.001569,0.001408,0.000384,1.804828
0.099623,1.534697,0.083558,1.724566,0.007745,0.048387,0.000800,0.013665,0.000384,0.001504,0.001120,0.000384,1.803163
0.143946,1.560171,0.104903,1.815516,0.005377,0.048963,0.000800,0.013601,0.000448,0.001504,0.001248,0.000384,1.892385
0.106791,1.548297,0.085285,1.746583,0.005376,0.048739,0.001024,0.013697,0.000416,0.001537,0.001184,0.000416,1.823389
0.104039,1.562603,0.090726,1.763288,0.013217,0.048420,0.000960,0.013569,0.000320,0.001376,0.001152,0.000416,1.848190
0.140073,1.540393,0.090118,1.776569,0.013601,0.048612,0.000832,0.013697,0.000352,0.001440,0.001120,0.000384,1.861567
0.127881,1.563915,0.098087,1.796187,0.009857,0.049219,0.001056,0.013953,0.000384,0.001440,0.001184,0.000416,1.877952
0.103751,1.539945,0.081605,1.731670,0.005473,0.050499,0.001056,0.013761,0.000416,0.001440,0.001120,0.000385,1.810428
