IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.074085,9.068716,0.081734,9.231191,0.049987,0.000800,0.013441,0.000352,0.001473,0.010752,0.000608,9.313916
0.108168,1.550954,0.080741,1.746551,0.051204,0.001120,0.013697,0.000416,0.001664,0.001568,0.000832,1.821725
0.108327,1.562475,0.087238,1.764600,0.052004,0.000800,0.013505,0.000352,0.001536,0.001568,0.000608,1.839709
0.104328,1.543401,0.081734,1.736919,0.051780,0.000864,0.014177,0.000416,0.001568,0.001280,0.000384,1.811964
0.110087,1.562794,0.089798,1.769689,0.051715,0.000833,0.014113,0.000416,0.001600,0.001248,0.000416,1.844734
0.130601,1.545193,0.090439,1.771449,0.052995,0.000800,0.014241,0.000416,0.001537,0.000992,0.000384,1.847070
0.103463,1.559115,0.086214,1.755992,0.050883,0.000865,0.014465,0.000416,0.001536,0.001024,0.000416,1.830237
0.127209,1.546570,0.083846,1.763321,0.050467,0.000640,0.013921,0.000352,0.001473,0.001024,0.000416,1.835678
0.102951,1.561706,0.093862,1.765305,0.050692,0.000768,0.013697,0.000352,0.001568,0.001408,0.000576,1.838942
0.105255,1.539849,0.080870,1.732022,0.051908,0.000768,0.013921,0.000384,0.001600,0.001056,0.000416,1.806587
0.100039,1.561450,0.087078,1.754199,0.051907,0.000864,0.013889,0.000416,0.001600,0.001184,0.000609,1.828733
0.099527,1.544554,0.086854,1.737143,0.050404,0.000800,0.013825,0.000416,0.001472,0.001056,0.000832,1.810396
0.129161,1.563115,0.081445,1.778746,0.049603,0.000864,0.013857,0.000416,0.001536,0.001312,0.000384,1.850942
0.126824,1.557898,0.087238,1.776825,0.051588,0.000832,0.013505,0.000384,0.001440,0.000928,0.000384,1.850078
0.126377,1.562987,0.083622,1.778074,0.049827,0.000640,0.013569,0.000384,0.001568,0.001089,0.000416,1.849503
0.099559,1.542985,0.092358,1.739991,0.050499,0.000641,0.013440,0.000416,0.001440,0.000960,0.000384,1.811676
0.097575,1.583180,0.085158,1.771641,0.050179,0.000641,0.013632,0.000448,0.001536,0.000960,0.000448,1.843806
0.100263,1.544073,0.083846,1.733526,0.051588,0.000832,0.013473,0.000416,0.001472,0.001120,0.000416,1.806907
0.095014,1.537065,0.086277,1.723478,0.051459,0.000608,0.013505,0.000416,0.001536,0.001152,0.000384,1.796602
0.129448,1.542249,0.084806,1.761720,0.050211,0.000640,0.013601,0.000416,0.001505,0.000992,0.000384,1.833789
0.142377,1.546986,0.087654,1.783257,0.051044,0.000768,0.013537,0.000352,0.001472,0.001024,0.000384,1.856414
0.132970,1.546569,0.101863,1.786810,0.051140,0.000672,0.013857,0.000352,0.001472,0.001120,0.000384,1.859711
0.129289,1.544714,0.079653,1.759224,0.051715,0.000608,0.013505,0.000416,0.001472,0.001088,0.000416,1.832317
0.106792,1.563339,0.081541,1.758584,0.050692,0.000864,0.013697,0.000416,0.001440,0.000992,0.000416,1.832125
0.101383,1.565258,0.085349,1.757560,0.051780,0.000768,0.013825,0.000384,0.001408,0.000992,0.000608,1.831517
0.099590,1.556042,0.079365,1.740278,0.049924,0.000832,0.013633,0.000384,0.001472,0.000992,0.000416,1.812123
0.103303,1.538569,0.082597,1.730486,0.051876,0.000768,0.013441,0.000352,0.001504,0.001024,0.000384,1.804123
0.106631,1.557930,0.081862,1.751383,0.051428,0.000608,0.014241,0.000448,0.001536,0.001408,0.000416,1.825437
0.141993,1.547434,0.084390,1.779257,0.051300,0.000800,0.013473,0.000384,0.001472,0.001248,0.000416,1.852382
0.105287,1.562667,0.082470,1.756024,0.051235,0.000800,0.013921,0.000384,0.001568,0.001120,0.000416,1.829533
0.140714,1.545450,0.086502,1.778938,0.052099,0.000833,0.013696,0.000417,0.001440,0.001088,0.000384,1.853535
0.115175,1.556458,0.073797,1.750776,0.051043,0.000832,0.013505,0.000480,0.001536,0.001120,0.000384,1.824157
0.119592,1.543050,0.086566,1.757048,0.051395,0.001024,0.014849,0.000416,0.001856,0.001184,0.000384,1.833085
0.103527,1.564811,0.080901,1.755576,0.049699,0.000832,0.013665,0.000384,0.001696,0.001024,0.001344,1.829052
0.132329,1.546858,0.084517,1.768281,0.050755,0.000928,0.013601,0.000416,0.001504,0.001184,0.000384,1.841469
0.102087,1.560010,0.080038,1.747511,0.051012,0.000640,0.013473,0.000448,0.001472,0.001120,0.000384,1.820252
0.111047,1.543562,0.086406,1.746103,0.051427,0.000608,0.013697,0.000448,0.001473,0.001152,0.000384,1.819676
0.108007,1.562187,0.081958,1.759704,0.050051,0.000800,0.013696,0.000417,0.001536,0.001184,0.000608,1.832893
0.128041,1.541321,0.085958,1.760696,0.050628,0.001056,0.013633,0.000416,0.001504,0.001088,0.000576,1.833981
0.124744,1.562891,0.080613,1.774937,0.049987,0.000832,0.013665,0.000448,0.001504,0.001056,0.000384,1.847198
0.115176,1.541929,0.086150,1.749559,0.050852,0.001088,0.013601,0.000416,0.001536,0.001088,0.000384,1.823580
0.098695,1.561354,0.086278,1.752343,0.052196,0.001088,0.013537,0.000416,0.001504,0.001024,0.000416,1.827548
0.132457,1.546025,0.081606,1.765496,0.051876,0.000640,0.013889,0.000384,0.001472,0.001120,0.000384,1.839805
0.099015,1.541161,0.110568,1.756056,0.050627,0.000640,0.013505,0.000384,0.001504,0.001024,0.000416,1.828317
0.124745,1.539241,0.087494,1.756472,0.052516,0.000608,0.013633,0.000448,0.001536,0.000992,0.000384,1.830781
0.102631,1.538184,0.082117,1.729334,0.051204,0.000640,0.013569,0.000448,0.001504,0.001088,0.000384,1.802875
0.128361,1.543146,0.126536,1.804283,0.051460,0.000640,0.013441,0.000448,0.001472,0.001056,0.000384,1.878048
0.103399,1.544010,0.088998,1.741751,0.052004,0.000608,0.013505,0.000416,0.001440,0.001088,0.000416,1.815548
0.110408,1.568587,0.085862,1.770809,0.050787,0.000640,0.013537,0.000384,0.001505,0.001280,0.000384,1.843518
0.102695,1.539113,0.080485,1.727509,0.051492,0.000832,0.013569,0.000416,0.001504,0.001184,0.000416,1.801370
0.125769,1.582764,0.079941,1.794810,0.049700,0.000768,0.013537,0.000416,0.001504,0.001216,0.000416,1.866911
0.113960,1.544074,0.104743,1.769529,0.051268,0.000896,0.013697,0.000352,0.001440,0.001056,0.000448,1.843390
0.125961,1.563403,0.083046,1.779066,0.050467,0.000640,0.013569,0.000352,0.001440,0.001056,0.000384,1.851711
0.121897,1.538345,0.077477,1.742935,0.051556,0.000736,0.013537,0.000448,0.001536,0.000992,0.000384,1.817148
0.100391,1.556554,0.115784,1.778297,0.051204,0.001024,0.013473,0.000384,0.001344,0.000992,0.000384,1.851710
0.104455,1.537993,0.090118,1.738070,0.051620,0.000832,0.013953,0.000416,0.001440,0.001024,0.000448,1.812411
0.116520,1.555466,0.079685,1.756728,0.051588,0.000800,0.013505,0.000384,0.001504,0.001440,0.000384,1.830813
0.129353,1.543177,0.089350,1.767129,0.051363,0.000640,0.013537,0.000352,0.001408,0.001057,0.000416,1.840318
0.103175,1.566507,0.118920,1.795162,0.050692,0.000800,0.013665,0.000416,0.001472,0.001152,0.000384,1.868191
0.110567,1.556810,0.085286,1.757784,0.052163,0.000832,0.014177,0.000416,0.001441,0.001152,0.000384,1.833021
0.098887,1.582924,0.089158,1.776857,0.050116,0.000640,0.013793,0.000352,0.001504,0.001216,0.000608,1.849790
0.119561,1.546153,0.080326,1.750872,0.051587,0.000672,0.013697,0.000416,0.001536,0.001057,0.000384,1.824477
0.096679,1.562282,0.084453,1.749943,0.049508,0.000608,0.013505,0.000384,0.001408,0.001024,0.000384,1.821468
0.090854,1.536713,0.123432,1.756952,0.052867,0.000608,0.013569,0.000416,0.001472,0.000992,0.000416,1.832061
0.100135,1.559786,0.085574,1.752119,0.051364,0.000640,0.013601,0.000416,0.001440,0.000960,0.000384,1.825532
0.118984,1.538408,0.083302,1.746327,0.050468,0.000608,0.013505,0.000416,0.001440,0.001024,0.000384,1.818620
0.128073,1.539881,0.080517,1.754935,0.050852,0.001024,0.013729,0.000384,0.001472,0.001184,0.000832,1.829244
0.133417,1.546474,0.078693,1.764536,0.050980,0.000800,0.013665,0.000384,0.001472,0.000992,0.000352,1.837853
0.119081,1.546313,0.089638,1.762040,0.050820,0.001056,0.013697,0.000416,0.001504,0.001568,0.000416,1.835805
