IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.078949,9.108620,0.076773,9.271286,0.001056,0.018913,0.000576,0.001440,0.002624,0.000544,9.300952
0.113064,1.622191,0.083717,1.826908,0.001248,0.015553,0.000352,0.001952,0.002368,0.000576,1.853118
0.098694,1.594476,0.073125,1.772696,0.000928,0.015137,0.000576,0.001729,0.001696,0.000416,1.796762
0.100807,1.644656,0.090567,1.841886,0.000896,0.014977,0.000544,0.001600,0.001120,0.000448,1.865119
0.128488,1.598188,0.074726,1.807547,0.000864,0.014721,0.000544,0.001472,0.001152,0.000448,1.830396
0.103495,1.612942,0.080934,1.803899,0.000928,0.015169,0.000384,0.001472,0.001088,0.000448,1.827036
0.100422,1.593292,0.075141,1.775097,0.000832,0.015201,0.000416,0.001537,0.001088,0.000416,1.798523
0.110088,1.613326,0.080389,1.810043,0.000897,0.017345,0.000448,0.001504,0.001088,0.000448,1.835485
0.099879,1.591308,0.081190,1.778649,0.000768,0.020065,0.000416,0.001536,0.001120,0.000384,1.806555
0.107240,1.611982,0.081797,1.809883,0.001056,0.015841,0.000352,0.001568,0.001088,0.000416,1.834909
0.108200,1.593740,0.076102,1.785274,0.000832,0.019009,0.000384,0.001472,0.001088,0.000480,1.812635
0.115272,1.617326,0.098118,1.837021,0.000928,0.015905,0.000576,0.001472,0.001248,0.000384,1.861342
0.136553,1.597165,0.076357,1.816827,0.000800,0.015425,0.000608,0.001504,0.001056,0.000384,1.840637
0.130057,1.635183,0.079013,1.851774,0.000896,0.015073,0.000416,0.001473,0.001120,0.000448,1.876256
0.132425,1.594476,0.080358,1.813179,0.000896,0.015297,0.000544,0.001472,0.001056,0.000416,1.836764
0.130601,1.623694,0.096711,1.858750,0.000896,0.014529,0.000768,0.001472,0.001153,0.000384,1.881600
0.126056,1.589900,0.084805,1.805914,0.000801,0.015233,0.000384,0.001504,0.001088,0.000448,1.828924
0.100135,1.588908,0.076325,1.771737,0.000736,0.014433,0.000416,0.001440,0.001056,0.000416,1.793882
0.102887,1.595788,0.083142,1.787610,0.000704,0.015201,0.000768,0.001440,0.001056,0.000416,1.810875
0.132009,1.600941,0.085670,1.824828,0.000768,0.014497,0.000384,0.001504,0.001120,0.000448,1.847166
0.111528,1.596173,0.097094,1.811131,0.000832,0.014913,0.000608,0.001472,0.001152,0.000448,1.834397
0.107816,1.596012,0.079334,1.790714,0.000896,0.016193,0.000608,0.001664,0.001216,0.000416,1.815355
0.106183,1.612430,0.084454,1.809147,0.000864,0.018081,0.000416,0.001696,0.001152,0.000416,1.835517
0.104967,1.594700,0.084229,1.791385,0.000769,0.019681,0.000800,0.001472,0.001120,0.000384,1.820475
0.161611,1.629359,0.092775,1.893121,0.001504,0.017793,0.000640,0.001952,0.002689,0.000896,1.923363
0.112936,1.597708,0.081541,1.799482,0.001120,0.018818,0.000544,0.001664,0.001536,0.000384,1.827676
0.104103,1.615470,0.081446,1.807003,0.000992,0.022433,0.000576,0.001793,0.001280,0.000576,1.838269
0.102407,1.594348,0.081734,1.784441,0.000864,0.014977,0.000800,0.001504,0.001345,0.000416,1.808091
0.096231,1.622222,0.080902,1.805851,0.001120,0.016257,0.000384,0.001728,0.001025,0.000608,1.831581
0.138250,1.595084,0.095623,1.836125,0.000960,0.016129,0.000640,0.001568,0.001185,0.000448,1.860991
0.106055,1.621294,0.089670,1.823612,0.000864,0.016641,0.000608,0.001536,0.001088,0.000416,1.849470
0.139946,1.600845,0.085190,1.832445,0.000800,0.015233,0.000576,0.001792,0.001376,0.000416,1.856670
0.107079,1.640944,0.083398,1.837181,0.000800,0.014881,0.000640,0.001568,0.001120,0.000384,1.860606
0.102214,1.594220,0.082150,1.784634,0.000768,0.014913,0.000832,0.001472,0.001152,0.000416,1.807867
0.104199,1.609005,0.080421,1.799194,0.000864,0.017377,0.000576,0.001568,0.001216,0.000448,1.825084
0.102823,1.592428,0.082246,1.784537,0.000864,0.020450,0.000352,0.001504,0.001152,0.000448,1.812987
0.096103,1.604621,0.076037,1.782521,0.000832,0.020770,0.000384,0.001536,0.001120,0.000416,1.811451
0.101927,1.595660,0.074694,1.778297,0.000768,0.014401,0.000864,0.001472,0.001120,0.000416,1.800762
0.111143,1.617166,0.082822,1.817211,0.000864,0.014721,0.000576,0.001408,0.001184,0.000384,1.840285
0.105767,1.594508,0.086214,1.792729,0.000960,0.019650,0.000640,0.001504,0.001120,0.000512,1.820699
0.128809,1.617614,0.076997,1.828893,0.001248,0.015489,0.000640,0.001696,0.001056,0.000416,1.853342
0.105319,1.594924,0.077542,1.785369,0.001056,0.016129,0.000640,0.001568,0.001280,0.000416,1.810555
0.107080,1.595884,0.077094,1.786362,0.000896,0.015169,0.000544,0.001696,0.001024,0.000352,1.809883
0.098055,1.588204,0.081926,1.774873,0.000896,0.018689,0.000640,0.001696,0.001121,0.000384,1.802171
0.106216,1.597420,0.078182,1.788090,0.000864,0.019521,0.000800,0.001408,0.001121,0.000448,1.815580
0.115400,1.596844,0.119400,1.837981,0.000928,0.016161,0.000640,0.001728,0.001024,0.000352,1.862654
0.103687,1.594476,0.080902,1.784665,0.000800,0.019554,0.000672,0.001568,0.001024,0.000416,1.812379
0.099751,1.610958,0.079877,1.796954,0.000896,0.020194,0.000608,0.001504,0.001024,0.000448,1.825468
0.104007,1.594124,0.074245,1.779001,0.000832,0.014721,0.000896,0.001536,0.001024,0.000384,1.801914
0.105799,1.602541,0.081093,1.795066,0.000896,0.014753,0.000609,0.001504,0.001056,0.000448,1.817852
0.107912,1.600620,0.079749,1.794970,0.000864,0.016033,0.000352,0.001537,0.001248,0.000416,1.819388
0.136585,1.615054,0.073893,1.831996,0.000800,0.014561,0.000608,0.001504,0.001184,0.000448,1.854621
0.137481,1.600845,0.080165,1.824219,0.000992,0.014529,0.000416,0.001536,0.001088,0.000416,1.846749
0.103111,1.616174,0.081797,1.807290,0.000832,0.015617,0.000416,0.001536,0.001152,0.000416,1.831260
0.104103,1.596333,0.076453,1.783001,0.000736,0.014465,0.000448,0.001536,0.001120,0.000448,1.805083
0.100998,1.609197,0.072549,1.788313,0.000896,0.015457,0.000832,0.001408,0.001024,0.000416,1.812091
0.106791,1.594028,0.081605,1.788281,0.000832,0.014369,0.000576,0.001472,0.001056,0.000384,1.810491
0.102342,1.618029,0.081541,1.807674,0.000768,0.014401,0.000608,0.001504,0.001089,0.000416,1.829885
0.100647,1.588972,0.075205,1.771064,0.000960,0.015617,0.000353,0.001504,0.001088,0.000416,1.794970
0.106567,1.611725,0.081990,1.806811,0.000864,0.015585,0.000608,0.001408,0.001216,0.000384,1.830844
0.108775,1.596141,0.078917,1.791801,0.001153,0.015553,0.000608,0.001728,0.001248,0.000352,1.816475
0.104615,1.617838,0.082502,1.812347,0.000896,0.016449,0.000352,0.001536,0.001153,0.000416,1.837597
0.104615,1.596268,0.077541,1.785433,0.000896,0.015681,0.000832,0.001504,0.001088,0.000417,1.809723
0.103047,1.610861,0.116936,1.836860,0.000928,0.015617,0.000832,0.001536,0.001024,0.000448,1.860670
0.137609,1.595693,0.079717,1.819355,0.000800,0.015873,0.000576,0.001408,0.001120,0.000416,1.843293
0.103911,1.621230,0.081829,1.814587,0.000960,0.015554,0.000384,0.001568,0.001024,0.000416,1.839229
0.102727,1.594349,0.076005,1.779513,0.000800,0.014369,0.000384,0.001536,0.001120,0.000416,1.801594
