IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.072549,9.110569,0.076870,9.266356,0.016065,0.000704,0.001504,0.012833,0.000512,9.302870
0.124041,1.607053,0.079461,1.818075,0.016129,0.000512,0.001568,0.001696,0.000416,1.841597
0.077829,1.588492,0.080325,1.751382,0.015393,0.000480,0.001568,0.001408,0.000384,1.773912
0.114248,1.625582,0.087494,1.835420,0.016897,0.000480,0.001569,0.001248,0.000416,1.860062
0.106696,1.591083,0.081157,1.784281,0.016641,0.000512,0.001440,0.001056,0.000416,1.807643
0.114311,1.625774,0.073701,1.821883,0.016513,0.000544,0.001472,0.001088,0.000384,1.845181
0.103335,1.594092,0.119816,1.824251,0.022754,0.000480,0.001568,0.000992,0.000352,1.854365
0.106247,1.612013,0.091911,1.817659,0.019041,0.000480,0.001504,0.001280,0.000385,1.844797
0.108775,1.594284,0.080614,1.790073,0.015841,0.000480,0.001568,0.001184,0.000416,1.813115
0.129513,1.620942,0.129673,1.888000,0.016097,0.000480,0.001536,0.001408,0.000416,1.911905
0.146474,1.598892,0.099335,1.851742,0.016417,0.000512,0.001504,0.001152,0.000416,1.876671
0.110408,1.603884,0.116936,1.837885,0.016609,0.000512,0.001600,0.001376,0.000384,1.861886
0.113704,1.629646,0.079814,1.829692,0.016257,0.000480,0.001536,0.001312,0.000416,1.853501
0.115080,1.599116,0.091430,1.813659,0.016449,0.000512,0.001504,0.001248,0.000416,1.837500
0.147626,1.627534,0.085989,1.868446,0.015489,0.000480,0.001472,0.001152,0.000384,1.890784
0.112712,1.600460,0.095591,1.815867,0.015681,0.000544,0.001536,0.001152,0.000448,1.838845
0.110151,1.620717,0.083462,1.819963,0.015585,0.000736,0.001536,0.001121,0.000384,1.843037
0.106695,1.596044,0.081157,1.790841,0.016225,0.000512,0.001473,0.001408,0.000416,1.814427
0.108935,1.615854,0.089926,1.821307,0.015617,0.000544,0.001504,0.001120,0.000416,1.844316
0.107816,1.597292,0.085062,1.796250,0.015745,0.000512,0.001504,0.001184,0.000416,1.819387
0.114088,1.617998,0.085125,1.823996,0.018049,0.000672,0.001504,0.001216,0.000384,1.850109
0.106311,1.594956,0.083909,1.791449,0.016001,0.000736,0.001504,0.001216,0.000480,1.814587
0.114183,1.617965,0.089862,1.828763,0.016226,0.000480,0.001536,0.001088,0.000416,1.852189
0.109192,1.605900,0.090502,1.812667,0.016193,0.000480,0.001440,0.001312,0.000416,1.836124
0.143209,1.657040,0.086789,1.892736,0.022785,0.000608,0.001600,0.001184,0.000513,1.923075
0.143689,1.597132,0.085766,1.833916,0.021185,0.000480,0.001568,0.001184,0.000417,1.862270
0.169771,1.623406,0.085030,1.884319,0.016577,0.000480,0.001537,0.001184,0.000416,1.908129
0.107559,1.613486,0.093222,1.821659,0.016481,0.000544,0.001536,0.001153,0.000416,1.845213
0.130537,1.604685,0.099110,1.840509,0.015553,0.000480,0.001568,0.001088,0.000384,1.863038
0.113256,1.598156,0.106119,1.825308,0.017345,0.000480,0.001536,0.001088,0.000448,1.850589
0.111624,1.596652,0.089542,1.803994,0.016417,0.000672,0.001568,0.001185,0.000448,1.827836
0.139530,1.619245,0.087750,1.854334,0.019105,0.000544,0.001504,0.001120,0.000384,1.880863
0.149130,1.601677,0.083462,1.840829,0.016257,0.000512,0.001440,0.001056,0.000448,1.864030
0.140969,1.620749,0.085510,1.855453,0.020162,0.000544,0.001408,0.001120,0.000416,1.883135
0.113032,1.597708,0.096870,1.813499,0.018529,0.000480,0.001536,0.001248,0.000416,1.839228
0.135722,1.618413,0.085861,1.848253,0.015201,0.000736,0.001504,0.001120,0.000448,1.871359
0.117191,1.595724,0.085221,1.805275,0.016097,0.000800,0.001568,0.001184,0.000608,1.828828
0.111623,1.619437,0.087814,1.828059,0.017985,0.000512,0.001536,0.001152,0.000448,1.853501
0.105735,1.598508,0.091046,1.801946,0.017057,0.001088,0.001568,0.001280,0.000416,1.826843
0.106887,1.615501,0.081350,1.811642,0.020386,0.000480,0.001536,0.001120,0.000384,1.839996
0.143274,1.598060,0.091814,1.840060,0.022498,0.000608,0.001472,0.001312,0.000416,1.869694
0.110632,1.616045,0.076485,1.810618,0.021921,0.000704,0.001504,0.001216,0.000384,1.840156
0.146345,1.602252,0.092454,1.849214,0.018465,0.000480,0.001536,0.001376,0.000448,1.875263
