IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.112231,9.138697,0.080421,9.339317,0.000960,0.004352,0.015329,0.000672,9.364919
0.109896,1.631982,0.084358,1.832892,0.000928,0.004896,0.002016,0.000448,1.844380
0.096134,1.608653,0.084389,1.794969,0.000960,0.004448,0.001728,0.000448,1.805722
0.150634,1.623790,0.091654,1.887327,0.000928,0.003521,0.001504,0.000416,1.896736
0.111623,1.622125,0.100391,1.843964,0.001024,0.003297,0.001280,0.000480,1.853277
0.133417,1.614861,0.088742,1.843676,0.000896,0.003136,0.001344,0.000416,1.852797
0.141578,1.615501,0.108872,1.873567,0.000960,0.003008,0.001504,0.000416,1.884191
0.141545,1.616877,0.089158,1.854205,0.000992,0.002752,0.001376,0.000416,1.863485
0.140234,1.635374,0.087334,1.870622,0.000961,0.002656,0.001376,0.000448,1.880607
0.116328,1.613005,0.087910,1.823611,0.000928,0.002816,0.001344,0.000512,1.832028
0.104391,1.629261,0.083525,1.823419,0.000768,0.002849,0.001344,0.000448,1.831676
0.104807,1.611724,0.098598,1.821306,0.001088,0.002721,0.001440,0.000352,1.830043
0.113671,1.650063,0.094438,1.865053,0.000928,0.002752,0.001504,0.000480,1.875102
0.114344,1.613709,0.132201,1.867550,0.000896,0.002688,0.001377,0.000480,1.877983
0.117639,1.638126,0.090630,1.854365,0.000897,0.002752,0.001344,0.000416,1.862686
0.109959,1.612844,0.086918,1.816282,0.000993,0.002848,0.001344,0.000416,1.824923
0.114728,1.633006,0.088678,1.843516,0.001024,0.002721,0.001312,0.000416,1.852093
0.109704,1.611629,0.092838,1.820795,0.000896,0.002624,0.001504,0.000480,1.829660
0.112711,1.629901,0.081925,1.830811,0.000864,0.002849,0.001408,0.000384,1.839324
0.108136,1.612429,0.087078,1.813819,0.000864,0.002752,0.001376,0.000416,1.822203
0.143498,1.632782,0.091846,1.874846,0.001057,0.002880,0.001408,0.000448,1.883711
0.108968,1.610892,0.089382,1.815355,0.000992,0.002528,0.001280,0.000352,1.823419
0.125545,1.641198,0.084453,1.858013,0.001025,0.002656,0.001248,0.000448,1.866558
0.109992,1.615981,0.109127,1.842652,0.000992,0.003328,0.001728,0.000384,1.852893
0.119496,1.614061,0.093766,1.835676,0.000992,0.002720,0.001569,0.000416,1.844221
