IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.095846,9.123237,0.076325,9.301584,0.004608,0.002624,0.000640,9.312754
0.091590,1.629614,0.079365,1.807705,0.003841,0.000992,0.000352,1.815514
0.081190,1.602411,0.071364,1.759414,0.003073,0.000928,0.000416,1.766295
0.099911,1.627725,0.080646,1.815610,0.003872,0.001184,0.000384,1.824795
0.105895,1.609933,0.079173,1.801337,0.003360,0.001216,0.000417,1.809210
0.149194,1.627438,0.082469,1.867165,0.003425,0.001120,0.000416,1.875070
0.117288,1.613357,0.081029,1.817018,0.006081,0.001120,0.000448,1.827259
0.102694,1.639470,0.084453,1.833595,0.003904,0.001248,0.000416,1.843355
0.102151,1.609068,0.076357,1.794232,0.003649,0.001184,0.000384,1.803321
0.127720,1.629806,0.080933,1.845307,0.002849,0.000960,0.000448,1.852284
0.096774,1.607596,0.079334,1.789304,0.002880,0.001120,0.000416,1.796632
0.127177,1.627309,0.081798,1.842748,0.003680,0.001184,0.000417,1.851869
0.098599,1.602219,0.074341,1.780184,0.003584,0.001184,0.000384,1.788280
0.097542,1.628238,0.082629,1.815001,0.003745,0.001120,0.000416,1.823834
0.097863,1.603212,0.084710,1.790905,0.002624,0.000960,0.000416,1.797625
0.133769,1.632941,0.079461,1.854972,0.002976,0.001664,0.000416,1.862365
0.098374,1.614796,0.090470,1.809369,0.003168,0.001281,0.000448,1.816890
0.121960,1.624973,0.078373,1.830747,0.003648,0.001216,0.000416,1.839387
0.102119,1.603084,0.078725,1.789656,0.003456,0.001216,0.000416,1.797753
0.130025,1.636814,0.090918,1.864125,0.003489,0.001184,0.000384,1.872094
0.125065,1.608716,0.077189,1.817146,0.002849,0.001120,0.000384,1.824251
0.116520,1.624973,0.072645,1.819290,0.002816,0.001056,0.000416,1.825946
0.097830,1.605996,0.079206,1.788728,0.003872,0.001120,0.000448,1.796728
0.096935,1.603468,0.076901,1.783160,0.003232,0.001056,0.000384,1.790392
0.099398,1.604267,0.075621,1.786007,0.003616,0.001152,0.000416,1.795768
0.104231,1.624781,0.098407,1.834363,0.003456,0.001216,0.000416,1.843515
0.095591,1.605548,0.078597,1.785848,0.003520,0.001153,0.000384,1.795001
0.125993,1.604652,0.077797,1.814010,0.003616,0.001120,0.000416,1.821530
0.122120,1.627181,0.076838,1.831515,0.003424,0.001184,0.000416,1.839163
0.095815,1.608268,0.074629,1.784952,0.002688,0.001056,0.000416,1.791832
0.099366,1.616877,0.077285,1.798457,0.003648,0.001120,0.000416,1.806554
0.122888,1.604748,0.083334,1.816890,0.002656,0.000992,0.000384,1.823546
0.123944,1.623181,0.073861,1.826810,0.003584,0.001152,0.000448,1.834843
0.101318,1.618156,0.080358,1.806745,0.003552,0.001216,0.000416,1.815545
0.105735,1.628621,0.078725,1.819578,0.003456,0.001184,0.000416,1.827898
0.100167,1.605707,0.083909,1.795736,0.003360,0.001184,0.000448,1.803449
0.095398,1.635373,0.078085,1.814330,0.002560,0.001120,0.000384,1.820954
0.094150,1.618125,0.075077,1.793400,0.002528,0.001120,0.000416,1.799800
