IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.176780,9.232457,0.179436,9.597314,0.002624,0.000672,9.604418
0.112583,1.609995,0.084198,1.812025,0.002656,0.000672,1.818489
0.094887,1.630381,0.074309,1.806105,0.001344,0.000384,1.811161
0.104679,1.612780,0.089062,1.812217,0.001536,0.000512,1.816954
0.103335,1.633261,0.078181,1.822938,0.001504,0.000512,1.828699
0.137706,1.610731,0.072452,1.826458,0.001536,0.000480,1.830811
0.131080,1.608683,0.108360,1.856764,0.001440,0.000480,1.862332
0.123785,1.611916,0.075685,1.817466,0.001376,0.000448,1.822554
0.100679,1.611211,0.079621,1.797752,0.001408,0.000480,1.803256
0.108711,1.615628,0.087621,1.817018,0.001952,0.000480,1.822042
0.103303,1.609483,0.130121,1.849115,0.001536,0.000448,1.853564
0.097510,1.623085,0.075525,1.802521,0.001504,0.000480,1.808153
0.182540,1.613420,0.083430,1.887710,0.002144,0.000576,1.893182
0.099751,1.631405,0.079173,1.817369,0.001472,0.000704,1.822586
0.146666,1.609995,0.078630,1.841947,0.001632,0.000544,1.846139
0.091878,1.630925,0.092711,1.821754,0.001504,0.000480,1.826170
0.103559,1.607659,0.076165,1.795960,0.001440,0.000512,1.801464
0.123208,1.648591,0.089414,1.869661,0.001728,0.000448,1.875325
0.102599,1.609579,0.088262,1.806840,0.001729,0.000480,1.811481
0.103975,1.626636,0.075749,1.812601,0.001696,0.000448,1.816986
0.112135,1.613260,0.078341,1.809912,0.001888,0.000416,1.814489
0.102087,1.628269,0.083397,1.820186,0.001632,0.000480,1.825498
0.092422,1.618316,0.075205,1.792791,0.001600,0.000480,1.798392
0.113000,1.635181,0.076997,1.831002,0.001536,0.000448,1.835131
0.099078,1.606092,0.088326,1.800120,0.001408,0.000480,1.804504
0.102982,1.639405,0.134633,1.884445,0.001793,0.000544,1.890175
0.098631,1.607851,0.132424,1.845916,0.001664,0.000704,1.850684
0.104167,1.630061,0.083046,1.822618,0.001536,0.000448,1.826970
0.101863,1.612556,0.132489,1.854108,0.001536,0.000704,1.859644
0.120296,1.609963,0.075493,1.811577,0.001696,0.000481,1.816058
0.105959,1.630637,0.112488,1.855484,0.001664,0.000480,1.859676
0.132713,1.626797,0.083078,1.848956,0.001568,0.000480,1.853404
0.101254,1.613035,0.112744,1.833594,0.001632,0.000480,1.838138
0.138505,1.612555,0.077478,1.835323,0.001696,0.000512,1.840091
0.108007,1.634637,0.087526,1.836763,0.001664,0.000480,1.841403
0.112135,1.613068,0.091174,1.823834,0.001856,0.000480,1.828442
0.107943,1.631693,0.079845,1.826234,0.001665,0.000448,1.830779
0.099431,1.609003,0.117415,1.833050,0.001600,0.000448,1.838043
0.103847,1.633357,0.080101,1.824153,0.001505,0.000448,1.829562
0.103719,1.611147,0.086981,1.808568,0.001504,0.000480,1.812857
0.130120,1.655534,0.091622,1.883709,0.001569,0.000448,1.887710
0.101607,1.627085,0.083141,1.817721,0.001568,0.000513,1.822202
0.136137,1.632845,0.075237,1.851259,0.001600,0.000512,1.856892
0.141770,1.612683,0.119272,1.879869,0.001760,0.000448,1.884638
0.126472,1.633613,0.080613,1.847067,0.001696,0.000448,1.851995
0.120328,1.624909,0.116904,1.871101,0.002368,0.000544,1.877277
0.135722,1.636173,0.107847,1.886494,0.001632,0.000800,1.892607
0.127016,1.625804,0.088134,1.847259,0.001472,0.000416,1.851291
0.127208,1.630572,0.078181,1.842171,0.001536,0.000448,1.847867
0.099687,1.609452,0.082629,1.797016,0.001408,0.000416,1.801721
0.138633,1.612108,0.079333,1.836122,0.001408,0.000353,1.841339
0.127624,1.613708,0.085830,1.832603,0.001408,0.000448,1.836891
0.121800,1.614539,0.082246,1.823962,0.001472,0.000448,1.828282
0.107495,1.611116,0.098566,1.823225,0.001505,0.000448,1.827802
0.106536,1.614731,0.088485,1.815033,0.001472,0.000448,1.819546
0.099430,1.629772,0.082534,1.818041,0.001504,0.000416,1.822841
0.139241,1.613131,0.080614,1.838939,0.001408,0.000352,1.843099
0.096166,1.636525,0.086278,1.825465,0.001601,0.000448,1.831130
0.113384,1.619212,0.090822,1.830266,0.001600,0.000448,1.835803
0.120104,1.631660,0.085701,1.843579,0.001345,0.000448,1.848156
0.095622,1.609259,0.115400,1.826234,0.001504,0.000416,1.831578
0.134089,1.633037,0.073669,1.846779,0.001537,0.000480,1.850908
0.095398,1.610539,0.088294,1.799352,0.001344,0.000448,1.803672
0.130025,1.635053,0.079110,1.850236,0.001408,0.000416,1.854524
0.130569,1.614284,0.090502,1.840027,0.001440,0.000448,1.844379
0.141257,1.634413,0.091078,1.872956,0.001632,0.000544,1.877789
0.128105,1.615628,0.076197,1.825562,0.001536,0.000384,1.829754
0.101255,1.631597,0.087462,1.827130,0.001728,0.000384,1.832794
0.101575,1.612011,0.080646,1.799960,0.001536,0.000384,1.804472
0.116648,1.631917,0.076389,1.832378,0.001696,0.000448,1.838075
0.128809,1.613963,0.091143,1.839515,0.001696,0.000544,1.844379
0.095367,1.635437,0.082405,1.819578,0.001632,0.000448,1.825338
0.099655,1.610507,0.093382,1.808952,0.001569,0.000352,1.813209
0.132393,1.635181,0.078758,1.852924,0.001632,0.000448,1.857308
0.105415,1.620396,0.132297,1.863932,0.001760,0.000416,1.868668
0.102279,1.659791,0.101126,1.870077,0.001664,0.000352,1.875581
0.125545,1.611467,0.083142,1.826138,0.001504,0.000544,1.830874
0.103559,1.608267,0.079462,1.796664,0.001600,0.000480,1.801464
0.105159,1.608587,0.075333,1.794136,0.001824,0.000352,1.798840
0.128105,1.615436,0.081829,1.831002,0.001536,0.000481,1.835163
0.137129,1.654830,0.080166,1.877149,0.001408,0.000480,1.881117
0.142986,1.611147,0.091494,1.851324,0.001536,0.000448,1.855676
0.136649,1.640781,0.081765,1.865404,0.001440,0.000416,1.869404
0.108295,1.609899,0.089862,1.813337,0.001504,0.000416,1.817817
0.109191,1.635693,0.082278,1.834938,0.001600,0.000480,1.839930
0.100743,1.612363,0.136041,1.855868,0.001408,0.000448,1.861116
0.128585,1.644877,0.082853,1.863164,0.001376,0.000416,1.867325
0.100839,1.615020,0.085669,1.806072,0.001409,0.000416,1.810329
0.132265,1.629197,0.076229,1.843547,0.001568,0.000448,1.847963
0.099559,1.622444,0.116136,1.843739,0.001440,0.000608,1.848283
0.136809,1.632428,0.077285,1.852348,0.001408,0.000416,1.856700
0.098918,1.608843,0.103143,1.816569,0.001312,0.000448,1.820729
0.129864,1.640750,0.123368,1.900991,0.001408,0.000480,1.906591
0.093799,1.612363,0.096807,1.810041,0.001376,0.000416,1.814329
0.149258,1.629229,0.076581,1.863612,0.001600,0.000544,1.869373
0.108551,1.611595,0.087429,1.812952,0.001505,0.000384,1.817497
0.139977,1.645453,0.085350,1.876477,0.001312,0.000352,1.880573
0.100039,1.619020,0.120872,1.846619,0.001696,0.000544,1.852444
0.109351,1.630445,0.084005,1.830841,0.001377,0.000512,1.835259
0.143658,1.613804,0.119496,1.883934,0.001568,0.000448,1.889470
