IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.107463,9.137536,0.072517,9.324845,0.001088,9.328269
0.126664,1.621100,0.087110,1.844347,0.001152,1.847803
0.127465,1.617164,0.074629,1.824794,0.001024,1.827866
0.102054,1.626124,0.086566,1.822522,0.000896,1.825306
0.142057,1.639694,0.083205,1.870748,0.000992,1.873660
0.101126,1.609291,0.078469,1.793815,0.000800,1.796535
0.104615,1.636589,0.086342,1.834362,0.000960,1.838202
0.136297,1.618828,0.082470,1.845627,0.001024,1.848667
0.100455,1.651118,0.086758,1.844731,0.000992,1.848187
0.101863,1.611595,0.080005,1.799704,0.000928,1.803000
0.132233,1.654766,0.083910,1.877277,0.000768,1.880381
0.131529,1.616620,0.083526,1.837211,0.000800,1.840059
0.131561,1.637261,0.074405,1.848443,0.000736,1.850875
0.103399,1.621068,0.087750,1.818361,0.000736,1.821529
0.099591,1.632237,0.084805,1.822745,0.000736,1.825978
0.108167,1.611851,0.077381,1.803512,0.000736,1.806104
0.104071,1.640685,0.081350,1.832538,0.000832,1.835130
0.142953,1.614923,0.085414,1.850299,0.000736,1.852795
0.097703,1.645517,0.085733,1.835418,0.000736,1.838171
0.105127,1.619628,0.088070,1.818777,0.000768,1.821305
0.140650,1.636781,0.078181,1.862332,0.000800,1.865532
0.107751,1.614539,0.082470,1.810649,0.000800,1.813145
0.151370,1.614219,0.077829,1.849979,0.000672,1.852988
0.108711,1.618731,0.087014,1.819929,0.000640,1.822201
0.099879,1.619788,0.090118,1.815929,0.000672,1.818969
0.126729,1.613259,0.126569,1.872413,0.000768,1.875197
0.101991,1.615307,0.087878,1.811160,0.000832,1.813881
0.100071,1.632940,0.074629,1.814456,0.000704,1.817081
0.143274,1.616396,0.096710,1.863804,0.000832,1.866844
0.100071,1.633581,0.092326,1.833146,0.000832,1.836538
0.135689,1.617387,0.092295,1.851644,0.000928,1.854780
0.136777,1.629420,0.075941,1.848059,0.001024,1.850843
0.101158,1.616619,0.080966,1.805560,0.000928,1.809016
0.145290,1.634093,0.083493,1.868796,0.000736,1.871261
0.129000,1.621100,0.096743,1.852859,0.000832,1.855419
0.107367,1.631756,0.082502,1.828346,0.000800,1.831002
0.111784,1.617931,0.119528,1.856059,0.000897,1.858780
0.107047,1.632044,0.078374,1.824122,0.000832,1.827066
0.105895,1.610891,0.097383,1.819929,0.000832,1.823129
0.141322,1.631468,0.076933,1.855644,0.000864,1.858556
0.105159,1.631053,0.089574,1.832410,0.000768,1.836122
0.146442,1.628492,0.078213,1.859772,0.000864,1.862940
0.134281,1.610667,0.079909,1.831161,0.000736,1.833690
0.119144,1.623180,0.079141,1.828378,0.000832,1.831802
0.131048,1.612364,0.081445,1.830937,0.000736,1.833337
0.101639,1.610155,0.116712,1.834234,0.000672,1.836666
0.130120,1.637677,0.080550,1.854971,0.000864,1.857627
0.137545,1.611947,0.078149,1.833114,0.000768,1.835706
0.106631,1.632172,0.079429,1.824057,0.000800,1.826585
0.145865,1.625676,0.082597,1.859643,0.000800,1.862235
0.136937,1.629740,0.083270,1.856539,0.000800,1.859004
0.133577,1.612875,0.079685,1.831961,0.000800,1.834938
