Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.523106,0.108359,8.068484,0.059108,8.240143,8.767985
0.431803,0.107943,0.672907,0.063556,0.848695,1.284306
0.430203,0.104263,0.657290,0.060292,0.825653,1.259376
0.429403,0.111111,0.656329,0.061795,0.833238,1.267985
0.457437,0.105894,0.662283,0.060132,0.832149,1.293587
0.430491,0.131017,0.666506,0.059172,0.860535,1.294227
0.428475,0.105286,0.669227,0.062468,0.840950,1.272913
0.428603,0.154282,0.657162,0.059044,0.874104,1.308659
0.430460,0.107303,0.650889,0.059716,0.821652,1.256016
0.428572,0.136552,0.677387,0.057476,0.875192,1.308180
0.428988,0.103334,0.651082,0.059396,0.817044,1.249744
0.428443,0.137481,0.654058,0.059652,0.854679,1.286738
0.442332,0.102087,0.650057,0.059396,0.815188,1.260976
0.428347,0.104423,0.648841,0.059396,0.816148,1.247695
0.427963,0.110919,0.671083,0.061380,0.846838,1.277586
0.428411,0.107686,0.651177,0.061668,0.823796,1.256368
0.429980,0.104710,0.652042,0.062020,0.822388,1.256048
0.428347,0.161835,0.669482,0.059075,0.893945,1.326516
0.429403,0.104775,0.652490,0.060420,0.821269,1.254096
0.428187,0.104422,0.651306,0.060420,0.820021,1.252112
0.430395,0.095110,0.647561,0.059076,0.805779,1.239535
0.428475,0.139113,0.657322,0.059620,0.859575,1.291474
0.428827,0.131977,0.674891,0.069284,0.879800,1.312019
0.428540,0.104998,0.649194,0.057988,0.815636,1.247600
0.428155,0.114567,0.651946,0.059716,0.829685,1.261969
0.450461,0.106727,0.651145,0.060996,0.822164,1.276881
0.429883,0.099175,0.649897,0.058916,0.811348,1.245007
0.428059,0.096710,0.643498,0.057475,0.801171,1.233006
0.428411,0.106790,0.651529,0.059236,0.821396,1.253872
0.428251,0.101414,0.646409,0.058692,0.809876,1.241839
0.428092,0.103398,0.668618,0.059140,0.834549,1.266033
0.427932,0.135528,0.648457,0.057540,0.844950,1.276434
0.428827,0.107079,0.653578,0.060612,0.824853,1.257616
0.461277,0.110727,0.646057,0.058116,0.818549,1.283634
0.428795,0.103398,0.650602,0.059812,0.817268,1.249072
0.429307,0.100679,0.650761,0.059588,0.814740,1.247439
0.428124,0.125352,0.659978,0.060004,0.848950,1.281074
0.428507,0.127624,0.656842,0.058628,0.846678,1.278738
0.429852,0.103910,0.683404,0.071621,0.862935,1.296979
0.428316,0.100134,0.649930,0.060196,0.814132,1.245680
0.432604,0.104199,0.651593,0.059716,0.819188,1.255536
0.451101,0.103815,0.652298,0.058404,0.819157,1.274482
0.428315,0.108583,0.650986,0.059300,0.822581,1.254608
0.432828,0.101382,0.651178,0.062180,0.818324,1.254928
0.430044,0.106662,0.652073,0.060900,0.823380,1.257104
0.429051,0.102791,0.653482,0.061700,0.822005,1.254384
0.429051,0.106855,0.673867,0.061700,0.846358,1.278961
0.430747,0.121928,0.652874,0.058436,0.837142,1.271217
0.428892,0.098502,0.644297,0.058948,0.805779,1.238255
0.449852,0.101958,0.650890,0.059492,0.816084,1.269329
0.428411,0.130921,0.649417,0.058116,0.842070,1.273585
0.428828,0.106727,0.649513,0.058116,0.817620,1.250416
0.430460,0.107911,0.651337,0.059076,0.821844,1.255824
0.429179,0.110887,0.648458,0.058307,0.821012,1.254801
0.428347,0.104039,0.677003,0.067557,0.852311,1.284498
0.429435,0.106567,0.651594,0.059843,0.821877,1.255377
0.428091,0.103366,0.651274,0.059908,0.818068,1.249456
0.442813,0.106214,0.652041,0.059556,0.821652,1.268081
0.428187,0.110471,0.654698,0.059108,0.828021,1.259312
0.428283,0.101543,0.645929,0.081285,0.832469,1.264049
0.428059,0.108839,0.651658,0.059332,0.823605,1.255248
