Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.520835,0.125512,0.094823,0.097990,0.322357,0.218799,0.005952,0.047171,0.000832,0.013505,0.000352,0.001536,0.002529,0.000352,1.142572
0.430780,0.107943,0.118407,0.086342,0.316821,0.211534,0.005697,0.048483,0.000576,0.014017,0.000352,0.001408,0.001760,0.000352,1.039908
0.429628,0.114888,0.094950,0.091910,0.305460,0.210126,0.005569,0.047747,0.000736,0.013953,0.000384,0.001568,0.001120,0.000416,1.024164
0.430172,0.116328,0.093062,0.115592,0.328886,0.212270,0.005664,0.048580,0.000640,0.014081,0.000384,0.001504,0.001088,0.000384,1.051621
0.431325,0.131113,0.093222,0.146570,0.375737,0.213134,0.005920,0.048420,0.000608,0.013953,0.000576,0.001504,0.001664,0.000416,1.100873
0.430173,0.117032,0.092870,0.130633,0.344887,0.210670,0.005696,0.047811,0.000544,0.013761,0.000352,0.001536,0.001505,0.000384,1.065927
0.429724,0.142474,0.106535,0.109031,0.362808,0.212878,0.005792,0.047971,0.000736,0.013889,0.000608,0.001664,0.001088,0.000384,1.084583
0.429437,0.113320,0.101574,0.107336,0.326774,0.210734,0.005824,0.047907,0.000768,0.014113,0.000352,0.001632,0.001248,0.000352,1.047270
0.429181,0.105735,0.091526,0.097478,0.299283,0.210190,0.009601,0.048579,0.000768,0.014017,0.000384,0.001536,0.001089,0.000384,1.021988
0.429468,0.148362,0.096422,0.101575,0.350487,0.211502,0.005536,0.048355,0.000769,0.013952,0.000641,0.001600,0.001088,0.000416,1.072743
0.429244,0.110407,0.093095,0.092518,0.300084,0.227215,0.008545,0.048131,0.000640,0.014209,0.000416,0.001568,0.001280,0.000608,1.040516
0.428348,0.110440,0.092102,0.100487,0.306741,0.209262,0.005568,0.048067,0.000608,0.013569,0.000352,0.001440,0.001056,0.000384,1.022916
0.428733,0.111687,0.101191,0.087686,0.304980,0.209966,0.009536,0.048260,0.000576,0.013537,0.000384,0.001440,0.001056,0.000384,1.026020
0.428220,0.108711,0.086789,0.110472,0.310357,0.229871,0.005440,0.047972,0.000832,0.013473,0.000352,0.001440,0.001056,0.000384,1.047813
0.428668,0.111047,0.093190,0.093926,0.302036,0.210093,0.005569,0.047555,0.000608,0.014145,0.000384,0.001600,0.001312,0.000416,1.019363
0.428669,0.113191,0.092935,0.122440,0.332790,0.211278,0.005376,0.047715,0.000608,0.013825,0.000320,0.001601,0.001376,0.000384,1.052966
0.428509,0.147817,0.094950,0.094342,0.341398,0.245648,0.005440,0.048035,0.000704,0.014177,0.000384,0.001504,0.001376,0.000577,1.095593
0.428796,0.110823,0.100167,0.093862,0.309652,0.210574,0.005344,0.047715,0.000577,0.013504,0.000448,0.001440,0.001088,0.000416,1.027364
0.428701,0.107111,0.086406,0.094694,0.292627,0.212814,0.005313,0.047747,0.000864,0.013601,0.000448,0.001472,0.001184,0.000448,1.012739
0.428668,0.104167,0.085797,0.091558,0.285906,0.210509,0.005345,0.048227,0.000768,0.013537,0.000352,0.001536,0.000992,0.000416,1.004802
0.429373,0.105703,0.092614,0.093766,0.296403,0.210990,0.005409,0.047939,0.000608,0.013793,0.000384,0.001600,0.001024,0.000576,1.015139
0.428604,0.111624,0.092294,0.121480,0.330486,0.209454,0.009472,0.048067,0.000736,0.013793,0.000384,0.001536,0.001056,0.000416,1.052357
0.428796,0.108647,0.085349,0.079333,0.277714,0.209774,0.005344,0.048163,0.000768,0.013761,0.000352,0.001665,0.001120,0.000416,0.994754
0.430076,0.114823,0.087686,0.090694,0.297203,0.212174,0.005409,0.048323,0.000608,0.014177,0.000384,0.001568,0.001312,0.000576,1.020323
0.431645,0.127176,0.092838,0.131016,0.354839,0.209230,0.005729,0.048035,0.000576,0.013697,0.000384,0.001536,0.001248,0.000384,1.074407
0.429020,0.140329,0.102887,0.117832,0.365336,0.211150,0.009505,0.048003,0.000608,0.014113,0.000352,0.001504,0.001024,0.000416,1.090984
0.466078,0.108711,0.087526,0.080741,0.280754,0.211854,0.005568,0.048164,0.000768,0.013505,0.000384,0.001472,0.001344,0.000416,1.037828
0.428444,0.104198,0.088485,0.086822,0.283762,0.208686,0.005312,0.047812,0.000576,0.013793,0.000384,0.001504,0.001088,0.000672,0.999490
0.428572,0.107975,0.092422,0.126504,0.330933,0.213167,0.009440,0.047555,0.000608,0.013569,0.000416,0.001505,0.001056,0.000896,1.054918
0.447069,0.109927,0.090438,0.092646,0.296979,0.211310,0.005568,0.047428,0.000608,0.013569,0.000352,0.001536,0.001056,0.000448,1.033796
0.428541,0.109191,0.091718,0.095751,0.300980,0.212366,0.005408,0.047907,0.000704,0.013761,0.000352,0.001472,0.001057,0.000416,1.019876
0.428476,0.142986,0.108359,0.105607,0.360856,0.209742,0.005537,0.047587,0.000736,0.014113,0.000384,0.001472,0.001056,0.000384,1.078087
0.447933,0.108520,0.089894,0.099622,0.301876,0.214607,0.005600,0.047907,0.000608,0.013793,0.000416,0.001664,0.001152,0.000416,1.043461
0.429148,0.115591,0.094887,0.126344,0.340918,0.214926,0.005153,0.048419,0.000704,0.013825,0.000416,0.001568,0.001120,0.000384,1.064102
0.429532,0.109479,0.092102,0.107528,0.312757,0.209549,0.005344,0.048163,0.000768,0.013985,0.000416,0.001664,0.001280,0.000480,1.030883
0.447198,0.107911,0.084998,0.090470,0.287475,0.213518,0.005312,0.048035,0.000640,0.013760,0.000416,0.001537,0.001280,0.000384,1.028100
0.429853,0.108551,0.090630,0.102343,0.306292,0.209774,0.005632,0.048131,0.000608,0.013569,0.000416,0.001472,0.001056,0.000416,1.024580
0.428828,0.109000,0.091110,0.098118,0.301716,0.209454,0.005440,0.047907,0.000768,0.013729,0.000384,0.001440,0.001120,0.000576,1.018019
0.428732,0.108295,0.128041,0.090278,0.331318,0.214318,0.005441,0.048291,0.000608,0.013665,0.000416,0.001568,0.001184,0.000448,1.052837
0.429276,0.110343,0.092487,0.094662,0.301588,0.209102,0.009536,0.048228,0.000800,0.013601,0.000608,0.001504,0.001088,0.000384,1.023171
0.427709,0.110375,0.102119,0.090822,0.306996,0.209582,0.009569,0.048227,0.000640,0.013537,0.000416,0.001792,0.001152,0.000384,1.026884
0.430365,0.106215,0.090214,0.097190,0.315669,0.209518,0.009568,0.048419,0.000608,0.014016,0.000352,0.001600,0.001152,0.000384,1.038725
