Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.536932,0.094182,7.997486,0.075461,8.171642,0.009984,0.048868,0.000832,0.013601,0.000352,0.001472,0.011201,0.000576,8.803140
0.432061,0.091046,0.569221,0.080806,0.744913,0.005632,0.049443,0.000608,0.013793,0.000384,0.001601,0.001248,0.000448,1.256627
0.429148,0.117000,0.578630,0.079717,0.779892,0.005856,0.048931,0.000640,0.014657,0.000608,0.001536,0.001249,0.000416,1.289461
0.451293,0.121032,0.577510,0.099334,0.802036,0.005857,0.049123,0.000576,0.014273,0.000640,0.001760,0.001344,0.000384,1.335703
0.431132,0.113960,0.576390,0.091462,0.785428,0.008641,0.049187,0.000672,0.014689,0.000640,0.001536,0.001248,0.000416,1.300949
0.429821,0.144745,0.608296,0.092294,0.849304,0.009056,0.049380,0.000672,0.014561,0.000640,0.001504,0.001184,0.000384,1.364378
0.429564,0.138505,0.579718,0.079557,0.801397,0.005760,0.050115,0.000640,0.013889,0.000384,0.001536,0.001216,0.000448,1.311286
0.429820,0.156971,0.573317,0.084806,0.818838,0.009889,0.049667,0.000608,0.014017,0.000416,0.001472,0.001280,0.000384,1.333975
0.445309,0.115464,0.583878,0.096742,0.799893,0.005728,0.047940,0.000672,0.013761,0.000416,0.001472,0.001120,0.000416,1.323447
0.428988,0.113736,0.577030,0.079621,0.774067,0.005505,0.048803,0.000640,0.013697,0.000416,0.001472,0.001248,0.000384,1.282452
0.430108,0.113607,0.576838,0.080165,0.792052,0.006113,0.048451,0.000640,0.013697,0.000416,0.001568,0.001184,0.000416,1.301493
0.429372,0.112263,0.573734,0.081509,0.771123,0.005281,0.048963,0.000608,0.013793,0.000416,0.001504,0.001024,0.000416,1.279604
0.430076,0.116039,0.577350,0.081094,0.778643,0.005696,0.049636,0.000608,0.014081,0.000544,0.001408,0.001120,0.000416,1.289493
0.429660,0.119752,0.606792,0.097702,0.828406,0.005408,0.048195,0.000576,0.013825,0.000416,0.001504,0.001024,0.000384,1.337463
0.429980,0.143754,0.577414,0.099110,0.824150,0.009441,0.049571,0.000640,0.013921,0.000416,0.001472,0.001281,0.000384,1.338136
0.431068,0.112968,0.576710,0.081605,0.775059,0.005409,0.048899,0.000544,0.013697,0.000352,0.001536,0.001088,0.000448,1.285524
0.429244,0.146666,0.587879,0.097798,0.836151,0.008673,0.048611,0.000576,0.013825,0.000384,0.001536,0.001184,0.000416,1.347768
0.428700,0.116584,0.576774,0.094790,0.792468,0.008929,0.049123,0.000640,0.013825,0.000544,0.001504,0.001152,0.000416,1.305141
0.431132,0.114408,0.595431,0.096455,0.810230,0.008544,0.048451,0.000640,0.013857,0.000416,0.001536,0.001216,0.000384,1.323447
0.427996,0.113671,0.575109,0.080806,0.773747,0.005600,0.049027,0.000640,0.013953,0.000416,0.001632,0.001216,0.000416,1.282164
0.429372,0.147305,0.591303,0.096199,0.839032,0.009536,0.048324,0.000640,0.013761,0.000416,0.001568,0.001184,0.000384,1.351321
0.431100,0.115431,0.576454,0.099975,0.796053,0.005536,0.048643,0.000609,0.013952,0.000417,0.001568,0.001312,0.000416,1.307894
