Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.541412,0.135337,7.999244,0.079654,8.218299,0.048995,0.000896,0.013569,0.000416,0.001472,0.010785,0.000640,8.844356
0.430173,0.100102,0.608136,0.085510,0.797844,0.049667,0.000576,0.014177,0.000416,0.002016,0.001441,0.000352,1.303094
0.448766,0.152970,0.585958,0.120712,0.863480,0.050019,0.000800,0.014689,0.000416,0.001632,0.000992,0.000352,1.390395
0.429340,0.108424,0.595303,0.084581,0.792532,0.057412,0.000768,0.014209,0.000416,0.001536,0.001056,0.000384,1.303350
0.430525,0.109319,0.626025,0.083750,0.822838,0.055395,0.000800,0.014177,0.000416,0.001601,0.000928,0.000384,1.333784
0.430012,0.097510,0.605416,0.082374,0.789172,0.054819,0.000768,0.013889,0.000448,0.001633,0.001184,0.000416,1.298005
0.429692,0.090662,0.602984,0.083654,0.781268,0.049187,0.000640,0.013633,0.000416,0.001472,0.000928,0.000384,1.284244
0.443133,0.142250,0.583494,0.079621,0.808853,0.051620,0.000608,0.013569,0.000416,0.001536,0.000864,0.000416,1.327479
0.430588,0.122312,0.591367,0.086022,0.803541,0.058595,0.000577,0.013600,0.000384,0.001504,0.001024,0.000288,1.316694
0.429372,0.111368,0.585798,0.102215,0.803189,0.052483,0.000673,0.013696,0.000481,0.001568,0.000960,0.000384,1.308502
0.430460,0.145194,0.618953,0.094534,0.862425,0.049443,0.000576,0.013633,0.000384,0.001600,0.001472,0.000384,1.368058
0.429660,0.102055,0.588423,0.095526,0.791092,0.051811,0.000608,0.013696,0.000416,0.001505,0.000928,0.000384,1.296149
0.429788,0.130921,0.616712,0.092294,0.843544,0.050691,0.000640,0.013697,0.000416,0.001536,0.001056,0.000416,1.348504
0.430013,0.100614,0.589671,0.085766,0.779635,0.049059,0.000576,0.013601,0.000448,0.001472,0.001024,0.000416,1.281972
0.430685,0.154218,0.618953,0.095494,0.872217,0.053764,0.000608,0.013761,0.000416,0.001568,0.001088,0.000416,1.382011
0.428956,0.105095,0.580038,0.094502,0.783603,0.049828,0.000576,0.013473,0.000416,0.001440,0.000736,0.000384,1.285172
0.432061,0.127016,0.585126,0.083462,0.799508,0.055396,0.000576,0.013505,0.000384,0.001536,0.001024,0.000384,1.310390
0.430909,0.140617,0.638346,0.092006,0.874745,0.049955,0.000544,0.013473,0.000448,0.001537,0.001024,0.000384,1.378651
0.432125,0.098726,0.591111,0.119624,0.814101,0.050116,0.000608,0.013537,0.000416,0.001472,0.000928,0.000384,1.320759
0.429245,0.113447,0.580038,0.093830,0.791059,0.050019,0.000736,0.013505,0.000416,0.001536,0.000960,0.000384,1.294261
0.429148,0.113800,0.585094,0.087654,0.790484,0.054307,0.000640,0.013856,0.000448,0.001568,0.001088,0.000384,1.300277
0.429852,0.109703,0.583078,0.125512,0.821941,0.049220,0.000672,0.013377,0.000384,0.001472,0.001088,0.000320,1.325111
