Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.884794,0.189901,8.138483,0.174091,8.508684,0.001312,0.015393,0.000416,0.001728,0.002913,0.000576,9.424648
0.432413,0.116807,0.641705,0.093030,0.855704,0.000768,0.015649,0.000416,0.001728,0.001632,0.000416,1.316566
0.429212,0.101191,0.636265,0.118792,0.860120,0.000960,0.021154,0.000384,0.001792,0.001088,0.000416,1.320822
0.429500,0.116167,0.635849,0.083046,0.839383,0.000800,0.016129,0.000352,0.001600,0.001088,0.000480,1.297268
0.428348,0.110279,0.686285,0.085254,0.887834,0.000992,0.015617,0.000352,0.001568,0.001024,0.000416,1.343415
0.440221,0.149322,0.669484,0.127560,0.952062,0.001408,0.016514,0.000352,0.001568,0.001056,0.000416,1.420829
0.428668,0.138025,0.638538,0.127112,0.907547,0.001120,0.015361,0.000384,0.001569,0.001088,0.000416,1.361817
0.428252,0.109799,0.635370,0.120168,0.869145,0.001120,0.015393,0.000384,0.001536,0.001120,0.000384,1.323734
0.428732,0.111271,0.666444,0.094182,0.877593,0.000992,0.014785,0.000352,0.001473,0.001024,0.000416,1.332215
0.430620,0.110920,0.657675,0.095974,0.868441,0.000768,0.015233,0.000416,0.001472,0.001121,0.000512,1.324855
0.428380,0.107943,0.632649,0.091206,0.835382,0.000896,0.015040,0.000320,0.001568,0.001088,0.000416,1.288564
0.429084,0.115143,0.671404,0.097511,0.887898,0.001248,0.015009,0.000320,0.001536,0.001120,0.000416,1.343288
0.428316,0.110343,0.635818,0.090022,0.840279,0.000832,0.014945,0.000384,0.001568,0.001152,0.000416,1.293844
0.428700,0.109831,0.633066,0.083557,0.830806,0.000832,0.015169,0.000352,0.001568,0.001057,0.000416,1.286420
0.429532,0.103559,0.673484,0.082853,0.864089,0.000960,0.015137,0.000352,0.001600,0.001120,0.000384,1.319254
0.429116,0.111463,0.644042,0.106023,0.865528,0.001152,0.015265,0.000384,0.001536,0.001152,0.000449,1.320887
