Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.524226,0.092486,8.055820,0.075941,8.228663,0.015233,0.000672,0.001536,0.020001,0.000608,8.798492
0.449758,0.117447,0.639369,0.089766,0.851159,0.019618,0.000576,0.001568,0.001952,0.000544,1.331543
0.428508,0.108871,0.638282,0.078149,0.829014,0.018593,0.000448,0.001632,0.001216,0.000480,1.285108
0.429692,0.152202,0.659179,0.083205,0.899194,0.016161,0.000480,0.001568,0.001184,0.000352,1.354232
0.428220,0.111783,0.633129,0.100263,0.849655,0.015969,0.000480,0.001568,0.001376,0.000448,1.304405
0.428156,0.108263,0.639818,0.086214,0.838423,0.014881,0.000480,0.001472,0.001152,0.000416,1.290356
0.433180,0.121959,0.629736,0.083589,0.839863,0.015585,0.000480,0.001568,0.001312,0.000385,1.298677
0.428380,0.104423,0.638474,0.079045,0.826294,0.017665,0.000480,0.001472,0.001184,0.000448,1.281235
0.428380,0.105063,0.633801,0.082470,0.825302,0.015009,0.000480,0.001504,0.000832,0.000416,1.277267
0.433404,0.104167,0.631721,0.079557,0.819285,0.021954,0.000480,0.001472,0.001216,0.000416,1.283731
0.428668,0.111400,0.639913,0.084198,0.840023,0.015681,0.000448,0.001536,0.000960,0.000416,1.295412
0.433596,0.099879,0.667115,0.085286,0.856024,0.014689,0.000448,0.001440,0.001056,0.000416,1.313045
0.429724,0.129160,0.638153,0.079557,0.850743,0.018082,0.000480,0.001536,0.001024,0.000480,1.307285
0.428156,0.106439,0.638890,0.076325,0.825654,0.019105,0.000448,0.001440,0.001216,0.000416,1.281524
0.452093,0.108647,0.637257,0.092198,0.842135,0.015969,0.000480,0.001536,0.001120,0.000449,1.319254
0.428444,0.103943,0.637130,0.087205,0.832182,0.015745,0.000480,0.001440,0.001216,0.000480,1.285556
0.428508,0.107079,0.675340,0.077861,0.864568,0.016993,0.000480,0.001536,0.001280,0.000384,1.319446
0.428764,0.138825,0.648330,0.108807,0.900091,0.016097,0.000512,0.001536,0.001184,0.000480,1.353944
0.429564,0.107975,0.636842,0.080197,0.828982,0.018945,0.000544,0.001536,0.001152,0.000416,1.286868
0.449405,0.132264,0.647274,0.076869,0.860280,0.014401,0.000512,0.001473,0.001088,0.000448,1.332823
0.428284,0.110791,0.630825,0.078085,0.823958,0.015937,0.000480,0.001600,0.001152,0.000416,1.278196
0.427867,0.128456,0.648234,0.110023,0.890937,0.014497,0.000480,0.001536,0.001216,0.000512,1.342263
0.427804,0.103143,0.633865,0.074277,0.814773,0.015681,0.000512,0.001504,0.000992,0.000480,1.266706
0.428444,0.136265,0.644394,0.088422,0.873177,0.016225,0.000512,0.001408,0.001056,0.000384,1.326902
0.428028,0.108999,0.662603,0.081605,0.857048,0.015809,0.000480,0.001600,0.000960,0.000416,1.309462
0.428124,0.111655,0.635465,0.085606,0.836598,0.015809,0.000480,0.001536,0.001056,0.000384,1.289107
0.429180,0.134824,0.641002,0.075877,0.855704,0.015553,0.000480,0.001568,0.001120,0.000480,1.310774
0.428732,0.107847,0.638089,0.087846,0.838070,0.015681,0.000480,0.001505,0.001152,0.000416,1.291636
0.429308,0.149994,0.638538,0.084133,0.876473,0.015841,0.000512,0.001536,0.000897,0.000416,1.331255
0.430588,0.106375,0.657323,0.083461,0.851287,0.014305,0.000480,0.001472,0.001152,0.000448,1.305236
0.429436,0.111080,0.640841,0.083685,0.839959,0.016257,0.000512,0.001504,0.001120,0.000416,1.296693
0.428764,0.104839,0.636809,0.078853,0.824373,0.015361,0.000480,0.001536,0.001056,0.000416,1.277203
0.446877,0.107014,0.635049,0.082213,0.828214,0.015265,0.000448,0.001473,0.000992,0.000416,1.299125
0.428348,0.106919,0.651978,0.085445,0.848311,0.014433,0.000512,0.001536,0.001056,0.000480,1.299893
0.429212,0.137833,0.657803,0.084037,0.883770,0.015425,0.000480,0.001536,0.001088,0.000384,1.337559
0.427803,0.104294,0.638250,0.079397,0.825813,0.015521,0.000512,0.001696,0.001056,0.000448,1.277907
0.428540,0.106407,0.638122,0.080325,0.828662,0.015361,0.000544,0.001472,0.000896,0.000384,1.280947
0.428636,0.119816,0.638825,0.076261,0.839318,0.016353,0.000417,0.001600,0.000992,0.000448,1.294100
0.429724,0.114855,0.638345,0.095302,0.852599,0.015777,0.000544,0.001408,0.001024,0.000416,1.308149
0.428284,0.104775,0.648874,0.084806,0.842391,0.014497,0.000448,0.001568,0.001152,0.000416,1.293908
0.428220,0.104263,0.632489,0.083974,0.825366,0.015361,0.000544,0.001504,0.001120,0.000480,1.279027
0.427548,0.102599,0.632425,0.075077,0.814069,0.014401,0.000448,0.001568,0.001088,0.000352,1.264658
0.427868,0.103783,0.648906,0.072165,0.829238,0.015489,0.000448,0.001568,0.000928,0.000448,1.281203
0.428411,0.106054,0.630825,0.105158,0.846007,0.014432,0.000480,0.001504,0.001024,0.000448,1.297364
0.428956,0.140905,0.634089,0.082597,0.861432,0.015457,0.000512,0.001600,0.001120,0.000384,1.315093
0.449374,0.106215,0.634089,0.076229,0.820469,0.015489,0.000480,0.001472,0.001056,0.000352,1.293973
0.427804,0.115559,0.629417,0.077477,0.826421,0.015329,0.000480,0.001569,0.001088,0.000544,1.278451
0.428220,0.109479,0.632265,0.101222,0.847223,0.015681,0.000544,0.001600,0.001025,0.000448,1.300373
0.428732,0.107718,0.634409,0.074597,0.820598,0.014497,0.000512,0.001408,0.000992,0.000384,1.272371
0.427964,0.102023,0.631433,0.089830,0.827062,0.015937,0.000416,0.001504,0.001088,0.000416,1.279539
0.428924,0.110696,0.659787,0.083717,0.859768,0.016225,0.000480,0.001537,0.001024,0.000416,1.315926
