Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.542211,0.112935,8.070571,0.080837,8.270872,0.001504,0.003265,0.012928,0.000672,8.838973
0.431068,0.114151,0.652490,0.078917,0.849623,0.001184,0.003136,0.001632,0.000384,1.293619
0.429788,0.110663,0.649066,0.106215,0.870072,0.000960,0.005760,0.001505,0.000384,1.315478
0.428572,0.106215,0.658219,0.117031,0.885593,0.000833,0.004896,0.001280,0.000416,1.327286
0.429244,0.111207,0.647178,0.084133,0.846455,0.000800,0.005825,0.001184,0.000384,1.290484
0.428924,0.103687,0.688492,0.079333,0.875256,0.000800,0.005728,0.001376,0.000416,1.317429
0.428956,0.105223,0.651114,0.097030,0.857464,0.000832,0.003168,0.001312,0.000384,1.298164
0.429052,0.109351,0.660811,0.088806,0.862552,0.000768,0.002368,0.001152,0.000352,1.301141
0.428603,0.143498,0.653386,0.107591,0.908603,0.000768,0.003009,0.001312,0.000384,1.347607
0.433276,0.105767,0.649194,0.085510,0.844791,0.001248,0.002304,0.000960,0.000448,1.288915
0.428380,0.106567,0.676876,0.086918,0.874393,0.000896,0.002976,0.001280,0.000480,1.314517
0.428763,0.103686,0.650154,0.078277,0.836055,0.000896,0.002624,0.001344,0.000480,1.275058
0.428508,0.148362,0.653386,0.084422,0.890682,0.000960,0.003104,0.001248,0.000512,1.332150
0.445053,0.108967,0.645514,0.083301,0.841175,0.000832,0.002944,0.001344,0.000448,1.297236
0.427996,0.109063,0.650218,0.083525,0.846551,0.000800,0.002304,0.001216,0.000448,1.284435
0.428252,0.137801,0.671948,0.084037,0.899226,0.000800,0.002497,0.001152,0.000448,1.336823
0.428827,0.097063,0.656938,0.081125,0.839063,0.000864,0.003104,0.001120,0.000448,1.278450
0.428444,0.102887,0.656746,0.079781,0.843703,0.000832,0.003072,0.001184,0.000384,1.283539
0.464958,0.107527,0.649003,0.120007,0.880793,0.000769,0.002240,0.001376,0.000480,1.356152
0.431644,0.132584,0.675179,0.085382,0.896890,0.000704,0.002752,0.001248,0.000448,1.338934
0.428796,0.106439,0.650282,0.105639,0.867192,0.000768,0.003040,0.001057,0.000416,1.307381
0.428252,0.107591,0.645290,0.119688,0.876665,0.000992,0.002880,0.001312,0.000416,1.316374
0.430268,0.110695,0.648426,0.094822,0.858231,0.000672,0.003104,0.001248,0.000448,1.300564
0.429244,0.107175,0.679756,0.092134,0.883929,0.000896,0.002848,0.001248,0.000544,1.323189
0.427836,0.133480,0.651595,0.091878,0.880793,0.000736,0.002464,0.001344,0.000352,1.318645
0.428284,0.141674,0.653578,0.082757,0.881657,0.000929,0.002464,0.001280,0.000544,1.320246
0.434236,0.123208,0.659402,0.113992,0.901595,0.000992,0.002656,0.001312,0.000416,1.348087
0.429211,0.110247,0.666411,0.089190,0.870841,0.001248,0.002464,0.001120,0.000416,1.312821
0.428508,0.136873,0.714030,0.083334,0.938781,0.000832,0.002496,0.001120,0.000416,1.378905
0.430396,0.113383,0.652427,0.086917,0.857783,0.000992,0.002336,0.001344,0.000384,1.300020
0.429083,0.144874,0.655434,0.117128,0.922108,0.000992,0.002624,0.001184,0.000416,1.363160
0.429340,0.109799,0.652394,0.089861,0.856855,0.000960,0.002624,0.001152,0.000416,1.298196
0.435228,0.126888,0.662123,0.097159,0.890746,0.000992,0.002464,0.001696,0.000544,1.337654
0.428860,0.112295,0.686477,0.087654,0.891834,0.000864,0.003008,0.001248,0.000416,1.332342
0.428827,0.109159,0.660810,0.081221,0.855384,0.000832,0.002912,0.001152,0.000416,1.294611
0.429436,0.110983,0.654187,0.088358,0.858264,0.000960,0.003168,0.001088,0.000352,1.300276
0.449213,0.107367,0.646666,0.084774,0.842583,0.000768,0.002880,0.001312,0.000480,1.302484
0.428924,0.108775,0.652234,0.081317,0.846679,0.000832,0.002784,0.001280,0.000448,1.287283
0.429724,0.113191,0.690061,0.093574,0.900794,0.000960,0.005601,0.001248,0.000384,1.343799
0.428091,0.109383,0.670187,0.077061,0.861751,0.000992,0.005473,0.001280,0.000384,1.305012
0.428476,0.109895,0.670603,0.095366,0.881273,0.001120,0.002688,0.001280,0.000448,1.322197
0.441756,0.142665,0.652682,0.084742,0.884569,0.000896,0.005664,0.001184,0.000448,1.340951
0.427932,0.110471,0.660395,0.083590,0.858552,0.000800,0.005600,0.001216,0.000416,1.300084
0.428667,0.109255,0.667051,0.077157,0.857399,0.000896,0.005665,0.001344,0.000416,1.300244
0.428348,0.108455,0.672268,0.125256,0.909563,0.000768,0.002688,0.001248,0.000449,1.347864
0.428827,0.110535,0.651658,0.090790,0.856919,0.000832,0.002208,0.001376,0.000416,1.295443
0.447933,0.109896,0.646121,0.132360,0.892602,0.000896,0.005985,0.001280,0.000448,1.354584
0.428283,0.106662,0.658347,0.094566,0.864440,0.000961,0.005920,0.001248,0.000544,1.307412
0.429020,0.106247,0.657323,0.117383,0.884825,0.000800,0.002721,0.001344,0.000512,1.324374
0.427964,0.139561,0.661035,0.108583,0.912891,0.000896,0.005569,0.001184,0.000416,1.354232
0.430812,0.107687,0.653163,0.075397,0.839831,0.000992,0.002944,0.001344,0.000416,1.281875
0.428764,0.125288,0.652682,0.084773,0.867320,0.000800,0.003137,0.001280,0.000416,1.307797
0.427611,0.106150,0.649963,0.113255,0.872792,0.000704,0.002496,0.001472,0.000416,1.310452
0.429180,0.107079,0.651530,0.076517,0.838902,0.000864,0.003040,0.001248,0.000448,1.279059
0.429244,0.107527,0.645482,0.092550,0.849367,0.000800,0.002944,0.001376,0.000416,1.289203
0.430460,0.108807,0.648042,0.080389,0.841239,0.000800,0.002912,0.001248,0.000448,1.282835
0.428476,0.106791,0.668331,0.083942,0.864696,0.000896,0.003488,0.001280,0.000448,1.306324
0.428316,0.105575,0.654347,0.080933,0.845879,0.000928,0.002400,0.001216,0.000416,1.284595
0.428220,0.135145,0.651242,0.079333,0.869240,0.000832,0.002976,0.001312,0.000320,1.308341
0.447165,0.107015,0.645418,0.089478,0.845591,0.000992,0.002912,0.001280,0.000416,1.303796
0.429020,0.107431,0.660811,0.086277,0.858071,0.000672,0.003009,0.001312,0.000416,1.297108
0.428955,0.113095,0.670988,0.076005,0.864216,0.000832,0.002944,0.001312,0.000384,1.305044
0.428411,0.111976,0.652810,0.115624,0.884410,0.000960,0.003168,0.001312,0.000384,1.323958
0.430300,0.101255,0.649706,0.076453,0.831798,0.000736,0.003200,0.001344,0.000352,1.273426
0.428603,0.120423,0.659786,0.076357,0.860311,0.000768,0.002625,0.001344,0.000416,1.298900
0.428699,0.109736,0.651114,0.090566,0.856280,0.000832,0.002560,0.001120,0.000416,1.294931
0.427963,0.106791,0.660395,0.091302,0.861688,0.000800,0.002816,0.001377,0.000384,1.300052
0.428956,0.108263,0.658763,0.086662,0.859224,0.001280,0.002912,0.001248,0.000384,1.301012
0.429148,0.108743,0.650058,0.098214,0.860440,0.000704,0.002816,0.001312,0.000384,1.299604
0.428284,0.106791,0.669548,0.090694,0.870521,0.001152,0.002880,0.001248,0.000416,1.310005
0.428156,0.107591,0.651978,0.080453,0.843830,0.000960,0.002881,0.001408,0.000384,1.282739
0.428251,0.112583,0.654954,0.084070,0.856152,0.000736,0.002912,0.001376,0.000416,1.295955
0.449053,0.111816,0.653578,0.090374,0.859576,0.000864,0.002848,0.001408,0.000384,1.319125
0.429147,0.107495,0.648394,0.095014,0.854871,0.000832,0.002912,0.001248,0.000448,1.295059
0.428571,0.108391,0.673068,0.076069,0.861688,0.001056,0.003040,0.001249,0.000352,1.301556
0.432796,0.109735,0.657515,0.131464,0.902906,0.000896,0.002497,0.001248,0.000448,1.346359
