Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.524834,0.113576,8.063625,0.084293,8.265878,0.002720,0.012448,0.000608,8.813593
0.433052,0.123112,0.655562,0.102503,0.885625,0.004064,0.001856,0.000576,1.330998
0.429500,0.107815,0.651274,0.079429,0.842070,0.002976,0.001217,0.000640,1.281587
0.430748,0.152746,0.655595,0.079045,0.891226,0.003232,0.001408,0.000576,1.333718
0.429596,0.148521,0.662698,0.083686,0.899194,0.003136,0.001600,0.000608,1.341750
0.428379,0.113864,0.653834,0.079813,0.851383,0.003137,0.001248,0.000672,1.290355
0.429148,0.117672,0.653482,0.084710,0.859960,0.002848,0.001632,0.000640,1.300052
0.429532,0.116648,0.652074,0.090246,0.862904,0.003168,0.001280,0.000416,1.303316
0.428603,0.115111,0.651850,0.078629,0.849622,0.002945,0.001312,0.000416,1.287955
0.429084,0.115527,0.667819,0.078853,0.866840,0.002720,0.001312,0.000384,1.306100
0.430140,0.112872,0.648234,0.074788,0.840087,0.002656,0.001184,0.000384,1.279859
0.428667,0.107975,0.650410,0.088069,0.850039,0.003872,0.001184,0.000480,1.290675
0.441885,0.109255,0.649258,0.076229,0.838422,0.003968,0.001249,0.000448,1.290612
0.428764,0.146250,0.653642,0.079205,0.883065,0.003072,0.001313,0.000416,1.323990
0.428764,0.103431,0.660683,0.081861,0.849879,0.003936,0.001696,0.000416,1.289748
0.429404,0.110119,0.660683,0.089158,0.863960,0.002560,0.001184,0.000416,1.302484
0.429020,0.117127,0.651306,0.110887,0.883577,0.002592,0.001184,0.000384,1.321557
0.446780,0.111847,0.649610,0.075045,0.841175,0.002368,0.001184,0.000416,1.296692
0.428091,0.145322,0.653162,0.077093,0.879321,0.002656,0.001312,0.000384,1.316533
0.428412,0.111495,0.693421,0.074789,0.883673,0.002656,0.001120,0.000385,1.320758
0.428635,0.111912,0.646697,0.076101,0.839094,0.002656,0.001248,0.000352,1.276530
0.434844,0.188460,0.669740,0.103814,0.968030,0.005537,0.003680,0.000640,1.424252
0.451998,0.112071,0.661771,0.076133,0.854199,0.003648,0.001888,0.000384,1.317557
0.430780,0.121223,0.656875,0.080869,0.863928,0.003104,0.001600,0.000608,1.306517
0.430236,0.107335,0.670923,0.087558,0.869880,0.003328,0.001408,0.000416,1.310741
0.430652,0.110215,0.652906,0.075013,0.841910,0.002561,0.001248,0.000384,1.281619
0.430524,0.141193,0.654506,0.073797,0.873177,0.003328,0.001312,0.000384,1.313781
0.431772,0.125449,0.645513,0.073925,0.849079,0.003488,0.001408,0.000416,1.291444
0.429244,0.098150,0.656235,0.075076,0.833270,0.002784,0.001184,0.000416,1.271666
0.430300,0.113063,0.653099,0.074788,0.844791,0.002720,0.001216,0.000352,1.284531
0.430524,0.111976,0.651882,0.078437,0.846039,0.003040,0.001408,0.000384,1.286771
0.429756,0.109095,0.652139,0.078661,0.843895,0.003424,0.001600,0.000416,1.284851
0.431132,0.107751,0.671756,0.074468,0.858327,0.002528,0.001216,0.000352,1.298036
0.430844,0.105063,0.660395,0.083045,0.853975,0.002657,0.001056,0.000384,1.294004
0.429563,0.136680,0.654219,0.075365,0.870744,0.002592,0.001152,0.000416,1.309044
0.445405,0.109991,0.649450,0.075461,0.838966,0.002433,0.001280,0.000608,1.293460
0.430556,0.130120,0.652810,0.075140,0.861912,0.002560,0.001376,0.000384,1.301524
0.429724,0.107303,0.681036,0.082917,0.875352,0.002528,0.001184,0.000448,1.314549
0.430332,0.156938,0.658187,0.083557,0.903002,0.002624,0.001184,0.000416,1.343959
0.429532,0.142409,0.655371,0.080933,0.882489,0.002496,0.001248,0.000352,1.320597
0.450621,0.106887,0.653002,0.077157,0.840854,0.002529,0.001216,0.000384,1.300564
0.429051,0.106247,0.651946,0.079718,0.841719,0.003168,0.001152,0.000416,1.279795
0.429244,0.105799,0.645962,0.075685,0.831190,0.002464,0.001184,0.000384,1.268594
0.429819,0.114023,0.653546,0.080197,0.852535,0.003296,0.001280,0.000416,1.292467
0.429116,0.132617,0.653802,0.075365,0.865400,0.002496,0.001280,0.000384,1.303476
0.429243,0.105414,0.668812,0.078725,0.857496,0.003072,0.001120,0.000384,1.296179
0.431292,0.132041,0.653450,0.085285,0.874488,0.002657,0.001056,0.000416,1.314005
0.429660,0.107239,0.659562,0.078245,0.849143,0.002496,0.001152,0.000384,1.286995
0.448348,0.110919,0.661419,0.076901,0.853719,0.002720,0.001088,0.000576,1.311156
0.429563,0.107430,0.644329,0.075589,0.831317,0.003136,0.001280,0.000449,1.270162
0.429148,0.139273,0.675115,0.077253,0.895450,0.002304,0.001184,0.000608,1.332918
0.430780,0.102919,0.644682,0.082821,0.834550,0.002592,0.001152,0.000641,1.274355
0.429980,0.113608,0.647338,0.081509,0.846167,0.002720,0.001312,0.000384,1.285075
0.449757,0.114535,0.654538,0.077509,0.850871,0.002528,0.001184,0.000384,1.310676
0.430844,0.112231,0.652458,0.077701,0.846455,0.002560,0.001088,0.000320,1.285683
0.429692,0.108551,0.650602,0.095206,0.858904,0.003200,0.001248,0.000384,1.297876
0.429692,0.128137,0.654954,0.076741,0.863832,0.002720,0.001184,0.000384,1.302420
0.429820,0.141481,0.658315,0.075141,0.878841,0.003168,0.001248,0.000416,1.318485
0.429788,0.131657,0.687148,0.078085,0.900922,0.002753,0.001216,0.000384,1.339863
0.431515,0.113991,0.651914,0.075525,0.845303,0.002752,0.001312,0.000384,1.285746
0.429884,0.116328,0.655754,0.085862,0.862552,0.003744,0.001216,0.000416,1.303252
0.428827,0.111079,0.651882,0.075813,0.842999,0.002848,0.001184,0.000416,1.281074
0.431196,0.112967,0.652874,0.082885,0.852951,0.003584,0.001153,0.000384,1.294068
0.430620,0.140329,0.677260,0.081669,0.903578,0.003329,0.001504,0.000416,1.344855
0.429596,0.110343,0.653642,0.075813,0.843894,0.003232,0.001120,0.000448,1.283123
0.429660,0.105159,0.650442,0.080869,0.840534,0.003969,0.001344,0.000384,1.280819
0.452733,0.113576,0.651562,0.077445,0.847063,0.002912,0.001216,0.000576,1.310132
0.429403,0.105639,0.645034,0.079973,0.834902,0.003713,0.001248,0.000672,1.275442
0.429787,0.115432,0.668619,0.076453,0.865528,0.002816,0.001408,0.000352,1.304948
0.430812,0.110855,0.652010,0.078725,0.845623,0.003392,0.001248,0.000384,1.286579
0.430268,0.117576,0.651530,0.080133,0.854039,0.003713,0.001600,0.000608,1.295604
0.449373,0.142729,0.663210,0.075717,0.886521,0.003393,0.001344,0.000640,1.346999
0.429787,0.109735,0.653418,0.077509,0.844823,0.002624,0.001312,0.000640,1.284114
0.432316,0.113351,0.655627,0.101222,0.875288,0.002945,0.001152,0.000352,1.317717
0.431484,0.110504,0.649417,0.076356,0.839927,0.002496,0.001280,0.000576,1.280851
0.430428,0.109671,0.645482,0.074501,0.832822,0.002720,0.001184,0.000608,1.272594
0.429212,0.108423,0.677100,0.083333,0.872888,0.002849,0.001216,0.000384,1.311861
0.429500,0.111015,0.647658,0.079397,0.842230,0.002881,0.001312,0.000416,1.281331
0.428860,0.115848,0.653162,0.079909,0.852983,0.002624,0.001249,0.000384,1.291476
0.430108,0.110567,0.653802,0.081861,0.850263,0.003424,0.001248,0.000384,1.290708
0.430300,0.109543,0.660075,0.079909,0.853591,0.003200,0.001408,0.000448,1.294355
0.429724,0.109095,0.666603,0.076901,0.856759,0.002945,0.001280,0.000416,1.295796
0.430908,0.108903,0.651082,0.075589,0.839446,0.002785,0.001248,0.000384,1.279571
0.429755,0.118599,0.655595,0.078853,0.857431,0.002944,0.001280,0.000384,1.296723
0.447100,0.108871,0.650986,0.074468,0.838550,0.002528,0.001216,0.000416,1.295284
0.429532,0.109863,0.650186,0.086469,0.850550,0.002945,0.001472,0.000416,1.289939
0.431004,0.111688,0.651530,0.141609,0.909083,0.003200,0.001216,0.000384,1.351127
0.429948,0.136713,0.666987,0.100262,0.908058,0.002944,0.001312,0.000608,1.347735
0.429820,0.110055,0.652138,0.077413,0.843414,0.003713,0.001280,0.000608,1.284915
0.429756,0.143657,0.654954,0.111463,0.914331,0.002720,0.001184,0.000384,1.353047
0.429916,0.134121,0.656074,0.075397,0.869560,0.002752,0.001152,0.000608,1.308949
0.428956,0.142825,0.657642,0.078405,0.882297,0.003040,0.001280,0.000384,1.320405
0.430300,0.107559,0.651306,0.078757,0.841782,0.002624,0.001248,0.000384,1.281682
0.429435,0.111591,0.655114,0.078821,0.849559,0.002880,0.001217,0.000384,1.288307
0.431036,0.133672,0.672556,0.082757,0.892921,0.003105,0.001280,0.000576,1.333878
0.429500,0.113383,0.653034,0.083814,0.854327,0.003584,0.001216,0.000352,1.294227
0.430524,0.104615,0.645706,0.078053,0.832150,0.002656,0.001216,0.000352,1.272082
0.447773,0.112071,0.650826,0.074533,0.841302,0.002880,0.001185,0.000384,1.298100
0.431196,0.117191,0.651370,0.080005,0.852855,0.003329,0.001504,0.000448,1.295412
0.429692,0.113511,0.672972,0.078629,0.869400,0.002848,0.001152,0.000352,1.308436
