Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.524449,0.089637,8.067656,0.075653,8.238226,0.014753,0.000672,8.785429
0.431996,0.123944,0.656138,0.084037,0.868952,0.002176,0.000672,1.311700
0.430140,0.105895,0.654346,0.080421,0.844918,0.001665,0.000704,1.282163
0.429372,0.107847,0.674379,0.092870,0.879800,0.001600,0.000480,1.315861
0.428988,0.147561,0.667306,0.093446,0.912571,0.001632,0.000480,1.348663
0.428412,0.126728,0.657514,0.082758,0.871352,0.001664,0.000512,1.306740
0.447389,0.092326,0.658442,0.080485,0.835093,0.001601,0.000928,1.289267
0.428411,0.105927,0.650346,0.078757,0.838902,0.001472,0.000480,1.273489
0.428380,0.137481,0.692813,0.083973,0.918075,0.001408,0.000480,1.352567
0.429532,0.138537,0.660459,0.117639,0.921051,0.001537,0.000704,1.358136
0.428796,0.139433,0.655306,0.081414,0.880153,0.001536,0.000704,1.315285
0.463933,0.101446,0.662091,0.090086,0.857303,0.001536,0.000736,1.329013
0.428603,0.110279,0.659402,0.084646,0.858487,0.001632,0.000704,1.293587
0.428411,0.132392,0.680396,0.089094,0.905978,0.001472,0.000448,1.340502
0.430235,0.108871,0.652394,0.082405,0.848022,0.001504,0.000896,1.284978
0.428539,0.113384,0.655658,0.080549,0.854455,0.001985,0.000480,1.290547
0.428540,0.121480,0.656522,0.080357,0.862935,0.001568,0.000704,1.298387
0.428795,0.096006,0.660106,0.081061,0.841558,0.001569,0.000448,1.277618
0.429340,0.107111,0.655274,0.083110,0.849687,0.001536,0.000704,1.285715
0.428764,0.106823,0.660459,0.086341,0.858359,0.001568,0.000480,1.294676
0.429243,0.108743,0.645929,0.077157,0.835605,0.001536,0.000416,1.271058
0.428251,0.099975,0.666475,0.081445,0.851831,0.001856,0.000640,1.287187
0.428444,0.106279,0.653770,0.080005,0.843670,0.001472,0.000480,1.278482
0.429724,0.105735,0.647369,0.083942,0.840470,0.001472,0.000448,1.276498
0.450109,0.099814,0.646154,0.088326,0.837846,0.001440,0.000640,1.294547
0.431164,0.109671,0.647850,0.084901,0.845974,0.001601,0.000448,1.284531
0.428540,0.099366,0.663178,0.075301,0.841718,0.001536,0.000416,1.276786
0.430044,0.106503,0.648265,0.080774,0.839190,0.001568,0.000448,1.276114
0.428636,0.135657,0.656362,0.081509,0.877016,0.001440,0.000416,1.311828
0.428796,0.132904,0.652906,0.079718,0.869528,0.001856,0.000384,1.306324
0.429148,0.137449,0.650122,0.084005,0.875512,0.001505,0.000448,1.311125
0.428187,0.105895,0.647562,0.076165,0.833558,0.001472,0.000448,1.268145
0.434236,0.225487,0.655050,0.086950,0.971903,0.003712,0.000928,1.420923
0.429851,0.104582,0.653322,0.078373,0.840214,0.001856,0.000416,1.277426
0.430108,0.106279,0.668811,0.114120,0.893402,0.001504,0.000512,1.330742
0.429052,0.101319,0.642793,0.078853,0.827413,0.001376,0.000448,1.262706
0.430012,0.104871,0.655210,0.080325,0.844502,0.001729,0.000416,1.281171
0.448413,0.134185,0.652330,0.073989,0.864824,0.001472,0.000480,1.319861
0.429147,0.110823,0.649642,0.080325,0.844758,0.001632,0.000416,1.281618
0.429724,0.106215,0.668747,0.080677,0.859895,0.001792,0.000448,1.296531
0.429915,0.105543,0.650570,0.075813,0.835670,0.001600,0.000480,1.272337
0.429884,0.106343,0.643881,0.085382,0.839382,0.001440,0.000448,1.275954
0.450621,0.109127,0.642762,0.088965,0.844823,0.001568,0.000448,1.301940
0.429692,0.137001,0.661706,0.086022,0.888601,0.001376,0.000448,1.324693
0.432571,0.138249,0.686572,0.091942,0.921403,0.002336,0.000704,1.366168
0.430332,0.111783,0.656106,0.076165,0.848022,0.001761,0.000480,1.285267
0.429564,0.111463,0.660747,0.082117,0.857879,0.001536,0.000480,1.294227
0.428956,0.131944,0.656170,0.083525,0.875736,0.001664,0.000448,1.311636
0.429595,0.100967,0.656522,0.076613,0.838390,0.001632,0.000416,1.274354
0.428156,0.110535,0.650698,0.080133,0.845110,0.001696,0.000448,1.279954
0.428636,0.103399,0.648073,0.119976,0.875384,0.001536,0.000352,1.309908
0.430715,0.149162,0.663307,0.081541,0.898490,0.001632,0.000480,1.336469
0.429724,0.093990,0.669003,0.078469,0.845942,0.001697,0.000384,1.282387
0.428796,0.110535,0.663819,0.079429,0.858679,0.001696,0.000704,1.295411
0.429563,0.105606,0.646122,0.076325,0.832117,0.001472,0.000416,1.268657
0.446301,0.113031,0.649034,0.079461,0.845142,0.001504,0.000640,1.298323
0.428860,0.106855,0.657962,0.092774,0.861495,0.001600,0.000640,1.297043
0.428251,0.113320,0.679627,0.080358,0.877369,0.001536,0.000448,1.312468
0.430172,0.096006,0.645129,0.074757,0.820405,0.001504,0.000704,1.257521
0.429852,0.110119,0.649290,0.081093,0.844182,0.001568,0.000416,1.280818
0.427931,0.156938,0.649769,0.077701,0.888794,0.001600,0.000512,1.323765
0.431036,0.111975,0.656458,0.089414,0.861783,0.001632,0.000480,1.299443
0.429115,0.133192,0.651114,0.077541,0.865623,0.001536,0.000384,1.300851
0.430428,0.141193,0.664331,0.088166,0.897626,0.001632,0.000448,1.335062
0.428123,0.106599,0.653226,0.084710,0.848823,0.001472,0.000416,1.283762
0.428059,0.111815,0.679243,0.080198,0.875321,0.001568,0.000448,1.310292
0.428443,0.108999,0.648841,0.080357,0.842487,0.001504,0.000416,1.277426
0.428700,0.116072,0.655050,0.084037,0.859127,0.001600,0.000448,1.294291
0.445085,0.148586,0.649322,0.085189,0.887001,0.001504,0.000384,1.339158
0.428764,0.110055,0.662219,0.118055,0.893881,0.001569,0.000640,1.329206
0.428507,0.114919,0.694157,0.082021,0.895226,0.001728,0.000640,1.331253
0.428891,0.138344,0.662410,0.087654,0.892313,0.001568,0.000512,1.327829
0.429691,0.112552,0.651754,0.084997,0.853655,0.001600,0.000448,1.290930
0.447133,0.111495,0.651114,0.088550,0.855063,0.001504,0.000448,1.308724
0.428188,0.110663,0.660587,0.086373,0.861399,0.001504,0.000480,1.296659
0.428251,0.114279,0.669035,0.076261,0.863703,0.001536,0.000416,1.298259
0.428796,0.107079,0.647849,0.087621,0.846518,0.001568,0.000480,1.282258
0.428700,0.113895,0.650122,0.094150,0.861783,0.001696,0.000416,1.297011
0.428668,0.130536,0.679084,0.078149,0.893145,0.001792,0.000544,1.329686
0.428827,0.111975,0.659210,0.118824,0.893849,0.001568,0.000480,1.329045
0.428828,0.111783,0.664235,0.088582,0.869016,0.001504,0.000416,1.304628
0.430331,0.113736,0.649802,0.076261,0.844151,0.001504,0.000672,1.281522
0.429339,0.107271,0.658570,0.082085,0.851895,0.001536,0.000480,1.287859
0.428252,0.110855,0.670891,0.081286,0.867320,0.001472,0.000704,1.302548
0.428252,0.108423,0.651274,0.090341,0.854071,0.001568,0.000448,1.288883
0.428828,0.113319,0.655882,0.098599,0.871704,0.001696,0.000480,1.307060
0.447293,0.132553,0.649033,0.086150,0.871608,0.001600,0.000640,1.325909
0.428188,0.110727,0.648490,0.078437,0.841526,0.001728,0.000512,1.276242
0.432444,0.163146,0.685004,0.098279,0.952861,0.003616,0.000512,1.401210
0.430492,0.117799,0.663371,0.089126,0.874520,0.002240,0.000672,1.312788
0.428700,0.106695,0.652490,0.092582,0.856023,0.001600,0.000448,1.291571
0.447037,0.114472,0.648553,0.081606,0.848503,0.001440,0.000480,1.302164
0.429500,0.091910,0.644809,0.081445,0.822133,0.001600,0.000544,1.257809
0.429979,0.108806,0.670187,0.078181,0.861080,0.001504,0.000640,1.298131
0.428411,0.121448,0.657322,0.076933,0.859512,0.001408,0.000640,1.294195
0.430331,0.106214,0.646218,0.080261,0.836565,0.001472,0.000640,1.273457
0.429244,0.107335,0.641929,0.076805,0.830293,0.001408,0.000480,1.265713
0.428220,0.112327,0.650986,0.092646,0.859703,0.001504,0.000512,1.294099
0.431419,0.116072,0.655722,0.091334,0.867288,0.001632,0.000480,1.306739
0.429564,0.116295,0.660331,0.085317,0.865943,0.001729,0.000512,1.303092
