Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.540931,0.091430,8.065029,0.071589,8.232432,0.001120,8.780691
0.432155,0.121383,0.659242,0.087717,0.872216,0.000960,1.310676
0.430684,0.099942,0.651722,0.087398,0.843446,0.000960,1.279218
0.430620,0.109447,0.652426,0.115976,0.882361,0.001056,1.318037
0.428668,0.109159,0.654922,0.089542,0.857463,0.001088,1.292243
0.430427,0.107878,0.674987,0.083621,0.870455,0.000864,1.306036
0.428379,0.104679,0.653642,0.118408,0.880345,0.000768,1.313748
0.429148,0.146153,0.655722,0.085094,0.890969,0.000800,1.324661
0.443516,0.106951,0.661226,0.084774,0.856663,0.000800,1.305908
0.428763,0.108103,0.661963,0.126952,0.900954,0.000928,1.334613
0.430716,0.111527,0.668267,0.083685,0.867415,0.000800,1.304884
0.428635,0.109031,0.652490,0.101895,0.867064,0.000800,1.300371
0.430331,0.108391,0.649450,0.115784,0.877625,0.000928,1.314324
0.444477,0.105639,0.661994,0.079557,0.850903,0.000864,1.300436
0.428699,0.109831,0.650985,0.116200,0.880920,0.000832,1.314900
0.428699,0.104679,0.650538,0.122984,0.881913,0.000896,1.315412
0.428604,0.105639,0.650858,0.098726,0.859063,0.000768,1.292819
0.428444,0.141769,0.654794,0.087750,0.888089,0.000768,1.321365
0.428187,0.122760,0.695981,0.076773,0.899482,0.001056,1.333205
0.429340,0.108679,0.648521,0.098375,0.859255,0.000832,1.293555
0.428508,0.110887,0.651370,0.079557,0.845718,0.000992,1.280626
0.430043,0.109223,0.651882,0.119207,0.883800,0.000832,1.319380
0.428796,0.134281,0.656650,0.092614,0.887385,0.000832,1.325717
0.428668,0.111047,0.670219,0.079077,0.864951,0.000896,1.299348
0.429180,0.111527,0.651466,0.082309,0.850454,0.000928,1.286098
0.429276,0.140873,0.663915,0.092838,0.901274,0.000768,1.335446
0.429019,0.119783,0.675308,0.080197,0.879352,0.000768,1.314516
0.428507,0.109191,0.651977,0.117415,0.882968,0.000864,1.317044
0.428892,0.112903,0.679436,0.088870,0.885113,0.000768,1.319317
0.428155,0.109319,0.647434,0.079077,0.839830,0.000800,1.273201
0.429084,0.111655,0.653866,0.086022,0.855255,0.000896,1.290291
0.443804,0.137641,0.666571,0.078597,0.886873,0.000864,1.336629
0.428571,0.107815,0.672075,0.082277,0.866199,0.000800,1.300211
0.429915,0.111432,0.680427,0.081574,0.878201,0.000960,1.314004
0.428316,0.109095,0.653386,0.084294,0.850871,0.000832,1.284787
0.429147,0.111975,0.653354,0.115687,0.884633,0.000800,1.318676
0.448317,0.109191,0.650058,0.090950,0.854167,0.000832,1.308116
0.429180,0.107879,0.655722,0.080933,0.848694,0.000768,1.283154
0.428315,0.107655,0.669962,0.116039,0.897433,0.000832,1.330421
0.428572,0.107271,0.654058,0.100902,0.866167,0.000865,1.299988
0.428860,0.111719,0.654282,0.089510,0.859319,0.000864,1.293043
0.428347,0.132265,0.652426,0.088709,0.878616,0.000897,1.313301
0.428635,0.107271,0.652554,0.103335,0.867256,0.000768,1.300691
0.428796,0.112519,0.652074,0.084134,0.852503,0.000896,1.286323
0.429724,0.108231,0.652714,0.108391,0.873272,0.000800,1.308148
0.428283,0.110567,0.652906,0.130408,0.897401,0.000832,1.330837
0.428827,0.111592,0.668906,0.079781,0.864664,0.000832,1.298739
0.429884,0.108103,0.651114,0.104166,0.867512,0.000768,1.302292
0.428635,0.110023,0.655338,0.090950,0.860119,0.000992,1.293651
0.428699,0.110919,0.651882,0.105318,0.872087,0.000768,1.305844
0.428187,0.111496,0.655082,0.117799,0.888153,0.000736,1.321460
0.429883,0.109672,0.670827,0.084453,0.869240,0.000768,1.304595
0.428763,0.109767,0.653802,0.112775,0.880217,0.000832,1.313812
0.428604,0.113287,0.653674,0.083590,0.854359,0.000800,1.288979
0.447997,0.110855,0.662635,0.081669,0.859031,0.000832,1.312532
0.429755,0.107463,0.654154,0.114055,0.879385,0.000960,1.314420
0.428860,0.108039,0.669419,0.075717,0.857111,0.000800,1.290643
0.428955,0.106470,0.648970,0.124584,0.884057,0.000832,1.317812
0.428764,0.108615,0.654538,0.080005,0.847798,0.000896,1.282034
0.448381,0.111752,0.653929,0.103942,0.873624,0.000768,1.327381
0.429691,0.111303,0.654570,0.089733,0.859479,0.000800,1.293971
0.430844,0.114567,0.695501,0.079781,0.893977,0.000960,1.330997
0.428699,0.109479,0.649194,0.131304,0.893850,0.000704,1.327029
0.428603,0.113992,0.652874,0.100198,0.871096,0.000832,1.305011
0.429948,0.136969,0.671051,0.083461,0.896953,0.000800,1.331702
0.429980,0.112743,0.656874,0.082086,0.855831,0.000800,1.291155
0.428796,0.110599,0.656618,0.115975,0.887353,0.000864,1.321045
0.431228,0.109799,0.652650,0.084486,0.851287,0.000832,1.287731
0.428379,0.102727,0.650122,0.121639,0.879192,0.001120,1.312628
0.429660,0.107175,0.674155,0.078405,0.864311,0.000960,1.299571
0.431900,0.114599,0.659882,0.088389,0.866551,0.000896,1.303347
0.428923,0.112808,0.660778,0.084549,0.862007,0.000864,1.295859
0.430267,0.109351,0.660618,0.081253,0.854998,0.000672,1.289970
0.432092,0.102023,0.649353,0.075333,0.831797,0.000832,1.268401
0.428859,0.114759,0.689132,0.074149,0.883929,0.000832,1.318004
0.429339,0.104935,0.642505,0.130153,0.881689,0.000768,1.315924
0.428539,0.096102,0.644074,0.074756,0.818964,0.000832,1.251472
0.445564,0.133384,0.659594,0.079814,0.877112,0.000800,1.327573
0.427547,0.115752,0.653194,0.081349,0.854679,0.000768,1.286194
0.428411,0.138345,0.658090,0.114119,0.915067,0.000832,1.348630
0.428571,0.092710,0.659787,0.076100,0.832534,0.000736,1.265201
0.428091,0.089414,0.660042,0.080421,0.833749,0.000800,1.266513
0.429051,0.104518,0.668619,0.109351,0.886840,0.000768,1.319924
0.428219,0.106663,0.653194,0.075429,0.840822,0.000768,1.274641
0.427675,0.109063,0.654666,0.084358,0.852247,0.000832,1.284082
0.448316,0.099623,0.643497,0.079717,0.826773,0.000768,1.280081
0.430299,0.111528,0.652681,0.081637,0.849559,0.000672,1.283826
0.427900,0.094662,0.665195,0.079141,0.843574,0.000800,1.276370
0.428540,0.112487,0.651978,0.076837,0.844982,0.000864,1.277394
0.427963,0.113351,0.658154,0.075845,0.851543,0.000960,1.285298
0.429308,0.094374,0.677963,0.079141,0.855414,0.000896,1.289203
0.427548,0.098246,0.660522,0.079877,0.842838,0.000992,1.274994
0.429436,0.099238,0.651946,0.080709,0.835829,0.000896,1.269489
0.445116,0.118056,0.652329,0.080805,0.855031,0.000768,1.304275
0.427963,0.101127,0.652393,0.081478,0.839350,0.001024,1.271601
0.428027,0.092454,0.659946,0.077573,0.834325,0.000640,1.266513
0.428635,0.096006,0.649034,0.080965,0.829909,0.000864,1.262768
0.428283,0.094630,0.646794,0.076741,0.821813,0.000768,1.254096
0.428955,0.089638,0.674955,0.075749,0.844630,0.000864,1.278162
0.428347,0.111527,0.652553,0.129705,0.898138,0.000896,1.331157
