Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.522204,0.018081,0.213547,0.004833,0.048226,0.000800,0.013633,0.000352,0.001504,0.002816,0.107110,0.245645,0.000064,0.356404,1.190944
0.431639,0.017857,0.212203,0.005441,0.048098,0.001024,0.013665,0.000416,0.001728,0.002144,0.124455,0.069956,0.000064,0.198059,0.939858
0.430455,0.017985,0.209867,0.005248,0.048195,0.000800,0.014177,0.000384,0.001472,0.000864,0.105189,0.065188,0.000064,0.173257,0.910481
0.430391,0.017952,0.209932,0.005152,0.048227,0.000800,0.014016,0.000353,0.001504,0.001184,0.114406,0.065539,0.000064,0.183242,0.919730
0.429239,0.017793,0.208651,0.005312,0.048611,0.000576,0.014369,0.000384,0.001472,0.001248,0.112998,0.065860,0.000064,0.182154,0.918161
0.429303,0.017889,0.210059,0.005280,0.048771,0.000800,0.014081,0.000384,0.001472,0.001056,0.109830,0.070660,0.000096,0.183754,0.920433
0.428695,0.017857,0.209451,0.005345,0.047938,0.000608,0.014721,0.000352,0.001696,0.001472,0.110886,0.093445,0.000064,0.207628,0.944211
0.446264,0.017985,0.209099,0.005312,0.048483,0.000768,0.013985,0.000352,0.001728,0.001088,0.109126,0.065444,0.000064,0.177578,0.930098
0.429047,0.017761,0.208715,0.005344,0.047587,0.000768,0.014017,0.000320,0.001696,0.001120,0.110502,0.064260,0.000064,0.177994,0.912593
0.428759,0.017633,0.208939,0.005408,0.047843,0.000800,0.014177,0.000352,0.001728,0.001472,0.112582,0.066532,0.000096,0.182218,0.917490
0.429015,0.017953,0.209259,0.004993,0.070211,0.000864,0.013697,0.000384,0.001504,0.001184,0.109222,0.061284,0.000064,0.173834,0.932850
0.428567,0.017633,0.209355,0.005024,0.048515,0.000800,0.013825,0.000384,0.001504,0.001120,0.108742,0.059939,0.000096,0.171817,0.906224
0.428663,0.017409,0.208843,0.005281,0.048066,0.000800,0.013697,0.000352,0.001600,0.001152,0.113671,0.073636,0.000096,0.191019,0.924754
0.427990,0.017857,0.208971,0.005440,0.047843,0.000800,0.013792,0.000384,0.001440,0.000992,0.106373,0.064579,0.000064,0.173961,0.906416
0.428375,0.017889,0.208332,0.005312,0.048418,0.000832,0.013920,0.000352,0.001472,0.001120,0.107109,0.065700,0.000096,0.176042,0.909809
0.428407,0.017601,0.208267,0.005472,0.047747,0.000832,0.013953,0.000384,0.001536,0.001344,0.105990,0.067459,0.000096,0.176425,0.909104
0.429015,0.017473,0.210411,0.005376,0.048547,0.000832,0.014017,0.000320,0.001440,0.001120,0.108262,0.067556,0.000032,0.179210,0.916305
0.428951,0.037186,0.210220,0.005760,0.048483,0.000608,0.013728,0.000416,0.001568,0.001088,0.104613,0.069060,0.000064,0.176777,0.932114
0.428151,0.017665,0.209195,0.005376,0.047971,0.000832,0.013665,0.000416,0.001504,0.001280,0.110406,0.066403,0.000064,0.180298,0.914065
0.428247,0.017760,0.209291,0.005248,0.048131,0.000832,0.013792,0.000353,0.001408,0.001248,0.100453,0.058851,0.000064,0.162824,0.896400
0.428407,0.017825,0.209036,0.005536,0.047778,0.000801,0.014080,0.000384,0.001600,0.001217,0.110053,0.071043,0.000096,0.184393,0.918833
0.429143,0.017537,0.209323,0.005024,0.047907,0.000800,0.013985,0.000352,0.001632,0.001216,0.102501,0.059747,0.000096,0.165577,0.899792
0.428599,0.017505,0.208907,0.005312,0.048323,0.000832,0.013665,0.000352,0.001536,0.001120,0.103078,0.063907,0.000064,0.170153,0.903728
0.428471,0.017697,0.209387,0.005056,0.048515,0.000800,0.014017,0.000352,0.001472,0.001184,0.102278,0.064067,0.000064,0.169769,0.903664
