Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.529313,0.018753,0.096902,8.043444,0.061732,8.206718,8.760672
0.430235,0.017793,0.107943,0.631303,0.062372,0.805586,1.258926
0.449020,0.017665,0.100422,0.630407,0.066884,0.801873,1.273839
0.429786,0.017473,0.106790,0.633863,0.062564,0.807154,1.259726
0.430010,0.017473,0.104486,0.655465,0.065732,0.831635,1.285263
0.429371,0.017697,0.098119,0.624838,0.060388,0.787281,1.238669
0.428347,0.017601,0.103783,0.632583,0.063780,0.803762,1.253998
0.428506,0.017601,0.120488,0.628423,0.066788,0.820659,1.270670
0.432667,0.017665,0.097671,0.628519,0.067300,0.797234,1.251406
0.428762,0.017793,0.105607,0.633319,0.063651,0.806579,1.257807
0.445019,0.017857,0.113863,0.630599,0.066020,0.814002,1.281039
0.428539,0.017313,0.101095,0.641575,0.061955,0.808466,1.258447
0.429850,0.017793,0.105318,0.666730,0.066628,0.843060,1.295888
0.430587,0.017633,0.097862,0.629447,0.067557,0.798610,1.250894
0.428187,0.017473,0.102854,0.630311,0.061220,0.798194,1.248238
0.445660,0.017505,0.106087,0.633607,0.065316,0.808434,1.275823
0.433019,0.017377,0.105127,0.631335,0.061188,0.801554,1.256622
0.432635,0.017601,0.102887,0.632871,0.062244,0.802194,1.256430
0.428187,0.017633,0.102887,0.630855,0.060836,0.798418,1.249038
0.428283,0.017633,0.100039,0.629767,0.061316,0.794930,1.245198
0.428602,0.017409,0.102118,0.646664,0.067076,0.819859,1.270671
0.428347,0.017281,0.102886,0.630183,0.062083,0.798417,1.248045
0.429626,0.017634,0.104486,0.634472,0.063396,0.806546,1.258958
0.446332,0.017377,0.104166,0.634183,0.062884,0.804498,1.272367
0.428315,0.017601,0.102438,0.629735,0.060612,0.796753,1.247021
0.428346,0.017345,0.102791,0.636647,0.067013,0.810163,1.259823
0.428443,0.017345,0.099590,0.655977,0.065796,0.824851,1.274703
0.428411,0.017409,0.100615,0.630503,0.061380,0.796274,1.246062
0.428314,0.017345,0.104358,0.656809,0.069988,0.835155,1.284560
0.428283,0.017569,0.106630,0.639687,0.066404,0.816467,1.266863
0.428058,0.017569,0.101639,0.630471,0.062180,0.797746,1.247149
0.445180,0.017409,0.103270,0.631624,0.061348,0.799634,1.266095
0.429083,0.017537,0.103239,0.641320,0.062436,0.810803,1.262479
0.428347,0.017537,0.102407,0.631143,0.060484,0.797906,1.247566
0.432795,0.017409,0.100774,0.654664,0.059460,0.818515,1.272719
0.429147,0.017761,0.099558,0.627559,0.074373,0.805266,1.256046
0.428506,0.017665,0.100006,0.645256,0.065252,0.814322,1.264462
0.428219,0.017569,0.100774,0.630119,0.063076,0.797873,1.247309
0.428315,0.017377,0.097126,0.628551,0.062148,0.791697,1.241581
0.446716,0.017697,0.102342,0.632584,0.061091,0.799793,1.268335
0.428251,0.017441,0.100679,0.629415,0.067492,0.801266,1.251022
