Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.521442,0.017921,0.107015,7.965435,0.085606,8.161992,0.005344,0.047427,0.000832,0.013377,0.000416,0.001504,0.002817,0.000576,8.781552
0.430971,0.017633,0.108359,0.598758,0.095878,0.806707,0.005633,0.048579,0.000800,0.013569,0.000416,0.001856,0.001856,0.000576,1.337109
0.430236,0.017889,0.109191,0.552675,0.082565,0.748272,0.005664,0.048547,0.000832,0.014241,0.000448,0.002016,0.001376,0.000673,1.278802
0.428411,0.017409,0.106534,0.552643,0.082917,0.745551,0.005569,0.049187,0.000608,0.014273,0.000448,0.001888,0.001152,0.000640,1.273233
0.447069,0.017761,0.104967,0.551363,0.077509,0.737199,0.005473,0.050211,0.000576,0.013889,0.000416,0.001536,0.001152,0.000576,1.283218
0.431131,0.017377,0.101639,0.544899,0.076389,0.726415,0.005376,0.049539,0.000608,0.013857,0.000416,0.001568,0.001120,0.000577,1.255888
0.429019,0.017377,0.105575,0.571749,0.096070,0.777138,0.005440,0.049507,0.000576,0.013856,0.000417,0.001536,0.001216,0.000576,1.303827
0.429372,0.018113,0.107559,0.551491,0.092870,0.755152,0.005537,0.048387,0.000608,0.013601,0.000416,0.001472,0.001120,0.000576,1.281938
0.429820,0.017761,0.106375,0.552227,0.086341,0.748368,0.005440,0.049635,0.000576,0.013601,0.000384,0.001472,0.001408,0.000576,1.276593
0.428827,0.017377,0.109383,0.572612,0.075077,0.760624,0.005345,0.047459,0.000800,0.013473,0.000416,0.001504,0.001184,0.000416,1.285074
0.429308,0.017665,0.107367,0.561252,0.093958,0.766449,0.005568,0.048803,0.000640,0.013473,0.000448,0.001536,0.001248,0.000384,1.293427
0.428347,0.017441,0.109863,0.553027,0.085093,0.751536,0.005600,0.049156,0.000576,0.013825,0.000448,0.001536,0.001120,0.000416,1.278866
0.429627,0.017729,0.104647,0.545859,0.080837,0.734927,0.008929,0.048931,0.000640,0.013665,0.000448,0.001600,0.001120,0.000416,1.265265
0.428763,0.017345,0.104679,0.552163,0.077829,0.738223,0.005377,0.049219,0.000768,0.013377,0.000448,0.001504,0.001088,0.000416,1.263792
0.429083,0.017409,0.107687,0.574500,0.092870,0.778801,0.005505,0.049059,0.000544,0.013441,0.000416,0.001440,0.001088,0.000416,1.304243
0.428604,0.017601,0.102119,0.546627,0.083013,0.735215,0.005408,0.048643,0.000833,0.013440,0.000416,0.001889,0.001248,0.000352,1.262129
0.429051,0.017633,0.105094,0.552291,0.086789,0.747503,0.005505,0.049763,0.000768,0.013793,0.000480,0.001504,0.000992,0.000352,1.274609
0.446364,0.017377,0.107111,0.552035,0.090598,0.753168,0.005472,0.048739,0.000576,0.013505,0.000416,0.001728,0.001249,0.000384,1.297299
0.429180,0.017505,0.100070,0.559428,0.083269,0.746319,0.005377,0.049155,0.000576,0.013473,0.000416,0.001504,0.001152,0.000384,1.272113
0.428540,0.018241,0.101894,0.546435,0.085638,0.737295,0.005472,0.048835,0.000832,0.036227,0.000512,0.001536,0.001216,0.000384,1.287378
0.428091,0.018081,0.105638,0.552675,0.085093,0.746863,0.008961,0.049603,0.000736,0.013569,0.000384,0.001472,0.001056,0.000416,1.276529
0.433051,0.017537,0.136232,0.577029,0.076261,0.792882,0.005441,0.049507,0.000544,0.013537,0.000416,0.001504,0.001184,0.000384,1.323028
0.428187,0.017313,0.105895,0.568356,0.078053,0.755696,0.006433,0.049059,0.000608,0.013569,0.000416,0.001536,0.001312,0.000384,1.282001
0.429820,0.018209,0.100007,0.552707,0.076741,0.732751,0.005504,0.048515,0.000544,0.013473,0.000448,0.001568,0.001249,0.000352,1.259505
0.431548,0.017473,0.106151,0.552771,0.078245,0.740495,0.005665,0.049187,0.000608,0.013505,0.000384,0.001568,0.001152,0.000384,1.269873
0.447356,0.017666,0.104934,0.547939,0.075461,0.731598,0.005505,0.048803,0.000800,0.013441,0.000416,0.001504,0.001152,0.000352,1.276273
0.429755,0.018146,0.104870,0.554436,0.082693,0.745295,0.005504,0.048675,0.000608,0.013472,0.000417,0.001536,0.001344,0.000320,1.272977
0.428475,0.017409,0.115527,0.571460,0.085701,0.776050,0.005536,0.048003,0.000576,0.013409,0.000416,0.001472,0.001472,0.000384,1.300946
0.428251,0.017345,0.104583,0.553283,0.092742,0.753872,0.010721,0.048067,0.000736,0.013441,0.000384,0.001472,0.001120,0.000384,1.283058
0.428187,0.017409,0.103847,0.553091,0.084390,0.745072,0.005536,0.048067,0.000640,0.013505,0.000448,0.001504,0.001185,0.000384,1.269361
0.463229,0.017570,0.104902,0.552419,0.105958,0.767248,0.005441,0.049091,0.000640,0.013505,0.000448,0.001504,0.001216,0.000352,1.327892
0.428636,0.017313,0.100806,0.549570,0.088869,0.742639,0.005537,0.049603,0.000608,0.013505,0.000416,0.001376,0.001248,0.000352,1.269105
0.428699,0.018177,0.104103,0.553795,0.083078,0.744656,0.022561,0.048739,0.000608,0.013409,0.000416,0.001472,0.001249,0.000352,1.288050
0.428379,0.017345,0.104103,0.554275,0.090374,0.752144,0.005600,0.049348,0.000608,0.013633,0.000480,0.001472,0.001184,0.000352,1.277873
0.428220,0.017729,0.099846,0.546499,0.083781,0.733519,0.005632,0.049251,0.000608,0.013441,0.000384,0.001536,0.001216,0.000352,1.259408
0.428315,0.017441,0.103398,0.568804,0.093126,0.768689,0.005537,0.049251,0.000832,0.013505,0.000416,0.001504,0.001184,0.000384,1.294770
0.428539,0.017633,0.100806,0.549027,0.080549,0.733806,0.006753,0.049187,0.000576,0.013377,0.000416,0.001440,0.001216,0.000416,1.261360
0.428892,0.017473,0.100166,0.548163,0.127337,0.778834,0.005568,0.048899,0.000640,0.013505,0.000448,0.001472,0.001184,0.000416,1.304403
0.429691,0.017345,0.102055,0.552547,0.077541,0.735599,0.005569,0.048771,0.000544,0.013409,0.000416,0.001472,0.001248,0.000352,1.262064
0.429115,0.017537,0.105222,0.549635,0.095686,0.753904,0.005441,0.048995,0.000640,0.013441,0.000416,0.001568,0.001216,0.000416,1.280209
0.428763,0.017570,0.102886,0.573157,0.095974,0.775953,0.005664,0.048836,0.000608,0.013440,0.000481,0.001472,0.001248,0.000352,1.302003
0.429020,0.017633,0.098470,0.551427,0.099911,0.753424,0.005472,0.049187,0.000769,0.013440,0.000416,0.001441,0.001248,0.000352,1.280082
0.429340,0.017505,0.106759,0.553507,0.086694,0.751152,0.005600,0.048835,0.000608,0.013665,0.000480,0.001664,0.001184,0.000480,1.278386
0.449180,0.017634,0.109927,0.549219,0.095558,0.758352,0.005760,0.049347,0.000801,0.013536,0.000448,0.001505,0.001248,0.000416,1.305939
0.429755,0.017538,0.101382,0.552675,0.098983,0.756752,0.005728,0.049571,0.000640,0.013825,0.000512,0.001536,0.001088,0.000352,1.284594
0.429051,0.018114,0.102950,0.553636,0.113031,0.773137,0.005696,0.049091,0.000832,0.013857,0.000448,0.001537,0.001312,0.000352,1.300595
0.429755,0.017473,0.102887,0.553859,0.092102,0.752144,0.005473,0.049667,0.000832,0.013825,0.000512,0.001536,0.001280,0.000352,1.280017
0.428283,0.017377,0.094790,0.544387,0.076869,0.719310,0.005440,0.049988,0.000576,0.013473,0.000448,0.001472,0.001120,0.000352,1.244911
0.430780,0.017537,0.102087,0.586181,0.089702,0.781234,0.005536,0.049411,0.000800,0.013601,0.000480,0.001473,0.001184,0.000352,1.309716
0.429211,0.017665,0.105607,0.554275,0.086598,0.749968,0.005632,0.049955,0.000800,0.013536,0.000417,0.001472,0.001248,0.000416,1.277905
0.429243,0.017377,0.105159,0.553635,0.112744,0.775442,0.005536,0.049219,0.000832,0.013633,0.000448,0.001792,0.001249,0.000352,1.302579
0.429052,0.017377,0.104358,0.546434,0.079685,0.734190,0.005664,0.048387,0.000800,0.013441,0.000416,0.001536,0.001184,0.000384,1.260112
0.428443,0.017537,0.091046,0.545282,0.084550,0.725102,0.005504,0.048931,0.000640,0.013569,0.000448,0.001537,0.001472,0.000352,1.251408
0.429531,0.017505,0.104743,0.574597,0.086981,0.769969,0.005505,0.049443,0.000672,0.013729,0.000480,0.001568,0.001344,0.000384,1.297202
0.430044,0.017633,0.106023,0.554339,0.080581,0.744271,0.005729,0.049667,0.000832,0.013793,0.000512,0.001504,0.001152,0.000416,1.273105
0.429979,0.017633,0.096903,0.552579,0.107591,0.761681,0.005760,0.049027,0.000608,0.013536,0.000417,0.001472,0.001248,0.000416,1.289586
0.449180,0.017441,0.098982,0.552899,0.144649,0.799634,0.005665,0.049699,0.000800,0.013697,0.000416,0.001536,0.001216,0.000416,1.346869
0.429147,0.017665,0.103910,0.546659,0.086470,0.740751,0.005856,0.049315,0.000608,0.013537,0.000448,0.001441,0.001312,0.000384,1.267761
0.429659,0.017729,0.111752,0.549411,0.119495,0.785234,0.008961,0.049827,0.000768,0.013825,0.000416,0.001760,0.001280,0.000385,1.317876
0.428859,0.017537,0.109287,0.554244,0.080901,0.748688,0.005408,0.049028,0.000800,0.013760,0.000448,0.001888,0.001632,0.000416,1.276305
0.429787,0.017441,0.109031,0.563396,0.094246,0.770129,0.005441,0.049155,0.000768,0.013665,0.000416,0.001792,0.001216,0.000384,1.297874
0.428604,0.017409,0.134953,0.554499,0.090982,0.784178,0.014977,0.050243,0.000800,0.013825,0.000448,0.001536,0.001088,0.000416,1.320916
0.429211,0.017377,0.105415,0.554243,0.102567,0.765681,0.005728,0.049475,0.000608,0.013857,0.000416,0.001568,0.001312,0.000352,1.292658
