Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.540354,0.017665,0.076101,7.960282,0.076292,8.116516,0.049251,0.000832,0.013377,0.000352,0.001472,0.003104,0.000544,8.751564
0.428955,0.017601,0.099719,0.553283,0.083333,0.740047,0.054116,0.000608,0.014241,0.000384,0.001632,0.000960,0.000576,1.265360
0.429403,0.017537,0.114567,0.582533,0.092038,0.792786,0.048483,0.000832,0.014337,0.000352,0.001632,0.000928,0.000608,1.314291
0.429947,0.017313,0.100038,0.552867,0.092742,0.749327,0.048995,0.000801,0.014304,0.000352,0.001536,0.001056,0.000576,1.270961
0.428699,0.017409,0.100103,0.557155,0.085894,0.746448,0.050147,0.000640,0.014465,0.000384,0.001632,0.001152,0.000576,1.268816
0.442108,0.017985,0.100518,0.551811,0.080645,0.736622,0.049347,0.000608,0.014144,0.000417,0.001504,0.001152,0.000384,1.270673
0.428827,0.017505,0.102822,0.551011,0.083494,0.741487,0.055107,0.000672,0.013921,0.000384,0.001537,0.001152,0.000576,1.268305
0.429723,0.017409,0.096262,0.554532,0.099910,0.754544,0.053667,0.000672,0.013696,0.000385,0.001440,0.001056,0.000576,1.279729
0.428475,0.017441,0.113031,0.559492,0.085061,0.761616,0.050883,0.000800,0.013793,0.000416,0.001408,0.001216,0.000384,1.285073
0.430396,0.017473,0.106823,0.557987,0.090053,0.759024,0.049251,0.000801,0.013888,0.000385,0.001504,0.001152,0.000768,1.281938
0.428891,0.017569,0.110087,0.580517,0.100134,0.795090,0.049187,0.000800,0.013536,0.000384,0.001792,0.001184,0.000896,1.318132
0.428379,0.017473,0.107367,0.567332,0.092934,0.771153,0.048996,0.000800,0.013729,0.000384,0.001568,0.001152,0.000832,1.291250
0.429595,0.017441,0.110087,0.559428,0.092646,0.766257,0.050307,0.000608,0.013761,0.000352,0.001536,0.001088,0.000544,1.289905
0.427995,0.017570,0.106854,0.573381,0.086949,0.770800,0.050243,0.000672,0.013505,0.000384,0.001568,0.001184,0.000416,1.291538
0.428123,0.017505,0.118632,0.558627,0.086662,0.767921,0.056356,0.000864,0.013569,0.000384,0.001504,0.001120,0.000832,1.295762
0.428251,0.017409,0.103718,0.579429,0.088902,0.776689,0.049699,0.000672,0.013537,0.000448,0.001536,0.001120,0.000800,1.296339
0.429532,0.017377,0.106567,0.557507,0.102887,0.770641,0.049987,0.000640,0.013569,0.000416,0.001504,0.001056,0.000384,1.292786
0.428668,0.017377,0.108967,0.559299,0.091174,0.763952,0.049635,0.000640,0.013568,0.000384,0.001504,0.001216,0.000416,1.284754
0.467966,0.017473,0.109703,0.557347,0.123591,0.794450,0.050692,0.000832,0.013569,0.000384,0.001504,0.001056,0.000416,1.356182
0.428091,0.017346,0.107526,0.559140,0.089478,0.759408,0.049155,0.000672,0.013473,0.000352,0.001568,0.001152,0.000768,1.279313
0.428572,0.017345,0.110055,0.579365,0.093926,0.787218,0.050339,0.000704,0.013537,0.000352,0.001568,0.001120,0.000416,1.308787
0.428220,0.017409,0.106087,0.559843,0.110183,0.779889,0.057156,0.000640,0.013601,0.000384,0.001504,0.001216,0.000416,1.306835
0.428795,0.017345,0.109159,0.560612,0.098150,0.771569,0.054532,0.000608,0.013537,0.000384,0.001568,0.001152,0.000544,1.297010
0.428475,0.017377,0.133385,0.575396,0.086822,0.799155,0.050851,0.000768,0.013729,0.000384,0.001600,0.001088,0.000384,1.320180
0.427963,0.017569,0.142825,0.569733,0.093990,0.811252,0.051619,0.000864,0.013537,0.000416,0.001536,0.000960,0.000352,1.333556
0.427675,0.017345,0.106183,0.560132,0.095654,0.765713,0.048995,0.000832,0.013505,0.000352,0.001504,0.001056,0.000352,1.284049
0.428988,0.018369,0.107687,0.560195,0.088710,0.761168,0.050467,0.000800,0.013984,0.000384,0.001568,0.000960,0.000608,1.285490
0.428027,0.017921,0.107623,0.569316,0.094054,0.774833,0.050660,0.000800,0.014241,0.000384,0.001536,0.000992,0.000384,1.296818
0.428155,0.017601,0.111367,0.604070,0.084837,0.804275,0.051683,0.000800,0.014273,0.000352,0.001633,0.001088,0.000384,1.327732
0.428795,0.017313,0.108839,0.559428,0.088837,0.761233,0.050179,0.000864,0.013857,0.000384,0.001536,0.001024,0.000384,1.283121
0.428123,0.017537,0.103943,0.556515,0.088870,0.753584,0.053092,0.000864,0.014049,0.000384,0.001760,0.001088,0.000416,1.278289
0.445948,0.017569,0.105831,0.557603,0.078661,0.745647,0.050404,0.000800,0.013665,0.000352,0.001632,0.001152,0.000672,1.284689
0.429339,0.017377,0.109159,0.559907,0.086246,0.759632,0.057091,0.000640,0.013504,0.000384,0.001536,0.001088,0.000800,1.288242
0.429339,0.017313,0.107303,0.580581,0.083333,0.774993,0.051652,0.000704,0.013537,0.000416,0.001440,0.001088,0.000384,1.296978
0.428059,0.017377,0.106663,0.558179,0.097382,0.766064,0.050468,0.000672,0.013505,0.000416,0.001440,0.001056,0.000384,1.286578
0.428475,0.017345,0.104454,0.568164,0.115655,0.792018,0.051971,0.000800,0.013601,0.000352,0.001472,0.001088,0.000385,1.314196
0.448829,0.017505,0.108039,0.558019,0.096679,0.766705,0.052483,0.000704,0.013665,0.000352,0.001440,0.001216,0.000416,1.310675
0.428603,0.017601,0.109063,0.561316,0.101319,0.775410,0.049507,0.000800,0.013569,0.000384,0.001504,0.001152,0.000832,1.296498
0.428859,0.017697,0.108071,0.559588,0.155914,0.827925,0.050147,0.000672,0.013601,0.000352,0.001504,0.001056,0.000416,1.348981
0.428475,0.017569,0.108903,0.565604,0.091685,0.769777,0.049827,0.000640,0.014113,0.000480,0.001536,0.001120,0.000352,1.290514
0.428603,0.017345,0.111144,0.559811,0.086598,0.761937,0.053027,0.000672,0.013569,0.000352,0.001504,0.001216,0.000416,1.286578
0.428092,0.017345,0.132904,0.572517,0.083109,0.792594,0.056164,0.000672,0.013505,0.000384,0.001408,0.001120,0.000416,1.319060
0.427995,0.017537,0.106439,0.559203,0.135049,0.804563,0.056291,0.000641,0.013472,0.000352,0.001473,0.001120,0.000384,1.331893
0.428283,0.017313,0.108615,0.559939,0.084390,0.757072,0.056419,0.000736,0.014049,0.000352,0.001440,0.001121,0.000576,1.284818
0.428731,0.017505,0.109255,0.560580,0.095206,0.768913,0.049347,0.000832,0.013985,0.000352,0.001472,0.001152,0.000416,1.290417
0.428059,0.018049,0.108391,0.560675,0.087174,0.759920,0.050723,0.000800,0.013729,0.000416,0.001504,0.001089,0.000384,1.282290
0.428603,0.017633,0.108903,0.585029,0.089766,0.788018,0.049987,0.000864,0.013665,0.000320,0.001408,0.001088,0.000416,1.309971
0.428795,0.018146,0.116455,0.559940,0.086821,0.767504,0.052964,0.000672,0.013729,0.000352,0.001440,0.001056,0.000512,1.292690
0.429371,0.017569,0.100390,0.556963,0.120648,0.781650,0.050275,0.000608,0.013601,0.000416,0.001504,0.001120,0.000416,1.303667
0.450236,0.018561,0.111591,0.554819,0.085829,0.756048,0.050884,0.000640,0.013633,0.000384,0.001504,0.001184,0.000608,1.301618
0.428539,0.017506,0.107558,0.561252,0.114311,0.787378,0.048803,0.000832,0.013537,0.000384,0.001376,0.000992,0.000352,1.306739
0.429563,0.017378,0.102150,0.574981,0.083621,0.765040,0.051587,0.000768,0.013569,0.000352,0.001472,0.001024,0.000416,1.288626
0.429403,0.018113,0.108807,0.564292,0.084710,0.761553,0.050435,0.000608,0.013601,0.000416,0.001536,0.001248,0.000832,1.284913
0.428315,0.017409,0.110215,0.560484,0.090086,0.764145,0.051779,0.000800,0.013761,0.000352,0.001408,0.001152,0.000320,1.286993
0.447293,0.017569,0.101510,0.550562,0.091781,0.747535,0.050468,0.000672,0.013793,0.000384,0.001472,0.001152,0.000384,1.288402
0.429116,0.017569,0.109895,0.560291,0.106311,0.779985,0.049155,0.000800,0.013793,0.000352,0.001633,0.001184,0.000544,1.300179
0.428540,0.017473,0.103814,0.555971,0.077605,0.741391,0.067908,0.000704,0.013889,0.000352,0.001536,0.001152,0.000416,1.281330
0.428315,0.017313,0.108295,0.560547,0.093542,0.766096,0.051204,0.000800,0.013632,0.000384,0.001472,0.001280,0.000512,1.288402
0.428956,0.017601,0.108679,0.559747,0.085382,0.757552,0.050467,0.000864,0.013569,0.000384,0.001472,0.001152,0.000384,1.278898
0.427900,0.017441,0.106407,0.585221,0.098598,0.794194,0.051844,0.000608,0.013568,0.000384,0.001408,0.001024,0.000384,1.317044
0.428635,0.017569,0.102886,0.559683,0.099718,0.765584,0.053732,0.000832,0.013505,0.000384,0.001408,0.001120,0.000384,1.289361
0.428347,0.017474,0.107686,0.566660,0.101415,0.779089,0.049027,0.000832,0.013761,0.000384,0.001440,0.001088,0.000800,1.299698
0.428827,0.017377,0.104519,0.557923,0.095591,0.761169,0.048867,0.000672,0.013537,0.000352,0.001472,0.001120,0.000576,1.280337
0.427675,0.017537,0.105255,0.558980,0.093510,0.761457,0.048707,0.000800,0.013473,0.000416,0.001504,0.001088,0.000352,1.280273
0.427963,0.017249,0.102887,0.575748,0.091462,0.773649,0.048771,0.000801,0.013472,0.000480,0.001473,0.001120,0.000384,1.292178
0.428731,0.017473,0.104422,0.559172,0.096550,0.763664,0.052420,0.000736,0.013472,0.000384,0.001536,0.001280,0.000576,1.287186
0.427867,0.017857,0.105254,0.559396,0.121896,0.790098,0.056675,0.000800,0.013505,0.000384,0.001473,0.001088,0.000384,1.317108
0.465597,0.017505,0.107974,0.568516,0.094726,0.775218,0.049987,0.000672,0.013473,0.000416,0.001504,0.001184,0.000832,1.334484
