Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.544706,0.018018,0.100806,8.030300,0.081926,8.217224,0.000832,0.015937,0.000448,0.001472,0.002656,0.000640,8.809741
0.468446,0.018145,0.118792,0.606406,0.107558,0.837621,0.000801,0.020737,0.000672,0.001888,0.001472,0.000640,1.360758
0.428828,0.017857,0.091142,0.619047,0.129544,0.845077,0.000736,0.020225,0.000416,0.001728,0.001280,0.000576,1.323476
0.429340,0.017889,0.103943,0.602118,0.116743,0.826772,0.001024,0.016033,0.000417,0.001792,0.001280,0.000416,1.302675
0.430107,0.017666,0.105126,0.609351,0.090534,0.808467,0.000992,0.014945,0.000384,0.001824,0.001504,0.000352,1.282865
0.428700,0.017729,0.105799,0.610118,0.118696,0.838709,0.000736,0.015553,0.000416,0.001568,0.001184,0.000384,1.311667
0.428347,0.017857,0.126408,0.605735,0.082661,0.819060,0.001056,0.015681,0.000416,0.001440,0.000992,0.000384,1.291602
0.428347,0.017633,0.105863,0.609958,0.078469,0.798067,0.000704,0.015841,0.000416,0.001536,0.001344,0.000416,1.271088
0.429371,0.017858,0.106214,0.609831,0.086822,0.806483,0.001056,0.015233,0.000416,0.001728,0.001088,0.000384,1.280177
0.429307,0.017665,0.112679,0.614151,0.081989,0.814644,0.000992,0.016001,0.000448,0.001728,0.001024,0.000384,1.289009
0.430715,0.017921,0.126696,0.627880,0.085990,0.846550,0.001024,0.016737,0.000576,0.001536,0.001888,0.000544,1.326324
0.429755,0.018017,0.113159,0.643081,0.087622,0.848278,0.001344,0.019009,0.000608,0.001728,0.002016,0.000352,1.328596
0.429851,0.017921,0.111239,0.617607,0.084709,0.817588,0.000864,0.015969,0.000640,0.001856,0.001408,0.000384,1.293618
0.431451,0.017761,0.111079,0.613575,0.105510,0.834613,0.000864,0.016321,0.000608,0.001632,0.001216,0.000608,1.312691
0.446876,0.017793,0.110759,0.613831,0.083526,0.812084,0.001056,0.015297,0.000640,0.001760,0.001184,0.000800,1.304050
0.428571,0.017633,0.112103,0.614823,0.091494,0.822580,0.000768,0.015041,0.000448,0.001568,0.001120,0.000608,1.295634
0.430716,0.017697,0.111719,0.633608,0.077477,0.827476,0.000896,0.015617,0.000608,0.001728,0.001217,0.000608,1.302931
0.430683,0.017634,0.109959,0.613094,0.084069,0.811379,0.001024,0.019073,0.000576,0.001696,0.001216,0.000416,1.290418
0.430843,0.017697,0.109223,0.614087,0.091398,0.819124,0.001248,0.017153,0.000704,0.001472,0.001152,0.000384,1.296594
0.452957,0.018849,0.131881,0.629384,0.093190,0.859191,0.001248,0.015521,0.000608,0.002016,0.002400,0.000544,1.364470
0.430364,0.017633,0.107783,0.617959,0.087846,0.819316,0.001568,0.016161,0.000416,0.001568,0.001184,0.000544,1.295474
0.431803,0.017633,0.106951,0.634024,0.084774,0.830645,0.001120,0.022369,0.000384,0.001568,0.000992,0.000608,1.313908
0.428827,0.017666,0.108198,0.610246,0.083269,0.805875,0.000832,0.015681,0.000416,0.001568,0.001024,0.000608,1.279121
0.429243,0.017921,0.108551,0.616135,0.122600,0.851734,0.000864,0.015649,0.000416,0.001536,0.001184,0.000416,1.326292
0.449340,0.017633,0.109478,0.615078,0.080325,0.809876,0.000864,0.015841,0.000416,0.001504,0.001024,0.000544,1.303250
0.431739,0.017953,0.105830,0.613415,0.083814,0.808723,0.000800,0.015009,0.000896,0.001504,0.000896,0.000448,1.283921
0.427515,0.017953,0.106119,0.614727,0.080069,0.805267,0.016289,0.015969,0.000416,0.001472,0.000864,0.000320,1.292306
0.427995,0.017793,0.104839,0.613031,0.088389,0.811635,0.001217,0.016289,0.000416,0.001504,0.000960,0.000384,1.284209
0.430459,0.017505,0.098759,0.607782,0.083494,0.794163,0.001216,0.016321,0.000416,0.001472,0.000992,0.000416,1.268592
0.428507,0.017761,0.123016,0.642313,0.085797,0.855862,0.001248,0.016161,0.000416,0.001409,0.001120,0.000384,1.329844
0.428219,0.017697,0.098470,0.608006,0.086214,0.797139,0.001216,0.015073,0.000416,0.001504,0.000992,0.000384,1.268944
0.428251,0.017570,0.096102,0.623879,0.086950,0.811155,0.001184,0.016097,0.000416,0.001536,0.000960,0.000416,1.283889
0.448316,0.017633,0.106951,0.621800,0.085989,0.818708,0.000672,0.014593,0.000640,0.001536,0.001120,0.000608,1.310291
0.428572,0.017601,0.113095,0.614471,0.077893,0.811379,0.001152,0.016193,0.000576,0.001504,0.000961,0.000416,1.284786
0.432923,0.017730,0.104806,0.633544,0.086661,0.829972,0.001216,0.015073,0.000416,0.001568,0.000929,0.000384,1.307955
0.431771,0.017569,0.105543,0.610951,0.085253,0.806579,0.001248,0.016066,0.000416,0.001504,0.001024,0.000384,1.283377
0.430331,0.017570,0.100102,0.611655,0.095494,0.811571,0.001152,0.014817,0.000832,0.001376,0.001024,0.000384,1.285105
0.444700,0.018401,0.109895,0.610887,0.108935,0.833653,0.000992,0.015713,0.000416,0.001472,0.001088,0.000352,1.322963
0.433147,0.017602,0.097382,0.605126,0.087398,0.794098,0.001248,0.015265,0.000448,0.001472,0.000992,0.000288,1.270416
