Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.523841,0.017761,0.101574,8.026555,0.075397,8.207046,0.015265,0.000672,0.001472,0.010241,0.000640,8.784042
0.433532,0.017697,0.118056,0.623271,0.100614,0.845974,0.015425,0.000768,0.001568,0.001760,0.000800,1.324948
0.447484,0.017569,0.103783,0.607334,0.084517,0.798738,0.016065,0.000512,0.001504,0.001216,0.000608,1.289681
0.430459,0.017601,0.111271,0.622599,0.087558,0.825364,0.015489,0.000480,0.001472,0.001248,0.000640,1.299858
0.431356,0.017569,0.109319,0.649833,0.079013,0.842453,0.015073,0.000448,0.001472,0.001120,0.000576,1.316851
0.431131,0.017602,0.105126,0.612583,0.093734,0.814963,0.016001,0.000512,0.001408,0.001312,0.000576,1.289457
0.429755,0.017762,0.108166,0.611623,0.088454,0.811603,0.014977,0.000480,0.001408,0.001312,0.000608,1.284657
0.447965,0.017473,0.107367,0.613415,0.092069,0.816595,0.014528,0.000480,0.001504,0.001216,0.000608,1.306515
0.429179,0.017761,0.109927,0.620647,0.084165,0.817972,0.015361,0.000512,0.001408,0.001184,0.000608,1.290417
0.430395,0.017665,0.108391,0.612135,0.117415,0.841749,0.014464,0.000512,0.001472,0.001248,0.000608,1.314611
0.429787,0.017473,0.104455,0.612486,0.086438,0.806835,0.015393,0.000480,0.001536,0.001216,0.000576,1.279408
0.429915,0.017569,0.108327,0.611431,0.083365,0.807123,0.014721,0.000512,0.001505,0.001216,0.000384,1.279057
0.430139,0.017441,0.126376,0.613895,0.090917,0.834900,0.016065,0.000448,0.001472,0.001184,0.000640,1.308851
0.428987,0.017409,0.109351,0.622887,0.083878,0.819892,0.015329,0.000512,0.001472,0.001216,0.000416,1.292465
0.431355,0.017601,0.108743,0.620199,0.083046,0.815828,0.015361,0.000480,0.001472,0.001280,0.000416,1.291441
0.430107,0.017505,0.107366,0.613383,0.086406,0.811092,0.014785,0.000512,0.001472,0.001216,0.000416,1.283249
0.431004,0.017601,0.106887,0.610758,0.084966,0.806643,0.015841,0.000448,0.001472,0.001216,0.000640,1.281457
0.430043,0.017569,0.100070,0.631880,0.085253,0.822036,0.014721,0.000480,0.001504,0.001184,0.000576,1.294866
0.430876,0.017473,0.105223,0.608486,0.120008,0.838293,0.014465,0.000512,0.001472,0.001248,0.000608,1.311827
0.429563,0.017569,0.109383,0.613639,0.081189,0.807635,0.014785,0.000448,0.001408,0.001184,0.000416,1.279216
