Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.527265,0.017793,0.119816,8.041146,0.077317,8.242663,0.000864,0.003008,0.002880,0.000672,8.802121
0.432540,0.017889,0.114439,0.630344,0.107687,0.857014,0.001024,0.003712,0.002112,0.000577,1.321716
0.431771,0.017793,0.083142,0.617127,0.071524,0.775857,0.000864,0.002849,0.001056,0.000384,1.236014
0.430075,0.017857,0.091814,0.621927,0.074373,0.792370,0.000960,0.003168,0.000992,0.000416,1.251375
0.429659,0.017633,0.116391,0.641961,0.080005,0.842613,0.000864,0.003072,0.001312,0.000448,1.301682
0.430715,0.017921,0.095782,0.631400,0.075460,0.806898,0.000833,0.003008,0.001024,0.000416,1.266032
0.429051,0.017665,0.111911,0.627976,0.072357,0.816276,0.000672,0.002176,0.001184,0.000384,1.272752
0.452893,0.017633,0.104807,0.623847,0.081029,0.813619,0.000801,0.002176,0.001088,0.000544,1.295442
0.430683,0.017377,0.123272,0.624103,0.073541,0.824852,0.000832,0.002272,0.001024,0.000416,1.282800
0.433979,0.017345,0.092710,0.642664,0.088741,0.827988,0.001056,0.003040,0.001120,0.000448,1.290097
0.434267,0.017761,0.104199,0.625383,0.076965,0.810451,0.000896,0.002048,0.001120,0.000384,1.273200
0.431195,0.017409,0.127784,0.627080,0.078309,0.836725,0.000704,0.001984,0.001472,0.000416,1.295345
0.430107,0.017697,0.132201,0.622727,0.074117,0.832501,0.000992,0.003104,0.001216,0.000448,1.290897
0.431963,0.017761,0.088806,0.626888,0.084037,0.803347,0.000800,0.001984,0.001120,0.000384,1.262543
0.430267,0.017313,0.088902,0.622855,0.082982,0.798675,0.000832,0.003040,0.001056,0.000352,1.256431
0.458877,0.017409,0.115591,0.633767,0.082630,0.836149,0.001024,0.003040,0.001024,0.000416,1.323763
0.429755,0.017986,0.094950,0.624295,0.090694,0.814035,0.001088,0.002336,0.001120,0.000384,1.272240
0.431195,0.017537,0.090694,0.638600,0.071173,0.804563,0.000672,0.002368,0.001152,0.000384,1.262799
0.430715,0.017441,0.104519,0.624775,0.076773,0.810035,0.000864,0.002433,0.001184,0.000384,1.268496
0.429659,0.017377,0.091269,0.636328,0.085093,0.816243,0.001056,0.003520,0.001056,0.000448,1.274256
0.431100,0.017633,0.118695,0.629992,0.093958,0.846581,0.000768,0.003040,0.001472,0.000417,1.307155
0.431003,0.017697,0.098982,0.618471,0.077349,0.798514,0.000960,0.002528,0.001120,0.000384,1.257263
0.429051,0.017281,0.091014,0.636264,0.077893,0.809459,0.000832,0.003233,0.001152,0.000448,1.267472
0.442428,0.017793,0.096390,0.623784,0.078757,0.802995,0.000768,0.003264,0.001216,0.000416,1.274704
0.429243,0.017473,0.098790,0.626407,0.075013,0.804467,0.000800,0.002400,0.001024,0.000384,1.261711
0.429659,0.017537,0.105991,0.646985,0.094502,0.851286,0.000672,0.003168,0.001248,0.000448,1.309874
0.428986,0.017569,0.100582,0.625927,0.075172,0.805458,0.000704,0.003361,0.001184,0.000320,1.263215
0.433147,0.017409,0.099590,0.625895,0.101606,0.830804,0.000768,0.002304,0.001152,0.000416,1.291057
0.428827,0.017665,0.119048,0.619911,0.077445,0.820756,0.000768,0.003072,0.001216,0.000416,1.279248
0.428891,0.017505,0.109287,0.635592,0.078245,0.826932,0.000768,0.003136,0.001184,0.000416,1.285104
0.429051,0.017601,0.107527,0.629608,0.077829,0.819156,0.000800,0.003168,0.001248,0.000416,1.277968
0.433915,0.017793,0.105991,0.624519,0.081093,0.815444,0.000736,0.002400,0.001504,0.000384,1.278160
0.428923,0.017633,0.105671,0.626727,0.090086,0.826292,0.000800,0.002400,0.001408,0.000448,1.283985
0.429755,0.017729,0.106535,0.646664,0.078053,0.835412,0.000800,0.002945,0.001248,0.000448,1.295378
0.429179,0.017729,0.110631,0.627879,0.086662,0.829428,0.000864,0.002912,0.001344,0.000385,1.289553
0.429691,0.017665,0.108583,0.623975,0.080965,0.817780,0.000800,0.002752,0.001248,0.000512,1.276496
0.444380,0.017601,0.109959,0.624743,0.086790,0.825684,0.000800,0.002336,0.001184,0.000384,1.298417
0.429339,0.017665,0.110151,0.627368,0.080101,0.821524,0.001024,0.002912,0.001376,0.000352,1.279984
0.429755,0.017569,0.105063,0.644264,0.076293,0.829716,0.000832,0.002881,0.001408,0.000448,1.289329
0.429179,0.017730,0.104582,0.634568,0.079813,0.822611,0.000896,0.002305,0.001248,0.000448,1.280113
0.429563,0.017538,0.108358,0.644745,0.107623,0.865078,0.000768,0.002624,0.001280,0.000384,1.323923
0.429979,0.017793,0.131880,0.628168,0.079877,0.843925,0.000736,0.002848,0.001248,0.000480,1.302770
0.429083,0.017569,0.105062,0.633031,0.085414,0.827444,0.000832,0.002272,0.001216,0.000448,1.284944
0.429595,0.017473,0.106759,0.627143,0.082118,0.819668,0.000896,0.002368,0.001184,0.000512,1.277648
0.429531,0.017537,0.109415,0.623527,0.079493,0.816916,0.000992,0.002528,0.001312,0.000448,1.275568
0.429115,0.017569,0.105799,0.627431,0.082373,0.819636,0.000768,0.002112,0.001344,0.000512,1.277040
0.429434,0.017537,0.101862,0.641833,0.077509,0.825044,0.000928,0.002336,0.001216,0.000480,1.282769
0.429019,0.017537,0.103046,0.625960,0.081957,0.815027,0.000896,0.002784,0.001056,0.000480,1.273552
0.429435,0.017633,0.107847,0.631432,0.081989,0.824692,0.000832,0.002977,0.001344,0.000416,1.283281
0.446620,0.017569,0.103846,0.627368,0.082949,0.818003,0.000736,0.002208,0.001152,0.000480,1.293490
