Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.538081,0.017985,0.103878,8.043705,0.094054,8.245829,0.002784,0.015553,0.000992,8.829417
0.430299,0.018081,0.120904,0.630536,0.079781,0.834965,0.003200,0.002848,0.000576,1.296721
0.431227,0.017953,0.099623,0.619687,0.077412,0.800595,0.003680,0.001216,0.000448,1.260111
0.429754,0.019329,0.108039,0.621991,0.080773,0.815475,0.003040,0.001536,0.000416,1.276785
0.430235,0.017665,0.090502,0.615847,0.078149,0.789266,0.003072,0.001056,0.000384,1.248462
0.430331,0.017793,0.118823,0.648681,0.077285,0.849397,0.003200,0.001697,0.000480,1.310322
0.429594,0.017793,0.111335,0.631240,0.087045,0.833652,0.005857,0.001120,0.000480,1.295921
0.428635,0.017889,0.110631,0.629032,0.081541,0.825076,0.002816,0.001664,0.000480,1.282832
0.443772,0.017825,0.106791,0.620519,0.084357,0.815635,0.002945,0.001248,0.000384,1.288785
0.428603,0.017729,0.105447,0.636008,0.093862,0.838837,0.002784,0.001184,0.000384,1.295537
0.429499,0.017793,0.105703,0.645480,0.083302,0.838869,0.002912,0.001152,0.000416,1.296529
0.427867,0.017825,0.110151,0.624455,0.080037,0.817780,0.003392,0.001248,0.000384,1.274640
0.429275,0.017793,0.093862,0.616839,0.072421,0.787186,0.003328,0.001568,0.000448,1.244686
0.428763,0.034594,0.108103,0.622471,0.075813,0.810515,0.003136,0.001152,0.000352,1.284624
0.428218,0.017537,0.094022,0.617254,0.073797,0.789681,0.003360,0.000992,0.000480,1.245390
0.428987,0.017601,0.105607,0.620871,0.083333,0.813171,0.002624,0.001184,0.000416,1.269679
0.429019,0.017665,0.109159,0.631304,0.082149,0.826356,0.002720,0.001152,0.000352,1.284304
0.429435,0.018177,0.108263,0.622887,0.096422,0.831252,0.003584,0.001152,0.000384,1.290801
0.430075,0.017633,0.106503,0.663753,0.083078,0.857302,0.003232,0.001152,0.000416,1.315762
0.429882,0.017633,0.102790,0.631240,0.076997,0.814387,0.002432,0.001184,0.000384,1.272399
0.428315,0.017633,0.098822,0.624007,0.079813,0.806066,0.002400,0.001056,0.000480,1.261039
0.447804,0.017953,0.136233,0.626407,0.078661,0.845013,0.003040,0.001504,0.000416,1.321458
0.428283,0.017345,0.117543,0.621479,0.079461,0.822227,0.002273,0.001088,0.000384,1.277808
0.429179,0.017602,0.122503,0.640104,0.076420,0.843316,0.003489,0.001024,0.000416,1.299922
0.428251,0.017537,0.092102,0.617671,0.080517,0.793554,0.002848,0.001056,0.000384,1.248366
0.428699,0.017537,0.107783,0.622887,0.088326,0.822804,0.002592,0.001792,0.000896,1.279472
0.428763,0.017793,0.101094,0.634760,0.076133,0.815571,0.003072,0.001184,0.000608,1.271695
0.428283,0.017729,0.104679,0.616326,0.082533,0.807411,0.003232,0.001440,0.000480,1.264399
0.429403,0.017890,0.095206,0.618950,0.078404,0.796113,0.002880,0.001120,0.000608,1.252783
0.443548,0.017345,0.095782,0.614855,0.072868,0.787218,0.003136,0.001056,0.000640,1.258607
0.428027,0.017505,0.099942,0.621863,0.076261,0.801970,0.003136,0.001248,0.000448,1.257039
0.428571,0.017473,0.090278,0.633064,0.080005,0.807155,0.002784,0.001024,0.000448,1.262479
0.429531,0.017601,0.101703,0.621287,0.085925,0.812947,0.002688,0.001152,0.000416,1.269680
0.428635,0.017537,0.090406,0.617447,0.072612,0.783953,0.002305,0.001088,0.000416,1.239150
0.430235,0.017505,0.098854,0.634152,0.076005,0.812883,0.002656,0.001248,0.000480,1.269935
0.429403,0.017505,0.096102,0.620455,0.083781,0.803922,0.002305,0.001216,0.000416,1.260015
0.427866,0.017665,0.109927,0.623911,0.082981,0.820563,0.003072,0.001312,0.000512,1.276688
0.445276,0.017538,0.099654,0.616647,0.075844,0.796209,0.003200,0.001280,0.000352,1.269744
0.428890,0.017538,0.091685,0.615015,0.076485,0.787345,0.003168,0.001152,0.000512,1.243534
0.428187,0.018081,0.102535,0.620903,0.100230,0.828148,0.005697,0.001120,0.000416,1.287505
0.430331,0.017473,0.090470,0.614726,0.071524,0.780657,0.005056,0.000897,0.000480,1.239406
0.428955,0.017569,0.095878,0.630280,0.070404,0.800338,0.002240,0.001185,0.000320,1.255119
0.429755,0.017505,0.101574,0.635816,0.079109,0.820531,0.002913,0.001216,0.000416,1.277776
0.428699,0.017665,0.090630,0.615367,0.072420,0.782257,0.002689,0.001056,0.000416,1.237966
0.428507,0.017505,0.099111,0.621319,0.073636,0.797682,0.002721,0.001056,0.000384,1.253231
0.442524,0.017825,0.097254,0.618791,0.073797,0.793554,0.002400,0.001120,0.000384,1.263215
0.427579,0.017761,0.096870,0.615975,0.114407,0.830804,0.005920,0.001152,0.000480,1.288112
0.428315,0.017538,0.111111,0.620486,0.101542,0.837332,0.006112,0.001184,0.000416,1.296370
0.427931,0.017569,0.094694,0.618343,0.081861,0.798450,0.006048,0.001056,0.000416,1.255854
0.428090,0.017665,0.105574,0.629448,0.079941,0.818387,0.005600,0.001152,0.000384,1.276528
0.428731,0.017665,0.121704,0.645704,0.086790,0.858198,0.002560,0.000928,0.000384,1.313010
0.428155,0.017537,0.107399,0.632648,0.081957,0.825492,0.002720,0.001280,0.000384,1.282417
0.429947,0.017537,0.088549,0.617415,0.076389,0.785937,0.002272,0.001184,0.000384,1.242445
0.442811,0.017538,0.101574,0.621223,0.078533,0.804818,0.002784,0.001440,0.000416,1.275567
0.428059,0.017633,0.101863,0.620710,0.079012,0.805011,0.002592,0.001088,0.000640,1.260015
0.427738,0.017697,0.102662,0.638728,0.076933,0.822483,0.002368,0.000929,0.000352,1.276944
0.428283,0.017441,0.106726,0.623399,0.077925,0.811699,0.005633,0.001120,0.000416,1.270320
0.428187,0.017601,0.109927,0.619783,0.073380,0.807026,0.003169,0.001120,0.000448,1.263119
0.428378,0.017634,0.100518,0.640456,0.080837,0.825683,0.003265,0.001312,0.000448,1.282256
0.429179,0.017569,0.100966,0.618375,0.072229,0.795410,0.002784,0.001216,0.000512,1.252206
0.429499,0.017697,0.121191,0.621382,0.078052,0.824307,0.006016,0.000960,0.000480,1.283728
0.442651,0.017761,0.103494,0.621383,0.073189,0.801810,0.005824,0.001152,0.000384,1.275536
0.429979,0.017633,0.088806,0.614982,0.073892,0.781105,0.002880,0.001057,0.000416,1.237486
0.430939,0.017761,0.117128,0.645512,0.082373,0.849269,0.003200,0.001536,0.000416,1.312050
0.430011,0.017601,0.101030,0.617287,0.078117,0.800434,0.005440,0.001313,0.000480,1.261199
0.430555,0.017985,0.102663,0.624839,0.076389,0.807603,0.005792,0.001184,0.000416,1.268655
0.428666,0.017889,0.107110,0.644456,0.075941,0.830996,0.002432,0.001280,0.000512,1.287536
0.428218,0.017601,0.097382,0.615366,0.072260,0.789585,0.002304,0.001056,0.000384,1.244366
0.429754,0.017473,0.099430,0.618919,0.071748,0.793425,0.002272,0.001536,0.000416,1.249486
0.446716,0.017825,0.090597,0.615911,0.068612,0.778896,0.005313,0.000832,0.000352,1.254543
0.429787,0.017569,0.088326,0.614950,0.069733,0.776657,0.002112,0.000992,0.000416,1.231757
0.429210,0.017601,0.101958,0.639208,0.076805,0.821747,0.002752,0.001313,0.000416,1.278576
0.430075,0.017505,0.088934,0.623015,0.071428,0.787281,0.002881,0.001216,0.000480,1.244046
0.429499,0.017697,0.098662,0.620327,0.072197,0.794834,0.002240,0.001120,0.000416,1.250926
0.429019,0.017825,0.096774,0.643880,0.082886,0.827956,0.002208,0.000960,0.000384,1.283280
0.429275,0.017505,0.116168,0.621479,0.072740,0.814355,0.002305,0.001024,0.000416,1.270608
0.428379,0.017601,0.103654,0.628840,0.085029,0.821139,0.003392,0.001185,0.000384,1.277392
0.447388,0.017409,0.102375,0.621191,0.072548,0.799314,0.002561,0.001248,0.000384,1.274704
0.428347,0.017729,0.102855,0.619878,0.077157,0.803250,0.003169,0.001152,0.000384,1.259919
0.429371,0.017633,0.095398,0.648649,0.076900,0.825108,0.003040,0.001184,0.000416,1.282000
0.428219,0.017473,0.094470,0.621671,0.078245,0.798194,0.002944,0.001088,0.000448,1.253071
0.431227,0.017633,0.099942,0.619206,0.076869,0.800146,0.002400,0.000896,0.000385,1.257807
0.430362,0.017825,0.125000,0.657801,0.087238,0.873911,0.003456,0.001312,0.000448,1.335443
0.429659,0.017505,0.100391,0.622727,0.071524,0.798034,0.002912,0.001184,0.000384,1.255119
0.427994,0.017538,0.096998,0.622663,0.072132,0.795377,0.002369,0.001088,0.000480,1.249774
0.444539,0.017729,0.102982,0.624231,0.078245,0.808946,0.002304,0.001249,0.000640,1.281360
0.429467,0.017537,0.102918,0.622247,0.071877,0.800882,0.002400,0.001056,0.000416,1.256366
0.429499,0.017761,0.089446,0.637960,0.079045,0.810163,0.003232,0.001056,0.000449,1.266832
0.428123,0.017569,0.099526,0.621126,0.072293,0.796850,0.003008,0.001216,0.000416,1.253167
0.429467,0.017570,0.085765,0.625831,0.071621,0.786929,0.003072,0.001056,0.000448,1.243470
0.429275,0.017601,0.122536,0.641384,0.076933,0.844853,0.003072,0.001216,0.000384,1.301489
0.428058,0.018273,0.089829,0.613831,0.070148,0.777872,0.003041,0.001056,0.000416,1.233613
0.427675,0.017505,0.095910,0.619143,0.070820,0.789329,0.002400,0.000864,0.000385,1.242574
0.444507,0.018049,0.109575,0.628007,0.084581,0.825779,0.002913,0.001120,0.000416,1.298033
0.429435,0.017953,0.089349,0.616870,0.077765,0.787377,0.003200,0.000992,0.000448,1.243822
0.429275,0.017601,0.105863,0.622855,0.092742,0.825396,0.003104,0.001152,0.000416,1.282512
0.428475,0.017601,0.081093,0.615302,0.069476,0.769712,0.003072,0.001088,0.000512,1.225421
0.430075,0.017569,0.100550,0.620519,0.082502,0.806995,0.002304,0.001088,0.000416,1.263247
0.430171,0.017633,0.100294,0.656105,0.084357,0.844725,0.002208,0.000960,0.000384,1.300369
0.429723,0.017473,0.120583,0.622087,0.069733,0.815923,0.002400,0.000992,0.000384,1.271279
