Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.540514,0.018561,0.106503,8.046583,0.083749,8.241155,0.003393,0.000608,8.811143
0.431387,0.017985,0.107527,0.628135,0.072676,0.811731,0.002048,0.000608,1.269455
0.428410,0.017473,0.076676,0.646729,0.070852,0.797969,0.001472,0.000384,1.250062
0.433403,0.017633,0.099462,0.618599,0.078789,0.799922,0.001376,0.000352,1.257262
0.428187,0.017665,0.095814,0.622183,0.075557,0.796722,0.001536,0.000384,1.248558
0.427802,0.033187,0.085509,0.622471,0.069476,0.781328,0.001473,0.000448,1.249006
0.427995,0.017601,0.102950,0.617575,0.083301,0.807442,0.001249,0.000320,1.258671
0.432315,0.017826,0.107590,0.620615,0.075653,0.807154,0.001568,0.000384,1.264847
0.434267,0.017601,0.100774,0.623719,0.077189,0.805522,0.001536,0.000448,1.264271
0.432155,0.017634,0.105478,0.625959,0.078053,0.813074,0.001505,0.000384,1.271728
0.428986,0.018017,0.099974,0.643208,0.080933,0.827859,0.001569,0.000416,1.282192
0.428826,0.017794,0.103942,0.623495,0.073669,0.804466,0.001440,0.000416,1.257679
0.428218,0.017825,0.103526,0.625319,0.073221,0.805266,0.001376,0.000384,1.257678
0.444412,0.017665,0.100775,0.624903,0.076517,0.805075,0.001472,0.000448,1.274384
0.429019,0.017569,0.096198,0.618183,0.079205,0.796914,0.001536,0.000416,1.250030
0.428506,0.017665,0.104230,0.626472,0.086085,0.819955,0.001504,0.000448,1.273519
0.428315,0.017601,0.104135,0.625511,0.076389,0.809203,0.001376,0.000384,1.261615
0.428442,0.017537,0.101894,0.625063,0.072677,0.802930,0.001536,0.000416,1.256014
0.429051,0.017441,0.101735,0.645448,0.078021,0.828116,0.001504,0.000384,1.282064
0.428955,0.017569,0.107879,0.627079,0.088326,0.826900,0.001504,0.000480,1.282224
0.429563,0.017761,0.101190,0.618567,0.070404,0.794482,0.001536,0.000416,1.248366
0.451580,0.017505,0.121832,0.625383,0.079269,0.829428,0.001472,0.000416,1.305201
0.428890,0.017665,0.130888,0.630183,0.084838,0.848949,0.001600,0.000512,1.302097
0.428891,0.017633,0.099526,0.641128,0.086214,0.830260,0.001568,0.000736,1.283760
0.434843,0.017601,0.097350,0.621095,0.082629,0.804242,0.001536,0.000448,1.263118
0.433083,0.018049,0.125288,0.628776,0.081765,0.840245,0.002272,0.000448,1.301393
0.435356,0.018401,0.156938,0.638760,0.082597,0.882359,0.002496,0.000640,1.346932
0.430939,0.019842,0.119527,0.624647,0.081189,0.829043,0.002113,0.000864,1.289969
0.429915,0.018209,0.107015,0.627527,0.076325,0.814739,0.019778,0.000704,1.288913
0.431355,0.017633,0.109575,0.628199,0.077125,0.818707,0.001536,0.000481,1.275952
0.429211,0.017665,0.108551,0.627303,0.079845,0.819475,0.001632,0.000672,1.273903
0.429403,0.017601,0.104647,0.646504,0.079205,0.834004,0.001665,0.000480,1.288209
0.428411,0.018369,0.104071,0.626503,0.078821,0.812627,0.001472,0.000448,1.266703
0.429115,0.017857,0.103111,0.623847,0.123912,0.854774,0.001536,0.000448,1.309778
0.449628,0.017729,0.104486,0.622790,0.074852,0.805618,0.001376,0.000448,1.279823
0.429851,0.017665,0.102535,0.627399,0.074885,0.808115,0.001440,0.000448,1.262671
0.436059,0.018433,0.158122,0.676267,0.125032,0.964541,0.003680,0.000896,1.432185
0.430714,0.018113,0.111207,0.631079,0.080741,0.827635,0.002465,0.000416,1.284913
0.429851,0.017889,0.105799,0.631591,0.083205,0.823987,0.001729,0.000512,1.278800
0.450141,0.018273,0.155274,0.634344,0.086373,0.881175,0.003360,0.000576,1.363062
0.430203,0.017985,0.108807,0.631399,0.078852,0.822708,0.002048,0.000448,1.278224
0.429499,0.017921,0.110534,0.652169,0.081893,0.848340,0.001728,0.000448,1.302994
0.429947,0.017634,0.103910,0.626919,0.076389,0.810194,0.001536,0.000512,1.264495
0.430011,0.017922,0.131848,0.636552,0.086437,0.858677,0.002048,0.000480,1.317107
0.449276,0.017601,0.106855,0.629607,0.075332,0.815827,0.001824,0.000641,1.290865
0.435419,0.018145,0.188139,0.646057,0.090629,0.929914,0.004256,0.000960,1.400471
0.434235,0.018305,0.125800,0.660777,0.088070,0.879223,0.003776,0.000768,1.344403
0.430267,0.017889,0.110215,0.627367,0.076965,0.818259,0.001824,0.000704,1.273775
0.431387,0.017601,0.113095,0.630631,0.079781,0.827284,0.001632,0.000480,1.284720
0.451356,0.017729,0.101671,0.625639,0.080357,0.811091,0.001600,0.000448,1.288208
0.429947,0.017633,0.102534,0.623783,0.079333,0.808978,0.001632,0.000416,1.263279
0.428859,0.017665,0.106599,0.644584,0.075429,0.830452,0.001696,0.000480,1.284432
0.430331,0.017633,0.100806,0.628072,0.076804,0.808882,0.001601,0.000416,1.264111
0.429051,0.017697,0.106279,0.628263,0.078821,0.816819,0.001696,0.000448,1.271535
0.431035,0.017793,0.132681,0.633415,0.078437,0.847829,0.001824,0.000448,1.303954
0.428379,0.017665,0.098374,0.620295,0.074149,0.796370,0.001696,0.000384,1.249454
0.428475,0.017633,0.104615,0.627399,0.081509,0.816723,0.001600,0.000448,1.270255
0.428827,0.017537,0.108327,0.623399,0.073316,0.808467,0.001504,0.000416,1.262287
0.430203,0.017601,0.111591,0.630568,0.081861,0.827764,0.001952,0.000672,1.284208
0.429563,0.017697,0.105703,0.650696,0.080869,0.841365,0.001568,0.000640,1.297329
0.429243,0.017569,0.100263,0.628071,0.076645,0.808339,0.001632,0.000448,1.261871
0.428411,0.017633,0.101478,0.627592,0.076932,0.809202,0.001569,0.000480,1.262287
0.448476,0.017953,0.108615,0.636711,0.081413,0.830036,0.001568,0.000704,1.303698
0.428218,0.017985,0.107719,0.627367,0.077861,0.816691,0.001536,0.000672,1.270575
0.428955,0.017825,0.107271,0.638696,0.105574,0.855030,0.001600,0.000704,1.309586
0.429051,0.017825,0.105159,0.629031,0.077861,0.816243,0.001664,0.000512,1.270127
0.429339,0.018145,0.101990,0.623431,0.077669,0.806930,0.001729,0.000480,1.262031
0.428155,0.017537,0.106407,0.670314,0.087525,0.868342,0.001760,0.000480,1.321267
0.428443,0.017729,0.106759,0.631080,0.081317,0.823156,0.001664,0.000512,1.278000
0.432571,0.017921,0.113351,0.641640,0.081445,0.840308,0.001664,0.000576,1.298353
0.429147,0.018593,0.103783,0.646344,0.080741,0.834740,0.001760,0.000480,1.290321
0.429531,0.017793,0.103366,0.628647,0.086469,0.821683,0.001664,0.000480,1.276079
0.429435,0.017857,0.106759,0.650952,0.081926,0.843637,0.001728,0.000448,1.298001
0.429787,0.017633,0.107751,0.630792,0.084389,0.826644,0.001600,0.000448,1.281328
0.429243,0.017665,0.104679,0.623143,0.074693,0.806419,0.001600,0.000672,1.260879
0.448124,0.017665,0.104231,0.628327,0.076517,0.812403,0.001600,0.000512,1.285520
0.430011,0.017537,0.100999,0.625447,0.078405,0.808243,0.001632,0.000448,1.262735
0.429210,0.017825,0.109799,0.630887,0.101478,0.846101,0.001824,0.000448,1.300625
0.431227,0.017953,0.110055,0.632936,0.084741,0.831540,0.001696,0.000416,1.289137
0.430811,0.017953,0.107047,0.639784,0.079301,0.829844,0.001888,0.000416,1.286096
0.429818,0.018050,0.105318,0.648489,0.078725,0.836276,0.001568,0.000448,1.290864
0.429466,0.017474,0.102886,0.621991,0.080389,0.808946,0.001760,0.000864,1.263566
0.429595,0.017761,0.104326,0.626055,0.079173,0.813138,0.001696,0.000480,1.267951
0.449372,0.017729,0.103686,0.624167,0.078181,0.809938,0.001472,0.000416,1.284081
