Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.525793,0.017793,0.091206,8.044310,0.084101,8.223329,0.000896,8.773795
0.431611,0.017569,0.113159,0.636424,0.080901,0.834708,0.000704,1.293553
0.429594,0.017858,0.097254,0.630503,0.074021,0.805266,0.000768,1.257839
0.427995,0.017825,0.094214,0.623911,0.075845,0.797266,0.000672,1.249486
0.428891,0.017825,0.104615,0.651369,0.078789,0.838261,0.000736,1.290065
0.429082,0.017633,0.106470,0.623879,0.074533,0.808498,0.000736,1.261198
0.428283,0.017889,0.105383,0.624871,0.073220,0.807122,0.000800,1.258446
0.449308,0.017858,0.107462,0.637384,0.079557,0.828051,0.000928,1.301489
0.428219,0.017601,0.103591,0.629063,0.074308,0.810835,0.001184,1.262575
0.428507,0.018049,0.100326,0.637640,0.112647,0.854421,0.000736,1.306801
0.428571,0.017793,0.105991,0.632999,0.075621,0.818835,0.000864,1.271695
0.428603,0.017633,0.105607,0.631463,0.080549,0.821043,0.000736,1.274255
0.428475,0.017857,0.106407,0.658825,0.087014,0.855926,0.000960,1.307890
0.429434,0.017633,0.101126,0.624327,0.077925,0.807442,0.000832,1.260494
0.429114,0.017857,0.099334,0.630087,0.077573,0.810290,0.000672,1.262702
0.449020,0.017953,0.108391,0.629607,0.076549,0.818451,0.000704,1.291024
0.428475,0.017825,0.103367,0.631015,0.083813,0.821747,0.000672,1.273231
0.428091,0.017601,0.117959,0.655689,0.078917,0.856501,0.000832,1.307506
0.428027,0.017473,0.102534,0.636648,0.084709,0.827123,0.000736,1.277424
0.428315,0.017889,0.102086,0.631048,0.080613,0.817171,0.000928,1.268591
0.428315,0.036387,0.105254,0.630888,0.076900,0.816626,0.000673,1.289105
0.429211,0.017601,0.103974,0.630024,0.078789,0.816115,0.000672,1.267919
0.428283,0.017761,0.101735,0.630439,0.077637,0.813459,0.000832,1.264623
0.428730,0.017890,0.094022,0.621702,0.075013,0.794001,0.000736,1.245293
0.429467,0.017633,0.102438,0.639016,0.084998,0.829556,0.000928,1.282000
0.427451,0.017697,0.094790,0.641640,0.074821,0.814835,0.000672,1.265423
0.427643,0.017825,0.096582,0.626055,0.076261,0.802354,0.000672,1.252910
0.428731,0.017761,0.122375,0.624423,0.075461,0.825779,0.000640,1.277039
0.451164,0.017825,0.099590,0.627815,0.073701,0.804786,0.000608,1.278671
0.427899,0.017985,0.099174,0.628007,0.076196,0.806706,0.000928,1.258447
0.429114,0.017601,0.102118,0.626791,0.087046,0.819283,0.000640,1.273615
0.428091,0.017569,0.104647,0.629767,0.081957,0.819667,0.000672,1.270255
0.428123,0.017953,0.102822,0.629256,0.075524,0.810802,0.000736,1.261742
0.427642,0.017761,0.095494,0.650376,0.080261,0.830099,0.000736,1.280367
0.429211,0.017537,0.096038,0.624231,0.072516,0.796209,0.000672,1.248237
0.433691,0.017921,0.112903,0.633895,0.078884,0.830003,0.000704,1.288209
0.450268,0.017825,0.107046,0.633064,0.075973,0.819827,0.000672,1.293809
0.428411,0.017761,0.095878,0.631784,0.075780,0.807250,0.000833,1.258639
0.428859,0.017889,0.110439,0.633959,0.101063,0.849109,0.000736,1.301105
0.428571,0.017569,0.100038,0.631528,0.075428,0.810355,0.000640,1.261359
0.429883,0.017697,0.117639,0.637704,0.087686,0.846837,0.000992,1.301713
0.436891,0.018369,0.194572,0.651209,0.090981,0.942330,0.001537,1.407192
0.433339,0.017825,0.091654,0.627591,0.075908,0.799026,0.000992,1.255598
0.430907,0.017889,0.094182,0.626087,0.076581,0.800850,0.001024,1.254478
0.428859,0.018113,0.085317,0.627816,0.071492,0.788369,0.000896,1.240301
0.429115,0.017857,0.089670,0.628199,0.074148,0.796082,0.000864,1.247726
0.428283,0.017889,0.084869,0.642536,0.080357,0.811795,0.000928,1.262959
0.433659,0.017825,0.101575,0.631975,0.082373,0.819571,0.000800,1.276175
0.428763,0.017633,0.092582,0.636072,0.084741,0.817235,0.000864,1.269231
0.429339,0.017985,0.126408,0.639592,0.075493,0.845045,0.000864,1.297649
0.430331,0.017633,0.112263,0.635336,0.080069,0.831636,0.000992,1.286768
0.429627,0.017889,0.108263,0.636040,0.088517,0.836468,0.000928,1.289616
0.429402,0.017826,0.108678,0.633160,0.081733,0.826995,0.000960,1.279727
0.428731,0.018465,0.106695,0.631271,0.077380,0.818899,0.000897,1.271376
0.430459,0.017793,0.105159,0.651816,0.087238,0.847413,0.000960,1.301073
0.429659,0.018113,0.103718,0.633416,0.086757,0.827187,0.000928,1.280592
0.429082,0.018241,0.108838,0.632135,0.083141,0.827667,0.000992,1.281103
0.448572,0.017634,0.106854,0.638024,0.082853,0.831187,0.000800,1.303057
0.428923,0.017697,0.105767,0.630983,0.075397,0.815827,0.001024,1.267983
0.429851,0.017889,0.109447,0.669898,0.085861,0.869366,0.001088,1.323443
0.429082,0.017569,0.105702,0.634440,0.083781,0.828083,0.000928,1.280815
0.429979,0.017889,0.106727,0.633448,0.101190,0.844789,0.001024,1.298609
0.428859,0.035458,0.105414,0.641864,0.082085,0.832627,0.000896,1.302929
0.428315,0.017889,0.106118,0.633064,0.086053,0.828435,0.000864,1.279791
0.432315,0.017633,0.104135,0.633479,0.080069,0.820947,0.001024,1.276400
0.429371,0.018017,0.107879,0.632231,0.079685,0.823379,0.000961,1.276208
0.429851,0.017857,0.108839,0.630311,0.082629,0.825075,0.000960,1.278319
0.430491,0.017601,0.105671,0.650088,0.079653,0.839541,0.000864,1.293329
0.430363,0.017857,0.103239,0.641128,0.078885,0.826516,0.000832,1.280144
0.428922,0.017634,0.111303,0.631111,0.081413,0.827443,0.000864,1.279567
0.449916,0.017665,0.107910,0.633000,0.082533,0.827348,0.000992,1.301105
0.429115,0.017857,0.106855,0.638791,0.086981,0.836148,0.001024,1.288496
0.431099,0.018017,0.105062,0.654472,0.109927,0.872822,0.000896,1.327410
0.429979,0.017889,0.108071,0.632167,0.082661,0.826292,0.001088,1.279760
0.428762,0.017570,0.104422,0.632232,0.086853,0.826771,0.001312,1.279311
0.430811,0.038531,0.107590,0.630376,0.079589,0.821491,0.000960,1.296561
0.429755,0.018177,0.111879,0.632936,0.075588,0.823891,0.000832,1.277008
0.428474,0.017569,0.107879,0.632872,0.084773,0.828724,0.000896,1.280112
0.429723,0.017569,0.106151,0.632615,0.078021,0.820531,0.000896,1.273487
0.430299,0.018433,0.111591,0.634632,0.081029,0.832404,0.001120,1.288080
0.429882,0.018242,0.108838,0.653000,0.077733,0.844052,0.001152,1.298384
0.428538,0.017889,0.105671,0.632167,0.086598,0.828084,0.001280,1.280719
0.429754,0.017985,0.105126,0.639208,0.108583,0.856181,0.000960,1.309777
0.448476,0.017633,0.106951,0.630503,0.077413,0.818355,0.000960,1.290321
0.428890,0.018433,0.104294,0.639976,0.099846,0.847828,0.000992,1.301041
0.430523,0.017857,0.104775,0.651240,0.081157,0.841012,0.000961,1.294961
0.431387,0.017633,0.104199,0.629799,0.081925,0.819667,0.001088,1.274544
0.430715,0.017921,0.108935,0.634664,0.077604,0.824692,0.000800,1.278864
0.429882,0.017857,0.168394,0.640552,0.083109,0.896247,0.000929,1.349492
0.428827,0.017889,0.107975,0.635048,0.086629,0.833588,0.001120,1.286480
0.431291,0.017633,0.109895,0.634632,0.083493,0.832244,0.000832,1.287056
0.430811,0.017889,0.102470,0.628327,0.088645,0.823667,0.001056,1.278191
0.429243,0.018369,0.106311,0.633639,0.087430,0.831060,0.001088,1.284912
0.428731,0.017889,0.110311,0.649992,0.077381,0.841556,0.000736,1.294928
0.429307,0.017857,0.109575,0.631592,0.076420,0.821875,0.000865,1.274672
0.429307,0.018497,0.107719,0.631047,0.081285,0.824531,0.001056,1.278544
0.447612,0.017633,0.110567,0.632583,0.084198,0.831156,0.001120,1.302481
0.429082,0.018370,0.101670,0.628679,0.080933,0.815634,0.000928,1.268942
0.429627,0.017633,0.109799,0.671498,0.084773,0.870423,0.000864,1.323667
0.430011,0.017633,0.112071,0.634728,0.080517,0.830900,0.000960,1.286096
