Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.543905,0.017985,0.212589,0.079397,0.145225,0.057795,0.286833,1.067457
0.430971,0.017857,0.209613,0.123943,0.167594,0.062115,0.357429,1.020574
0.428730,0.017569,0.208781,0.111175,0.152713,0.057924,0.325364,0.984412
0.428826,0.017793,0.209549,0.105318,0.148841,0.059779,0.317363,0.978875
0.428282,0.017505,0.208717,0.102662,0.144649,0.057636,0.308627,0.968635
0.428026,0.017441,0.208813,0.110503,0.146153,0.057859,0.318291,0.976955
0.428378,0.017409,0.208781,0.125416,0.146185,0.063076,0.338229,0.998365
0.428250,0.017537,0.209036,0.109351,0.142281,0.057347,0.313043,0.972059
0.442747,0.017601,0.208877,0.114247,0.151273,0.057156,0.326484,1.000445
0.429370,0.017665,0.208525,0.104039,0.147721,0.060419,0.315891,0.976891
0.428890,0.017409,0.208397,0.101030,0.148777,0.058948,0.312243,0.971451
0.429402,0.017793,0.227022,0.102566,0.142889,0.057891,0.307218,0.986140
0.428826,0.017601,0.208525,0.124104,0.158953,0.062116,0.348885,1.008829
0.428090,0.017569,0.208461,0.099046,0.156810,0.057315,0.316979,0.975899
0.429562,0.018241,0.209932,0.105191,0.166090,0.065252,0.341333,1.004605
0.430458,0.017697,0.208365,0.105190,0.149610,0.061539,0.320147,0.981660
0.431546,0.018401,0.208365,0.109255,0.150377,0.060452,0.324020,0.987036
0.429018,0.017601,0.208525,0.106854,0.149546,0.059171,0.319251,0.979675
0.428570,0.017826,0.208428,0.109095,0.155241,0.060355,0.328436,0.987804
0.428314,0.017569,0.208525,0.109031,0.151785,0.060676,0.325556,0.985692
0.428731,0.017665,0.209004,0.106662,0.149225,0.061316,0.320692,0.980540
0.447931,0.017665,0.208557,0.108454,0.156298,0.060900,0.329652,1.008829
0.428698,0.017889,0.208429,0.131400,0.152969,0.059332,0.347349,1.006653
0.429850,0.017633,0.208589,0.099974,0.142665,0.059556,0.306291,0.967259
0.447387,0.017473,0.209421,0.109446,0.156650,0.060772,0.330484,1.009565
0.428250,0.017505,0.208621,0.103014,0.148906,0.059139,0.314483,0.973179
0.428730,0.017825,0.208397,0.101926,0.155658,0.061252,0.323060,0.982812
0.428442,0.017473,0.208844,0.121704,0.144072,0.059555,0.329204,0.988444
0.427962,0.017441,0.208396,0.098822,0.148490,0.060067,0.311059,0.970011
0.427354,0.017537,0.208301,0.102118,0.149385,0.060004,0.315507,0.973627
0.429178,0.017537,0.208493,0.101830,0.148521,0.061219,0.315187,0.974555
0.429914,0.017633,0.208141,0.101126,0.156682,0.061123,0.322291,0.982299
0.428282,0.017409,0.208173,0.101670,0.147593,0.059652,0.312307,0.970203
0.429786,0.017569,0.208685,0.101126,0.149737,0.059204,0.314003,0.974395
0.445243,0.017922,0.208620,0.104487,0.147433,0.060387,0.316084,0.992637
0.427674,0.017377,0.209389,0.101318,0.149737,0.061348,0.316083,0.974811
0.427994,0.017505,0.209485,0.095654,0.147049,0.059107,0.305618,0.965434
0.428090,0.017473,0.225998,0.103366,0.150153,0.058596,0.315955,0.992924
0.428250,0.017313,0.208940,0.103303,0.150057,0.060772,0.317940,0.976572
0.428058,0.017697,0.208812,0.104039,0.153545,0.060452,0.322324,0.982172
0.428858,0.017570,0.209132,0.096294,0.165898,0.069413,0.336149,0.996157
0.428090,0.017537,0.209229,0.114119,0.147209,0.057891,0.322899,0.981819
0.428314,0.017601,0.208269,0.098214,0.149641,0.057700,0.309139,0.967227
0.428346,0.017601,0.208717,0.103814,0.147657,0.059588,0.314867,0.974331
0.445563,0.017793,0.208237,0.103334,0.151881,0.061379,0.320211,0.996476
0.428058,0.017345,0.208300,0.102119,0.143752,0.057731,0.307027,0.965178
0.427866,0.017729,0.208493,0.100294,0.149577,0.057443,0.310866,0.969403
0.446683,0.017665,0.208301,0.102310,0.145929,0.063492,0.315475,0.993180
0.428026,0.017634,0.208108,0.096230,0.154698,0.060003,0.314323,0.972443
0.428154,0.017569,0.207885,0.100678,0.148137,0.058180,0.311059,0.970491
0.427930,0.017345,0.208460,0.122344,0.155561,0.058724,0.340949,0.999037
0.428410,0.017729,0.208717,0.100102,0.147721,0.059652,0.311091,0.970971
0.428282,0.017473,0.208333,0.100838,0.151497,0.059908,0.315923,0.973883
0.427770,0.017729,0.208461,0.102822,0.156010,0.060644,0.323124,0.981724
0.428698,0.017665,0.208365,0.101094,0.147689,0.056771,0.309586,0.968315
0.427930,0.017441,0.208813,0.103974,0.150569,0.057635,0.316115,0.975899
0.428986,0.017569,0.208685,0.100294,0.148041,0.059396,0.311635,0.971195
0.447356,0.017761,0.208461,0.102470,0.149321,0.061060,0.316563,0.995485
0.428250,0.017729,0.208621,0.100422,0.145289,0.058307,0.307698,0.966362
0.428026,0.017569,0.208429,0.102150,0.149545,0.061476,0.316915,0.975419
0.428250,0.017633,0.226029,0.094790,0.151401,0.057859,0.308051,0.984700
0.428602,0.017697,0.208717,0.100134,0.150025,0.056964,0.310707,0.970427
0.430522,0.017889,0.211309,0.114311,0.157482,0.061732,0.338037,1.003293
0.430555,0.017473,0.209101,0.101670,0.174154,0.069220,0.349973,1.011454
0.429786,0.017665,0.208557,0.101414,0.151465,0.066148,0.323060,0.983324
0.428602,0.017633,0.208845,0.100582,0.148297,0.062500,0.314867,0.973947
0.429114,0.017409,0.209517,0.109510,0.148873,0.059588,0.321523,0.981916
0.429146,0.017601,0.208909,0.096838,0.144969,0.058947,0.304530,0.964666
0.428602,0.017634,0.209068,0.104615,0.149865,0.060132,0.318356,0.977948
0.428666,0.017473,0.208941,0.102406,0.146761,0.058756,0.311571,0.971291
0.447835,0.017473,0.209165,0.104486,0.144424,0.057316,0.310003,0.988732
0.428442,0.017537,0.208429,0.103302,0.151209,0.064675,0.322580,0.981884
0.428954,0.017569,0.208653,0.103558,0.148905,0.059172,0.315635,0.974971
0.428538,0.017281,0.229134,0.103494,0.147497,0.059556,0.314131,0.994012
0.428378,0.017698,0.208652,0.102311,0.149993,0.060291,0.315923,0.975196
0.430779,0.017825,0.209100,0.102982,0.147337,0.059491,0.313364,0.975196
0.428698,0.017729,0.220270,0.105606,0.165354,0.061572,0.336596,1.008093
0.428666,0.017377,0.209101,0.109543,0.151369,0.059492,0.324180,0.984060
0.430554,0.017601,0.210029,0.106662,0.151850,0.059843,0.322611,0.985371
0.428986,0.017537,0.209773,0.097094,0.147401,0.060131,0.308850,0.969338
0.428474,0.017665,0.209612,0.102471,0.145033,0.055939,0.307091,0.967067
0.429178,0.017665,0.208877,0.100710,0.147209,0.059844,0.311443,0.971931
0.428570,0.018370,0.208716,0.134216,0.155113,0.058820,0.351990,1.012190
0.448795,0.017666,0.208908,0.133032,0.152554,0.058051,0.347669,1.027934
0.428506,0.017857,0.209101,0.105190,0.160650,0.060132,0.330036,0.990684
0.429818,0.017601,0.209677,0.107719,0.149833,0.060771,0.322804,0.984636
0.428922,0.017505,0.228942,0.107495,0.148009,0.059588,0.319508,0.999901
0.428922,0.017665,0.208685,0.097446,0.145993,0.059876,0.307059,0.967195
0.428506,0.017409,0.208269,0.104710,0.151338,0.060451,0.320339,0.979227
0.428186,0.017633,0.208557,0.124712,0.150793,0.059492,0.339157,0.998749
0.429178,0.017569,0.210029,0.101030,0.149609,0.058500,0.313171,0.974523
0.429242,0.018113,0.208684,0.108775,0.158666,0.060995,0.332149,0.993277
0.429050,0.017601,0.208524,0.097061,0.148681,0.060451,0.310066,0.970042
0.428826,0.018401,0.208524,0.105351,0.148073,0.059940,0.317460,0.978076
0.428698,0.017761,0.208973,0.107687,0.150665,0.060772,0.322708,0.983260
0.428891,0.017569,0.208524,0.102887,0.152073,0.060836,0.319796,0.979836
0.446843,0.017601,0.209132,0.105127,0.150217,0.060740,0.320020,0.998397
0.427962,0.017377,0.208557,0.106246,0.160490,0.059556,0.329940,0.988252
0.428858,0.017698,0.208236,0.097126,0.148553,0.064964,0.314707,0.975163
0.450011,0.017857,0.208429,0.102534,0.151146,0.059395,0.316787,0.997820
