Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.521824,0.018209,0.211917,0.108038,0.083845,0.081349,0.276561,0.049315,0.000832,0.013377,0.000416,0.001472,0.002560,0.000608,1.104548
0.430106,0.017922,0.210541,0.116711,0.076677,0.074596,0.271825,0.048035,0.000608,0.013825,0.000384,0.001600,0.001152,0.000352,1.003230
0.446619,0.017825,0.209965,0.106278,0.082246,0.079301,0.272017,0.050691,0.000832,0.014657,0.000416,0.001568,0.001152,0.000320,1.023583
0.429115,0.017985,0.209133,0.092294,0.065796,0.080709,0.242383,0.048195,0.000576,0.013985,0.000352,0.001568,0.001056,0.000288,0.971068
0.428922,0.017665,0.209261,0.108550,0.073477,0.076037,0.261424,0.050883,0.000576,0.013985,0.000448,0.001568,0.001056,0.000384,0.993501
0.428827,0.018689,0.226254,0.109127,0.070116,0.072293,0.255408,0.051299,0.000608,0.013921,0.000384,0.001536,0.001216,0.000320,1.005758
0.429307,0.017825,0.209069,0.090054,0.068804,0.086469,0.248463,0.055748,0.000576,0.013921,0.000384,0.001696,0.000960,0.000320,0.984701
0.431259,0.017889,0.208717,0.109959,0.087526,0.091877,0.293074,0.051043,0.000608,0.014529,0.000416,0.001696,0.001184,0.000352,1.028416
0.428506,0.017537,0.208205,0.095878,0.094470,0.078053,0.272145,0.048451,0.000608,0.013441,0.000384,0.001408,0.000992,0.000352,0.999133
0.430075,0.017473,0.208813,0.103463,0.071588,0.102311,0.280978,0.049891,0.000608,0.013729,0.000384,0.001536,0.001120,0.000352,1.012799
0.429178,0.017634,0.208717,0.107334,0.073285,0.076453,0.260560,0.050051,0.000608,0.013761,0.000384,0.001472,0.001088,0.000352,0.992829
0.428411,0.017569,0.208525,0.112487,0.073765,0.071684,0.261840,0.048483,0.000640,0.014177,0.000416,0.001568,0.001089,0.000416,0.991230
0.428026,0.017730,0.209357,0.104614,0.085861,0.072837,0.266448,0.050979,0.000608,0.013793,0.000416,0.001600,0.001024,0.000385,0.998398
0.428731,0.017665,0.208973,0.092806,0.066948,0.070372,0.233486,0.049379,0.000673,0.014048,0.000416,0.001760,0.001120,0.000352,0.962684
0.427898,0.017601,0.208621,0.106535,0.079301,0.072741,0.261873,0.048579,0.000608,0.013793,0.000448,0.001440,0.001120,0.000384,0.989725
0.447068,0.017569,0.208397,0.101062,0.084422,0.072932,0.261648,0.047811,0.000608,0.013697,0.000416,0.001440,0.001088,0.000416,1.006431
0.429723,0.017569,0.208717,0.107751,0.073860,0.077605,0.262672,0.051396,0.000608,0.013536,0.000384,0.001440,0.001216,0.000352,0.995678
0.430235,0.017633,0.209037,0.099526,0.070213,0.069188,0.242159,0.047843,0.000608,0.013377,0.000384,0.001568,0.000864,0.000416,0.970332
0.458140,0.017729,0.209133,0.106119,0.074660,0.079492,0.263793,0.051395,0.000608,0.013697,0.000352,0.001408,0.000992,0.000384,1.025183
0.427803,0.017569,0.208685,0.105223,0.067940,0.080389,0.256400,0.049187,0.000608,0.013601,0.000352,0.001408,0.001152,0.000352,0.984445
0.429114,0.017601,0.208845,0.113191,0.067524,0.076389,0.260752,0.050755,0.000864,0.013889,0.000352,0.001600,0.001216,0.000384,0.994781
0.429243,0.017633,0.228526,0.105607,0.072324,0.080485,0.261776,0.051012,0.000608,0.014625,0.000384,0.001536,0.001248,0.000384,1.014495
0.427931,0.017377,0.208429,0.104615,0.073636,0.082853,0.264176,0.049859,0.000576,0.013921,0.000352,0.001568,0.001184,0.000384,0.992638
0.429627,0.017857,0.208749,0.108871,0.073412,0.086310,0.271857,0.050179,0.000672,0.013665,0.000352,0.001472,0.001088,0.000352,1.002654
0.428250,0.017633,0.208557,0.105191,0.067652,0.091622,0.267953,0.048355,0.000608,0.013633,0.000416,0.001504,0.001152,0.000384,0.996157
0.427963,0.017441,0.208653,0.096198,0.069924,0.091430,0.261008,0.049827,0.000576,0.013505,0.000416,0.001408,0.001184,0.000416,0.989181
0.429179,0.017857,0.208589,0.108231,0.071972,0.079525,0.263152,0.052516,0.000608,0.013697,0.000384,0.001472,0.001216,0.000352,0.996382
0.428282,0.017730,0.208909,0.106278,0.072709,0.079365,0.261936,0.050851,0.000608,0.013601,0.000416,0.001472,0.001216,0.000416,0.992221
0.428315,0.017377,0.208717,0.108487,0.082565,0.092038,0.286834,0.052867,0.000608,0.013409,0.000416,0.001440,0.001216,0.000384,1.018687
0.428347,0.017537,0.208845,0.108871,0.073476,0.080805,0.266737,0.049059,0.000768,0.013601,0.000384,0.001504,0.001216,0.000384,0.995582
0.428315,0.017601,0.209069,0.110279,0.082437,0.083269,0.279889,0.048899,0.000800,0.014145,0.000320,0.001792,0.001216,0.000352,1.010047
0.445980,0.017697,0.209101,0.109543,0.081989,0.078917,0.274097,0.049571,0.000864,0.014145,0.000384,0.001472,0.001376,0.000416,1.022687
0.428699,0.017505,0.208301,0.106822,0.069060,0.074052,0.253680,0.049379,0.000608,0.013697,0.000384,0.001440,0.000992,0.000384,0.982557
0.428475,0.017537,0.209005,0.099590,0.075621,0.081189,0.260144,0.050755,0.000800,0.013569,0.000384,0.001376,0.001056,0.000384,0.990781
