Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.525728,0.017729,0.213453,0.109095,0.128584,0.071684,0.314547,0.001248,0.014433,0.000416,0.001824,0.002753,0.000608,1.102212
0.431259,0.017633,0.210509,0.115208,0.132808,0.078725,0.331349,0.000960,0.014753,0.000448,0.001792,0.001504,0.000416,1.037120
0.431162,0.017441,0.209068,0.097382,0.126311,0.091910,0.319668,0.000832,0.015073,0.000480,0.001888,0.001281,0.000416,1.003582
0.430426,0.017505,0.210733,0.113447,0.128424,0.082309,0.328372,0.001024,0.015393,0.000480,0.001728,0.000961,0.000416,1.016287
0.428987,0.017665,0.208973,0.106567,0.144361,0.079877,0.335669,0.001280,0.016897,0.000480,0.001600,0.001024,0.000384,1.021151
0.428186,0.017665,0.208589,0.106023,0.128616,0.079173,0.318452,0.001408,0.022306,0.000416,0.001600,0.001120,0.000384,1.009022
0.428443,0.017921,0.209261,0.107014,0.129896,0.099014,0.340373,0.000832,0.015521,0.000448,0.001600,0.001152,0.000384,1.022975
0.428603,0.017761,0.209261,0.107431,0.128680,0.077861,0.318324,0.000960,0.015489,0.000416,0.001632,0.001152,0.000448,1.001758
0.428890,0.017633,0.209165,0.105478,0.128136,0.089638,0.327412,0.000768,0.023489,0.000416,0.001568,0.001088,0.000352,1.017791
0.428762,0.017698,0.208236,0.105351,0.129832,0.102951,0.342486,0.000832,0.015265,0.000480,0.001600,0.001056,0.000384,1.024447
0.429563,0.017505,0.209261,0.096614,0.125256,0.077381,0.303827,0.000768,0.014369,0.000416,0.001664,0.001312,0.000352,0.985789
0.440187,0.017281,0.209197,0.104167,0.125032,0.079141,0.314100,0.000896,0.015617,0.000480,0.001536,0.000928,0.000384,1.008126
0.428858,0.017377,0.208525,0.103366,0.125192,0.100294,0.332980,0.000992,0.014561,0.000384,0.001504,0.001056,0.000481,1.014015
0.428666,0.017410,0.209869,0.107750,0.127752,0.113735,0.354005,0.000768,0.016289,0.000448,0.001824,0.001216,0.000352,1.040640
0.442971,0.017601,0.208109,0.107623,0.123079,0.094533,0.329492,0.000705,0.015873,0.000448,0.001536,0.001088,0.000448,1.025887
0.428955,0.017441,0.208589,0.108583,0.126344,0.085573,0.324948,0.000896,0.014465,0.000448,0.001504,0.001088,0.000384,1.006782
0.429082,0.017601,0.208141,0.108967,0.129096,0.078053,0.320244,0.000960,0.014369,0.000416,0.001536,0.001248,0.000384,1.000349
0.427803,0.039682,0.209037,0.110887,0.128136,0.073989,0.317140,0.000768,0.013921,0.000480,0.001408,0.001088,0.000384,1.019615
0.428826,0.017409,0.208557,0.108103,0.128840,0.081221,0.322612,0.000960,0.015745,0.000416,0.001472,0.001120,0.000417,1.004382
0.428507,0.017409,0.208589,0.106054,0.127399,0.079332,0.317171,0.001216,0.016993,0.000448,0.001472,0.001024,0.000352,1.000670
0.427995,0.017409,0.208205,0.124359,0.134184,0.086629,0.349877,0.001344,0.019266,0.000448,0.001504,0.001120,0.000384,1.034592
0.427707,0.017441,0.208621,0.106279,0.127688,0.084741,0.322964,0.000896,0.019617,0.000416,0.001504,0.001280,0.000384,1.008159
0.428186,0.017345,0.208397,0.104263,0.123816,0.077220,0.309555,0.000897,0.015200,0.000448,0.001536,0.001056,0.000416,0.990045
0.428410,0.017281,0.208365,0.116103,0.148298,0.084645,0.353814,0.000736,0.014945,0.000416,0.001536,0.001120,0.000384,1.035552
0.428602,0.017569,0.208525,0.106150,0.129512,0.083878,0.323732,0.000992,0.014977,0.000416,0.001472,0.001120,0.000384,1.005086
0.428891,0.017569,0.208717,0.110183,0.128840,0.082597,0.326388,0.000832,0.014113,0.000416,0.001472,0.001152,0.000480,1.007742
0.428666,0.017665,0.209325,0.106150,0.128072,0.078853,0.317587,0.000832,0.022658,0.000416,0.001504,0.001056,0.000384,1.006846
0.431419,0.017537,0.208845,0.104903,0.127400,0.084773,0.321492,0.000864,0.017153,0.000448,0.001472,0.001056,0.000416,1.007774
0.430555,0.017697,0.209037,0.112231,0.127784,0.078405,0.322548,0.000864,0.014465,0.000448,0.001504,0.001248,0.000544,1.005598
0.429083,0.017601,0.209165,0.106759,0.127240,0.074948,0.312947,0.000896,0.015137,0.000416,0.001473,0.001184,0.000352,0.995646
0.447835,0.017505,0.210061,0.114440,0.134472,0.116007,0.368919,0.000960,0.017473,0.000416,0.001440,0.001280,0.000416,1.073762
0.430170,0.017506,0.208973,0.108646,0.131561,0.077444,0.322931,0.000960,0.014304,0.000416,0.001472,0.001152,0.000416,1.005950
0.430842,0.017570,0.209324,0.109414,0.123880,0.073445,0.311059,0.000768,0.014753,0.000448,0.001504,0.001280,0.000416,0.994973
0.443707,0.017730,0.208812,0.111334,0.126631,0.121288,0.364022,0.000864,0.015457,0.000448,0.001536,0.001120,0.000480,1.063041
0.429178,0.017441,0.209517,0.108422,0.128968,0.121479,0.363318,0.000992,0.021538,0.000480,0.001600,0.001216,0.000448,1.053185
0.430810,0.017410,0.208396,0.105958,0.129096,0.094374,0.333749,0.000960,0.015361,0.000416,0.001568,0.001312,0.000384,1.017983
0.447164,0.017697,0.209261,0.105415,0.130280,0.081125,0.321620,0.000928,0.019137,0.000416,0.001536,0.000960,0.000480,1.026559
0.428826,0.017442,0.209197,0.105798,0.124296,0.077797,0.312307,0.000928,0.015073,0.000384,0.001472,0.001088,0.000480,0.995805
0.427802,0.017441,0.209389,0.104486,0.128264,0.090982,0.327956,0.000768,0.015937,0.000416,0.001504,0.001088,0.000416,1.009982
0.428154,0.017633,0.225293,0.108646,0.132456,0.080997,0.326901,0.001088,0.017057,0.000448,0.001472,0.000992,0.000384,1.027967
0.427802,0.017569,0.209196,0.105863,0.128936,0.093798,0.332725,0.000928,0.015425,0.000416,0.001568,0.001248,0.000416,1.014846
0.432123,0.017569,0.208685,0.101702,0.126920,0.087046,0.321108,0.001088,0.014817,0.000448,0.001632,0.000960,0.000384,1.007262
0.431835,0.017249,0.209197,0.130792,0.132520,0.078053,0.345813,0.000992,0.015329,0.000448,0.001504,0.000961,0.000384,1.030368
0.428858,0.017761,0.208973,0.102598,0.125576,0.076101,0.309459,0.000864,0.015297,0.000416,0.001536,0.001152,0.000384,0.994813
0.431579,0.017377,0.208877,0.103494,0.126247,0.105607,0.339893,0.000832,0.014593,0.000448,0.001568,0.001216,0.000416,1.022943
0.432475,0.017345,0.208941,0.088261,0.118152,0.079877,0.291026,0.001344,0.014881,0.000416,0.001632,0.001120,0.000384,0.975708
0.431547,0.017249,0.209101,0.092613,0.129672,0.077924,0.304658,0.001185,0.014624,0.000384,0.001568,0.001120,0.000384,0.988733
0.430330,0.017313,0.208845,0.095558,0.127335,0.092453,0.319635,0.000864,0.014593,0.000416,0.001472,0.001088,0.000352,1.002110
0.430554,0.017345,0.208909,0.116456,0.131240,0.079493,0.330997,0.001344,0.015809,0.000384,0.001504,0.000896,0.000384,1.013950
0.443803,0.017601,0.208941,0.119335,0.127432,0.079557,0.330740,0.001088,0.014625,0.000448,0.001536,0.001024,0.000384,1.027071
0.428634,0.017601,0.208205,0.100550,0.125319,0.089286,0.319636,0.000896,0.014145,0.000416,0.001440,0.001280,0.000448,0.999645
0.430875,0.017345,0.208589,0.095814,0.134120,0.092742,0.326932,0.001216,0.014433,0.000416,0.001504,0.001152,0.000352,1.009022
0.447771,0.017441,0.209100,0.104519,0.122536,0.077636,0.309300,0.001152,0.015745,0.000416,0.001440,0.000928,0.000352,1.009758
0.431003,0.017441,0.209133,0.115495,0.124904,0.082853,0.328500,0.000832,0.014977,0.000416,0.001536,0.001024,0.000352,1.012222
