Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.524160,0.017729,0.213069,0.109991,0.126312,0.074245,0.314452,0.015617,0.000704,0.001504,0.002720,0.000544,1.098595
0.431898,0.017825,0.209389,0.105510,0.128328,0.100774,0.338580,0.016065,0.000512,0.001600,0.001120,0.000352,1.024895
0.428699,0.017761,0.209997,0.105543,0.132360,0.081925,0.323156,0.015649,0.000448,0.001536,0.000960,0.000480,1.004958
0.429466,0.018049,0.208493,0.111271,0.142920,0.078212,0.336180,0.017025,0.000512,0.001504,0.001024,0.000576,1.020895
0.428826,0.017506,0.208652,0.098695,0.119527,0.116519,0.337941,0.016257,0.000512,0.001504,0.001025,0.000448,1.019263
0.428027,0.017729,0.208749,0.106023,0.131208,0.076644,0.317204,0.015265,0.000480,0.001536,0.000928,0.000448,0.997694
0.428987,0.017473,0.209005,0.106919,0.126215,0.084581,0.321236,0.015361,0.000480,0.001472,0.000992,0.000416,1.001598
0.428986,0.017729,0.208781,0.115367,0.123943,0.080069,0.323443,0.017346,0.000512,0.001472,0.001152,0.000448,1.008702
0.427802,0.018305,0.209005,0.110503,0.125160,0.079077,0.318228,0.014913,0.000480,0.001504,0.001088,0.000448,0.998045
0.427835,0.017377,0.208909,0.102054,0.125064,0.085317,0.315827,0.017121,0.000512,0.001472,0.001056,0.000480,0.996926
0.428923,0.017569,0.208365,0.135208,0.149769,0.127751,0.416185,0.016128,0.000512,0.001472,0.001088,0.000352,1.096612
0.428794,0.017441,0.208941,0.104679,0.124839,0.140169,0.372983,0.015937,0.000544,0.001472,0.000992,0.000448,1.053889
0.427866,0.017441,0.208685,0.107431,0.133000,0.091910,0.335925,0.015841,0.000544,0.001472,0.001088,0.000480,1.015326
0.445947,0.017697,0.208717,0.109671,0.123400,0.080869,0.317460,0.015361,0.000512,0.001504,0.001088,0.000480,1.014974
0.429274,0.017921,0.208749,0.101382,0.130825,0.095045,0.330485,0.015969,0.000480,0.001472,0.001056,0.000384,1.011902
0.427962,0.017665,0.209101,0.100070,0.135592,0.085862,0.324756,0.015521,0.000512,0.001472,0.001056,0.000448,1.004446
0.445884,0.017697,0.208813,0.108711,0.136808,0.075717,0.324660,0.016065,0.000480,0.001472,0.001088,0.000448,1.022815
0.428506,0.017921,0.208621,0.104551,0.136488,0.084453,0.328948,0.015393,0.000512,0.001441,0.000992,0.000384,1.009822
0.429466,0.017665,0.209517,0.106439,0.135688,0.087238,0.332533,0.014241,0.000480,0.001536,0.001088,0.000416,1.013342
0.428282,0.017601,0.228206,0.106630,0.135337,0.082469,0.327988,0.021217,0.000576,0.001473,0.001056,0.000416,1.033216
0.427739,0.017441,0.208589,0.101830,0.126856,0.083717,0.315603,0.015489,0.000512,0.001408,0.001024,0.000449,0.994174
0.427962,0.017665,0.208877,0.097894,0.119176,0.085541,0.306131,0.014273,0.000480,0.001472,0.001056,0.000512,0.984828
0.427770,0.017377,0.208653,0.122920,0.131688,0.078917,0.336821,0.021505,0.000512,0.001505,0.001120,0.000448,1.021535
0.427866,0.017826,0.208844,0.109382,0.133129,0.076996,0.323379,0.020066,0.000480,0.001632,0.001184,0.000448,1.009918
0.429275,0.017633,0.209037,0.105766,0.127432,0.083301,0.319891,0.015521,0.000480,0.001473,0.001088,0.000576,1.000862
0.429115,0.017857,0.209229,0.107463,0.135528,0.127656,0.374455,0.016161,0.000512,0.001504,0.001024,0.000416,1.057249
0.428379,0.017761,0.208685,0.112647,0.139080,0.089766,0.345045,0.015297,0.000544,0.001408,0.001088,0.000448,1.024703
0.429883,0.017505,0.209517,0.109319,0.130216,0.083493,0.326548,0.014433,0.000480,0.001504,0.001216,0.000416,1.009694
0.430363,0.017569,0.208813,0.099590,0.138793,0.079653,0.321460,0.015201,0.000480,0.001504,0.001120,0.000480,1.003102
0.427835,0.017761,0.209741,0.108263,0.123527,0.085606,0.320788,0.015137,0.000480,0.001472,0.001024,0.000416,1.001214
0.428507,0.017889,0.208973,0.105382,0.137225,0.109735,0.355798,0.015905,0.000448,0.001472,0.001088,0.000416,1.036576
0.428954,0.017601,0.209005,0.108487,0.125192,0.073540,0.310803,0.016321,0.000480,0.001409,0.001184,0.000480,0.992541
0.451067,0.017762,0.208364,0.119912,0.132392,0.090374,0.346166,0.016161,0.000480,0.001472,0.001152,0.000448,1.049921
0.428538,0.017602,0.209100,0.102503,0.134568,0.080165,0.320820,0.016161,0.000512,0.001440,0.001248,0.000384,1.002046
0.429146,0.017794,0.209004,0.108519,0.127400,0.083621,0.322900,0.015649,0.000512,0.001472,0.000992,0.000480,1.003902
0.460380,0.017569,0.209165,0.104487,0.120103,0.116423,0.344406,0.015745,0.000512,0.001408,0.000960,0.000416,1.056993
0.428474,0.017793,0.209421,0.104167,0.124903,0.082213,0.315444,0.015329,0.000448,0.001440,0.000928,0.000352,0.996349
0.428506,0.017794,0.209612,0.107495,0.135048,0.082917,0.328789,0.015841,0.000512,0.001472,0.001120,0.000384,1.010910
0.438299,0.017665,0.227438,0.100454,0.123592,0.075173,0.302739,0.016097,0.000448,0.001536,0.001056,0.000416,1.012254
0.428315,0.017281,0.209485,0.100134,0.129384,0.089894,0.322996,0.015233,0.000512,0.001632,0.001088,0.000320,1.002590
0.428186,0.017537,0.209997,0.102534,0.125415,0.088774,0.320276,0.014689,0.000416,0.001536,0.001120,0.000352,0.999933
0.429146,0.017889,0.209453,0.146057,0.140265,0.102598,0.393496,0.017889,0.000768,0.001728,0.001633,0.000608,1.081731
0.428539,0.017793,0.209389,0.101894,0.125576,0.081317,0.311987,0.015649,0.000512,0.001536,0.001152,0.000640,0.993213
0.430362,0.018082,0.209260,0.104934,0.128296,0.083493,0.320179,0.015553,0.000544,0.001472,0.001024,0.000384,1.003134
0.427706,0.017793,0.208589,0.099238,0.124712,0.105959,0.333397,0.015073,0.000512,0.001504,0.000960,0.000384,1.012094
0.429082,0.018178,0.208588,0.105254,0.126280,0.077637,0.312723,0.015713,0.000512,0.001568,0.001024,0.000352,0.993693
0.427739,0.017697,0.208397,0.104166,0.127720,0.090438,0.326004,0.016449,0.000512,0.001440,0.001024,0.000384,1.006430
0.430107,0.017569,0.209677,0.103622,0.127112,0.088678,0.322964,0.015745,0.000480,0.001472,0.000992,0.000416,1.005534
0.444891,0.017569,0.208813,0.101286,0.125608,0.078725,0.308979,0.015521,0.000480,0.001504,0.000992,0.000384,1.005245
0.427643,0.017601,0.209997,0.103494,0.126376,0.078725,0.312147,0.016129,0.000480,0.001504,0.000960,0.000384,0.992669
0.427899,0.017729,0.208429,0.100166,0.126920,0.088101,0.318579,0.014401,0.000480,0.001600,0.000864,0.000384,0.996350
0.441724,0.017793,0.209261,0.101478,0.120839,0.080229,0.306611,0.016673,0.000544,0.001440,0.000960,0.000352,1.001662
0.429851,0.017729,0.209293,0.104070,0.124872,0.085349,0.318035,0.014273,0.000512,0.001505,0.000928,0.000320,0.998174
0.427930,0.017569,0.208845,0.102630,0.132904,0.087270,0.326292,0.016001,0.000480,0.001472,0.001120,0.000384,1.006046
0.428506,0.017505,0.228110,0.099238,0.124872,0.071941,0.299891,0.015393,0.000512,0.001440,0.001184,0.000384,0.999422
0.428026,0.017569,0.208973,0.102502,0.133993,0.091973,0.331829,0.016033,0.000512,0.001472,0.001088,0.000608,1.011742
0.427483,0.017601,0.208973,0.106374,0.134952,0.102438,0.348085,0.015809,0.000512,0.001569,0.000960,0.000384,1.027968
0.427578,0.017537,0.209389,0.096422,0.137256,0.122983,0.360502,0.015841,0.000544,0.001440,0.001120,0.000352,1.040224
0.427291,0.017473,0.208429,0.094086,0.130600,0.086693,0.314579,0.015073,0.000544,0.001568,0.001088,0.000352,0.991613
0.427962,0.017538,0.208748,0.100518,0.129096,0.083333,0.316468,0.014753,0.000512,0.001504,0.001056,0.000384,0.994269
0.427930,0.017537,0.208716,0.098854,0.123431,0.092006,0.317651,0.015265,0.000512,0.001472,0.001120,0.000544,0.997021
0.427450,0.017441,0.208653,0.101158,0.125032,0.083429,0.312979,0.015393,0.000480,0.001472,0.001184,0.000608,0.991421
0.428282,0.017506,0.208428,0.101319,0.124807,0.093382,0.322740,0.015457,0.000448,0.001440,0.001025,0.000416,1.001598
0.429339,0.017505,0.208589,0.105958,0.135561,0.087653,0.332948,0.016545,0.000448,0.001536,0.000992,0.000641,1.014335
0.445531,0.017505,0.208589,0.105447,0.121767,0.080229,0.310963,0.016065,0.000480,0.001505,0.000928,0.000352,1.008158
0.428794,0.017313,0.208461,0.100966,0.133929,0.084677,0.322772,0.014561,0.000512,0.001408,0.001024,0.000576,1.001245
0.432379,0.017537,0.208461,0.106855,0.127528,0.079397,0.317300,0.014401,0.000480,0.001408,0.001120,0.000672,1.000254
0.427707,0.036770,0.208973,0.099078,0.132200,0.071173,0.306259,0.014113,0.000512,0.001440,0.001088,0.000384,1.003710
0.427515,0.017537,0.208877,0.102342,0.123912,0.082085,0.311667,0.014689,0.000544,0.001440,0.001088,0.000384,0.990333
0.427770,0.017665,0.208301,0.102118,0.135785,0.075077,0.316532,0.015521,0.000512,0.001504,0.001120,0.000384,0.995517
0.428954,0.017569,0.208749,0.127336,0.128328,0.074597,0.333973,0.016193,0.000448,0.001472,0.001120,0.000544,1.016030
0.427450,0.017569,0.209069,0.101286,0.133992,0.078180,0.316659,0.015361,0.000480,0.001441,0.001056,0.000352,0.995421
0.427706,0.017569,0.208749,0.100742,0.123687,0.078661,0.306578,0.014305,0.000480,0.001472,0.001089,0.000352,0.985277
0.428379,0.017825,0.208397,0.107206,0.125800,0.091814,0.328276,0.033346,0.000512,0.001536,0.001056,0.000352,1.026815
0.429530,0.018466,0.209453,0.107654,0.127976,0.077669,0.317427,0.015425,0.000512,0.001504,0.001216,0.000416,1.001661
0.428730,0.017921,0.208653,0.101223,0.122439,0.084773,0.311987,0.015200,0.000481,0.001600,0.001536,0.000352,0.993021
0.428475,0.017633,0.209229,0.105255,0.121063,0.075941,0.306131,0.015393,0.000480,0.001568,0.001248,0.000672,0.988797
0.428090,0.017793,0.209133,0.106790,0.125544,0.078437,0.314259,0.015777,0.000512,0.001600,0.001184,0.000384,0.994941
0.428282,0.017569,0.208877,0.102246,0.126536,0.120199,0.352597,0.016033,0.000480,0.001472,0.001153,0.000608,1.033280
0.429275,0.017889,0.209741,0.124071,0.128647,0.103110,0.360214,0.016257,0.000480,0.001536,0.001792,0.000640,1.045248
0.447836,0.017697,0.209645,0.107174,0.128136,0.081253,0.320467,0.016225,0.000512,0.001536,0.001120,0.000608,1.022239
0.428155,0.017473,0.208205,0.102822,0.136393,0.083109,0.326004,0.016097,0.000544,0.001568,0.001248,0.000576,1.005918
0.429018,0.017601,0.208621,0.106823,0.128680,0.119431,0.358966,0.015777,0.000512,0.001504,0.001057,0.000384,1.039712
0.449020,0.017697,0.208589,0.099942,0.123432,0.078117,0.305587,0.015841,0.000480,0.001536,0.001152,0.000416,1.006686
0.428122,0.017922,0.208780,0.095590,0.122376,0.078533,0.300275,0.015041,0.000512,0.001536,0.001120,0.000640,0.980348
0.430491,0.017633,0.209101,0.100230,0.122696,0.088581,0.315827,0.016353,0.000480,0.001568,0.001280,0.000416,0.999646
