Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.540737,0.018081,0.213229,0.079717,0.134408,0.074405,0.292850,0.000928,0.002240,0.012865,0.000704,1.090275
0.429947,0.017953,0.210797,0.111815,0.141545,0.080037,0.337365,0.000672,0.002688,0.001376,0.000672,1.008670
0.449787,0.018049,0.209965,0.095557,0.135944,0.121063,0.356277,0.000992,0.002624,0.000960,0.000576,1.045312
0.428666,0.017825,0.209389,0.101895,0.137064,0.117799,0.360598,0.000800,0.002592,0.001024,0.000448,1.028895
0.428410,0.017633,0.208653,0.101638,0.139304,0.109479,0.354326,0.000736,0.002016,0.000928,0.000416,1.019294
0.449788,0.018177,0.209453,0.105958,0.136617,0.085541,0.331476,0.000768,0.002529,0.001408,0.000384,1.021439
0.429530,0.017793,0.209037,0.108359,0.146633,0.099270,0.358390,0.000800,0.003009,0.001216,0.000416,1.027487
0.428314,0.017441,0.208780,0.103079,0.143433,0.078885,0.329109,0.000704,0.003072,0.001184,0.000416,0.996125
0.429402,0.017762,0.231374,0.102502,0.138281,0.078821,0.323156,0.000832,0.002784,0.001024,0.000320,1.013086
0.429210,0.017441,0.208844,0.103238,0.139112,0.084933,0.331285,0.000640,0.002880,0.001056,0.000288,0.999293
0.428602,0.017665,0.208621,0.103110,0.139240,0.107943,0.353718,0.000640,0.002240,0.001152,0.000384,1.018462
0.427482,0.017345,0.208781,0.102598,0.157833,0.082149,0.346325,0.000768,0.002112,0.001120,0.000416,1.010622
0.428986,0.017633,0.209773,0.095750,0.135624,0.082885,0.317812,0.000800,0.002144,0.001024,0.000352,0.984252
0.427866,0.017569,0.209389,0.100231,0.136936,0.080773,0.321364,0.000672,0.002016,0.001024,0.000352,0.985916
0.427802,0.017794,0.208876,0.101191,0.137384,0.118920,0.361015,0.000608,0.002816,0.001056,0.000320,1.026047
0.430171,0.017729,0.208589,0.110215,0.133256,0.106375,0.353270,0.000672,0.002976,0.001056,0.000416,1.021247
0.429819,0.018049,0.208589,0.100006,0.137897,0.119015,0.360790,0.000736,0.003040,0.001024,0.000320,1.028032
0.441243,0.017537,0.208205,0.101958,0.136713,0.072612,0.316403,0.000865,0.003072,0.001088,0.000320,0.994909
0.448060,0.017633,0.208749,0.100550,0.138505,0.088805,0.331380,0.000768,0.002689,0.001024,0.000352,1.016991
0.428250,0.017921,0.208653,0.105287,0.138664,0.074149,0.321844,0.000800,0.002848,0.001152,0.000416,0.989308
0.429147,0.018337,0.208525,0.103334,0.130408,0.080997,0.318931,0.000768,0.002529,0.000832,0.000320,0.985597
0.428827,0.017697,0.229902,0.100806,0.136425,0.079653,0.320884,0.000736,0.002592,0.000960,0.000352,1.007518
0.428986,0.017345,0.208429,0.101606,0.141416,0.080421,0.326676,0.000672,0.002113,0.000928,0.000352,0.990589
0.427514,0.017601,0.208557,0.121992,0.148905,0.091173,0.365303,0.000640,0.001952,0.000864,0.000352,1.028447
0.430970,0.017857,0.208397,0.082661,0.152266,0.076901,0.315828,0.000672,0.002048,0.001024,0.000320,0.982268
0.427578,0.017537,0.208685,0.119527,0.137513,0.074564,0.334772,0.000704,0.002625,0.000864,0.000320,0.998558
0.428186,0.017505,0.208013,0.117447,0.138121,0.084869,0.343669,0.000576,0.001952,0.000800,0.000320,1.005950
0.430683,0.017409,0.208429,0.107270,0.135497,0.076100,0.322259,0.000960,0.002656,0.000832,0.000352,0.989117
0.427802,0.017697,0.208365,0.106919,0.138216,0.075781,0.324500,0.000672,0.002656,0.000704,0.000288,0.988188
0.428058,0.017665,0.209261,0.100486,0.134793,0.087013,0.326612,0.000832,0.003073,0.001088,0.000416,0.997117
0.427450,0.017505,0.208237,0.083813,0.139433,0.075300,0.302130,0.000704,0.002176,0.000864,0.000288,0.964283
0.442459,0.017473,0.208397,0.110759,0.135688,0.072613,0.322740,0.000960,0.002656,0.000800,0.000320,1.001917
0.428122,0.017409,0.208365,0.105734,0.134505,0.071140,0.315699,0.001056,0.001953,0.000736,0.000320,0.979708
0.428283,0.017377,0.207981,0.098054,0.141801,0.115367,0.358326,0.000576,0.002464,0.000864,0.000320,1.021247
0.429850,0.017377,0.207757,0.127592,0.139336,0.072740,0.343701,0.000736,0.002624,0.000896,0.000288,1.008637
0.427418,0.017377,0.208429,0.106951,0.139176,0.077253,0.327092,0.000640,0.002464,0.000800,0.000288,0.990140
0.427259,0.017249,0.208109,0.110470,0.138184,0.076005,0.328308,0.000960,0.002048,0.001088,0.000384,0.991037
0.427930,0.017441,0.209101,0.099942,0.138921,0.128072,0.371415,0.000832,0.002016,0.000896,0.000288,1.037215
0.429819,0.017473,0.208749,0.094854,0.136008,0.084709,0.319379,0.000608,0.001985,0.001024,0.000384,0.984733
0.428155,0.017569,0.207981,0.082725,0.129000,0.076261,0.291442,0.000928,0.002752,0.000928,0.000384,0.956315
0.428954,0.017665,0.208813,0.095045,0.147145,0.077220,0.322675,0.000704,0.001825,0.001056,0.000256,0.986685
0.446235,0.017985,0.208557,0.080709,0.132521,0.116007,0.334805,0.000992,0.002624,0.000960,0.000352,1.018558
0.427867,0.017217,0.208045,0.107558,0.131304,0.078116,0.320531,0.000993,0.002688,0.000992,0.000384,0.984189
0.429019,0.017473,0.207981,0.118599,0.138440,0.090693,0.351093,0.000640,0.001824,0.000800,0.000352,1.013983
0.427995,0.017633,0.223374,0.079237,0.129128,0.074532,0.286545,0.000640,0.002497,0.001056,0.000352,0.965852
0.427995,0.017345,0.208653,0.098342,0.131624,0.072773,0.306259,0.000608,0.002624,0.001088,0.000384,0.971420
0.427898,0.017281,0.208173,0.085797,0.132520,0.098054,0.319732,0.001024,0.002912,0.000992,0.000320,0.983068
0.428826,0.017505,0.208108,0.081669,0.132040,0.111527,0.328885,0.000736,0.002464,0.000928,0.000256,0.992509
0.428698,0.017218,0.208588,0.095270,0.134729,0.074564,0.307923,0.000640,0.002913,0.000896,0.000288,0.972092
0.428218,0.018113,0.208332,0.084613,0.130248,0.074948,0.294003,0.001024,0.002880,0.001024,0.000384,0.960347
0.428890,0.017569,0.209965,0.093830,0.137257,0.076548,0.311059,0.000960,0.002752,0.000928,0.000352,0.977692
0.442683,0.017313,0.208397,0.086853,0.136681,0.075236,0.303346,0.001024,0.002753,0.000960,0.000384,0.981884
0.429467,0.017505,0.208173,0.095174,0.131496,0.093029,0.323092,0.000960,0.002912,0.000896,0.000352,0.988061
0.431163,0.017281,0.208173,0.105414,0.140937,0.119943,0.369494,0.000576,0.001920,0.000897,0.000288,1.035104
0.431163,0.017537,0.222350,0.095302,0.135816,0.078853,0.313779,0.001024,0.002912,0.000896,0.000320,0.995069
0.432123,0.017569,0.208205,0.102566,0.139785,0.075396,0.321875,0.001024,0.002816,0.001120,0.000512,0.991869
0.427930,0.017633,0.208301,0.086725,0.134409,0.079845,0.304275,0.000736,0.002976,0.001152,0.000352,0.968155
0.428794,0.017793,0.208780,0.094534,0.137545,0.120519,0.356982,0.000832,0.002113,0.001120,0.000352,1.023775
0.427963,0.017537,0.208877,0.097382,0.162410,0.082853,0.346709,0.000672,0.001984,0.000928,0.000352,1.010462
0.429018,0.017761,0.208557,0.084325,0.134153,0.076900,0.299059,0.000736,0.001984,0.000928,0.000288,0.963259
0.428026,0.017665,0.208685,0.096326,0.137288,0.085414,0.322164,0.000640,0.005408,0.000960,0.000288,0.989372
0.443483,0.017601,0.208301,0.091846,0.131048,0.082053,0.308243,0.001056,0.005441,0.000928,0.000320,0.990365
0.428794,0.017633,0.208781,0.096902,0.132808,0.083205,0.316308,0.000992,0.005024,0.000992,0.000320,0.984540
0.429210,0.017665,0.208877,0.083333,0.133544,0.083141,0.304083,0.000992,0.001952,0.000832,0.000320,0.970011
0.428730,0.034530,0.208781,0.099430,0.134344,0.085957,0.323892,0.001056,0.004256,0.000960,0.000384,1.009437
0.427738,0.017505,0.209229,0.100422,0.139017,0.076997,0.319764,0.000736,0.004512,0.001024,0.000384,0.987100
0.501886,0.017538,0.208524,0.089702,0.137288,0.082117,0.312820,0.000672,0.005024,0.001024,0.000352,1.053472
0.428954,0.017441,0.227566,0.129992,0.138920,0.078245,0.350998,0.000672,0.002720,0.001120,0.000384,1.036063
0.427866,0.017793,0.208333,0.101126,0.139657,0.117863,0.363894,0.000864,0.002592,0.000929,0.000352,1.029536
0.430426,0.017601,0.208013,0.092998,0.136136,0.114951,0.347670,0.000800,0.002176,0.000864,0.000256,1.012734
0.428442,0.017249,0.208620,0.117032,0.171498,0.078629,0.370903,0.001024,0.003392,0.000897,0.000384,1.035360
0.429755,0.017217,0.207821,0.106022,0.140617,0.078533,0.328436,0.000672,0.005280,0.000864,0.000288,0.995293
0.427386,0.017313,0.208749,0.098374,0.138345,0.077765,0.317396,0.000608,0.002624,0.000992,0.000352,0.980732
0.427323,0.017313,0.207757,0.094405,0.130440,0.074692,0.303250,0.000832,0.001984,0.000801,0.000288,0.965372
0.443004,0.017313,0.208589,0.130632,0.137768,0.075269,0.347413,0.000960,0.002016,0.000960,0.000320,1.026015
0.429178,0.017537,0.208045,0.099206,0.137993,0.079557,0.320436,0.000896,0.003200,0.000832,0.000320,0.985884
0.429274,0.017441,0.207917,0.106375,0.135432,0.077765,0.322804,0.000608,0.002016,0.000800,0.000288,0.985948
0.442652,0.017345,0.208652,0.097510,0.140840,0.078757,0.321107,0.000768,0.001952,0.000769,0.000320,0.999166
0.428378,0.017697,0.208620,0.111143,0.136425,0.079525,0.331285,0.000736,0.002112,0.000864,0.000352,0.996669
0.429690,0.017729,0.209613,0.133832,0.143785,0.099558,0.381431,0.000704,0.002816,0.001280,0.000417,1.050657
0.428634,0.017633,0.227598,0.103975,0.140488,0.084869,0.333205,0.000704,0.002432,0.001248,0.000384,1.018110
0.428091,0.017633,0.208557,0.101446,0.150377,0.102567,0.357878,0.000704,0.002240,0.001184,0.000416,1.022815
0.427643,0.017761,0.209069,0.098502,0.139720,0.118952,0.360758,0.000768,0.003040,0.001216,0.000320,1.026559
0.428411,0.017505,0.208813,0.081861,0.151241,0.076581,0.315603,0.000800,0.002432,0.000896,0.000320,0.980765
