Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.526400,0.018401,0.212365,0.085126,0.139080,0.128168,0.356502,0.003200,0.013825,0.000576,1.138949
0.433018,0.018401,0.232398,0.176811,0.159370,0.093798,0.435067,0.006753,0.003296,0.000672,1.143366
0.431802,0.018241,0.209805,0.102503,0.144233,0.077188,0.328020,0.003776,0.001920,0.000352,0.999453
0.431067,0.018017,0.209933,0.091622,0.136968,0.076101,0.308435,0.003232,0.001472,0.000384,0.977628
0.430042,0.017762,0.209900,0.111526,0.149226,0.074916,0.339605,0.005537,0.000960,0.000352,1.009214
0.433402,0.017601,0.210669,0.094565,0.134985,0.078309,0.311507,0.002592,0.001024,0.000384,0.981532
0.429946,0.017761,0.210253,0.093254,0.149865,0.073541,0.320212,0.005472,0.001152,0.000352,0.989916
0.432539,0.017569,0.209965,0.098566,0.141608,0.091526,0.335316,0.005473,0.001088,0.000384,1.007038
0.429178,0.017793,0.210765,0.089766,0.156841,0.080325,0.330484,0.002241,0.001120,0.000320,0.996221
0.429306,0.017570,0.210380,0.118408,0.147753,0.078277,0.348214,0.005600,0.001248,0.000288,1.017630
0.429051,0.017473,0.209133,0.082309,0.134568,0.084357,0.304370,0.005505,0.001120,0.000288,0.971580
0.444827,0.017570,0.209292,0.123112,0.151337,0.085670,0.363927,0.003232,0.001152,0.000320,1.046464
0.428378,0.017665,0.209645,0.126568,0.149577,0.095814,0.375735,0.002464,0.001152,0.000352,1.040032
0.429211,0.017697,0.209005,0.119303,0.140713,0.092709,0.356086,0.002656,0.001120,0.000320,1.020735
0.428763,0.017569,0.229006,0.095590,0.139688,0.112870,0.351798,0.002816,0.001088,0.000320,1.036896
0.428858,0.017505,0.209741,0.109735,0.147721,0.109287,0.370199,0.005120,0.000832,0.000256,1.037120
0.429978,0.017473,0.210060,0.092134,0.140329,0.113383,0.349142,0.002112,0.001120,0.000320,1.015198
0.429050,0.017538,0.209964,0.114439,0.152201,0.077861,0.349238,0.002048,0.001024,0.000416,1.014142
0.429882,0.017473,0.208909,0.098310,0.135336,0.098470,0.335669,0.005920,0.000928,0.000288,1.003453
0.428506,0.017409,0.209005,0.110887,0.145801,0.100678,0.360758,0.005505,0.000992,0.000320,1.027359
0.441691,0.017441,0.325524,0.162154,0.205132,0.109031,0.480093,0.005856,0.001120,0.000320,1.278095
0.428762,0.017601,0.209901,0.103110,0.140169,0.107270,0.354517,0.005601,0.001248,0.000288,1.024831
