Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.548065,0.017953,0.215309,0.093158,0.141064,0.078085,0.315955,0.002880,0.000608,1.107588
0.431931,0.017729,0.209357,0.114663,0.147113,0.078245,0.343509,0.002112,0.000480,1.012062
0.443451,0.017889,0.209421,0.097286,0.145321,0.080997,0.328020,0.001440,0.000416,1.007230
0.430458,0.017793,0.209165,0.110727,0.153833,0.080740,0.348822,0.001632,0.000480,1.017246
0.428827,0.017729,0.209261,0.103814,0.154729,0.082117,0.344149,0.001600,0.000448,1.007486
0.448635,0.017921,0.209869,0.103750,0.146313,0.072964,0.326516,0.001408,0.000384,1.010142
0.428602,0.017633,0.208908,0.134505,0.146313,0.094662,0.378968,0.001664,0.000416,1.041856
0.428346,0.017729,0.209421,0.103399,0.143176,0.082342,0.333205,0.001536,0.000480,0.997309
0.429210,0.017409,0.225742,0.103174,0.142313,0.072164,0.321267,0.001504,0.000448,1.002014
0.428090,0.017537,0.210061,0.104006,0.149610,0.079877,0.336981,0.001440,0.000448,1.000413
0.428635,0.017889,0.210285,0.106694,0.143305,0.077317,0.330868,0.001536,0.000448,0.995453
0.428507,0.017793,0.209101,0.138856,0.150665,0.077253,0.370294,0.001504,0.000384,1.032671
0.428474,0.017409,0.208876,0.097766,0.143880,0.099334,0.344438,0.001472,0.000416,1.006302
0.428218,0.017601,0.209357,0.105159,0.147081,0.121191,0.377271,0.001440,0.000448,1.041727
0.433018,0.017505,0.208621,0.100870,0.161450,0.073669,0.339829,0.001632,0.000480,1.007037
0.427867,0.017377,0.208557,0.104070,0.152233,0.075013,0.334996,0.001504,0.000480,0.996445
0.428602,0.017409,0.209261,0.100710,0.145609,0.082341,0.332244,0.001504,0.000416,0.994749
0.428954,0.017857,0.208621,0.103366,0.151818,0.096294,0.354934,0.001600,0.000544,1.018078
0.428218,0.017601,0.209069,0.103654,0.151145,0.075781,0.334228,0.001600,0.000544,0.996380
0.428570,0.017441,0.209901,0.102662,0.151370,0.095397,0.353333,0.001536,0.000544,1.016862
0.428155,0.017569,0.209357,0.108326,0.145961,0.076325,0.334516,0.001440,0.000448,0.996861
0.446587,0.017601,0.208621,0.102310,0.144521,0.079813,0.330612,0.001664,0.000480,1.010781
0.427995,0.017601,0.208813,0.100838,0.152489,0.085061,0.341652,0.001472,0.000416,1.003134
0.428218,0.017537,0.208588,0.103591,0.144649,0.084901,0.337557,0.001600,0.000416,1.000349
0.450524,0.018081,0.209101,0.107975,0.146505,0.085541,0.343381,0.001536,0.000416,1.028319
0.428122,0.017825,0.208588,0.104422,0.143497,0.078853,0.330260,0.001408,0.000416,0.991677
0.429723,0.017697,0.208460,0.104966,0.146761,0.084453,0.339892,0.001472,0.000416,1.002814
0.428282,0.017569,0.227501,0.103751,0.146953,0.084197,0.338613,0.001504,0.000448,1.019678
0.429179,0.017409,0.210221,0.106566,0.143849,0.079397,0.333492,0.001568,0.000448,0.997661
0.428026,0.017698,0.209516,0.103367,0.144137,0.082885,0.333781,0.001632,0.000416,0.997085
0.427994,0.017634,0.208748,0.104231,0.175274,0.080548,0.364087,0.001664,0.000416,1.026495
0.428314,0.017601,0.210733,0.100742,0.149321,0.086757,0.340500,0.001441,0.000384,1.004606
0.429018,0.017633,0.208845,0.104071,0.155465,0.084229,0.347477,0.001472,0.000416,1.010558
0.428442,0.017601,0.208749,0.105831,0.152361,0.079813,0.341557,0.001504,0.000512,1.004765
0.428090,0.017601,0.209453,0.103910,0.146249,0.082597,0.336404,0.001505,0.000416,0.998973
0.428378,0.017729,0.209261,0.102406,0.152170,0.076804,0.334869,0.001472,0.000416,0.997661
0.428442,0.017601,0.209133,0.103463,0.151401,0.083557,0.342709,0.001696,0.000512,1.006621
0.442907,0.017601,0.208973,0.103046,0.144329,0.080997,0.331860,0.001472,0.000416,1.008957
