Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.835635,0.057027,0.280625,0.090502,0.145865,0.072548,0.312467,0.000832,1.494076
0.430874,0.017986,0.209964,0.113799,0.155978,0.075013,0.348470,0.000832,1.014174
0.430810,0.017857,0.209517,0.101190,0.144488,0.071173,0.320532,0.000800,0.984796
0.476509,0.017921,0.209069,0.117127,0.148137,0.083525,0.352725,0.000960,1.064736
0.428602,0.018049,0.208845,0.103430,0.145129,0.078949,0.331124,0.000800,0.993468
0.433755,0.018017,0.208749,0.112582,0.146889,0.079940,0.343029,0.000960,1.009694
0.433434,0.017889,0.208813,0.110663,0.146121,0.073092,0.333204,0.000833,1.013470
0.428922,0.017537,0.208621,0.105158,0.146825,0.073925,0.329236,0.000704,0.990268
0.428378,0.017601,0.208908,0.103655,0.146825,0.073764,0.327700,0.000704,0.988124
0.428186,0.017665,0.208749,0.123047,0.143785,0.071333,0.341813,0.000864,1.002845
0.428538,0.017569,0.208589,0.103686,0.146281,0.077413,0.331572,0.000864,0.992924
0.428538,0.017761,0.208780,0.103591,0.140808,0.073765,0.321268,0.000672,0.982172
0.428410,0.017985,0.208749,0.104774,0.145705,0.074757,0.328500,0.000704,0.989212
0.428602,0.017505,0.208525,0.102758,0.145257,0.076325,0.328468,0.000800,0.988668
0.429082,0.017889,0.208045,0.108135,0.143624,0.074533,0.329524,0.000768,0.990300
0.428986,0.018082,0.208908,0.106343,0.145225,0.084069,0.339317,0.000928,1.002237
0.447803,0.017601,0.209453,0.105767,0.148393,0.077348,0.334613,0.000800,1.015262
0.431515,0.017761,0.210189,0.102246,0.147561,0.077253,0.330324,0.001024,0.995773
0.428378,0.017761,0.208813,0.111943,0.148969,0.088293,0.352630,0.000960,1.014398
0.449819,0.018081,0.208749,0.104998,0.148841,0.072068,0.329524,0.000768,1.012381
0.430170,0.017761,0.208557,0.103046,0.147753,0.074468,0.328948,0.000928,0.991356
0.428794,0.017793,0.208653,0.105158,0.147080,0.078372,0.334036,0.000736,0.995164
0.428602,0.017602,0.225325,0.109447,0.147433,0.073573,0.333909,0.000736,1.012190
