Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.549569,0.017857,0.212685,0.005344,0.076869,0.132552,0.057795,0.271376,1.064127
0.430810,0.017889,0.210221,0.005248,0.108967,0.141352,0.061155,0.315027,0.985307
0.478109,0.017729,0.209868,0.005089,0.101190,0.141768,0.059300,0.305970,1.021725
0.429562,0.017601,0.209868,0.005249,0.106598,0.136328,0.057443,0.303922,0.973114
0.430425,0.017601,0.209228,0.005121,0.105574,0.135112,0.057060,0.301202,0.969466
0.429978,0.017921,0.235983,0.005248,0.110311,0.138088,0.059716,0.311411,1.007549
0.429146,0.017697,0.208781,0.005344,0.103718,0.133384,0.058596,0.298994,0.965978
0.432794,0.017473,0.209293,0.005184,0.103750,0.137928,0.059779,0.304787,0.975067
0.429082,0.017537,0.209805,0.005280,0.107462,0.159882,0.061988,0.333012,1.000380
0.429978,0.017569,0.209101,0.005376,0.111335,0.136840,0.061028,0.312403,0.980251
0.428601,0.017633,0.208588,0.005376,0.103143,0.137736,0.059043,0.303507,0.969210
0.430042,0.017761,0.208396,0.005249,0.099942,0.135528,0.057379,0.296242,0.963194
0.429049,0.017729,0.209837,0.005376,0.107911,0.137800,0.058436,0.307411,0.974875
0.429465,0.017633,0.209004,0.005345,0.104934,0.137640,0.059748,0.305618,0.973242
0.429402,0.017729,0.209036,0.005057,0.103526,0.137128,0.058308,0.302482,0.970426
0.447387,0.017665,0.208876,0.005409,0.105478,0.134568,0.058308,0.302130,0.987611
0.429242,0.017601,0.208877,0.005344,0.098918,0.138472,0.059556,0.300242,0.966874
0.428282,0.017505,0.209421,0.005280,0.099462,0.138152,0.059204,0.300306,0.966394
0.431801,0.017729,0.231149,0.005248,0.110791,0.139848,0.057603,0.311955,1.004476
0.429818,0.017729,0.209741,0.005248,0.107590,0.136233,0.057507,0.304914,0.973434
0.431322,0.017665,0.209485,0.005440,0.115463,0.145385,0.067204,0.331636,1.002396
