Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.520832,0.018113,0.212429,0.004896,0.087973,0.112807,0.114695,0.319444,0.001152,0.015681,0.000416,0.001568,0.002592,0.000544,1.106595
0.432858,0.017793,0.209901,0.005024,0.099398,0.116744,0.075940,0.296050,0.000864,0.015297,0.000384,0.001601,0.001248,0.000384,0.989020
0.428282,0.017601,0.209357,0.004896,0.083045,0.110663,0.074117,0.271921,0.000832,0.020801,0.000416,0.001536,0.000896,0.000384,0.963610
0.429146,0.017729,0.210957,0.004896,0.105287,0.118791,0.072164,0.300338,0.000833,0.015712,0.000416,0.001632,0.001184,0.000384,0.990908
0.442491,0.017825,0.209165,0.004896,0.093990,0.112071,0.072836,0.282961,0.001184,0.016417,0.000448,0.001472,0.000960,0.000385,0.985084
0.430682,0.017633,0.209357,0.004992,0.099334,0.111431,0.071941,0.286642,0.000736,0.014305,0.000384,0.001504,0.001088,0.000384,0.975003
0.428090,0.017697,0.209677,0.004992,0.094022,0.114503,0.074756,0.286737,0.000736,0.014593,0.000384,0.001472,0.001120,0.000384,0.972955
0.447099,0.017377,0.209101,0.004864,0.103238,0.127208,0.077956,0.311954,0.001153,0.014496,0.000416,0.001601,0.001184,0.000384,1.016606
0.430650,0.017345,0.208780,0.004897,0.096326,0.117703,0.073892,0.291377,0.000800,0.014209,0.000352,0.001568,0.001121,0.000384,0.977788
0.427546,0.017505,0.208717,0.004960,0.086501,0.114279,0.088486,0.292626,0.000800,0.014433,0.000416,0.001792,0.000992,0.000320,0.978043
0.427930,0.017505,0.209133,0.004960,0.120679,0.117063,0.078789,0.320340,0.000864,0.015937,0.000448,0.001664,0.001184,0.000448,1.008413
0.429466,0.017537,0.208557,0.004960,0.103270,0.126856,0.079301,0.313043,0.000672,0.014401,0.000448,0.001600,0.001152,0.000448,1.000092
0.428506,0.017473,0.209389,0.004928,0.108550,0.115815,0.074884,0.303186,0.000736,0.014689,0.000448,0.001696,0.001185,0.000416,0.990236
0.432891,0.017729,0.213869,0.005313,0.147177,0.125383,0.085701,0.384567,0.000960,0.016225,0.000320,0.001856,0.002624,0.000769,1.089571
0.430331,0.017857,0.210189,0.005312,0.103206,0.120936,0.079941,0.307795,0.000800,0.015137,0.000640,0.001664,0.001856,0.000576,0.998493
0.429370,0.017537,0.209549,0.005280,0.102118,0.118727,0.071653,0.296242,0.000736,0.014209,0.000384,0.001504,0.001152,0.000416,0.983611
0.428986,0.017569,0.210157,0.005313,0.099206,0.119975,0.093542,0.316307,0.000832,0.015457,0.000384,0.001568,0.001152,0.000416,1.005373
0.429754,0.017473,0.209677,0.005409,0.099142,0.123399,0.079653,0.308402,0.000832,0.014113,0.000352,0.001600,0.001120,0.000321,0.995613
0.428602,0.017569,0.210125,0.005280,0.081477,0.109991,0.074596,0.269808,0.001185,0.014752,0.000352,0.001504,0.001184,0.000320,0.957146
0.429082,0.017409,0.209965,0.005440,0.080773,0.111495,0.069540,0.265552,0.000736,0.018306,0.000416,0.001536,0.001024,0.000448,0.956058
0.446140,0.017569,0.208876,0.005249,0.109798,0.116263,0.077060,0.306642,0.000736,0.018082,0.000384,0.001568,0.001088,0.000384,1.014174
0.428826,0.017601,0.208717,0.005248,0.109095,0.119175,0.076101,0.308115,0.000736,0.015329,0.000448,0.001536,0.001216,0.000384,0.995388
0.429178,0.017729,0.208813,0.005344,0.104583,0.119975,0.084165,0.312211,0.000928,0.015361,0.000416,0.001569,0.001056,0.000416,1.000989
0.429562,0.017569,0.229070,0.005377,0.107238,0.118119,0.076068,0.304882,0.000736,0.014145,0.000384,0.001504,0.001152,0.000672,1.012830
0.428154,0.017729,0.208973,0.005248,0.095078,0.112295,0.079428,0.290193,0.000832,0.014208,0.000353,0.001440,0.001056,0.000384,0.975451
0.428378,0.017666,0.209772,0.005313,0.107494,0.116967,0.075205,0.302930,0.000736,0.014113,0.000352,0.001504,0.001024,0.000384,0.990300
0.428922,0.017697,0.209709,0.005312,0.102086,0.137385,0.079077,0.321940,0.000800,0.022497,0.000352,0.001536,0.001056,0.000384,1.017501
0.430522,0.017409,0.209389,0.005344,0.097926,0.114503,0.077989,0.293906,0.000832,0.015425,0.000384,0.001536,0.001024,0.000640,0.984059
0.428474,0.017825,0.208909,0.005344,0.106694,0.118952,0.074340,0.303602,0.000928,0.017666,0.000416,0.001600,0.001056,0.000480,0.993148
0.428410,0.017538,0.210156,0.004897,0.103558,0.117959,0.082821,0.307474,0.001152,0.021570,0.000352,0.001536,0.001152,0.000416,1.001981
0.428570,0.017601,0.209101,0.005440,0.100838,0.121351,0.076420,0.302866,0.001088,0.015297,0.000352,0.001569,0.001024,0.000576,0.991644
0.430010,0.017601,0.209549,0.005376,0.104326,0.120200,0.076100,0.304147,0.000736,0.015457,0.000384,0.001536,0.001024,0.000416,0.993404
0.429210,0.017569,0.210572,0.005281,0.099558,0.112391,0.078437,0.294098,0.000736,0.015297,0.000384,0.001568,0.001216,0.000608,0.984476
0.451420,0.017825,0.210797,0.005248,0.102886,0.120776,0.073380,0.300754,0.000768,0.013985,0.000352,0.001472,0.001248,0.000480,1.011870
0.429978,0.017889,0.210669,0.005312,0.098342,0.114759,0.070148,0.286770,0.000800,0.015201,0.000384,0.001632,0.001184,0.000640,0.977179
0.433914,0.018306,0.210508,0.005281,0.104038,0.119847,0.077221,0.304658,0.000736,0.014113,0.000416,0.001536,0.001120,0.000416,0.997821
0.450972,0.017665,0.210477,0.005312,0.094598,0.109895,0.079364,0.287217,0.001120,0.015265,0.000384,0.001568,0.001152,0.000416,0.998717
0.428826,0.017761,0.210572,0.005312,0.105286,0.119720,0.084805,0.313491,0.000800,0.015233,0.000352,0.001504,0.001152,0.000672,1.004285
0.428794,0.017729,0.209805,0.005344,0.100422,0.119656,0.092645,0.316371,0.000736,0.014177,0.000384,0.001473,0.001152,0.000416,1.002973
0.428794,0.017569,0.210157,0.005088,0.123880,0.118727,0.076709,0.323028,0.000768,0.014337,0.000384,0.001504,0.001248,0.000640,1.011229
0.434874,0.017537,0.209740,0.005377,0.107878,0.121992,0.079845,0.313203,0.001056,0.017889,0.000480,0.001472,0.001120,0.000576,1.011645
0.429146,0.018209,0.210381,0.005248,0.102311,0.130312,0.076836,0.313171,0.000768,0.013952,0.000416,0.001568,0.001184,0.000384,1.001757
0.431803,0.017569,0.209837,0.005312,0.103270,0.119176,0.097029,0.323284,0.001216,0.017889,0.000416,0.001440,0.001312,0.000608,1.018430
0.429146,0.017665,0.209836,0.005057,0.102022,0.118023,0.091558,0.315155,0.000704,0.014945,0.000384,0.001472,0.001280,0.000416,1.003805
0.433338,0.017761,0.209389,0.005248,0.104583,0.120391,0.078533,0.307059,0.000800,0.014433,0.000352,0.001504,0.001344,0.000416,0.999228
0.430618,0.017761,0.210317,0.005408,0.104231,0.119495,0.079621,0.306995,0.000768,0.014977,0.000384,0.001504,0.001120,0.000608,0.997596
0.429146,0.017569,0.209068,0.005377,0.102758,0.113959,0.079589,0.299474,0.000800,0.014529,0.000352,0.001504,0.001248,0.000416,0.986524
0.433370,0.017409,0.209773,0.005216,0.106439,0.119687,0.074629,0.304627,0.000704,0.014209,0.000384,0.001504,0.001216,0.000672,0.996508
0.428986,0.017633,0.209421,0.005056,0.103238,0.118631,0.083749,0.309043,0.000800,0.014305,0.000352,0.001472,0.001280,0.000352,0.995612
0.449691,0.017761,0.209228,0.005313,0.106726,0.118855,0.109670,0.338676,0.000832,0.015425,0.000448,0.001600,0.001153,0.000384,1.047904
0.429498,0.017921,0.210093,0.005312,0.102119,0.119143,0.075012,0.299891,0.000832,0.014241,0.000416,0.001568,0.001184,0.000416,0.989020
0.428826,0.017665,0.208653,0.005216,0.115783,0.120456,0.080965,0.320788,0.000800,0.014849,0.000352,0.001472,0.001248,0.000608,1.008637
0.450651,0.017697,0.210029,0.005185,0.106086,0.115719,0.086341,0.311474,0.000705,0.015008,0.000417,0.001568,0.001280,0.000608,1.023006
0.428698,0.017761,0.209293,0.004928,0.098566,0.119528,0.095365,0.317076,0.000736,0.015649,0.000480,0.001600,0.001184,0.000608,1.005949
0.428506,0.017570,0.209804,0.005281,0.102982,0.118183,0.076741,0.301170,0.000736,0.014945,0.000416,0.001536,0.001184,0.000416,0.988476
0.428506,0.017473,0.209197,0.023617,0.098598,0.115079,0.075493,0.292850,0.000864,0.014081,0.000384,0.001504,0.001056,0.000448,0.997212
0.429210,0.017729,0.210029,0.005504,0.101030,0.120296,0.081125,0.305843,0.000768,0.015617,0.000384,0.001568,0.001248,0.000576,0.995836
0.428634,0.017537,0.209165,0.005440,0.106919,0.119399,0.076933,0.306771,0.000768,0.014753,0.000384,0.001440,0.001184,0.000608,0.993820
0.429338,0.017601,0.209133,0.005440,0.101799,0.120615,0.099110,0.325044,0.000736,0.014177,0.000352,0.001536,0.001280,0.000608,1.012829
0.429946,0.017377,0.210093,0.004896,0.101926,0.118439,0.089510,0.313363,0.000992,0.014721,0.000416,0.001536,0.001152,0.000640,1.002204
0.429242,0.017825,0.208461,0.004928,0.103142,0.119976,0.078564,0.305234,0.000800,0.014528,0.000480,0.001505,0.001248,0.000384,0.991580
