Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.521984,0.018337,0.212397,0.005344,0.078213,0.116775,0.071237,0.270321,0.014465,0.000736,0.001472,0.010625,0.000608,1.065185
0.429530,0.018209,0.211725,0.005472,0.115815,0.115623,0.078788,0.314195,0.014816,0.000544,0.001665,0.002016,0.000384,1.007037
0.429018,0.017601,0.210797,0.005440,0.098182,0.113927,0.070980,0.286417,0.015233,0.000512,0.001472,0.001056,0.000320,0.974555
0.447420,0.017633,0.210220,0.005120,0.107334,0.119464,0.087525,0.317651,0.014913,0.000544,0.001376,0.001120,0.000384,1.023518
0.429946,0.017729,0.210349,0.005152,0.109287,0.118375,0.079493,0.310835,0.016417,0.000544,0.001696,0.001120,0.000416,1.003356
0.429466,0.017665,0.209997,0.005344,0.104295,0.119591,0.087045,0.314131,0.014977,0.000544,0.001408,0.001280,0.000384,1.002493
0.446395,0.017601,0.209421,0.005120,0.106439,0.120679,0.078757,0.309107,0.014913,0.000480,0.001440,0.001216,0.000384,1.013853
0.428794,0.017505,0.208621,0.004928,0.101158,0.112583,0.078885,0.295922,0.014913,0.000512,0.001504,0.001056,0.000352,0.981307
0.428538,0.017473,0.208813,0.004896,0.105830,0.116903,0.078884,0.305010,0.014689,0.000576,0.001536,0.001153,0.000384,0.990876
0.429274,0.017505,0.225678,0.005056,0.102790,0.119463,0.081604,0.306899,0.014432,0.000512,0.001473,0.001248,0.000384,1.009789
0.429466,0.017474,0.208844,0.004864,0.109318,0.115527,0.079077,0.306962,0.014721,0.000544,0.001696,0.001248,0.000576,0.995164
0.432090,0.018017,0.208909,0.004928,0.105991,0.120647,0.074500,0.304211,0.014592,0.000545,0.001600,0.001120,0.000448,0.993468
0.427962,0.017377,0.209389,0.005088,0.131112,0.118536,0.085381,0.338229,0.014177,0.000512,0.001472,0.001184,0.000448,1.023358
0.429338,0.017473,0.209132,0.004864,0.106054,0.124328,0.116231,0.349653,0.014721,0.000928,0.001536,0.001280,0.000672,1.036830
0.428569,0.017409,0.208876,0.004864,0.107654,0.118952,0.086437,0.316467,0.014433,0.000576,0.001504,0.001216,0.000384,1.003452
0.427865,0.017345,0.209292,0.004961,0.104966,0.120487,0.100103,0.328788,0.014561,0.000512,0.001536,0.001248,0.000480,1.014013
0.430362,0.017409,0.208429,0.004928,0.100551,0.120679,0.076101,0.300467,0.014401,0.000512,0.001504,0.001120,0.000352,0.986812
0.428090,0.017473,0.208493,0.004960,0.105127,0.120935,0.073957,0.303219,0.014368,0.000577,0.001472,0.001088,0.000352,0.987100
0.428730,0.017345,0.208589,0.004992,0.098758,0.114055,0.080005,0.295826,0.014401,0.000576,0.001504,0.001152,0.000352,0.980795
0.428570,0.017377,0.208653,0.004960,0.094726,0.113703,0.070820,0.282642,0.014464,0.000545,0.001472,0.001120,0.000352,0.966747
0.428410,0.017377,0.208652,0.004929,0.107846,0.118855,0.078468,0.308530,0.015009,0.000608,0.001536,0.001089,0.000384,0.995229
0.430042,0.017633,0.208813,0.004896,0.107367,0.120967,0.079877,0.311411,0.015361,0.000512,0.001504,0.001312,0.000384,0.998876
0.446523,0.017409,0.210029,0.005344,0.105863,0.119591,0.079845,0.308435,0.014337,0.000608,0.001504,0.001280,0.000384,1.013341
0.430138,0.017409,0.209325,0.004896,0.104390,0.118216,0.075076,0.301138,0.014593,0.000480,0.001504,0.001184,0.000384,0.988476
0.427898,0.017538,0.208716,0.004928,0.102566,0.118215,0.073348,0.297425,0.014400,0.000512,0.001441,0.001280,0.000352,0.982012
0.427930,0.017601,0.227214,0.005024,0.104263,0.115527,0.073220,0.296498,0.014529,0.000544,0.001536,0.001120,0.000384,0.999293
0.427994,0.017441,0.208621,0.004896,0.094598,0.114151,0.091653,0.303987,0.014592,0.000576,0.001504,0.001152,0.000384,0.988636
0.427929,0.017377,0.208396,0.005089,0.101734,0.118087,0.078149,0.301426,0.014337,0.000512,0.001536,0.001184,0.000384,0.984859
0.428154,0.017473,0.208397,0.004928,0.101990,0.134248,0.071076,0.310803,0.014689,0.000512,0.001536,0.001120,0.000352,0.995388
0.428666,0.017441,0.208428,0.004961,0.101990,0.119303,0.079077,0.303826,0.014401,0.000576,0.001536,0.001152,0.000384,0.988347
0.428634,0.017441,0.209004,0.004993,0.105510,0.119623,0.077701,0.306162,0.014561,0.000544,0.001504,0.001120,0.000384,0.994332
0.428889,0.017345,0.209580,0.005569,0.102470,0.119943,0.103815,0.329332,0.014465,0.000544,0.001472,0.001024,0.000384,1.016062
0.430042,0.017409,0.208684,0.005313,0.101830,0.121703,0.086790,0.313619,0.014817,0.000544,0.001504,0.000992,0.000352,0.999997
0.428826,0.017921,0.209644,0.005089,0.104038,0.121095,0.080997,0.309138,0.014241,0.000608,0.001408,0.001120,0.000416,0.994781
0.427833,0.017409,0.208460,0.004865,0.105190,0.118727,0.078373,0.305426,0.014465,0.000512,0.001472,0.001152,0.000416,0.989883
0.450331,0.017409,0.208397,0.005472,0.097414,0.119463,0.072069,0.292018,0.014337,0.000512,0.001376,0.001216,0.000384,0.997948
0.428985,0.017377,0.208492,0.005377,0.097958,0.119591,0.083269,0.304402,0.014433,0.000512,0.001408,0.000960,0.000384,0.989115
