Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.524064,0.018113,0.212333,0.005120,0.082597,0.127463,0.098982,0.315124,0.001056,0.002432,0.012897,0.000352,1.100899
0.429306,0.017985,0.210349,0.005056,0.105703,0.133736,0.126311,0.370167,0.000928,0.003008,0.001632,0.000800,1.047231
0.449211,0.017601,0.208493,0.005088,0.095654,0.129640,0.090981,0.319443,0.000704,0.002624,0.001120,0.000448,1.010813
0.428378,0.017570,0.209932,0.005057,0.109350,0.138569,0.090533,0.342292,0.000896,0.002881,0.001152,0.000416,1.018174
0.428346,0.017633,0.209260,0.005057,0.100134,0.131368,0.087557,0.322291,0.000800,0.002592,0.001121,0.000416,0.993404
0.447995,0.017473,0.209357,0.004992,0.109095,0.135208,0.122344,0.369879,0.000768,0.002400,0.001184,0.000416,1.062112
0.428185,0.018241,0.209036,0.005153,0.107878,0.136041,0.092837,0.340756,0.000960,0.002720,0.001088,0.000448,1.016381
0.428634,0.017473,0.209037,0.005120,0.103942,0.130631,0.081028,0.320212,0.000928,0.002368,0.001120,0.000736,0.992220
0.430778,0.017569,0.226669,0.005217,0.103142,0.133672,0.089894,0.330068,0.001024,0.002304,0.001152,0.000416,1.022238
0.428090,0.017601,0.208845,0.005056,0.102566,0.136073,0.108966,0.350549,0.000704,0.005505,0.001056,0.000384,1.023710
0.429146,0.017537,0.209421,0.005120,0.103782,0.136232,0.120008,0.363062,0.000768,0.005504,0.001152,0.000448,1.037950
0.428410,0.017505,0.208397,0.005152,0.101702,0.156778,0.104262,0.366358,0.000736,0.002688,0.001120,0.000480,1.038623
0.428762,0.017569,0.208109,0.005088,0.102086,0.135337,0.100966,0.341525,0.000896,0.005152,0.001056,0.000384,1.015005
0.432858,0.017569,0.208045,0.005120,0.105606,0.131367,0.085093,0.325460,0.000896,0.005408,0.001280,0.000416,1.004988
0.439163,0.017697,0.208685,0.004960,0.108935,0.137352,0.106822,0.356150,0.000768,0.004032,0.001120,0.000384,1.039583
0.431066,0.017665,0.208076,0.005216,0.105287,0.131272,0.076709,0.317588,0.000896,0.002400,0.001088,0.000384,0.991324
0.429274,0.017633,0.209613,0.005056,0.106534,0.132616,0.097094,0.339925,0.000928,0.003264,0.001280,0.000416,1.015422
0.431034,0.017921,0.208844,0.005024,0.103015,0.135656,0.084293,0.326260,0.000928,0.002784,0.001153,0.000448,1.001373
0.428538,0.017538,0.208812,0.005089,0.104166,0.132488,0.096390,0.336180,0.000864,0.002752,0.001152,0.000512,1.008253
0.428186,0.017505,0.209133,0.005120,0.100646,0.135752,0.103590,0.343093,0.000736,0.002144,0.001120,0.000448,1.013309
