Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.542336,0.017697,0.214157,0.004801,0.076772,0.131368,0.076805,0.288945,0.002976,0.013793,0.000672,1.094082
0.432410,0.017505,0.210477,0.005120,0.113095,0.136552,0.090566,0.344021,0.006208,0.001728,0.000544,1.026269
0.429946,0.017569,0.209964,0.005280,0.102918,0.135848,0.078437,0.320275,0.004064,0.001057,0.000576,0.994684
0.431386,0.017537,0.210541,0.005184,0.106598,0.138121,0.085445,0.334036,0.004352,0.001120,0.000640,1.011933
0.431578,0.017601,0.209645,0.005152,0.101990,0.136648,0.105351,0.347413,0.002720,0.001312,0.000416,1.021629
0.430266,0.017601,0.209133,0.005120,0.115847,0.141481,0.089573,0.350901,0.002849,0.001120,0.000416,1.025374
0.462204,0.017505,0.209101,0.005056,0.104774,0.135561,0.083205,0.327668,0.002752,0.001152,0.000384,1.032542
0.428378,0.017409,0.209197,0.005120,0.103782,0.135336,0.083237,0.325780,0.002944,0.001088,0.000384,0.996604
0.428250,0.017409,0.208685,0.005248,0.105927,0.136776,0.088933,0.335477,0.003872,0.001120,0.000448,1.007933
0.449115,0.017601,0.208365,0.004864,0.096358,0.129352,0.071812,0.300946,0.002433,0.001024,0.000384,0.991292
0.428442,0.017473,0.208300,0.005185,0.101062,0.135912,0.116231,0.356533,0.002784,0.001025,0.000416,1.026494
0.428858,0.017345,0.208461,0.005056,0.096518,0.133672,0.093158,0.326708,0.002592,0.001184,0.000416,0.997020
0.429914,0.017249,0.225229,0.005248,0.100678,0.134696,0.082501,0.321203,0.002656,0.001184,0.000448,1.009693
0.428186,0.017473,0.208717,0.005088,0.096774,0.128072,0.080933,0.309299,0.003456,0.001216,0.000384,0.980731
0.429210,0.017473,0.208813,0.005120,0.103078,0.134632,0.090533,0.331796,0.002496,0.001056,0.000384,1.002716
0.428250,0.017505,0.208364,0.005089,0.103974,0.172522,0.105350,0.386231,0.003520,0.001056,0.000480,1.058495
0.429306,0.017409,0.208397,0.004896,0.101414,0.142953,0.080357,0.328052,0.002752,0.001088,0.000384,0.998620
0.427929,0.017474,0.208908,0.004960,0.102151,0.135400,0.088261,0.329140,0.003425,0.001056,0.000352,0.999580
0.428826,0.017378,0.208204,0.004960,0.103687,0.134760,0.084741,0.326804,0.003008,0.001248,0.000384,0.997597
