Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.528960,0.017697,0.211948,0.005313,0.083237,0.127751,0.099142,0.313906,0.021185,0.000704,1.107747
0.432122,0.017569,0.209741,0.005440,0.115719,0.142281,0.095206,0.357046,0.002688,0.000672,1.033118
0.448443,0.017505,0.208588,0.004929,0.105350,0.138889,0.084613,0.332628,0.001376,0.000672,1.020189
0.430586,0.017698,0.208780,0.004896,0.110599,0.139817,0.076548,0.330644,0.001728,0.000513,1.002045
0.429882,0.017601,0.209644,0.005088,0.105510,0.137641,0.077348,0.324051,0.001504,0.000448,0.994492
0.449563,0.017505,0.208844,0.004929,0.105286,0.139305,0.079844,0.328019,0.001664,0.000704,1.017949
0.430041,0.017665,0.208428,0.005057,0.106150,0.138280,0.132392,0.380534,0.001569,0.000448,1.049951
0.429434,0.017537,0.208717,0.005024,0.109063,0.140904,0.083493,0.337076,0.001568,0.000448,1.005725
0.429786,0.034498,0.208717,0.004928,0.109607,0.139912,0.078820,0.331988,0.001600,0.000673,1.018398
0.429658,0.017473,0.208461,0.004992,0.106662,0.139721,0.082853,0.333108,0.001696,0.000416,1.001756
0.428697,0.017601,0.208364,0.004865,0.108614,0.139305,0.083461,0.335124,0.001504,0.000416,1.004028
0.430233,0.017761,0.208108,0.005121,0.150825,0.141704,0.079685,0.376598,0.001408,0.000448,1.045790
0.429626,0.017569,0.209261,0.004992,0.106151,0.139848,0.092614,0.342421,0.001632,0.000448,1.011741
0.428954,0.017377,0.208525,0.004960,0.123623,0.140009,0.082693,0.349877,0.001600,0.000448,1.017533
0.429754,0.017761,0.208269,0.004992,0.110791,0.162154,0.077700,0.354325,0.001600,0.000480,1.022846
0.429082,0.017441,0.208300,0.004961,0.104102,0.135624,0.079749,0.322835,0.001600,0.000672,0.990811
0.428730,0.017537,0.208269,0.005088,0.110183,0.141128,0.083301,0.338293,0.001440,0.000384,1.005629
0.428698,0.017569,0.208877,0.004992,0.101350,0.136585,0.074852,0.316499,0.001568,0.000673,0.984380
0.429241,0.017569,0.208812,0.004929,0.094053,0.143817,0.074213,0.315763,0.001472,0.000416,0.984251
0.429562,0.017537,0.209293,0.004992,0.108391,0.133128,0.087461,0.332628,0.001536,0.000448,1.002301
0.429018,0.017601,0.208685,0.004960,0.103750,0.139561,0.085637,0.333684,0.001728,0.000736,1.004188
0.448667,0.017921,0.208492,0.005121,0.103686,0.138408,0.082021,0.327891,0.001633,0.000640,1.015741
0.430138,0.018177,0.209165,0.004928,0.115527,0.135880,0.079973,0.334932,0.001472,0.000576,1.004540
0.430074,0.017569,0.208717,0.004960,0.100614,0.139241,0.087013,0.330388,0.001440,0.000672,0.999708
0.428698,0.034690,0.208812,0.004961,0.100230,0.140712,0.080133,0.324627,0.001376,0.000544,1.009628
0.428634,0.017345,0.208397,0.005120,0.132744,0.142281,0.083333,0.362326,0.001408,0.000544,1.029502
0.428698,0.017409,0.208588,0.004961,0.105446,0.140680,0.081892,0.331572,0.001440,0.000448,0.998876
0.429178,0.017409,0.208396,0.005153,0.128391,0.139721,0.114119,0.386039,0.001472,0.000448,1.053951
0.429369,0.017473,0.208908,0.004833,0.102950,0.138184,0.083973,0.328755,0.001472,0.000416,0.997180
0.428730,0.017473,0.209165,0.005120,0.108455,0.137512,0.132008,0.381751,0.001472,0.000416,1.050175
0.429754,0.017761,0.208589,0.005376,0.101543,0.165033,0.084165,0.354710,0.001440,0.000416,1.024478
0.429530,0.018241,0.208333,0.005088,0.131496,0.144553,0.088869,0.368534,0.001536,0.000416,1.038526
0.428730,0.017377,0.208461,0.004992,0.102086,0.133992,0.072933,0.312723,0.001312,0.000448,0.979867
0.428986,0.017377,0.208653,0.004992,0.099142,0.138729,0.080772,0.322164,0.001472,0.000672,0.989916
0.429018,0.017857,0.208940,0.004961,0.107686,0.139497,0.082149,0.333012,0.001440,0.000448,1.001340
0.429114,0.017665,0.208813,0.004960,0.104967,0.138504,0.088549,0.335508,0.001505,0.000480,1.003741
0.429401,0.017473,0.208620,0.004961,0.109030,0.141289,0.082629,0.336244,0.001344,0.000416,1.004188
0.464860,0.018369,0.209389,0.005056,0.135272,0.139753,0.071940,0.351093,0.001216,0.000448,1.055936
0.429082,0.017377,0.208301,0.004960,0.111911,0.133896,0.088261,0.337332,0.001376,0.000416,1.003549
0.428826,0.017665,0.208684,0.004992,0.093029,0.163594,0.082117,0.344276,0.001600,0.000480,1.012765
0.444475,0.017921,0.208429,0.005440,0.124200,0.141576,0.074821,0.344693,0.001408,0.000416,1.029598
0.429818,0.017537,0.208685,0.004928,0.088869,0.163786,0.079621,0.336052,0.001280,0.000384,1.003836
0.432666,0.017537,0.213548,0.005024,0.112359,0.141256,0.083973,0.341492,0.001600,0.000448,1.018878
0.428570,0.017505,0.228270,0.005280,0.100742,0.139753,0.091077,0.334836,0.001537,0.000448,1.022814
0.428121,0.017409,0.209837,0.004896,0.102183,0.140456,0.080677,0.326740,0.001248,0.000512,0.994427
0.428154,0.017409,0.209548,0.004929,0.100422,0.142920,0.080324,0.326771,0.001440,0.000384,0.994460
0.429818,0.017633,0.209165,0.004896,0.101510,0.153098,0.079620,0.338613,0.001504,0.000416,1.009181
0.427866,0.017505,0.209037,0.004960,0.098918,0.134440,0.103942,0.340724,0.001440,0.000384,1.007421
0.428377,0.017633,0.208556,0.005025,0.102662,0.135880,0.077413,0.319347,0.001408,0.000448,0.986395
0.429562,0.017281,0.209004,0.004897,0.100486,0.137032,0.083589,0.324339,0.001408,0.000416,0.993179
0.429882,0.017633,0.208781,0.004896,0.101702,0.130824,0.091302,0.327636,0.001664,0.000672,0.998396
0.428762,0.017633,0.208781,0.004960,0.108614,0.135081,0.077060,0.324051,0.001440,0.000384,0.991708
0.428602,0.017377,0.208845,0.005344,0.134536,0.143113,0.076548,0.357557,0.001313,0.000608,1.025726
0.444858,0.017537,0.208588,0.004992,0.108231,0.136648,0.086438,0.334741,0.001344,0.000672,1.018813
0.438010,0.017537,0.209197,0.005024,0.125096,0.140680,0.097862,0.366902,0.001280,0.000640,1.044350
0.428857,0.017698,0.208364,0.005024,0.109159,0.134152,0.078821,0.325620,0.001440,0.000544,0.993403
0.446139,0.017569,0.208460,0.004929,0.100166,0.131048,0.086117,0.320563,0.001312,0.000640,1.005148
0.427770,0.017825,0.208684,0.004929,0.097094,0.136328,0.119239,0.355957,0.001344,0.000416,1.021501
0.428026,0.017729,0.208845,0.005056,0.102342,0.133800,0.075621,0.314963,0.001344,0.000640,0.982939
0.428378,0.017793,0.208429,0.004992,0.119527,0.133736,0.116871,0.373686,0.001376,0.000416,1.040191
0.429242,0.017442,0.209932,0.005088,0.108295,0.132328,0.131240,0.375479,0.001504,0.000448,1.045663
0.428538,0.017505,0.208748,0.005153,0.130440,0.140264,0.075141,0.349525,0.001440,0.000384,1.017277
0.428570,0.017505,0.209133,0.004960,0.106151,0.154889,0.104390,0.368918,0.001377,0.000448,1.035775
0.427930,0.017953,0.209549,0.004928,0.094182,0.134408,0.077029,0.308947,0.001280,0.000384,0.976667
0.428025,0.017505,0.208812,0.005088,0.101350,0.135080,0.090885,0.330644,0.001248,0.000352,0.997243
0.428346,0.017633,0.208621,0.004960,0.111367,0.139464,0.078885,0.333012,0.001408,0.000704,1.000668
0.429562,0.017633,0.208621,0.005120,0.106631,0.132232,0.081349,0.323348,0.001376,0.000608,0.991036
0.427962,0.017793,0.208557,0.004864,0.101702,0.133480,0.084549,0.323059,0.001504,0.000640,0.989404
0.428314,0.017377,0.208908,0.005057,0.100998,0.135592,0.087589,0.327763,0.001377,0.000608,0.995292
0.448891,0.017825,0.208204,0.005024,0.105159,0.134696,0.071268,0.314547,0.001312,0.000576,1.002332
0.428858,0.017761,0.208620,0.004961,0.108806,0.137513,0.084133,0.334324,0.001568,0.000448,1.004508
0.428186,0.017505,0.208781,0.004960,0.097414,0.137352,0.098438,0.336436,0.001344,0.000384,1.003100
0.428121,0.017377,0.227022,0.005536,0.100038,0.131623,0.113831,0.348853,0.001344,0.000704,1.034430
0.427929,0.017249,0.208172,0.004864,0.125800,0.136840,0.075909,0.341909,0.001408,0.000384,1.007676
0.428026,0.017409,0.209100,0.004929,0.111430,0.132296,0.083589,0.331700,0.001408,0.000480,0.999612
0.428378,0.017505,0.208877,0.004928,0.130472,0.130312,0.083013,0.347509,0.001280,0.000416,1.014877
0.428089,0.017538,0.208684,0.004960,0.099494,0.133800,0.093317,0.330004,0.001472,0.000608,0.997403
0.428602,0.017345,0.208588,0.004929,0.107302,0.134088,0.121160,0.365814,0.001440,0.000384,1.032606
0.428601,0.017633,0.209005,0.004992,0.112167,0.133928,0.110183,0.359830,0.001664,0.000448,1.027742
