Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.525535,0.017793,0.213901,0.004929,0.102470,0.137608,0.120327,0.364021,0.000896,1.133508
0.454107,0.017633,0.210412,0.004929,0.106886,0.138569,0.096773,0.346484,0.000928,1.041343
0.431162,0.017953,0.209293,0.004832,0.099686,0.137480,0.087302,0.328084,0.000608,0.998684
0.429082,0.017793,0.209901,0.004864,0.102726,0.139305,0.104934,0.350197,0.000672,1.018781
0.428794,0.017601,0.229934,0.005153,0.108102,0.139432,0.078884,0.329811,0.000576,1.017341
0.428282,0.017377,0.209197,0.005088,0.100134,0.138408,0.089478,0.332084,0.000640,0.998588
0.427801,0.017313,0.209293,0.005088,0.100294,0.132200,0.079653,0.315571,0.000672,0.980890
0.428986,0.017377,0.208844,0.005313,0.093349,0.131144,0.129672,0.357909,0.000640,1.024413
0.428729,0.017345,0.208908,0.005057,0.103302,0.138312,0.090758,0.335540,0.000672,1.001500
0.428474,0.017313,0.208781,0.005184,0.097830,0.138504,0.074629,0.314035,0.000640,0.979515
0.427929,0.017313,0.208877,0.005056,0.123592,0.138984,0.095142,0.361078,0.000704,1.026429
0.428314,0.017441,0.208364,0.005313,0.108518,0.133160,0.074149,0.320531,0.000704,0.987195
0.429530,0.017473,0.209517,0.005216,0.101126,0.140649,0.095301,0.340532,0.000832,1.009373
0.429018,0.017601,0.208780,0.005249,0.100358,0.138600,0.108103,0.350453,0.000672,1.017021
0.446203,0.017441,0.208300,0.004960,0.101414,0.137576,0.090278,0.332436,0.000640,1.015133
0.427897,0.017569,0.208684,0.004928,0.103015,0.138312,0.114887,0.359382,0.000576,1.023933
0.427866,0.017441,0.208365,0.004960,0.095494,0.132040,0.076356,0.307315,0.000576,0.971291
0.428538,0.036226,0.208460,0.004896,0.117351,0.133032,0.084165,0.337748,0.000704,1.021661
0.429465,0.017889,0.208076,0.005024,0.099653,0.136232,0.086309,0.325523,0.000576,0.990971
0.427546,0.017313,0.207949,0.005056,0.095526,0.135944,0.112199,0.346709,0.000576,1.009853
0.429914,0.017441,0.207981,0.004896,0.119879,0.136873,0.091877,0.352053,0.000608,1.017213
0.427962,0.017505,0.207948,0.005185,0.100678,0.138248,0.079397,0.321331,0.000640,0.985275
0.429722,0.017473,0.209101,0.005120,0.099526,0.134568,0.079301,0.317043,0.000736,0.986395
0.429114,0.017441,0.208748,0.004865,0.109926,0.138921,0.113063,0.366966,0.000832,1.037374
0.430041,0.017441,0.208908,0.005281,0.108966,0.141609,0.080165,0.334548,0.000768,1.004668
0.428602,0.017473,0.208813,0.005120,0.101030,0.140713,0.085541,0.330420,0.000640,0.997116
0.428698,0.017633,0.208173,0.005216,0.104806,0.143304,0.086789,0.338836,0.000704,1.005629
0.428570,0.017377,0.208268,0.004865,0.107910,0.139144,0.083909,0.334516,0.000640,0.999836
0.428666,0.017409,0.208493,0.004928,0.101062,0.142089,0.080101,0.326932,0.000704,0.993212
0.428345,0.017409,0.208140,0.005024,0.103014,0.144168,0.080805,0.331443,0.000672,0.996539
0.448539,0.017345,0.208397,0.005280,0.102278,0.142377,0.076612,0.324404,0.000672,1.009661
0.428186,0.017377,0.208268,0.005025,0.099366,0.141288,0.080581,0.324531,0.000672,0.990075
0.428762,0.017377,0.209420,0.005057,0.096710,0.136776,0.082501,0.320403,0.000864,0.988507
0.429114,0.017377,0.224077,0.005217,0.102918,0.140360,0.075332,0.322195,0.000640,1.004028
0.429369,0.017409,0.208173,0.005088,0.102822,0.136456,0.084485,0.327156,0.000640,0.993308
0.428409,0.017377,0.208237,0.005056,0.103399,0.141288,0.083525,0.331060,0.000608,0.996027
0.429593,0.017313,0.208237,0.005088,0.100102,0.159978,0.076037,0.339445,0.000704,1.005692
0.428346,0.017345,0.208941,0.005152,0.103366,0.139337,0.077860,0.323795,0.000609,0.989660
0.428537,0.017441,0.208172,0.005280,0.099078,0.141225,0.101094,0.344565,0.000736,1.010012
0.427897,0.017537,0.208397,0.005408,0.100486,0.140649,0.115751,0.360342,0.000768,1.025757
0.429593,0.017345,0.208140,0.005344,0.096998,0.141513,0.091045,0.332468,0.000608,0.998235
0.428441,0.017634,0.208428,0.005312,0.100934,0.139048,0.116903,0.360566,0.000544,1.027549
0.429146,0.017697,0.210381,0.004992,0.102214,0.143209,0.083077,0.332020,0.000544,1.001148
0.444507,0.017569,0.209133,0.005376,0.100870,0.141353,0.080421,0.325684,0.000544,1.008061
0.428346,0.017409,0.208620,0.005185,0.096486,0.139112,0.079781,0.318899,0.000608,0.984091
0.430905,0.017505,0.208748,0.005216,0.098373,0.137801,0.074596,0.314162,0.000640,0.982106
0.446363,0.017569,0.208557,0.005248,0.098310,0.137416,0.084293,0.323347,0.000640,1.006268
0.429305,0.017313,0.209325,0.005184,0.098790,0.137193,0.077092,0.317075,0.000704,0.984923
0.427898,0.017313,0.208077,0.005216,0.093606,0.129191,0.080805,0.307282,0.000576,0.971354
0.427929,0.017761,0.208108,0.005120,0.133383,0.151657,0.069476,0.359190,0.000608,1.023965
0.428378,0.017377,0.208205,0.005280,0.096934,0.136552,0.082949,0.320211,0.000672,0.985532
0.429626,0.017345,0.208268,0.005249,0.100006,0.137160,0.091622,0.332276,0.000576,0.998876
0.428505,0.017538,0.208556,0.005216,0.104807,0.140200,0.080293,0.328692,0.000672,0.996347
0.428154,0.017345,0.208364,0.005089,0.105574,0.139144,0.075621,0.323763,0.000736,0.988987
0.427513,0.017633,0.208140,0.005024,0.098374,0.138345,0.074116,0.314163,0.000608,0.978682
0.428186,0.017313,0.208301,0.005312,0.117927,0.152073,0.092486,0.367606,0.000768,1.032670
0.443258,0.017537,0.208364,0.005056,0.119879,0.139144,0.111911,0.374039,0.000576,1.053887
0.428025,0.017313,0.208204,0.004896,0.099046,0.136873,0.078564,0.317587,0.000641,0.981499
0.428665,0.017313,0.208045,0.004832,0.098822,0.133704,0.075173,0.310803,0.000608,0.974842
0.460732,0.017825,0.208428,0.004897,0.100742,0.139752,0.078373,0.323827,0.000736,1.021725
0.428377,0.017313,0.208333,0.005344,0.102310,0.137097,0.113767,0.356470,0.000608,1.022046
0.428409,0.017505,0.208268,0.005280,0.097797,0.130984,0.076453,0.308626,0.000576,0.973754
0.433082,0.017409,0.232142,0.005184,0.106438,0.136648,0.111879,0.358261,0.000608,1.053119
0.428537,0.017377,0.208460,0.005088,0.103270,0.131496,0.075844,0.313874,0.000672,0.978874
0.428314,0.017377,0.209229,0.004832,0.118055,0.137768,0.076997,0.335828,0.000640,1.001340
0.427770,0.017569,0.208365,0.004864,0.099622,0.150921,0.082757,0.336500,0.000608,1.000476
0.429369,0.017409,0.208333,0.004864,0.095334,0.136776,0.116295,0.351733,0.000608,1.017117
0.428249,0.017569,0.208173,0.005024,0.096742,0.132872,0.082789,0.315667,0.000672,0.979898
0.427898,0.017345,0.208460,0.005089,0.088261,0.128744,0.082629,0.302802,0.000544,0.967130
0.427930,0.017281,0.208652,0.004833,0.127431,0.137929,0.082405,0.351093,0.000640,1.015293
0.428762,0.017281,0.208588,0.004928,0.102278,0.137768,0.079653,0.322931,0.000672,0.988539
0.428505,0.017377,0.209132,0.004928,0.099781,0.137032,0.079525,0.319539,0.000608,0.985307
0.450555,0.017569,0.212397,0.004896,0.105350,0.139465,0.076516,0.325171,0.000609,1.018237
0.428249,0.017634,0.209228,0.004896,0.092934,0.136808,0.096518,0.329396,0.000576,0.994907
0.427993,0.017377,0.208812,0.004928,0.100390,0.138281,0.079749,0.321620,0.000512,0.986267
0.429242,0.017569,0.230318,0.005248,0.101830,0.137001,0.086821,0.328852,0.000576,1.017853
0.428186,0.017441,0.208428,0.004897,0.099494,0.138952,0.107238,0.348788,0.000544,1.013405
0.428346,0.017505,0.208492,0.004896,0.100870,0.138568,0.087013,0.329652,0.000640,0.994940
0.428121,0.017281,0.208749,0.004896,0.118823,0.134568,0.070661,0.327668,0.000544,0.992315
0.428569,0.017409,0.209005,0.004896,0.096806,0.137448,0.113063,0.350293,0.000608,1.015421
0.430106,0.017537,0.208620,0.005121,0.104934,0.137736,0.087494,0.333524,0.000672,1.001916
0.432666,0.017602,0.209964,0.004992,0.108615,0.142089,0.100422,0.355382,0.000576,1.027102
0.430202,0.017409,0.209356,0.004897,0.105702,0.138985,0.081477,0.330036,0.000608,0.999772
0.428858,0.017313,0.208300,0.004800,0.094949,0.139305,0.085573,0.323923,0.000704,0.990107
0.428666,0.017409,0.208365,0.004896,0.102054,0.138761,0.083845,0.327988,0.000544,0.992892
0.448187,0.017633,0.208748,0.004801,0.124071,0.139081,0.090085,0.356437,0.000576,1.041502
