Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.540767,0.018145,0.214156,0.005281,0.048771,0.104038,0.091333,0.055748,0.255055,1.088481
0.429401,0.018273,0.209516,0.005504,0.048675,0.095334,0.083077,0.060260,0.242703,0.959449
0.433402,0.018209,0.211053,0.005216,0.049059,0.121095,0.094982,0.059747,0.280241,1.005116
0.428953,0.018433,0.226413,0.005024,0.048962,0.105863,0.086181,0.056099,0.252015,0.986170
0.430618,0.017953,0.209676,0.005345,0.047970,0.112487,0.096934,0.059651,0.272785,0.990363
0.428698,0.017665,0.210028,0.005408,0.047875,0.105030,0.097094,0.057251,0.263183,0.978842
0.429369,0.017569,0.210284,0.005248,0.048387,0.129928,0.097798,0.060387,0.292145,1.008476
0.429146,0.017761,0.209420,0.005121,0.048099,0.107206,0.088229,0.057700,0.257231,0.973562
0.428793,0.017889,0.209165,0.005152,0.048131,0.106438,0.087877,0.062276,0.260303,0.975385
0.430809,0.017666,0.208524,0.005056,0.048579,0.104486,0.087206,0.056227,0.251887,0.967737
0.429945,0.018241,0.208621,0.005312,0.048611,0.109254,0.092582,0.060580,0.265904,0.982266
0.429017,0.018049,0.209005,0.005344,0.048387,0.104710,0.083173,0.058308,0.249871,0.965145
0.428537,0.017698,0.208812,0.005408,0.048515,0.111495,0.088773,0.065540,0.269328,0.983706
0.443866,0.017889,0.208589,0.005440,0.050339,0.107974,0.098054,0.058244,0.267792,0.999611
0.429882,0.017633,0.209804,0.005313,0.048195,0.113382,0.099590,0.059108,0.276176,0.993275
0.428409,0.017761,0.209388,0.005248,0.048963,0.111175,0.093254,0.063651,0.271920,0.987706
0.446138,0.017665,0.209325,0.005184,0.048419,0.103622,0.087877,0.057764,0.253135,0.985818
0.429946,0.017921,0.209068,0.005505,0.048419,0.109958,0.091686,0.064836,0.270608,0.987739
0.428441,0.017761,0.209453,0.005248,0.047715,0.106918,0.089158,0.059363,0.258991,0.973113
0.428122,0.017825,0.230286,0.005504,0.048195,0.128551,0.091557,0.059331,0.283217,1.019357
0.428025,0.017889,0.209100,0.004896,0.048643,0.105734,0.088454,0.061603,0.260015,0.975098
0.429817,0.017793,0.209901,0.005088,0.047875,0.104646,0.095014,0.062595,0.265999,0.981882
0.428313,0.017761,0.209197,0.004992,0.049827,0.108134,0.087878,0.062915,0.278288,0.994426
0.428185,0.017569,0.209965,0.005184,0.048035,0.103494,0.085477,0.057156,0.249807,0.964633
0.428377,0.017697,0.209133,0.005248,0.049795,0.108423,0.094149,0.059428,0.265904,0.982458
0.429017,0.017889,0.209197,0.005056,0.048035,0.109734,0.092390,0.059140,0.265584,0.981402
0.442394,0.017953,0.208781,0.005120,0.047875,0.105478,0.086789,0.057987,0.254031,0.982138
0.428473,0.017889,0.209452,0.005280,0.048291,0.109991,0.087909,0.059012,0.261104,0.976922
0.427930,0.017729,0.209452,0.005088,0.048546,0.104999,0.086053,0.059299,0.253967,0.968601
