Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.524223,0.017697,0.212461,0.004896,0.047011,0.093158,0.063491,0.079140,0.239630,0.014721,0.000704,0.001504,0.002593,0.000544,1.074272
0.430554,0.017569,0.229870,0.005024,0.048291,0.103174,0.060964,0.081349,0.248911,0.014305,0.000864,0.001664,0.001856,0.000384,1.007868
0.429561,0.017602,0.209068,0.004928,0.049251,0.103367,0.062211,0.073093,0.242287,0.015137,0.000896,0.001664,0.001664,0.000384,0.981082
0.430042,0.017505,0.208876,0.004865,0.049859,0.112615,0.066884,0.077476,0.260431,0.014785,0.000864,0.001632,0.001281,0.000384,0.999548
0.428378,0.017409,0.209164,0.004961,0.048803,0.105126,0.098790,0.079941,0.287185,0.014657,0.000640,0.001536,0.001184,0.000448,1.022109
0.429977,0.017473,0.208460,0.004928,0.047587,0.101318,0.061700,0.073156,0.240591,0.015168,0.000672,0.001440,0.001088,0.000416,0.976474
0.429433,0.017505,0.209036,0.005024,0.047715,0.104262,0.064835,0.089990,0.262224,0.014273,0.000672,0.001536,0.001088,0.000384,0.996379
0.428314,0.017569,0.208973,0.004960,0.048899,0.105030,0.061860,0.076965,0.247279,0.014977,0.000448,0.001504,0.001120,0.000384,0.982171
0.430522,0.017633,0.210412,0.004929,0.048195,0.106694,0.067556,0.080101,0.257775,0.014977,0.000480,0.001664,0.001216,0.000448,0.997083
0.429050,0.017473,0.209004,0.004897,0.048931,0.101318,0.062276,0.077540,0.244558,0.014561,0.000448,0.001504,0.001024,0.000385,0.979771
0.427962,0.017441,0.208845,0.004896,0.048131,0.112486,0.066852,0.087013,0.270384,0.014529,0.000960,0.001440,0.000896,0.000416,1.003676
0.449787,0.017506,0.208940,0.004896,0.048323,0.105703,0.062179,0.071877,0.243247,0.014305,0.000704,0.001568,0.001088,0.000416,0.999580
0.428346,0.017473,0.208684,0.004833,0.048867,0.107398,0.065636,0.080133,0.256431,0.014433,0.000672,0.001504,0.001120,0.000384,0.991323
0.427642,0.017537,0.208844,0.004929,0.050243,0.103110,0.062948,0.074372,0.243630,0.014497,0.000896,0.001568,0.001057,0.000416,0.979515
0.444315,0.017601,0.208940,0.004961,0.048643,0.095845,0.059620,0.078405,0.236942,0.014273,0.000704,0.001600,0.001088,0.000416,0.986939
0.427833,0.017345,0.208845,0.004928,0.050051,0.093254,0.061028,0.075812,0.233710,0.014305,0.000640,0.001440,0.001088,0.000416,0.968026
