Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.543072,0.017665,0.213069,0.005152,0.047747,0.081605,0.075557,0.068388,0.229646,0.001056,0.002144,0.003104,0.000384,1.072095
0.433370,0.017697,0.209836,0.004865,0.048835,0.093797,0.082949,0.089382,0.269808,0.001152,0.001824,0.001696,0.000352,0.996507
0.430745,0.017697,0.209324,0.004896,0.084389,0.110758,0.090822,0.070724,0.276208,0.000896,0.001888,0.001376,0.000416,1.035901
0.429945,0.017761,0.208909,0.005184,0.048899,0.098086,0.075461,0.073220,0.250415,0.000768,0.002112,0.001280,0.000416,0.972633
0.429305,0.017761,0.208909,0.004928,0.048643,0.104294,0.081861,0.076485,0.266768,0.000736,0.003168,0.001536,0.000416,0.990715
0.429370,0.017601,0.208429,0.004992,0.048355,0.102054,0.081221,0.078021,0.264688,0.000992,0.002720,0.001120,0.000416,0.985947
0.429498,0.017537,0.208556,0.004865,0.047746,0.106631,0.081989,0.076836,0.268688,0.000993,0.002016,0.001216,0.000384,0.988699
0.428698,0.017697,0.208748,0.005025,0.048099,0.107494,0.077221,0.074052,0.262511,0.000960,0.002177,0.001376,0.000384,0.983419
0.428730,0.017633,0.208268,0.005217,0.047587,0.094565,0.074597,0.071140,0.244590,0.000704,0.001952,0.001120,0.000416,0.963674
0.447099,0.017601,0.208461,0.004832,0.048707,0.110343,0.081733,0.075236,0.270960,0.001088,0.002080,0.001441,0.000384,1.011229
0.428410,0.017409,0.208140,0.005024,0.048610,0.103079,0.080292,0.079492,0.266352,0.000928,0.002145,0.001312,0.000384,0.986171
0.431674,0.017473,0.208397,0.004896,0.048963,0.108391,0.080997,0.091621,0.284657,0.000640,0.002048,0.001088,0.000352,1.007933
0.446170,0.017377,0.208812,0.004992,0.049059,0.109959,0.082949,0.078309,0.274897,0.000704,0.002240,0.001152,0.000512,1.014332
0.429177,0.017601,0.208524,0.004960,0.049091,0.102918,0.081028,0.072965,0.260432,0.000704,0.001920,0.001152,0.000448,0.982202
0.428473,0.017985,0.208332,0.004864,0.048579,0.108359,0.075076,0.079908,0.267376,0.001152,0.002241,0.001312,0.000384,0.988987
0.428634,0.017409,0.229486,0.005120,0.048579,0.111591,0.077541,0.068772,0.261744,0.000768,0.002048,0.001216,0.000416,1.003612
0.430362,0.017473,0.212141,0.004928,0.048387,0.112231,0.078116,0.082533,0.277008,0.001024,0.002433,0.001632,0.000416,1.004252
0.429113,0.017409,0.210412,0.004928,0.048707,0.109895,0.083333,0.087205,0.283985,0.000960,0.002113,0.001472,0.000384,1.007452
0.428282,0.017633,0.210445,0.004896,0.065092,0.108039,0.088389,0.072420,0.272784,0.000672,0.002049,0.001248,0.000416,1.011869
0.428954,0.017441,0.210157,0.004896,0.048707,0.099558,0.076933,0.081252,0.261456,0.000768,0.002016,0.001152,0.000352,0.984187
0.428986,0.017633,0.209772,0.004897,0.047970,0.103238,0.076292,0.076837,0.260271,0.000800,0.002400,0.001152,0.000384,0.982650
0.428346,0.017537,0.209740,0.004961,0.048195,0.105094,0.081061,0.101254,0.291281,0.000736,0.002112,0.001152,0.000480,1.012636
0.427993,0.017313,0.209964,0.004832,0.047683,0.101798,0.076389,0.070180,0.252463,0.000672,0.001729,0.001088,0.000416,0.971482
0.427962,0.017409,0.209484,0.004865,0.048674,0.107878,0.082213,0.080869,0.274576,0.000864,0.001888,0.001056,0.000384,0.994555
0.428250,0.017441,0.209549,0.005120,0.048163,0.106566,0.079269,0.076677,0.266448,0.000768,0.001984,0.001152,0.000480,0.987259
0.428313,0.017569,0.208716,0.005089,0.048354,0.107911,0.079749,0.079525,0.271057,0.000672,0.002112,0.001216,0.000384,0.991739
