Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-7],OUT[7],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.519039,0.018721,0.212332,0.004865,0.048067,0.119527,0.082405,0.084293,0.291217,0.002240,0.002976,0.000416,1.107233
0.434362,0.017601,0.209997,0.004928,0.048515,0.118119,0.096006,0.074596,0.292305,0.002401,0.000992,0.000352,1.017661
0.429690,0.017697,0.237774,0.005504,0.047683,0.095526,0.075365,0.078340,0.254063,0.002497,0.001248,0.000480,1.005500
0.429370,0.017569,0.208940,0.005345,0.047970,0.088294,0.076772,0.075973,0.244559,0.002368,0.001120,0.000448,0.964185
0.429050,0.017345,0.208845,0.005376,0.047907,0.091333,0.074597,0.073156,0.242574,0.003424,0.001281,0.000384,0.963418
0.428665,0.017569,0.208397,0.005312,0.048227,0.091782,0.104422,0.072100,0.272432,0.002272,0.001217,0.000384,0.991867
0.428441,0.017377,0.208108,0.004832,0.047811,0.094502,0.079269,0.075300,0.252495,0.002336,0.001185,0.000480,0.970426
0.429689,0.017473,0.208812,0.004928,0.047779,0.099302,0.085925,0.084325,0.273617,0.002176,0.001312,0.000512,0.994619
0.429818,0.017729,0.208204,0.004961,0.048035,0.128039,0.085765,0.095270,0.312498,0.003712,0.001089,0.000416,1.034110
0.428890,0.017377,0.208620,0.004993,0.046978,0.088294,0.077156,0.071205,0.240495,0.002720,0.000992,0.000448,0.958361
0.428473,0.017313,0.208973,0.004960,0.047235,0.090885,0.074501,0.073796,0.242734,0.004097,0.000960,0.000416,0.961273
0.428825,0.017377,0.209805,0.004864,0.047299,0.100454,0.081797,0.079717,0.265200,0.002368,0.001120,0.000384,0.984442
0.452635,0.017345,0.208140,0.004833,0.046883,0.095493,0.078789,0.072772,0.252079,0.002176,0.000928,0.000416,0.991419
0.429241,0.017601,0.208397,0.004864,0.046883,0.092037,0.075557,0.068100,0.239374,0.002048,0.001024,0.000384,0.955864
0.429050,0.017537,0.209229,0.004960,0.047843,0.106758,0.087109,0.085925,0.283601,0.002432,0.001312,0.000352,1.004028
0.428890,0.017697,0.222989,0.005217,0.049315,0.101542,0.076292,0.075397,0.257647,0.002656,0.001248,0.000512,0.995483
0.428922,0.017377,0.208204,0.004961,0.048419,0.134280,0.079652,0.074788,0.292369,0.002368,0.000928,0.000320,1.010588
0.431386,0.017793,0.209453,0.004832,0.048739,0.105702,0.088326,0.075428,0.273136,0.002624,0.001280,0.000384,0.997148
0.430394,0.017441,0.208973,0.004896,0.048099,0.105574,0.083045,0.103942,0.296657,0.002561,0.001120,0.000320,1.017501
0.429498,0.017377,0.208780,0.004833,0.049443,0.099429,0.076772,0.074181,0.253935,0.002144,0.001056,0.000320,0.973466
0.428985,0.017505,0.208620,0.004864,0.047267,0.097062,0.080965,0.077156,0.258767,0.002945,0.001248,0.000320,0.976762
0.431353,0.017345,0.208652,0.005184,0.048899,0.093446,0.087301,0.073381,0.257296,0.002240,0.001024,0.000352,0.978586
0.456667,0.017569,0.208908,0.004864,0.048067,0.104263,0.088837,0.080933,0.277969,0.002304,0.001152,0.000416,1.025181
0.429114,0.017505,0.208812,0.005217,0.048899,0.133160,0.084165,0.074404,0.295025,0.002432,0.001216,0.000352,1.015164
0.429081,0.017441,0.209292,0.005089,0.049890,0.104102,0.076388,0.080805,0.264751,0.002368,0.001153,0.000384,0.986907
0.444986,0.017825,0.208877,0.004896,0.049923,0.100742,0.081669,0.072356,0.258255,0.002849,0.001248,0.000416,0.995803
0.429081,0.017473,0.208877,0.004896,0.048099,0.103686,0.082885,0.073317,0.263536,0.002208,0.001216,0.000384,0.982970
0.430938,0.017697,0.208972,0.005281,0.049667,0.105670,0.082661,0.079685,0.271696,0.002624,0.001504,0.000448,0.995867
0.431034,0.017441,0.227310,0.005344,0.047907,0.101606,0.080997,0.075876,0.262255,0.002464,0.001216,0.000448,1.002460
0.428538,0.017473,0.208940,0.004993,0.048419,0.101062,0.082885,0.081637,0.268784,0.002112,0.001120,0.000384,0.986875
0.429498,0.017377,0.208652,0.004865,0.048802,0.101543,0.075908,0.075909,0.256304,0.002432,0.001152,0.000352,0.975930
0.429241,0.017601,0.208460,0.004896,0.048835,0.104455,0.082149,0.107302,0.297618,0.002304,0.001024,0.000352,1.017308
0.428857,0.017665,0.208332,0.004928,0.048803,0.098342,0.082885,0.076709,0.260976,0.002048,0.001248,0.000352,0.979994
0.429081,0.017409,0.208205,0.004896,0.047651,0.101286,0.081029,0.095846,0.281713,0.001984,0.001088,0.000352,0.998683
0.428601,0.017697,0.208460,0.005312,0.047107,0.105862,0.082341,0.080389,0.272816,0.002241,0.001248,0.000480,0.991419
0.428665,0.017441,0.208461,0.005024,0.047715,0.100102,0.080197,0.078948,0.263503,0.002112,0.001216,0.000384,0.982554
0.428954,0.017473,0.208876,0.004801,0.047715,0.106054,0.081541,0.084293,0.276560,0.002304,0.001184,0.000384,0.995771
0.429273,0.017313,0.209452,0.004992,0.049347,0.104583,0.091141,0.078981,0.278737,0.003072,0.001312,0.000512,1.002107
0.449499,0.017409,0.209133,0.005024,0.048131,0.101670,0.078533,0.074340,0.257967,0.002208,0.001121,0.000416,0.997852
0.429082,0.017281,0.208364,0.005345,0.047843,0.099750,0.082052,0.081348,0.266287,0.002081,0.001088,0.000384,0.983675
0.429017,0.017345,0.208557,0.005280,0.048195,0.101894,0.082629,0.079717,0.267344,0.002048,0.001024,0.000320,0.985690
0.428378,0.017281,0.229070,0.005472,0.047843,0.102854,0.076645,0.076516,0.259247,0.002049,0.000992,0.000320,0.997500
0.429402,0.017377,0.208589,0.004800,0.047939,0.099334,0.082437,0.076196,0.262095,0.002145,0.001120,0.000384,0.982203
0.428569,0.017441,0.208365,0.005056,0.048707,0.122823,0.081925,0.077765,0.286001,0.002592,0.001248,0.000320,1.005403
0.428377,0.017345,0.208717,0.004832,0.047139,0.107270,0.075429,0.096646,0.282961,0.002656,0.001312,0.000512,1.001627
0.428697,0.017601,0.208877,0.004928,0.046915,0.101958,0.082149,0.074180,0.261807,0.002145,0.001088,0.000384,0.979290
0.428730,0.017377,0.208812,0.004833,0.048994,0.096102,0.082885,0.072389,0.254704,0.002368,0.001120,0.000384,0.974106
0.429081,0.017409,0.208557,0.004864,0.047683,0.108999,0.082436,0.074212,0.269360,0.002240,0.001440,0.000384,0.988506
0.429338,0.017569,0.208621,0.004896,0.047011,0.105638,0.081925,0.071428,0.262639,0.002080,0.001088,0.000384,0.980475
0.428217,0.017409,0.208269,0.004864,0.046915,0.100294,0.081765,0.073508,0.258831,0.002176,0.000992,0.000416,0.974138
0.428793,0.017377,0.208589,0.004896,0.046979,0.105350,0.082949,0.071909,0.263952,0.002144,0.000928,0.000384,0.980602
0.447642,0.017633,0.208876,0.004992,0.046915,0.100102,0.080069,0.074469,0.260208,0.002496,0.001152,0.000480,0.998811
0.429306,0.017601,0.208300,0.005056,0.046915,0.100934,0.080869,0.071460,0.256719,0.001984,0.001056,0.000416,0.974298
0.428762,0.017441,0.208364,0.004896,0.047266,0.098150,0.074533,0.085061,0.260880,0.002144,0.001120,0.000384,0.977690
0.429209,0.017313,0.208557,0.004992,0.067428,0.102982,0.080453,0.117223,0.304818,0.002112,0.001121,0.000448,1.044414
0.428345,0.017441,0.208876,0.004896,0.046979,0.104422,0.082436,0.079813,0.269712,0.001984,0.001088,0.000384,0.985947
0.428346,0.017601,0.208364,0.004961,0.047427,0.102822,0.076036,0.068804,0.251023,0.002048,0.001184,0.000384,0.967738
0.429882,0.017441,0.208812,0.004929,0.047395,0.107974,0.081637,0.109511,0.303602,0.002240,0.001216,0.000416,1.023517
0.428409,0.017473,0.209645,0.005408,0.047299,0.103238,0.086437,0.080389,0.273232,0.002080,0.001152,0.000384,0.991387
0.428505,0.017441,0.208749,0.004864,0.046883,0.100934,0.076101,0.081860,0.262288,0.002048,0.001152,0.000352,0.978330
0.428313,0.017601,0.208429,0.004896,0.047011,0.103654,0.080229,0.077989,0.265648,0.002144,0.001120,0.000352,0.982202
0.457435,0.018177,0.208429,0.004896,0.046979,0.131272,0.082981,0.072900,0.290673,0.002208,0.001024,0.000320,1.036349
0.428473,0.017505,0.208717,0.004896,0.046947,0.104294,0.081957,0.074820,0.264560,0.002272,0.001120,0.000352,0.981914
0.429113,0.017409,0.208685,0.005408,0.046851,0.101478,0.081509,0.077220,0.264367,0.002016,0.001088,0.000416,0.982171
0.444666,0.017570,0.208556,0.004928,0.047523,0.104358,0.075941,0.074916,0.258767,0.002496,0.001216,0.000352,0.993659
0.428569,0.017377,0.209037,0.005344,0.047715,0.110663,0.082597,0.071364,0.268144,0.002336,0.001248,0.000512,0.987066
0.430714,0.017537,0.209708,0.005345,0.047426,0.106119,0.076836,0.076517,0.263056,0.002560,0.001184,0.000512,0.985627
0.429626,0.017473,0.228398,0.005536,0.048675,0.103622,0.076069,0.080837,0.263888,0.002112,0.001184,0.000448,1.004508
0.430361,0.017601,0.209452,0.005344,0.048675,0.107591,0.082373,0.078340,0.272081,0.005408,0.001152,0.000480,0.997019
0.428762,0.017473,0.209228,0.005409,0.048483,0.102566,0.081157,0.076868,0.264367,0.002145,0.000960,0.000352,0.983963
0.428858,0.017441,0.209324,0.004928,0.049379,0.101222,0.103846,0.068740,0.277552,0.002208,0.001121,0.000416,0.997660
0.428985,0.017409,0.209452,0.004928,0.048227,0.101062,0.082117,0.072517,0.259152,0.002112,0.001024,0.000384,0.978554
0.428634,0.017409,0.208364,0.004896,0.047907,0.105095,0.082085,0.072164,0.262960,0.002336,0.001088,0.000480,0.980378
0.429818,0.017281,0.208748,0.005024,0.047267,0.130568,0.083429,0.071396,0.288849,0.002208,0.001184,0.000416,1.007292
0.428890,0.017377,0.208396,0.005249,0.047715,0.110886,0.081829,0.074181,0.270928,0.002336,0.001152,0.000384,0.990139
0.428666,0.017889,0.208844,0.005313,0.048675,0.099429,0.081092,0.080261,0.264111,0.002016,0.001152,0.000417,0.983387
0.430617,0.017409,0.208621,0.004992,0.047875,0.095334,0.076836,0.083365,0.259311,0.005760,0.001248,0.000384,0.983674
0.447067,0.017505,0.208333,0.004960,0.047395,0.101158,0.081541,0.071460,0.257551,0.002560,0.001216,0.000544,0.993787
0.428762,0.017505,0.208525,0.004896,0.048003,0.106854,0.079909,0.089829,0.279824,0.002913,0.001248,0.000448,0.998556
0.428441,0.017569,0.208429,0.004832,0.047715,0.104070,0.081445,0.072996,0.262128,0.002592,0.001088,0.000384,0.980378
0.428282,0.017601,0.226606,0.005280,0.047331,0.103590,0.080997,0.075428,0.263471,0.002049,0.001152,0.000416,0.999228
0.429177,0.017569,0.208781,0.004928,0.046915,0.092901,0.074917,0.073988,0.244974,0.002336,0.001121,0.000448,0.962169
0.428505,0.017505,0.208620,0.004992,0.047075,0.099334,0.082629,0.072452,0.257872,0.002016,0.001088,0.000416,0.974906
0.428762,0.017601,0.208556,0.004865,0.047042,0.101382,0.081380,0.101222,0.288178,0.002176,0.001152,0.000512,1.006428
0.428473,0.017441,0.208749,0.004960,0.047107,0.100582,0.075236,0.073189,0.252463,0.002016,0.001184,0.000384,0.969017
0.429529,0.017409,0.208525,0.004864,0.047043,0.108806,0.079909,0.072453,0.264784,0.002144,0.001120,0.000384,0.982746
0.429689,0.017729,0.209388,0.004928,0.046947,0.104486,0.079492,0.079973,0.268784,0.002688,0.001312,0.000480,0.990587
0.446074,0.017441,0.208525,0.004928,0.046979,0.102438,0.076229,0.072548,0.255023,0.002560,0.001120,0.000384,0.989562
0.428345,0.018273,0.208269,0.004864,0.047651,0.102534,0.082405,0.078277,0.266672,0.002208,0.001344,0.000352,0.984282
0.429721,0.017473,0.208204,0.004960,0.047075,0.102406,0.075941,0.076356,0.258480,0.002240,0.001184,0.000352,0.976474
0.452186,0.017537,0.208396,0.005024,0.046979,0.103590,0.081605,0.071077,0.259760,0.001952,0.000992,0.000384,0.999227
0.428506,0.017569,0.208396,0.004897,0.047107,0.100037,0.075396,0.088005,0.267119,0.002209,0.001152,0.000480,0.983675
0.428826,0.017473,0.208012,0.004865,0.047107,0.127335,0.082501,0.077669,0.291249,0.002304,0.001216,0.000448,1.008252
0.428313,0.017601,0.208877,0.004864,0.061764,0.103846,0.077669,0.080965,0.266480,0.002240,0.001728,0.000416,0.999899
0.429178,0.017377,0.208300,0.004961,0.047715,0.104038,0.081893,0.074980,0.264239,0.002272,0.001217,0.000384,0.982491
0.428346,0.017345,0.208172,0.004896,0.046978,0.098022,0.075109,0.068484,0.244975,0.001984,0.001056,0.000352,0.960889
0.429849,0.017473,0.209836,0.004928,0.047235,0.106567,0.077572,0.077765,0.265360,0.002432,0.001312,0.000448,0.986522
0.428729,0.017409,0.209164,0.004832,0.047363,0.102758,0.090918,0.084741,0.281777,0.003584,0.001152,0.000384,1.001115
0.428441,0.017569,0.209292,0.004896,0.046883,0.104966,0.085125,0.088741,0.282225,0.002848,0.001120,0.000384,0.999899
0.504094,0.029698,0.244302,0.005089,0.068100,0.147817,0.131624,0.124679,0.408632,0.003296,0.001120,0.000416,1.273324
