Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.526431,0.017729,0.227149,0.004928,0.049219,0.106151,0.089573,0.067460,0.267248,0.011905,0.000448,1.112898
0.429786,0.017793,0.212301,0.004896,0.049411,0.110374,0.080357,0.071173,0.266128,0.001856,0.000704,0.989883
0.431481,0.018433,0.211500,0.004833,0.049251,0.100038,0.082309,0.083909,0.270480,0.002048,0.000480,0.996507
0.430106,0.017377,0.229709,0.005281,0.049411,0.108198,0.086757,0.071429,0.269968,0.001312,0.000448,1.011356
0.429946,0.017345,0.209420,0.005025,0.048451,0.110214,0.086949,0.086918,0.287857,0.001504,0.000448,1.008988
0.429274,0.017537,0.209100,0.004896,0.049155,0.105319,0.085157,0.073188,0.267088,0.001376,0.000512,0.985082
0.428473,0.017441,0.209132,0.004896,0.049251,0.107783,0.108614,0.078501,0.298962,0.001312,0.000480,1.016572
0.428378,0.017345,0.209100,0.004961,0.049539,0.105798,0.085093,0.076837,0.271536,0.001344,0.000416,0.989051
0.428537,0.017442,0.209388,0.005056,0.048675,0.112711,0.085477,0.075717,0.277937,0.001696,0.000416,0.996539
0.428570,0.017377,0.208908,0.004961,0.049731,0.105286,0.084133,0.076581,0.269616,0.001408,0.000480,0.987483
0.429754,0.017377,0.208940,0.004929,0.048930,0.110470,0.085829,0.076677,0.276368,0.001472,0.000480,0.994747
0.429337,0.017345,0.208780,0.004864,0.048899,0.102374,0.085413,0.076484,0.268400,0.001280,0.000480,0.986459
0.429945,0.017377,0.209389,0.004864,0.049379,0.104166,0.081093,0.074949,0.264144,0.001472,0.000608,0.984026
0.446394,0.017441,0.209260,0.004896,0.048739,0.108903,0.084645,0.072804,0.270000,0.001248,0.000480,1.005148
0.428570,0.017441,0.209453,0.004896,0.049667,0.109958,0.085157,0.074980,0.274000,0.001408,0.000512,0.993051
0.428409,0.017569,0.208685,0.004896,0.050083,0.104422,0.086758,0.073796,0.268656,0.001344,0.000448,0.986618
0.450491,0.017441,0.208908,0.004929,0.049763,0.105158,0.081541,0.072900,0.263311,0.001280,0.000384,1.002939
0.428986,0.017537,0.209580,0.004929,0.049443,0.108454,0.085861,0.074277,0.272848,0.001408,0.000448,0.992795
