Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.522463,0.017985,0.213325,0.004960,0.047587,0.075941,0.079557,0.075204,0.234446,0.000928,1.049566
0.430041,0.017954,0.211180,0.004928,0.048099,0.105895,0.096741,0.088358,0.294258,0.000864,1.014012
0.429370,0.017665,0.209324,0.005057,0.048259,0.100582,0.083749,0.076932,0.264687,0.000960,0.982170
0.429177,0.018369,0.210989,0.004960,0.048675,0.107239,0.088965,0.085925,0.286289,0.001280,1.006811
0.428505,0.017825,0.209357,0.004896,0.048419,0.104870,0.087494,0.079908,0.275760,0.000801,0.992315
0.428697,0.017953,0.208941,0.005280,0.048387,0.107334,0.087494,0.078020,0.276080,0.000736,0.992474
0.429082,0.018049,0.209740,0.005025,0.048643,0.103110,0.095078,0.076196,0.277936,0.000704,0.995515
0.446362,0.017857,0.209164,0.005056,0.047971,0.098630,0.080357,0.078245,0.261104,0.000800,0.995195
0.428249,0.017697,0.209068,0.004928,0.047971,0.105478,0.082692,0.078180,0.270064,0.000800,0.985210
0.428634,0.017857,0.209452,0.004897,0.048707,0.104102,0.082405,0.090533,0.280496,0.000800,0.996507
0.428570,0.017825,0.225997,0.005057,0.049315,0.105798,0.081285,0.079493,0.270256,0.000768,1.004892
0.428281,0.017825,0.208653,0.004864,0.048931,0.105062,0.087141,0.113670,0.309554,0.000800,1.024732
0.429146,0.017793,0.209868,0.004897,0.048066,0.103782,0.081701,0.118887,0.307858,0.000768,1.024861
0.429018,0.017377,0.209100,0.004865,0.067044,0.104070,0.082149,0.079685,0.269072,0.000768,1.004124
0.429082,0.017601,0.208780,0.004896,0.048931,0.101670,0.082277,0.074245,0.261936,0.000768,0.977914
0.429785,0.017633,0.209005,0.004960,0.048771,0.102982,0.081605,0.087429,0.275280,0.000768,0.992186
0.428409,0.017697,0.208780,0.005088,0.048803,0.098950,0.086693,0.079173,0.268400,0.000704,0.983610
0.429113,0.017665,0.208716,0.005088,0.048419,0.107079,0.097765,0.119912,0.328404,0.000800,1.045694
0.428538,0.017633,0.208556,0.004961,0.048386,0.103719,0.087781,0.077541,0.272657,0.000704,0.987515
0.428665,0.017857,0.209101,0.004992,0.048995,0.103910,0.081957,0.075333,0.265136,0.000800,0.982010
0.448090,0.017633,0.208781,0.004960,0.048963,0.107462,0.082341,0.074693,0.268560,0.000800,1.005212
0.429113,0.017665,0.208493,0.004960,0.048803,0.103942,0.084261,0.089670,0.282289,0.000960,0.998843
0.428985,0.017761,0.209132,0.004992,0.048771,0.103238,0.087429,0.085381,0.279857,0.000960,0.996731
0.445946,0.017825,0.208973,0.004928,0.048931,0.105606,0.081957,0.082661,0.273776,0.000736,1.007419
0.428857,0.017569,0.208589,0.004864,0.048195,0.095589,0.080260,0.082725,0.261967,0.000672,0.977017
0.430682,0.017345,0.208940,0.004864,0.048771,0.098822,0.080805,0.075973,0.259408,0.000672,0.976602
0.428217,0.017473,0.229390,0.005408,0.048835,0.103975,0.084293,0.113318,0.305138,0.000704,1.041694
0.429785,0.017857,0.208908,0.004960,0.048547,0.102342,0.084389,0.091365,0.281969,0.000800,0.999483
0.429370,0.017793,0.209260,0.004897,0.048802,0.102727,0.086725,0.094597,0.287634,0.000704,1.004572
0.428410,0.017793,0.209548,0.005057,0.048962,0.125896,0.095974,0.078532,0.304274,0.000832,1.022045
0.428474,0.017441,0.209548,0.004993,0.049026,0.103270,0.087365,0.082181,0.277457,0.000736,0.994203
0.428730,0.017377,0.208364,0.005057,0.048451,0.104038,0.083141,0.086917,0.277744,0.000896,0.992283
0.428569,0.017409,0.209389,0.004896,0.048739,0.102630,0.083269,0.109511,0.298994,0.000768,1.014620
0.428346,0.017345,0.208940,0.004961,0.048962,0.101254,0.088293,0.123495,0.316563,0.000832,1.032221
0.430681,0.017313,0.208525,0.004896,0.048835,0.103750,0.088902,0.078116,0.274256,0.000736,0.991130
0.428794,0.017793,0.210060,0.004993,0.048643,0.098085,0.085414,0.078372,0.265199,0.000768,0.982138
0.444762,0.017441,0.208620,0.004929,0.049123,0.108166,0.081765,0.077509,0.270832,0.000800,1.002427
0.428281,0.017825,0.208972,0.005056,0.048451,0.099974,0.080805,0.079045,0.263568,0.000800,0.979898
0.428730,0.017889,0.209964,0.005056,0.048419,0.101190,0.085606,0.110342,0.300754,0.000672,1.017340
0.448410,0.017569,0.209036,0.004928,0.049123,0.105062,0.084005,0.082052,0.275344,0.000769,1.011676
0.428730,0.017409,0.209004,0.005057,0.048834,0.105479,0.089061,0.080677,0.280081,0.000864,0.997051
0.428633,0.017825,0.208813,0.004960,0.048611,0.097894,0.080997,0.071844,0.254543,0.000832,0.970137
0.429754,0.017377,0.229549,0.005121,0.049059,0.100838,0.080100,0.097157,0.281712,0.000736,1.019580
0.428217,0.017537,0.209069,0.005056,0.048611,0.099942,0.088101,0.081413,0.272848,0.000672,0.987642
0.428825,0.017377,0.208429,0.004960,0.048899,0.094277,0.080677,0.078949,0.257615,0.000800,0.972889
0.429625,0.017569,0.209485,0.004896,0.048451,0.098438,0.104678,0.075717,0.282225,0.000768,0.998843
0.430489,0.017473,0.209293,0.004928,0.049123,0.103942,0.088773,0.075077,0.271312,0.000736,0.989498
0.428793,0.017666,0.210060,0.004832,0.048451,0.110407,0.088357,0.077349,0.280529,0.000672,0.997979
0.428377,0.017633,0.209453,0.004896,0.048387,0.100678,0.097190,0.083013,0.284689,0.000768,1.001179
0.428666,0.017633,0.209740,0.004897,0.048835,0.106150,0.088709,0.086373,0.285680,0.000865,1.003484
0.428793,0.017569,0.210156,0.004928,0.048771,0.107783,0.082853,0.076708,0.271536,0.000736,0.989595
0.428985,0.017729,0.209261,0.004928,0.049091,0.100326,0.081669,0.079396,0.265392,0.000800,0.982715
0.445562,0.017569,0.208781,0.004992,0.049027,0.104710,0.087013,0.073412,0.268944,0.000736,1.002139
0.429113,0.017537,0.208525,0.004928,0.049027,0.104902,0.089382,0.085349,0.283473,0.000768,0.999611
0.428634,0.017633,0.209100,0.004929,0.049122,0.102887,0.083077,0.079684,0.269648,0.000705,0.986043
0.429433,0.017889,0.228110,0.005248,0.049219,0.102662,0.081861,0.074661,0.262864,0.000672,1.000059
0.431513,0.017825,0.209164,0.005024,0.049027,0.107207,0.094981,0.094502,0.300754,0.000768,1.020860
0.429146,0.017729,0.208684,0.005089,0.048898,0.107303,0.088933,0.083237,0.283313,0.000800,1.000571
0.428697,0.017537,0.208685,0.004992,0.062628,0.106566,0.089541,0.084037,0.283697,0.000768,1.014588
0.428697,0.017825,0.208812,0.004960,0.048515,0.106951,0.083173,0.077668,0.271600,0.000832,0.987291
0.432217,0.017857,0.209420,0.004928,0.048835,0.101670,0.082917,0.078277,0.266960,0.000832,0.987962
0.428921,0.017825,0.209644,0.004864,0.049411,0.106247,0.088933,0.101222,0.300178,0.000640,1.018236
0.429850,0.017601,0.209036,0.004928,0.049123,0.104103,0.082533,0.114534,0.305074,0.000801,1.022749
0.429690,0.018049,0.209164,0.004960,0.049379,0.100422,0.088773,0.079685,0.272592,0.000928,0.990683
