Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.523838,0.017985,0.215180,0.005377,0.047362,0.000800,0.102118,0.082788,0.056900,0.245615,1.063070
0.429849,0.017697,0.210412,0.005248,0.047747,0.000576,0.139496,0.089286,0.056451,0.288625,1.005723
0.428569,0.017345,0.209740,0.005505,0.047842,0.000608,0.094341,0.080901,0.055203,0.233837,0.949047
0.428473,0.017441,0.209325,0.004864,0.047843,0.000576,0.095781,0.084773,0.056131,0.240046,0.954392
0.428249,0.017377,0.209132,0.004896,0.047810,0.000544,0.099462,0.085125,0.056708,0.245807,0.959448
0.429017,0.017569,0.209100,0.004929,0.048035,0.000736,0.101286,0.085221,0.058243,0.248302,0.963160
0.428121,0.017441,0.209196,0.004993,0.048067,0.000800,0.106022,0.085509,0.057187,0.251886,0.966105
0.429337,0.017697,0.208813,0.004864,0.047555,0.000608,0.100262,0.081349,0.055267,0.240078,0.954744
0.449339,0.017537,0.209132,0.005089,0.048098,0.000736,0.101926,0.082564,0.055844,0.243663,0.979450
0.427993,0.017441,0.208876,0.004929,0.047491,0.000576,0.129543,0.088486,0.055715,0.277168,0.990010
0.428601,0.017505,0.208972,0.004896,0.048067,0.000576,0.130504,0.088421,0.059844,0.282065,0.997083
0.428505,0.017473,0.225070,0.005120,0.047619,0.000640,0.098246,0.082949,0.055683,0.239726,0.970681
0.428729,0.017601,0.208652,0.005376,0.047523,0.000576,0.088581,0.082757,0.057028,0.231566,0.945400
0.430265,0.017761,0.208461,0.005056,0.047139,0.000576,0.129063,0.089734,0.060995,0.282960,0.997722
0.429497,0.017761,0.209548,0.005024,0.047747,0.000576,0.099622,0.081957,0.056323,0.240942,0.957304
0.428121,0.018177,0.208684,0.004897,0.047362,0.000577,0.100869,0.087749,0.059363,0.251150,0.964728
0.428441,0.018113,0.208940,0.004896,0.047458,0.000576,0.102886,0.081893,0.055108,0.243567,0.957976
0.428729,0.017601,0.209933,0.005152,0.047523,0.000576,0.098566,0.084933,0.057891,0.244686,0.960440
0.449402,0.017569,0.209740,0.004864,0.049603,0.000576,0.096838,0.080357,0.055203,0.236078,0.973945
0.428665,0.017537,0.208652,0.004992,0.047907,0.000608,0.121191,0.088997,0.057988,0.271152,0.985338
0.429785,0.017537,0.209100,0.004864,0.047779,0.000608,0.098182,0.089413,0.062596,0.253615,0.969305
0.427961,0.017697,0.225293,0.005121,0.048099,0.000576,0.111270,0.084645,0.055587,0.254799,0.985754
0.428377,0.017537,0.208749,0.004832,0.047171,0.000576,0.100742,0.088069,0.058819,0.250958,0.963801
0.427897,0.017569,0.208172,0.004833,0.047426,0.000576,0.091270,0.088613,0.056835,0.239918,0.951896
0.427833,0.017697,0.208684,0.004896,0.047299,0.000576,0.102118,0.102534,0.060227,0.268271,0.980665
0.428025,0.017537,0.208749,0.004864,0.047331,0.000576,0.097541,0.082788,0.057028,0.240910,0.953816
0.429433,0.017377,0.208652,0.004865,0.047426,0.000576,0.102086,0.086245,0.057091,0.248815,0.962904
0.428249,0.017697,0.208172,0.005185,0.047138,0.000608,0.108039,0.088805,0.057731,0.257871,0.971257
0.444634,0.017569,0.208557,0.004992,0.047331,0.000608,0.116935,0.085605,0.065668,0.272112,1.002363
0.428729,0.017505,0.208652,0.004928,0.048963,0.000768,0.112967,0.086469,0.058724,0.261584,0.977177
0.428057,0.017569,0.208524,0.004864,0.048451,0.000576,0.092966,0.080996,0.056164,0.234126,0.948696
0.447194,0.017537,0.208300,0.004897,0.048962,0.000576,0.098789,0.082181,0.055972,0.240462,0.973913
0.428345,0.017793,0.209773,0.004928,0.048547,0.000576,0.094470,0.079940,0.059844,0.237646,0.953656
0.427929,0.017473,0.208908,0.004929,0.048931,0.000640,0.115815,0.085957,0.060835,0.266287,0.981401
0.428217,0.017633,0.208877,0.004896,0.049571,0.000800,0.119303,0.092133,0.059043,0.274352,0.990202
0.427930,0.017569,0.208684,0.005280,0.049475,0.000576,0.104806,0.087142,0.057923,0.253231,0.968409
0.428249,0.018209,0.208556,0.005152,0.049411,0.000576,0.109575,0.088517,0.058435,0.259951,0.976153
0.429145,0.017505,0.208940,0.005409,0.049635,0.000832,0.106950,0.086757,0.058244,0.255471,0.974617
0.427897,0.017633,0.208588,0.005408,0.049635,0.000736,0.107078,0.089701,0.061987,0.262064,0.978650
0.428153,0.017537,0.208556,0.005345,0.050147,0.000576,0.110918,0.088389,0.058116,0.260687,0.977401
0.430041,0.017697,0.208333,0.005120,0.049763,0.000608,0.105734,0.093382,0.059011,0.263695,0.983161
0.448986,0.017825,0.209164,0.004929,0.049091,0.000640,0.110694,0.084581,0.057028,0.255727,0.993242
0.429145,0.017569,0.208812,0.004897,0.049923,0.000736,0.106118,0.088517,0.059780,0.257903,0.975353
0.428249,0.017697,0.208749,0.004896,0.049891,0.000768,0.107910,0.085157,0.058436,0.255183,0.971737
0.446874,0.017538,0.208524,0.004928,0.049507,0.000736,0.112871,0.084869,0.060995,0.262735,0.997147
0.428057,0.017793,0.208140,0.004928,0.049123,0.000768,0.134792,0.089669,0.061444,0.289105,1.003515
0.428185,0.017601,0.208909,0.004928,0.049219,0.000576,0.098118,0.093125,0.058852,0.253615,0.969465
0.428505,0.017505,0.226190,0.005152,0.048835,0.000608,0.099622,0.084997,0.057539,0.245646,0.979289
0.429817,0.017761,0.208844,0.004896,0.048227,0.000576,0.104166,0.087301,0.062372,0.257039,0.972953
0.427609,0.017697,0.208620,0.004960,0.049251,0.000608,0.108295,0.086629,0.057155,0.255311,0.970009
0.428633,0.017473,0.208780,0.004896,0.048707,0.000576,0.099974,0.082917,0.078661,0.265008,0.980409
0.429145,0.017601,0.208236,0.004897,0.049187,0.000608,0.105990,0.087205,0.057731,0.253998,0.970137
0.428442,0.017569,0.208780,0.005152,0.049091,0.000608,0.097286,0.084389,0.057411,0.242190,0.957720
0.427577,0.017377,0.207980,0.004961,0.048867,0.000544,0.097605,0.086181,0.057763,0.244654,0.957496
0.443738,0.017825,0.208653,0.005440,0.048867,0.000576,0.104358,0.088133,0.058212,0.254095,0.985114
