Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.526559,0.018465,0.213132,0.005569,0.048611,0.000992,0.105702,0.080837,0.073252,0.263823,0.000736,0.001761,0.012416,0.000640,1.103265
0.433050,0.017985,0.210924,0.005121,0.048259,0.001088,0.124199,0.082789,0.095206,0.305970,0.000672,0.002464,0.002848,0.000672,1.039645
0.431801,0.018017,0.234989,0.005249,0.048195,0.000992,0.116647,0.082309,0.073444,0.276368,0.000672,0.001952,0.001312,0.000704,1.029020
0.429593,0.017761,0.208909,0.005376,0.047907,0.000768,0.107814,0.083397,0.075877,0.270736,0.000704,0.002048,0.001440,0.000672,0.993946
0.430201,0.017953,0.209677,0.005184,0.048131,0.000864,0.111175,0.082757,0.100390,0.297746,0.000640,0.002240,0.001152,0.000608,1.023260
0.430105,0.017985,0.209773,0.005376,0.048547,0.000864,0.127623,0.080869,0.086053,0.297841,0.000736,0.001952,0.001184,0.000416,1.022269
0.431641,0.018017,0.210380,0.005152,0.048259,0.000832,0.107239,0.077476,0.079461,0.268528,0.000832,0.002272,0.001120,0.000416,0.997307
0.429049,0.017857,0.209132,0.005120,0.047971,0.000864,0.105190,0.075044,0.085381,0.269136,0.000704,0.002304,0.001440,0.000416,0.992059
0.429593,0.018113,0.209005,0.005120,0.048739,0.000864,0.113351,0.079909,0.143304,0.340436,0.000768,0.003584,0.001344,0.000480,1.067647
0.431162,0.017985,0.209132,0.005121,0.047843,0.000736,0.128359,0.082437,0.078693,0.293073,0.000832,0.002144,0.001024,0.000416,1.017180
0.428762,0.017825,0.209580,0.005056,0.048419,0.000864,0.108231,0.086917,0.080037,0.278641,0.000736,0.001888,0.001184,0.000416,1.001435
0.430137,0.017570,0.208940,0.005312,0.047875,0.000800,0.106054,0.079908,0.088229,0.277745,0.000608,0.001920,0.001312,0.000416,1.000219
0.431514,0.017921,0.209516,0.005089,0.047714,0.000833,0.106438,0.080933,0.082181,0.273104,0.000768,0.001984,0.001120,0.000416,0.998203
0.430426,0.017889,0.209100,0.005345,0.048547,0.000800,0.107302,0.088261,0.078373,0.277232,0.000896,0.002112,0.001376,0.000512,1.002107
0.429658,0.017921,0.208940,0.005249,0.048610,0.000833,0.100517,0.076388,0.077957,0.258575,0.000736,0.002080,0.001248,0.000448,0.982458
0.445914,0.017665,0.209037,0.005184,0.048291,0.000800,0.107558,0.080229,0.077125,0.269264,0.000864,0.001920,0.001248,0.000480,1.008667
0.430009,0.017569,0.209100,0.004960,0.048739,0.000736,0.102982,0.087398,0.072580,0.266352,0.000704,0.001856,0.001120,0.000416,0.988890
0.431257,0.017633,0.208685,0.004992,0.047939,0.000544,0.106470,0.080933,0.076229,0.267024,0.000832,0.001984,0.001024,0.000384,0.989402
0.470843,0.017762,0.209516,0.005440,0.047427,0.000544,0.101702,0.080229,0.078341,0.263856,0.000768,0.001824,0.001120,0.000352,1.027036
0.429530,0.017633,0.208908,0.005121,0.047650,0.000704,0.100134,0.076037,0.072036,0.251791,0.000768,0.001953,0.001216,0.000448,0.972954
0.428985,0.018273,0.209485,0.005376,0.047523,0.000800,0.106758,0.089158,0.076868,0.276592,0.000736,0.001953,0.001152,0.000448,0.999547
0.429050,0.017729,0.228621,0.005313,0.047682,0.000737,0.105478,0.080773,0.075588,0.265199,0.000704,0.002048,0.001121,0.000448,1.006428
0.429241,0.017601,0.209228,0.005344,0.047203,0.000736,0.095269,0.075685,0.077477,0.252047,0.000672,0.001920,0.000992,0.000384,0.972441
0.430010,0.017601,0.208684,0.004961,0.047138,0.000736,0.101478,0.081028,0.082085,0.268304,0.000800,0.002081,0.001056,0.000384,0.989307
