Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.545505,0.018561,0.213580,0.004929,0.047363,0.000800,0.077156,0.073285,0.071044,0.224845,0.002464,0.011201,0.000384,1.077760
0.432346,0.034722,0.211660,0.005505,0.047555,0.000640,0.093381,0.082341,0.075109,0.254735,0.003008,0.001056,0.000608,0.998619
0.430394,0.017473,0.209516,0.005121,0.048738,0.000577,0.103750,0.081093,0.071204,0.259471,0.002624,0.000992,0.000352,0.981626
0.430265,0.017377,0.209741,0.005248,0.049443,0.000608,0.103366,0.081669,0.077541,0.265808,0.002432,0.001152,0.000416,0.988986
0.429785,0.017729,0.209741,0.005408,0.049155,0.000544,0.108902,0.082949,0.070757,0.266352,0.002752,0.000928,0.000384,0.989530
0.429241,0.017505,0.209260,0.005153,0.048291,0.000512,0.108902,0.080709,0.073732,0.266287,0.002560,0.001089,0.000352,0.987579
0.428730,0.017537,0.209100,0.005505,0.047778,0.000576,0.103815,0.093829,0.074885,0.276049,0.002496,0.001184,0.000384,0.996731
0.430713,0.017441,0.209421,0.005568,0.047875,0.000608,0.108582,0.078437,0.075620,0.266128,0.002368,0.000928,0.000480,0.989434
0.428281,0.017441,0.209804,0.005440,0.049219,0.000608,0.103911,0.077796,0.077381,0.262576,0.002592,0.000992,0.000384,0.984538
0.430105,0.017377,0.208908,0.005089,0.049571,0.000576,0.106694,0.088581,0.091398,0.289585,0.002496,0.001088,0.000416,1.012507
0.427993,0.017601,0.209421,0.005440,0.047971,0.000576,0.104358,0.081093,0.082693,0.271376,0.002400,0.000992,0.000416,0.992058
0.444218,0.017345,0.209389,0.005376,0.049827,0.000608,0.103846,0.079301,0.089637,0.276112,0.002368,0.001216,0.000385,1.014204
0.428473,0.017601,0.209965,0.005472,0.049187,0.000640,0.105126,0.081765,0.074148,0.264592,0.002432,0.001024,0.000384,0.986394
0.428409,0.017313,0.208876,0.005633,0.050371,0.000608,0.105862,0.086213,0.076613,0.271984,0.002272,0.000928,0.000416,0.993114
0.460539,0.017409,0.209228,0.005440,0.048163,0.000736,0.133512,0.083429,0.073285,0.293682,0.002272,0.000960,0.000416,1.046942
0.428985,0.017569,0.208748,0.005376,0.049571,0.000768,0.103878,0.075429,0.072836,0.255535,0.005825,0.000960,0.000416,0.980090
0.430362,0.017537,0.208364,0.005312,0.049539,0.000576,0.104807,0.080868,0.076517,0.265776,0.002304,0.001248,0.000416,0.988922
0.428665,0.017377,0.227790,0.005280,0.048963,0.000608,0.107334,0.077221,0.070692,0.259023,0.002433,0.001056,0.000416,0.999931
0.428921,0.017281,0.208269,0.005152,0.048867,0.000576,0.095366,0.074404,0.070884,0.244526,0.002465,0.001024,0.000352,0.963737
0.428121,0.017889,0.209037,0.005152,0.048675,0.000576,0.103846,0.080101,0.088485,0.275984,0.002752,0.001344,0.000448,0.997850
0.428729,0.017793,0.208844,0.004993,0.049315,0.000480,0.129959,0.081637,0.090214,0.306066,0.002816,0.000992,0.000384,1.027004
0.428761,0.017569,0.208877,0.004992,0.049475,0.000512,0.103206,0.079461,0.079173,0.265712,0.003008,0.000992,0.000352,0.986586
0.431065,0.017857,0.208940,0.005408,0.049507,0.000480,0.092550,0.072420,0.077253,0.245583,0.003008,0.001088,0.000416,0.969241
0.429210,0.017441,0.209068,0.004864,0.048707,0.000544,0.095654,0.078821,0.072868,0.251055,0.002368,0.000992,0.000481,0.970874
0.455515,0.017569,0.208684,0.005312,0.048515,0.000512,0.131560,0.093958,0.070852,0.300114,0.002336,0.000928,0.000448,1.045917
0.428729,0.017505,0.209036,0.004961,0.049058,0.000576,0.099621,0.079460,0.076197,0.260079,0.002720,0.001088,0.000448,0.980409
0.428441,0.017345,0.209260,0.005184,0.048515,0.000832,0.093926,0.079205,0.076676,0.253519,0.002528,0.001216,0.000417,0.973562
0.429017,0.017505,0.209260,0.005057,0.049155,0.000736,0.103910,0.075876,0.078405,0.261455,0.002496,0.001120,0.000448,1.000794
0.429177,0.017409,0.209004,0.005089,0.048899,0.000640,0.101990,0.076804,0.072165,0.254447,0.003008,0.000960,0.000416,0.975801
0.429753,0.018817,0.209005,0.005312,0.050179,0.000704,0.126600,0.095397,0.072421,0.297906,0.003392,0.001120,0.000416,1.022780
0.429849,0.017409,0.209453,0.005472,0.048195,0.000544,0.123559,0.083045,0.071877,0.282193,0.002432,0.000960,0.000320,1.003579
0.428281,0.017377,0.209068,0.005409,0.049379,0.000608,0.095525,0.076996,0.074789,0.251183,0.006016,0.001152,0.000448,0.975481
0.428665,0.017313,0.208812,0.004896,0.049859,0.000800,0.096262,0.078149,0.072708,0.250671,0.003360,0.001088,0.000352,0.972697
0.428697,0.017665,0.209293,0.004992,0.050403,0.000512,0.095782,0.077444,0.076388,0.252911,0.002144,0.001056,0.000352,0.974329
0.429210,0.017377,0.209484,0.004961,0.047874,0.000800,0.106886,0.082053,0.074724,0.268239,0.002432,0.001120,0.000416,0.989787
0.429817,0.017249,0.209773,0.005024,0.049347,0.000480,0.100166,0.077285,0.077956,0.260111,0.005313,0.000992,0.000288,0.985050
0.428377,0.017345,0.208781,0.005184,0.047331,0.000608,0.094821,0.087589,0.075012,0.260783,0.004256,0.001056,0.000384,0.980634
0.449722,0.017474,0.209196,0.005536,0.048995,0.000800,0.105766,0.084965,0.081028,0.275152,0.002593,0.001152,0.000480,1.019548
0.429561,0.017377,0.209357,0.004960,0.049379,0.000576,0.094181,0.073348,0.072228,0.243566,0.003520,0.001056,0.000416,0.966265
0.428825,0.017473,0.208588,0.004929,0.049474,0.000608,0.100261,0.079396,0.070500,0.253742,0.002593,0.000928,0.000384,0.973625
0.428602,0.018113,0.224941,0.004961,0.048450,0.000736,0.103527,0.083141,0.073188,0.263440,0.002720,0.001024,0.000384,1.001243
0.429657,0.017473,0.210988,0.005345,0.050275,0.000768,0.110886,0.084965,0.076292,0.275696,0.002368,0.001184,0.000448,1.002011
0.429434,0.017377,0.209036,0.005120,0.049091,0.000768,0.103879,0.083493,0.080420,0.271312,0.002401,0.001248,0.000448,0.993467
0.428762,0.017377,0.209484,0.005441,0.048290,0.000833,0.105478,0.102246,0.075780,0.287472,0.003136,0.001120,0.000448,1.010172
