Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.526975,0.018209,0.212620,0.004865,0.047619,0.000800,0.088069,0.078885,0.093637,0.264271,0.003200,0.000448,1.086367
0.431353,0.017697,0.209836,0.004800,0.047971,0.000832,0.105830,0.080644,0.106087,0.296050,0.001984,0.000416,1.017980
0.430777,0.017633,0.209357,0.004896,0.048035,0.000608,0.105286,0.085637,0.094950,0.289425,0.001312,0.000448,1.009819
0.430553,0.017634,0.209452,0.004896,0.048419,0.000576,0.108134,0.083428,0.088133,0.283441,0.001376,0.000512,1.004283
0.429753,0.017633,0.209516,0.004929,0.048323,0.000608,0.111142,0.083205,0.090150,0.287985,0.001472,0.000480,1.008123
0.430393,0.017793,0.208364,0.004865,0.048195,0.000544,0.102438,0.083141,0.075428,0.264783,0.001280,0.000416,0.983833
0.450011,0.017665,0.208780,0.004929,0.047971,0.000640,0.129383,0.084933,0.075845,0.293457,0.001472,0.000480,1.032637
0.429497,0.017825,0.208845,0.004864,0.048323,0.000576,0.109062,0.084677,0.115687,0.313106,0.001664,0.000480,1.032445
0.429881,0.017697,0.208524,0.004929,0.047619,0.000608,0.106854,0.083493,0.074180,0.267887,0.001633,0.000576,0.986106
0.450139,0.017761,0.209389,0.004864,0.047555,0.000512,0.109222,0.085189,0.075269,0.273424,0.001472,0.000448,1.013212
0.429882,0.017377,0.208300,0.004928,0.048611,0.000608,0.101894,0.083557,0.076837,0.265872,0.001472,0.000448,0.984378
0.429241,0.017377,0.208460,0.004929,0.048227,0.000608,0.102342,0.084037,0.114151,0.303986,0.001600,0.000416,1.021820
0.429977,0.017537,0.226925,0.005184,0.048451,0.000576,0.130312,0.084037,0.081701,0.299826,0.001632,0.000480,1.037757
0.430425,0.017473,0.208364,0.004961,0.047971,0.000576,0.104294,0.090181,0.082789,0.280464,0.001568,0.000544,0.998234
