Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-9],OUT[9],TEE[6-9],Layer[10],classifier
0.525311,0.018049,0.212204,0.004865,0.047714,0.000800,0.076453,0.076645,0.071300,0.228174,0.000896,1.045245
0.430746,0.017857,0.209388,0.004896,0.048483,0.000800,0.111463,0.087909,0.079173,0.282449,0.001120,1.002459
0.429081,0.017665,0.209261,0.005056,0.049091,0.000800,0.098502,0.089125,0.092166,0.283793,0.000864,1.002651
0.428953,0.017793,0.209484,0.004960,0.048579,0.000832,0.100678,0.094086,0.082757,0.280593,0.000672,0.998875
0.429561,0.018241,0.209869,0.004928,0.048131,0.000608,0.103910,0.088837,0.086501,0.282576,0.000768,1.001755
0.428313,0.017409,0.209452,0.005152,0.048291,0.000544,0.099878,0.085125,0.082917,0.271504,0.000736,0.987770
0.448443,0.017633,0.208908,0.004865,0.047874,0.000640,0.098694,0.085573,0.086822,0.274929,0.000608,1.010172
0.429337,0.017537,0.209645,0.005120,0.047491,0.000608,0.101990,0.089797,0.095142,0.290737,0.000704,1.006939
0.429017,0.017409,0.209484,0.004865,0.047362,0.000577,0.092389,0.079237,0.084357,0.259951,0.000640,0.976089
0.428217,0.017473,0.226030,0.005152,0.047427,0.000608,0.101062,0.092869,0.080005,0.277264,0.000768,1.009499
0.428697,0.017441,0.209100,0.004865,0.047619,0.000576,0.102022,0.087173,0.086213,0.278608,0.000736,0.993690
0.428537,0.017441,0.209165,0.004896,0.047267,0.000544,0.103014,0.085957,0.072292,0.265103,0.000608,0.979578
0.428409,0.017377,0.209357,0.004832,0.047299,0.000576,0.113351,0.090533,0.086085,0.293329,0.000672,1.007611
0.428697,0.017473,0.209868,0.004897,0.047426,0.000609,0.101990,0.094469,0.080645,0.280624,0.000800,0.996954
0.428697,0.017665,0.209869,0.005024,0.047427,0.000608,0.096101,0.083972,0.079044,0.262511,0.000512,0.978169
0.429049,0.017409,0.209580,0.004897,0.047267,0.000576,0.102470,0.085925,0.081829,0.273296,0.000736,0.988954
0.428409,0.017377,0.209420,0.004897,0.047331,0.000544,0.101254,0.086725,0.079588,0.270640,0.000928,0.985466
0.428409,0.017473,0.208652,0.005056,0.047363,0.000544,0.124487,0.081669,0.075269,0.284465,0.000768,0.998171
0.428601,0.017601,0.209229,0.004864,0.047331,0.000576,0.096422,0.087589,0.074980,0.261999,0.000544,0.977305
0.448122,0.017345,0.208812,0.004992,0.047299,0.000608,0.101126,0.082757,0.068740,0.256015,0.000704,0.990170
0.428313,0.017410,0.209740,0.004832,0.047171,0.000640,0.097126,0.085029,0.075300,0.261263,0.000640,0.976089
0.428537,0.017345,0.209165,0.004896,0.047459,0.000576,0.124359,0.099878,0.079269,0.306738,0.000640,1.021724
0.428633,0.017313,0.226094,0.005088,0.047107,0.000576,0.125159,0.086533,0.075141,0.290353,0.000640,1.022460
0.429017,0.017601,0.209868,0.004897,0.047299,0.000576,0.104486,0.087045,0.077381,0.272432,0.000640,0.988890
0.428889,0.017569,0.209100,0.004961,0.047266,0.000576,0.099238,0.086597,0.087654,0.277329,0.000640,0.992666
0.428122,0.018049,0.209612,0.004896,0.047139,0.000608,0.126952,0.087077,0.082597,0.300114,0.000640,1.015196
0.428122,0.017601,0.209644,0.004896,0.047139,0.000576,0.095814,0.086021,0.076197,0.261072,0.000672,0.975706
0.429177,0.017313,0.208973,0.005216,0.047075,0.000576,0.097734,0.085829,0.089125,0.276176,0.000672,0.990842
0.428761,0.017666,0.209644,0.004896,0.047267,0.000544,0.095558,0.085029,0.078660,0.263535,0.000864,0.979930
0.428985,0.017345,0.208973,0.004992,0.046915,0.000640,0.099974,0.086789,0.078661,0.268528,0.000672,0.982810
0.428313,0.017505,0.209741,0.004832,0.046915,0.000576,0.099334,0.080421,0.078788,0.261935,0.000576,0.976825
0.428441,0.017313,0.209452,0.004928,0.047363,0.000608,0.098534,0.085125,0.082533,0.270128,0.000704,0.985146
0.445658,0.017697,0.209100,0.004896,0.047011,0.000608,0.096550,0.080453,0.074532,0.254991,0.000704,0.986874
0.428249,0.017505,0.209517,0.004864,0.047011,0.000640,0.100230,0.084613,0.081861,0.270096,0.000768,0.984762
0.428953,0.017441,0.209196,0.004865,0.047139,0.000608,0.104038,0.086565,0.082725,0.276848,0.000800,0.991514
0.428473,0.017505,0.228686,0.005024,0.047395,0.000544,0.101862,0.086853,0.080773,0.272720,0.000736,1.007867
0.428185,0.017409,0.208941,0.005056,0.046915,0.000576,0.099302,0.078916,0.112327,0.293937,0.000768,1.007323
0.428954,0.017633,0.209292,0.005056,0.047427,0.000640,0.101926,0.085413,0.079237,0.270256,0.000672,0.986362
0.428409,0.017537,0.208940,0.004896,0.047235,0.000608,0.116807,0.091813,0.073668,0.286193,0.000704,1.000635
0.429370,0.017377,0.208844,0.005024,0.047331,0.000576,0.103046,0.082245,0.081605,0.270256,0.000736,0.985690
0.429466,0.017537,0.209260,0.004800,0.047395,0.000576,0.108423,0.090117,0.114407,0.316211,0.000704,1.032349
0.428665,0.017441,0.208716,0.004864,0.050019,0.000576,0.101350,0.086373,0.078341,0.269136,0.000736,0.985434
0.429273,0.017633,0.208780,0.004865,0.048099,0.000576,0.096229,0.082437,0.074949,0.257263,0.000704,0.973305
0.429305,0.017441,0.208556,0.004864,0.048483,0.000576,0.106535,0.085477,0.078372,0.273744,0.000897,0.990299
0.428185,0.017505,0.208652,0.004896,0.047747,0.000608,0.101222,0.088069,0.079685,0.272144,0.000672,0.985946
0.445914,0.017473,0.208844,0.005088,0.047875,0.000576,0.104454,0.085957,0.085733,0.279568,0.000737,1.012444
0.428249,0.017377,0.208396,0.005153,0.047427,0.000544,0.099718,0.087237,0.075908,0.266063,0.000608,0.979353
0.428889,0.017601,0.209132,0.005313,0.047075,0.000576,0.102310,0.087653,0.080965,0.274032,0.000672,0.988986
0.428505,0.017569,0.225101,0.004992,0.047427,0.000576,0.102822,0.085637,0.112839,0.304530,0.000672,1.035676
0.428601,0.017409,0.208844,0.005184,0.047427,0.000544,0.105638,0.089798,0.111430,0.310258,0.000704,1.024700
0.429177,0.017473,0.208717,0.004832,0.048579,0.000608,0.100998,0.094565,0.077925,0.277008,0.000736,0.992794
0.428345,0.017569,0.208429,0.005216,0.050819,0.000608,0.132136,0.090725,0.070052,0.296529,0.000769,1.014108
0.428729,0.017185,0.208141,0.004928,0.050499,0.000576,0.102534,0.083525,0.071684,0.261135,0.000704,0.977721
0.427897,0.017409,0.208300,0.004929,0.048099,0.000608,0.103910,0.086501,0.071588,0.265967,0.000800,0.979801
0.427866,0.017601,0.208460,0.004896,0.048675,0.000576,0.103238,0.092006,0.077892,0.277041,0.000896,0.992347
0.432889,0.017345,0.208236,0.004897,0.049987,0.000576,0.103174,0.090661,0.082981,0.280176,0.000672,1.000730
0.428186,0.017409,0.208940,0.004896,0.049891,0.000608,0.094918,0.096934,0.076228,0.271248,0.000544,0.987258
0.428377,0.017633,0.208812,0.005024,0.048067,0.000576,0.100966,0.084677,0.083077,0.272080,0.000544,0.987322
0.448730,0.017441,0.208748,0.005088,0.047875,0.000608,0.105030,0.080389,0.075621,0.264496,0.000800,0.999963
0.428089,0.017409,0.208236,0.005313,0.047427,0.000576,0.133960,0.093701,0.077925,0.308818,0.000640,1.022652
0.428025,0.017377,0.208556,0.004864,0.046946,0.000576,0.102662,0.085797,0.074116,0.266064,0.000672,0.979097
0.445466,0.017825,0.209901,0.004800,0.047075,0.000640,0.094725,0.083525,0.073701,0.255631,0.000608,0.988218
0.428025,0.017569,0.208236,0.004896,0.049571,0.000608,0.100230,0.086821,0.081572,0.271888,0.000736,0.987545
0.428089,0.017377,0.208460,0.004897,0.049186,0.000608,0.106695,0.085701,0.077700,0.273393,0.000576,0.989274
0.428217,0.017441,0.208237,0.004960,0.048067,0.000576,0.128455,0.092454,0.075396,0.299633,0.000736,1.013755
0.429401,0.017409,0.208493,0.004928,0.047619,0.000576,0.099078,0.089477,0.084869,0.277296,0.000864,0.992826
0.428185,0.017633,0.208620,0.004865,0.046946,0.000609,0.102790,0.086725,0.080453,0.273488,0.000672,0.986746
0.428729,0.017537,0.209100,0.005025,0.050243,0.000576,0.101734,0.084741,0.083045,0.272688,0.000800,0.990906
0.428378,0.017441,0.208876,0.004960,0.047939,0.000576,0.105958,0.087654,0.080484,0.277328,0.000672,0.992251
0.428345,0.017377,0.208780,0.004929,0.050371,0.000576,0.103910,0.091493,0.084709,0.283408,0.000736,1.000378
0.428697,0.017441,0.208941,0.004864,0.047875,0.000608,0.126727,0.086469,0.079461,0.295921,0.000544,1.010811
0.447099,0.017473,0.209420,0.005152,0.047715,0.000608,0.103782,0.085413,0.081381,0.273936,0.000736,1.008731
0.429177,0.017569,0.208812,0.004928,0.049891,0.000608,0.104807,0.086501,0.082309,0.276849,0.000736,0.994363
0.428217,0.017377,0.208396,0.004896,0.047907,0.000576,0.111687,0.082340,0.084260,0.281393,0.000768,0.996091
0.447802,0.017601,0.209036,0.004865,0.048835,0.000576,0.103622,0.081317,0.075044,0.263471,0.000736,0.999194
0.429241,0.017537,0.209292,0.004929,0.048867,0.000576,0.107302,0.084165,0.078277,0.273008,0.000640,0.989818
0.427897,0.017281,0.209581,0.004960,0.050243,0.000640,0.102150,0.093349,0.111975,0.310674,0.000672,1.027900
0.429113,0.017409,0.227149,0.005120,0.048099,0.000608,0.101350,0.085029,0.082789,0.272080,0.000640,1.006235
0.428121,0.017441,0.209228,0.004832,0.048131,0.000608,0.104742,0.085317,0.094182,0.287537,0.000768,1.002459
0.427833,0.017505,0.209229,0.004896,0.047523,0.000576,0.102310,0.090821,0.074789,0.271088,0.000736,0.985530
0.428185,0.017505,0.208940,0.004896,0.047299,0.000608,0.105318,0.086822,0.091717,0.287313,0.000736,1.001722
0.428441,0.017441,0.209644,0.005249,0.047426,0.000608,0.101766,0.080197,0.113799,0.299378,0.000736,1.015035
0.429466,0.017313,0.209260,0.004896,0.046979,0.000576,0.099718,0.087173,0.078021,0.268272,0.000640,0.983290
0.427737,0.017409,0.209804,0.004865,0.046978,0.000576,0.104006,0.084741,0.083813,0.275856,0.000704,0.990426
