Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.521535,0.017825,0.214348,0.004929,0.048482,0.000609,0.013408,0.073989,0.066116,0.053795,0.198348,1.026844
0.431385,0.017473,0.209868,0.005313,0.050115,0.000640,0.014113,0.110566,0.072612,0.055940,0.242542,0.978521
0.447130,0.017665,0.209933,0.005088,0.050659,0.000640,0.014785,0.122471,0.078341,0.064995,0.269648,1.024124
0.429625,0.017505,0.210188,0.004961,0.049058,0.000800,0.014528,0.123400,0.070948,0.064900,0.262736,0.996794
0.429657,0.017569,0.209292,0.005185,0.052067,0.000640,0.014273,0.125511,0.080421,0.058659,0.268431,1.004154
0.468636,0.017697,0.209964,0.005120,0.049091,0.000672,0.014081,0.120199,0.070148,0.059267,0.253263,1.025852
0.430681,0.017761,0.208717,0.005056,0.049635,0.000672,0.014017,0.119975,0.071780,0.069860,0.265135,0.999098
0.430778,0.017505,0.209548,0.004928,0.048099,0.000672,0.013633,0.124391,0.084293,0.064036,0.276304,1.009371
0.430681,0.017537,0.230318,0.005184,0.048515,0.000672,0.013697,0.127239,0.066852,0.059844,0.257583,1.012219
0.430201,0.017729,0.209740,0.005056,0.048259,0.000800,0.013825,0.127304,0.070244,0.063459,0.264496,0.997082
0.429945,0.017665,0.208396,0.004929,0.050050,0.000576,0.014176,0.121319,0.071940,0.063332,0.260176,0.992762
0.429753,0.017601,0.208524,0.005537,0.068068,0.000672,0.014240,0.120999,0.079460,0.065220,0.268751,1.021915
0.430073,0.017441,0.208876,0.005280,0.047811,0.000544,0.013857,0.118151,0.071876,0.064836,0.258223,0.990106
0.431641,0.017537,0.208748,0.005088,0.050787,0.000576,0.014145,0.116359,0.071428,0.062564,0.253743,0.988826
0.429305,0.017313,0.208268,0.004896,0.050467,0.000576,0.013889,0.115815,0.069988,0.086533,0.275664,1.007323
0.429881,0.017345,0.208396,0.005120,0.048675,0.000608,0.013633,0.109543,0.071364,0.057123,0.241518,0.971992
0.431513,0.017473,0.208973,0.004864,0.048899,0.000576,0.013633,0.116134,0.072005,0.059203,0.250798,0.984025
0.429433,0.017602,0.208396,0.005248,0.048579,0.000576,0.013441,0.115974,0.081060,0.056932,0.257423,0.987770
0.431129,0.017473,0.208044,0.004864,0.049955,0.000608,0.013601,0.117927,0.079653,0.057539,0.258735,0.991289
0.428313,0.017505,0.208332,0.004929,0.049635,0.000608,0.013504,0.115239,0.070532,0.062052,0.251535,0.981081
