Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.525727,0.017601,0.215533,0.004928,0.047427,0.000768,0.013537,0.082629,0.060259,0.073028,0.219693,0.003424,0.010208,0.000640,1.067391
0.431385,0.017505,0.209676,0.004896,0.047618,0.000576,0.013505,0.097254,0.061924,0.068324,0.232078,0.002464,0.001024,0.000672,0.968185
0.429145,0.017665,0.209324,0.004992,0.047555,0.000608,0.013537,0.079781,0.057283,0.066788,0.207308,0.002048,0.000960,0.000608,0.940631
0.429625,0.017633,0.209165,0.004896,0.047459,0.000576,0.013473,0.080388,0.062532,0.068708,0.214988,0.002048,0.000992,0.000416,0.948216
0.428569,0.017345,0.208716,0.004897,0.047362,0.000640,0.013568,0.083493,0.061348,0.070180,0.218349,0.002304,0.000992,0.000416,0.950232
0.448091,0.017505,0.209356,0.004960,0.049443,0.000608,0.013825,0.103910,0.064452,0.075397,0.247471,0.002496,0.001120,0.000416,1.003643
0.429273,0.017441,0.209260,0.004896,0.047683,0.000544,0.013825,0.108487,0.075364,0.068068,0.255343,0.002432,0.001120,0.000448,0.989593
0.430169,0.017313,0.209068,0.004897,0.047395,0.000512,0.013632,0.085573,0.060611,0.066020,0.216877,0.002720,0.001056,0.000448,0.950744
0.431353,0.018145,0.221037,0.004929,0.047778,0.000512,0.013697,0.129544,0.066564,0.074564,0.274864,0.002337,0.001120,0.000384,1.024732
0.428857,0.017505,0.208492,0.004864,0.047491,0.000544,0.013569,0.090725,0.062020,0.068772,0.224909,0.002240,0.000832,0.000384,0.956312
0.429306,0.017377,0.209772,0.004928,0.047363,0.000576,0.013473,0.081861,0.053859,0.065764,0.204748,0.002016,0.000864,0.000384,0.937431
0.433913,0.017441,0.208748,0.004896,0.047587,0.000576,0.013633,0.092677,0.085381,0.074373,0.255855,0.002240,0.000800,0.000416,0.992282
0.433562,0.017441,0.209356,0.004928,0.047459,0.000576,0.013537,0.101958,0.066468,0.077861,0.249359,0.002176,0.000928,0.000384,0.986778
0.429626,0.017281,0.208588,0.004928,0.047043,0.000576,0.013569,0.100614,0.066980,0.076100,0.247662,0.002209,0.000960,0.000416,0.980154
0.429018,0.017601,0.208588,0.004896,0.047203,0.000576,0.013601,0.101446,0.066244,0.074596,0.245710,0.002144,0.000993,0.000384,0.977530
0.445626,0.017473,0.208620,0.004833,0.047074,0.000608,0.013569,0.104902,0.064196,0.069700,0.242382,0.002209,0.000992,0.000384,0.990778
0.430233,0.017537,0.208652,0.005120,0.047683,0.000608,0.013505,0.112039,0.064740,0.076516,0.256495,0.002048,0.000960,0.000384,0.990713
0.429177,0.017569,0.208844,0.004896,0.046851,0.000576,0.013505,0.099238,0.066980,0.073380,0.242734,0.002144,0.000960,0.000384,0.974329
0.452410,0.017473,0.209036,0.005280,0.047139,0.000608,0.013632,0.105702,0.066020,0.073156,0.248622,0.002240,0.001056,0.000384,1.006362
0.429273,0.017441,0.209228,0.005153,0.047234,0.000609,0.013440,0.102598,0.069348,0.075524,0.250511,0.002400,0.000896,0.000416,0.983577
0.428537,0.017505,0.208492,0.004864,0.047587,0.000576,0.013473,0.099078,0.063587,0.074501,0.240238,0.002016,0.000992,0.000384,0.971577
0.428377,0.017537,0.208588,0.004896,0.084516,0.000640,0.013632,0.102054,0.063044,0.067812,0.236238,0.002016,0.000960,0.000352,1.005403
0.428985,0.017537,0.208652,0.004864,0.046947,0.000608,0.013441,0.101318,0.060035,0.074052,0.239342,0.002816,0.001248,0.000448,0.974008
0.429178,0.017377,0.208748,0.004864,0.046979,0.000608,0.013505,0.100614,0.064836,0.070628,0.239246,0.002112,0.000928,0.000416,0.971033
0.429529,0.017537,0.208525,0.004896,0.047075,0.000608,0.013505,0.098533,0.064260,0.073573,0.239534,0.002112,0.001120,0.000384,0.971929
0.428825,0.017441,0.211213,0.004992,0.047107,0.000608,0.013825,0.107910,0.067172,0.076901,0.255343,0.002240,0.001088,0.000416,0.990426
0.430266,0.017505,0.208556,0.004928,0.047267,0.000576,0.013633,0.106662,0.074117,0.087141,0.271216,0.002048,0.001088,0.000448,1.004475
0.429657,0.017345,0.208556,0.004928,0.046947,0.000576,0.013505,0.097157,0.065891,0.070021,0.236270,0.002400,0.000896,0.000416,0.967801
0.443738,0.018306,0.208876,0.004960,0.047299,0.000544,0.013633,0.112102,0.063972,0.080613,0.260623,0.002688,0.001152,0.000384,1.011355
0.428921,0.017473,0.208844,0.004929,0.047011,0.000608,0.013504,0.102950,0.064228,0.075013,0.245231,0.002144,0.001120,0.000384,0.977465
0.429273,0.017441,0.208812,0.004832,0.047907,0.000608,0.013569,0.124423,0.066372,0.074468,0.268719,0.002241,0.001120,0.000448,1.001787
0.431225,0.017409,0.226445,0.004993,0.048098,0.000576,0.013633,0.098118,0.064516,0.070788,0.236942,0.002688,0.001152,0.000448,0.992058
0.429881,0.017409,0.208620,0.004928,0.047427,0.000608,0.013505,0.100646,0.066276,0.072036,0.241966,0.002176,0.001056,0.000384,0.974969
0.429305,0.017345,0.208877,0.005280,0.047427,0.000576,0.013569,0.111014,0.068196,0.073829,0.256655,0.002784,0.001120,0.000608,0.991674
0.430170,0.017441,0.208620,0.004896,0.047011,0.000608,0.013473,0.116519,0.065380,0.066788,0.252303,0.002080,0.001120,0.000416,0.985562
0.430489,0.017473,0.208396,0.004992,0.047267,0.000608,0.013537,0.098726,0.066084,0.074948,0.242990,0.002048,0.001056,0.000448,0.976633
0.429625,0.017441,0.208717,0.004864,0.047011,0.000576,0.013536,0.096773,0.058724,0.068580,0.227149,0.001888,0.001184,0.000416,0.959448
0.428506,0.017409,0.208492,0.005024,0.047139,0.000608,0.013537,0.096678,0.065155,0.074821,0.240014,0.001952,0.000928,0.000448,0.970905
0.429145,0.017345,0.208844,0.005056,0.047395,0.000608,0.013505,0.104838,0.064964,0.072228,0.245902,0.001984,0.000961,0.000352,0.979162
0.428889,0.017633,0.208812,0.004896,0.047299,0.000576,0.013537,0.096550,0.060931,0.070052,0.230829,0.002336,0.001056,0.000416,0.964184
