Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.522335,0.017761,0.213324,0.004897,0.047203,0.000800,0.013504,0.120391,0.091301,0.070916,0.286641,0.010881,0.000416,1.126178
0.429273,0.017761,0.208876,0.004896,0.047651,0.000576,0.013601,0.097990,0.069700,0.078340,0.249486,0.001280,0.000384,0.980442
0.429369,0.017857,0.209516,0.004897,0.047491,0.000512,0.013504,0.099782,0.062948,0.077541,0.244271,0.001312,0.000320,0.976409
0.428505,0.017601,0.208813,0.004928,0.047939,0.000768,0.013729,0.101830,0.064835,0.076517,0.246830,0.001312,0.000320,0.978137
0.429497,0.017473,0.208524,0.004833,0.047875,0.000768,0.013536,0.108774,0.066148,0.072612,0.251055,0.001280,0.000352,0.981657
0.427993,0.017473,0.208908,0.004896,0.047427,0.000576,0.013409,0.090501,0.060516,0.074372,0.228813,0.001152,0.000385,0.957336
0.429113,0.017569,0.208492,0.004832,0.047619,0.000736,0.013473,0.105318,0.069092,0.082405,0.260271,0.001312,0.000480,0.991641
0.447802,0.017665,0.208492,0.004865,0.048066,0.000544,0.013473,0.122663,0.070084,0.087909,0.284049,0.001280,0.000416,1.033244
0.432825,0.017313,0.209004,0.004929,0.047298,0.000576,0.013441,0.108999,0.065539,0.075332,0.253103,0.001120,0.000416,0.986233
0.427384,0.017377,0.208652,0.004928,0.046915,0.000800,0.013505,0.090853,0.061924,0.077284,0.233421,0.001185,0.000448,0.960632
0.455995,0.017921,0.210220,0.005281,0.048131,0.000992,0.014081,0.138632,0.069316,0.091397,0.303185,0.002528,0.000449,1.070847
0.428665,0.017697,0.208876,0.005121,0.048930,0.000769,0.015008,0.105319,0.069412,0.081285,0.259568,0.001344,0.000512,0.994202
0.428409,0.017569,0.208588,0.004961,0.048418,0.000576,0.013889,0.103686,0.068068,0.080837,0.255983,0.001248,0.000896,0.987609
0.428281,0.017794,0.230573,0.005408,0.048099,0.000608,0.013921,0.107526,0.074693,0.083621,0.270608,0.001792,0.000480,1.026524
0.428281,0.017505,0.208204,0.005024,0.047651,0.000768,0.013473,0.104966,0.068612,0.080869,0.257743,0.001280,0.000480,0.987866
0.428377,0.017569,0.208844,0.004896,0.047395,0.000576,0.013441,0.097094,0.067620,0.074692,0.242798,0.001216,0.000480,0.972633
0.428121,0.017633,0.208300,0.005088,0.049187,0.000736,0.013569,0.102470,0.090981,0.079621,0.277584,0.001248,0.000480,1.009723
0.428569,0.017697,0.208332,0.005184,0.047971,0.000768,0.013729,0.103686,0.069700,0.078021,0.254991,0.001472,0.000480,0.986842
0.428825,0.017569,0.208812,0.005120,0.048259,0.000544,0.013377,0.103110,0.073924,0.117670,0.297841,0.001408,0.000512,1.029532
0.428121,0.017793,0.208620,0.005121,0.048418,0.000800,0.013440,0.103814,0.075940,0.081669,0.264656,0.001376,0.000544,0.995802
0.428665,0.017633,0.208333,0.004864,0.047139,0.000800,0.013697,0.102278,0.068740,0.076804,0.251150,0.001280,0.000480,0.980697
0.431129,0.017697,0.208780,0.005024,0.047139,0.000768,0.013441,0.099686,0.065412,0.102854,0.271536,0.001440,0.000640,1.004731
0.428377,0.017665,0.208556,0.005280,0.047267,0.000800,0.013729,0.106086,0.064548,0.080485,0.255183,0.001568,0.000672,0.987865
0.444602,0.017665,0.209164,0.004865,0.047299,0.000800,0.013472,0.104711,0.070948,0.081093,0.259856,0.001216,0.000672,1.006427
0.429017,0.017793,0.208748,0.005121,0.048450,0.000768,0.013537,0.105190,0.068869,0.080036,0.257519,0.001376,0.000416,0.989978
0.428185,0.017761,0.208556,0.005184,0.047843,0.000800,0.013409,0.100486,0.068868,0.077604,0.250223,0.001408,0.000512,0.980730
0.429497,0.017665,0.227854,0.005376,0.048067,0.000800,0.013537,0.107462,0.068420,0.077989,0.259055,0.001472,0.000480,1.012987
0.431801,0.017665,0.208332,0.005152,0.048450,0.000832,0.013889,0.103494,0.070628,0.081284,0.258607,0.001216,0.000417,0.993274
0.428697,0.017569,0.208812,0.005057,0.048739,0.000768,0.013761,0.101830,0.062787,0.074693,0.243150,0.001376,0.000480,0.975833
0.433689,0.017761,0.209228,0.005376,0.048227,0.000832,0.013793,0.154921,0.079524,0.076901,0.316178,0.001280,0.000736,1.054429
0.428793,0.017634,0.208652,0.005152,0.048195,0.000768,0.013633,0.103366,0.069252,0.081477,0.257519,0.001376,0.000544,0.989466
0.427993,0.017569,0.208300,0.005344,0.048099,0.000768,0.013729,0.102790,0.068132,0.079333,0.253583,0.001312,0.000480,0.984441
0.428633,0.017473,0.208716,0.005408,0.048259,0.000736,0.014081,0.107078,0.065604,0.095973,0.272495,0.001984,0.000640,1.006331
0.428569,0.017377,0.208364,0.005153,0.047651,0.000800,0.013984,0.101989,0.064291,0.078245,0.248046,0.001472,0.000576,0.979641
0.428409,0.017601,0.208940,0.004928,0.047747,0.000800,0.014049,0.105094,0.068772,0.075781,0.253071,0.001344,0.000416,0.984602
0.429593,0.017761,0.208845,0.005024,0.047939,0.000800,0.013665,0.101830,0.068356,0.076932,0.250190,0.001536,0.000704,0.982873
0.445049,0.017601,0.208300,0.004896,0.048803,0.000768,0.013537,0.106374,0.069412,0.104070,0.283441,0.001312,0.000960,1.033245
0.428153,0.017505,0.208557,0.004992,0.047395,0.000768,0.013761,0.096549,0.062820,0.075940,0.238702,0.001376,0.000512,0.968985
0.427417,0.017665,0.207980,0.004960,0.048643,0.000544,0.014433,0.097637,0.067843,0.078564,0.247566,0.001152,0.000384,0.977689
0.465979,0.017665,0.209228,0.005056,0.047843,0.000576,0.013697,0.103142,0.063172,0.073476,0.243310,0.001376,0.000544,1.012827
0.429561,0.017634,0.208364,0.005184,0.048355,0.000768,0.013921,0.097894,0.068804,0.074340,0.244142,0.001184,0.000704,0.976217
0.427705,0.017665,0.207948,0.004929,0.047362,0.000768,0.013504,0.093446,0.061091,0.071460,0.229838,0.001216,0.000512,0.957944
0.429209,0.017537,0.208716,0.004897,0.047875,0.000800,0.013696,0.122215,0.064996,0.076228,0.268304,0.001696,0.000512,1.000954
0.428505,0.017761,0.208428,0.004832,0.047171,0.000736,0.013793,0.097413,0.067811,0.122375,0.291185,0.001216,0.000448,1.021084
0.429274,0.017665,0.208556,0.005024,0.046947,0.000768,0.013505,0.102374,0.068452,0.075780,0.250030,0.001153,0.000384,0.980090
0.428985,0.017761,0.208268,0.004800,0.046883,0.000576,0.013569,0.097190,0.068708,0.071972,0.241326,0.001248,0.000448,0.970936
0.427929,0.017793,0.208620,0.004929,0.047042,0.000800,0.013505,0.108359,0.068580,0.125863,0.306770,0.001408,0.000448,1.037724
0.428281,0.017569,0.208556,0.005121,0.047490,0.000864,0.013504,0.097734,0.067908,0.080773,0.249711,0.001312,0.000448,0.979769
0.429657,0.017441,0.208140,0.005120,0.047267,0.000576,0.013441,0.109926,0.066116,0.073989,0.253519,0.001184,0.000416,0.984378
0.463003,0.017505,0.208172,0.004896,0.047203,0.001088,0.013441,0.101734,0.068836,0.070500,0.244526,0.001280,0.000448,1.009083
0.428057,0.017473,0.208396,0.005057,0.047395,0.000736,0.013504,0.098118,0.068004,0.076773,0.246159,0.001728,0.000480,0.975513
0.427513,0.017889,0.208076,0.005185,0.046946,0.000800,0.013473,0.093638,0.063875,0.074180,0.234830,0.001376,0.000512,0.963256
0.429433,0.017442,0.227181,0.005440,0.047203,0.000576,0.013473,0.099494,0.064067,0.079876,0.246734,0.001184,0.000480,0.997082
0.429753,0.017569,0.208332,0.005024,0.047106,0.000992,0.013569,0.101734,0.068932,0.085029,0.258895,0.001248,0.000448,0.989657
0.427801,0.017633,0.208172,0.005088,0.047459,0.000800,0.013473,0.098854,0.068836,0.079236,0.250255,0.001536,0.000576,0.979801
0.428729,0.018337,0.208204,0.005089,0.047043,0.000992,0.013536,0.120295,0.066915,0.077924,0.268624,0.001504,0.000512,0.999962
0.430521,0.017697,0.208908,0.005025,0.047875,0.000768,0.013472,0.095813,0.061732,0.071140,0.232237,0.001472,0.000512,0.965912
0.428185,0.017633,0.208141,0.005216,0.047075,0.000736,0.013440,0.097253,0.063428,0.080165,0.245326,0.001248,0.000448,0.975001
0.429113,0.017793,0.208172,0.004801,0.047811,0.000576,0.013408,0.100678,0.066020,0.116167,0.287377,0.001280,0.000512,1.017819
