Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.549760,0.017825,0.211341,0.004928,0.047395,0.000800,0.013409,0.073092,0.070372,0.066116,0.213036,0.000832,1.066302
0.429337,0.017601,0.210092,0.004896,0.047683,0.000768,0.014273,0.131464,0.096229,0.077221,0.308818,0.001088,1.041117
0.429177,0.017537,0.208845,0.004864,0.047651,0.000544,0.014081,0.095237,0.073413,0.070404,0.242446,0.000512,0.971865
0.428057,0.017313,0.208844,0.004960,0.047203,0.000480,0.013409,0.086309,0.066276,0.068516,0.224621,0.000608,0.951127
0.428601,0.017377,0.208332,0.004896,0.047203,0.000544,0.013441,0.119079,0.072356,0.068292,0.263151,0.000672,0.989433
0.440730,0.017505,0.208556,0.005024,0.047267,0.000512,0.013441,0.093317,0.063492,0.068836,0.229037,0.000704,0.968408
0.427768,0.017537,0.208332,0.004800,0.046819,0.000544,0.013441,0.081572,0.061859,0.066020,0.212908,0.000736,0.938262
0.427513,0.017378,0.208876,0.004864,0.046787,0.000544,0.013409,0.080068,0.065764,0.072357,0.221485,0.000768,0.946904
0.428313,0.017345,0.226061,0.005088,0.046851,0.000512,0.013441,0.114279,0.071748,0.072868,0.262191,0.000512,1.007002
0.428377,0.017217,0.209836,0.004897,0.046786,0.000544,0.013313,0.087301,0.065252,0.070852,0.226637,0.000673,0.953816
0.428185,0.017153,0.208908,0.004864,0.046819,0.000544,0.013377,0.102822,0.072516,0.073349,0.251791,0.000640,0.977721
0.427704,0.017313,0.208972,0.004992,0.048547,0.000608,0.013889,0.114599,0.080996,0.079301,0.278000,0.000576,1.006874
0.428633,0.017377,0.208493,0.004896,0.048003,0.000512,0.013409,0.117766,0.071461,0.069604,0.262255,0.000640,0.989402
0.428281,0.017345,0.208748,0.004865,0.047138,0.000545,0.013376,0.080645,0.066916,0.074148,0.225101,0.000705,0.951448
0.427833,0.017345,0.208492,0.004864,0.046851,0.000512,0.013313,0.079365,0.066020,0.074404,0.223085,0.000544,0.947927
0.441850,0.017441,0.208524,0.004864,0.046786,0.000576,0.013313,0.091397,0.066403,0.073253,0.234190,0.000576,0.973497
0.427577,0.017345,0.208141,0.004928,0.046851,0.000608,0.013345,0.093765,0.064068,0.067268,0.228525,0.000608,0.953656
0.428601,0.017249,0.208300,0.004896,0.046851,0.000576,0.013345,0.084133,0.065892,0.069956,0.223693,0.000704,0.950103
0.427673,0.017505,0.208557,0.004832,0.046755,0.000576,0.013377,0.081796,0.084229,0.076101,0.245806,0.000704,0.971545
0.428217,0.017697,0.208460,0.004864,0.046819,0.000544,0.013344,0.087398,0.068420,0.068612,0.227790,0.000544,0.953624
0.428153,0.017217,0.208109,0.005024,0.046915,0.000544,0.013345,0.080644,0.072421,0.070020,0.226221,0.000640,0.951320
0.428729,0.017569,0.208364,0.004897,0.048002,0.000576,0.013825,0.114823,0.071748,0.075205,0.264944,0.000672,0.994138
0.452058,0.017377,0.208620,0.004833,0.047170,0.000544,0.013377,0.105958,0.071141,0.068772,0.249327,0.000672,0.999482
0.428889,0.017537,0.208045,0.004960,0.046979,0.000576,0.013344,0.084644,0.072964,0.069508,0.230509,0.000640,0.956888
0.428153,0.018050,0.209068,0.004896,0.047011,0.000544,0.013377,0.089477,0.064164,0.068100,0.225165,0.000544,0.951960
0.428153,0.017345,0.223021,0.004960,0.046851,0.000512,0.013313,0.084261,0.062980,0.067332,0.217933,0.000608,0.958264
0.429817,0.017377,0.208172,0.004929,0.046818,0.000480,0.013345,0.078821,0.072068,0.069604,0.223757,0.000544,0.950711
0.428153,0.017378,0.208396,0.004864,0.046691,0.000480,0.013377,0.106374,0.068420,0.067460,0.245614,0.000640,0.970777
0.428409,0.017345,0.208108,0.004929,0.046754,0.000512,0.013281,0.089029,0.066467,0.068356,0.228558,0.000608,0.953784
0.428697,0.017249,0.208332,0.004928,0.046723,0.000480,0.013376,0.086245,0.066435,0.068740,0.224814,0.000608,0.950776
0.427769,0.017473,0.208300,0.004897,0.046914,0.000512,0.013409,0.119527,0.069956,0.067780,0.260911,0.000640,0.985977
0.427961,0.018049,0.208300,0.004896,0.047971,0.000608,0.013633,0.104358,0.071332,0.071460,0.250287,0.000576,0.978393
0.428985,0.017345,0.224173,0.004897,0.046915,0.000576,0.013376,0.083269,0.063108,0.071876,0.222093,0.000736,0.964984
0.428121,0.017377,0.208108,0.004897,0.046754,0.000576,0.013312,0.093574,0.069476,0.071204,0.237998,0.000704,0.963832
0.428025,0.017345,0.208396,0.004864,0.046851,0.000544,0.013313,0.114566,0.071620,0.068292,0.257711,0.000640,0.983033
0.427961,0.017313,0.208621,0.004864,0.046787,0.000512,0.013344,0.087397,0.066820,0.084645,0.242318,0.000608,0.967609
0.429241,0.017249,0.208780,0.004865,0.046755,0.000544,0.013312,0.076453,0.061316,0.064387,0.205612,0.000672,0.932438
0.428857,0.017441,0.209068,0.004929,0.047746,0.000608,0.013569,0.101990,0.070276,0.071685,0.247311,0.000544,0.976697
0.427897,0.017473,0.208781,0.004864,0.047299,0.000608,0.013312,0.110790,0.069476,0.069380,0.252846,0.000640,0.979129
0.440954,0.017345,0.208460,0.004864,0.046787,0.000512,0.013313,0.089509,0.069060,0.067972,0.229965,0.000512,0.968376
0.428057,0.017601,0.208556,0.004928,0.046914,0.000608,0.013377,0.098918,0.070340,0.072900,0.245646,0.000545,0.973721
0.428665,0.017281,0.208620,0.004865,0.046850,0.000544,0.013345,0.102182,0.066724,0.066276,0.238702,0.000704,0.965144
0.427321,0.017473,0.208557,0.004896,0.046915,0.000576,0.027489,0.109415,0.070692,0.066916,0.250511,0.000544,0.990042
0.427960,0.017761,0.208428,0.004928,0.046883,0.000544,0.013345,0.106182,0.080005,0.072516,0.262223,0.000640,0.988089
0.428665,0.017441,0.208493,0.004896,0.047075,0.000576,0.013312,0.108646,0.068964,0.076228,0.257135,0.000576,0.983738
0.431258,0.017601,0.209292,0.004928,0.046915,0.000512,0.013345,0.091109,0.062884,0.065380,0.222637,0.000640,0.952248
0.439385,0.017217,0.208525,0.005152,0.046787,0.000544,0.013409,0.124295,0.072740,0.087013,0.287504,0.000640,1.024379
0.428153,0.017377,0.208076,0.004897,0.046786,0.000544,0.013345,0.095110,0.068516,0.066436,0.233454,0.000640,0.958520
0.428601,0.018433,0.208300,0.004992,0.046851,0.000544,0.013377,0.081381,0.065731,0.078468,0.228909,0.000608,0.955479
0.428313,0.017281,0.221549,0.005056,0.046787,0.000544,0.013345,0.107558,0.069444,0.077125,0.257231,0.000512,0.996154
0.428473,0.017313,0.208076,0.004928,0.049027,0.000608,0.013761,0.114727,0.070660,0.083909,0.272848,0.000608,1.004954
0.428121,0.018049,0.208268,0.004992,0.047107,0.000576,0.013377,0.113063,0.077924,0.071589,0.266224,0.000512,0.992954
0.428024,0.017633,0.209036,0.004896,0.047299,0.000544,0.013377,0.098598,0.074148,0.070148,0.245934,0.000608,0.972600
0.429145,0.017281,0.207916,0.004897,0.046818,0.000640,0.013441,0.109831,0.076772,0.086053,0.276112,0.000576,1.002266
0.428185,0.017473,0.208236,0.004864,0.046787,0.000544,0.013665,0.107686,0.070756,0.074181,0.255727,0.000576,0.981337
