Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.522462,0.017921,0.213644,0.004833,0.048515,0.000832,0.013472,0.000384,0.105350,0.070628,0.053731,0.233325,1.062781
0.431289,0.018081,0.210700,0.004961,0.048898,0.000608,0.014081,0.000608,0.104230,0.067811,0.054307,0.229966,0.967352
0.430329,0.017409,0.231214,0.005184,0.049539,0.000544,0.013825,0.000416,0.104518,0.069572,0.054819,0.232461,0.988729
0.430105,0.017345,0.209100,0.004896,0.049795,0.000608,0.013985,0.000384,0.105318,0.072996,0.058211,0.239886,0.972248
0.429273,0.018049,0.209837,0.004960,0.048419,0.000512,0.013729,0.000416,0.107878,0.071716,0.058980,0.242126,0.973945
0.429593,0.018113,0.209740,0.004928,0.048323,0.000608,0.013889,0.000416,0.104006,0.091685,0.077700,0.277072,1.009818
0.429592,0.018113,0.209708,0.005024,0.048675,0.000576,0.013729,0.000448,0.102598,0.071108,0.057283,0.234381,0.967097
0.431065,0.017281,0.209644,0.004865,0.047554,0.000609,0.013664,0.000416,0.103046,0.071013,0.057475,0.234702,0.965848
0.429017,0.017313,0.208652,0.004865,0.048194,0.000576,0.013633,0.000448,0.100390,0.070884,0.059556,0.234318,0.963672
0.428953,0.017889,0.208748,0.004833,0.047938,0.000609,0.013888,0.000448,0.103974,0.069764,0.055555,0.232846,0.962616
0.428601,0.017345,0.208940,0.004832,0.047427,0.000576,0.013345,0.000416,0.100102,0.070436,0.056579,0.230221,0.957495
0.428793,0.017281,0.208172,0.005152,0.047715,0.000608,0.013729,0.000416,0.102630,0.070788,0.056995,0.233485,0.961207
0.451290,0.017473,0.208396,0.004928,0.047842,0.000608,0.013537,0.000416,0.104070,0.066148,0.053891,0.227565,0.978520
0.429785,0.017249,0.209100,0.004865,0.047747,0.000576,0.013536,0.000416,0.101702,0.069988,0.057667,0.232526,0.962136
0.428857,0.017441,0.208972,0.004896,0.047011,0.000576,0.013473,0.000416,0.099526,0.068996,0.054531,0.226157,0.953815
0.429337,0.017313,0.208684,0.004896,0.047971,0.000672,0.029089,0.000608,0.102118,0.065764,0.058084,0.229326,0.975641
0.429369,0.017409,0.209100,0.004832,0.047651,0.000576,0.013569,0.000384,0.107846,0.078501,0.057123,0.246542,0.975896
0.429881,0.017345,0.208748,0.004833,0.048034,0.000576,0.013473,0.000448,0.100838,0.070916,0.057220,0.232430,0.961784
0.429881,0.017313,0.208396,0.004896,0.047235,0.000608,0.013409,0.000480,0.098694,0.070916,0.056899,0.229933,0.958167
0.429209,0.017313,0.209357,0.005088,0.047427,0.000576,0.013377,0.000416,0.100197,0.068452,0.055364,0.227405,0.956280
0.429272,0.017601,0.208684,0.004864,0.047139,0.000608,0.013473,0.000416,0.100933,0.070628,0.056419,0.231277,0.959832
0.429273,0.017249,0.208717,0.004864,0.047427,0.000576,0.013472,0.000448,0.100581,0.069828,0.055523,0.229037,0.957016
0.444313,0.017377,0.209613,0.005024,0.048067,0.000608,0.013633,0.000384,0.102246,0.069828,0.055907,0.231277,0.976376
0.430009,0.017281,0.209260,0.004929,0.047875,0.000576,0.013440,0.000384,0.096902,0.068836,0.056067,0.225102,0.955704
0.428921,0.017249,0.209164,0.004896,0.046979,0.000576,0.013409,0.000448,0.099430,0.070628,0.055683,0.228941,0.956503
0.430841,0.017409,0.210060,0.004896,0.067076,0.000736,0.013665,0.000416,0.133096,0.067684,0.054787,0.259151,1.012762
0.429785,0.017313,0.208620,0.004896,0.047459,0.000576,0.013505,0.000448,0.102470,0.071044,0.056900,0.233454,0.962712
0.428921,0.017377,0.208556,0.004897,0.047170,0.000608,0.013409,0.000448,0.101286,0.071300,0.058212,0.233806,0.961240
0.428633,0.017313,0.208652,0.004896,0.047459,0.000576,0.013473,0.000416,0.101734,0.071236,0.056419,0.232461,0.960407
0.430553,0.017441,0.208204,0.004801,0.046850,0.000544,0.013441,0.000384,0.102822,0.070628,0.056100,0.233006,0.962200
0.429177,0.017313,0.208300,0.004897,0.047042,0.000576,0.013376,0.000416,0.100262,0.070852,0.056548,0.230830,0.958136
0.428985,0.017601,0.208332,0.004896,0.047395,0.000576,0.013537,0.000416,0.101510,0.070372,0.056643,0.231853,0.960951
0.450906,0.017633,0.209004,0.004864,0.047779,0.000608,0.013761,0.000384,0.103110,0.069956,0.056323,0.232621,0.993210
0.429113,0.017441,0.208333,0.004832,0.047395,0.000576,0.013440,0.000385,0.101253,0.070405,0.056483,0.231277,0.958712
0.429593,0.017985,0.208204,0.004992,0.046979,0.000544,0.013633,0.000448,0.104070,0.071172,0.056356,0.234958,0.963512
