Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.521822,0.017890,0.213708,0.004864,0.047267,0.000832,0.013537,0.000384,0.077701,0.060547,0.070404,0.212716,0.003265,0.000640,1.045085
0.432474,0.017569,0.209804,0.004896,0.047811,0.000576,0.013729,0.000384,0.104134,0.069252,0.090662,0.267536,0.001568,0.000736,1.004955
0.450234,0.017697,0.209292,0.004864,0.048835,0.000576,0.014081,0.000352,0.099718,0.069316,0.079044,0.251726,0.001793,0.000640,1.008635
0.429049,0.017633,0.209228,0.004832,0.049347,0.000544,0.014017,0.000384,0.095654,0.070436,0.081573,0.251023,0.001408,0.000704,0.985721
0.429465,0.017473,0.210221,0.004992,0.048035,0.000608,0.013536,0.000384,0.107398,0.070052,0.079813,0.260559,0.001504,0.000576,0.995354
0.428697,0.017281,0.208876,0.018721,0.047779,0.000544,0.013409,0.000384,0.093029,0.065636,0.076709,0.239054,0.001504,0.000640,0.984473
0.428665,0.017633,0.208716,0.004992,0.048355,0.000608,0.013569,0.000352,0.095974,0.072388,0.087141,0.259759,0.001376,0.000416,0.992025
0.430905,0.017473,0.208876,0.004897,0.048802,0.000576,0.013857,0.000384,0.109511,0.068676,0.078372,0.260079,0.001761,0.000480,0.996154
0.429241,0.017313,0.208748,0.004960,0.047843,0.000576,0.013408,0.000352,0.106662,0.067044,0.100454,0.278064,0.001504,0.000416,1.009915
0.429049,0.017345,0.208524,0.004897,0.048450,0.000576,0.013729,0.000352,0.107975,0.074980,0.089093,0.276400,0.001665,0.000512,1.010331
0.429689,0.017441,0.209164,0.004929,0.048418,0.000576,0.013696,0.000384,0.111207,0.065892,0.083269,0.264144,0.001568,0.000640,0.999546
0.430329,0.017409,0.221325,0.004928,0.048643,0.000576,0.013505,0.000384,0.108646,0.067940,0.072612,0.252751,0.001440,0.000512,0.999962
0.429593,0.017473,0.208172,0.004897,0.048994,0.000576,0.013601,0.000352,0.107591,0.065187,0.080869,0.256911,0.001472,0.000416,0.989977
0.428345,0.017441,0.208333,0.004896,0.048323,0.000576,0.013377,0.000384,0.106278,0.068548,0.081701,0.259823,0.001344,0.000544,0.990906
0.428633,0.017601,0.208684,0.004864,0.049315,0.000576,0.013633,0.000352,0.107558,0.068644,0.086597,0.266351,0.001312,0.000416,0.999418
0.446842,0.017473,0.208844,0.004865,0.049251,0.000608,0.013536,0.000353,0.104806,0.068004,0.113542,0.289840,0.001504,0.000480,1.040957
0.428185,0.017537,0.208652,0.004929,0.048483,0.000608,0.013600,0.000384,0.107047,0.068932,0.083845,0.263024,0.001504,0.000448,0.995258
0.428793,0.017441,0.208780,0.004993,0.048322,0.000608,0.013537,0.000384,0.105510,0.076260,0.078917,0.263792,0.001440,0.000416,0.995898
0.429433,0.032610,0.208652,0.004865,0.048450,0.000576,0.013505,0.000320,0.106375,0.074116,0.082757,0.266288,0.001344,0.000448,1.014523
0.428601,0.017441,0.209293,0.004832,0.048387,0.000608,0.013441,0.000384,0.107846,0.069124,0.085221,0.265519,0.001664,0.000512,0.999098
0.428601,0.017377,0.209132,0.004865,0.048291,0.000576,0.013472,0.000416,0.105863,0.068740,0.087909,0.265680,0.001408,0.000448,0.997786
0.428600,0.017441,0.209356,0.004832,0.065988,0.000736,0.013633,0.000384,0.106598,0.067716,0.088261,0.265583,0.001408,0.000480,1.016571
0.428953,0.017633,0.209772,0.004960,0.049091,0.000608,0.013537,0.000384,0.102054,0.063620,0.078884,0.247758,0.001249,0.000640,0.982105
0.427865,0.017409,0.208589,0.004896,0.048643,0.000576,0.013505,0.000352,0.107014,0.068868,0.077637,0.256783,0.001344,0.000416,0.987482
0.429241,0.017473,0.209708,0.004865,0.047683,0.000608,0.013472,0.000384,0.107463,0.068036,0.074820,0.254543,0.001280,0.000512,0.987737
0.429913,0.017377,0.209036,0.005025,0.047842,0.000608,0.013569,0.000320,0.112647,0.069924,0.080101,0.266064,0.001568,0.000480,0.999194
0.429017,0.017313,0.209133,0.004864,0.048643,0.000608,0.013665,0.000416,0.103558,0.071972,0.079877,0.259279,0.001632,0.000480,0.993498
0.428441,0.017665,0.208684,0.004832,0.048355,0.000576,0.013505,0.000384,0.107078,0.075333,0.082789,0.268688,0.001504,0.000448,1.000954
0.442202,0.017633,0.208780,0.005057,0.048258,0.000577,0.013568,0.000352,0.110151,0.067908,0.082245,0.263504,0.001504,0.000480,1.010043
0.429305,0.017377,0.209100,0.004929,0.048323,0.000608,0.013600,0.000384,0.107623,0.069316,0.078468,0.258800,0.001568,0.000480,0.992090
0.429657,0.017441,0.208557,0.005056,0.048675,0.000544,0.013537,0.000352,0.107494,0.076292,0.083140,0.270191,0.001537,0.000448,1.003835
0.452538,0.017633,0.208844,0.004960,0.048579,0.000576,0.013537,0.000384,0.105798,0.076357,0.080868,0.266223,0.001472,0.000480,1.022396
0.428921,0.017313,0.208268,0.004896,0.049091,0.000576,0.013505,0.000384,0.103942,0.068068,0.075653,0.250639,0.001376,0.000448,0.982329
0.428825,0.017441,0.208173,0.005344,0.049027,0.000576,0.013409,0.000352,0.085509,0.061827,0.070948,0.222253,0.001248,0.000448,0.954232
0.428633,0.017537,0.224493,0.005089,0.048386,0.000576,0.013408,0.000352,0.099590,0.068484,0.081029,0.252783,0.001344,0.000352,1.000474
0.430585,0.017345,0.208108,0.004865,0.048835,0.000576,0.013376,0.000321,0.089221,0.065316,0.080484,0.238093,0.001280,0.000385,0.969945
0.431417,0.017313,0.209004,0.004961,0.047298,0.000608,0.013313,0.000384,0.095302,0.064036,0.077668,0.240014,0.001248,0.000416,0.972984
0.428184,0.017633,0.208396,0.005024,0.047811,0.000576,0.013537,0.000384,0.102726,0.069316,0.076900,0.252174,0.001344,0.000448,0.982777
0.429497,0.017377,0.208077,0.004960,0.048419,0.000576,0.013537,0.000352,0.103846,0.069252,0.082277,0.259055,0.001216,0.000384,0.990330
0.428985,0.017377,0.208236,0.004896,0.048131,0.000608,0.013505,0.000384,0.105990,0.068452,0.078277,0.256143,0.001344,0.000352,0.987641
0.428441,0.017601,0.209036,0.004929,0.048322,0.000609,0.013504,0.000352,0.106311,0.067012,0.080484,0.257135,0.001152,0.000480,0.989306
0.446106,0.017409,0.208108,0.004928,0.048131,0.000544,0.013473,0.000352,0.101062,0.062116,0.107590,0.274352,0.001280,0.000416,1.022907
0.428121,0.017281,0.208908,0.004832,0.047715,0.000608,0.013473,0.000352,0.103206,0.062820,0.078724,0.247950,0.001312,0.000449,0.977913
0.429113,0.017345,0.208620,0.004896,0.047395,0.000576,0.013473,0.000352,0.104838,0.066532,0.079429,0.253967,0.001248,0.000416,0.985049
0.448634,0.017345,0.208972,0.004896,0.047363,0.000576,0.013441,0.000320,0.102182,0.066308,0.073732,0.245518,0.001216,0.000384,0.996185
0.428345,0.017313,0.208812,0.004801,0.047618,0.000608,0.013409,0.000352,0.105734,0.068900,0.079716,0.257615,0.001280,0.000448,0.987289
