Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.540384,0.017761,0.212588,0.004897,0.047106,0.000768,0.013440,0.000416,0.104838,0.069860,0.067428,0.245583,0.000576,1.090880
0.430329,0.017761,0.209292,0.004864,0.048259,0.000768,0.014177,0.000384,0.099846,0.072804,0.078309,0.254351,0.000512,0.987545
0.429753,0.017793,0.209676,0.004961,0.046946,0.000768,0.013728,0.000352,0.100934,0.071364,0.081157,0.256527,0.000544,0.987449
0.447642,0.018049,0.208876,0.005280,0.048547,0.000576,0.014337,0.000352,0.106214,0.070276,0.078276,0.258191,0.000928,1.011322
0.428249,0.017345,0.210060,0.004993,0.049411,0.000768,0.014241,0.000352,0.102246,0.068676,0.074308,0.248686,0.000576,0.981177
0.428280,0.017569,0.208748,0.004864,0.048643,0.000544,0.013825,0.000320,0.100294,0.071524,0.078628,0.253294,0.000512,0.983161
0.427961,0.017569,0.223693,0.005024,0.047970,0.000544,0.013537,0.000416,0.096038,0.071556,0.076068,0.246639,0.000512,0.990266
0.428153,0.017409,0.208908,0.005409,0.048227,0.000576,0.013792,0.000352,0.104423,0.078948,0.091718,0.278353,0.000608,1.009275
0.427833,0.017281,0.208556,0.004960,0.047715,0.000608,0.013569,0.000384,0.101158,0.070052,0.072228,0.246671,0.000512,0.974873
0.428121,0.017409,0.209228,0.004800,0.047395,0.000544,0.013569,0.000352,0.097189,0.071332,0.098469,0.270159,0.000576,0.998650
0.428729,0.017537,0.208524,0.005312,0.047331,0.000544,0.013409,0.000352,0.101798,0.071684,0.075588,0.252206,0.000544,0.981049
0.427801,0.017537,0.208332,0.005313,0.047170,0.000544,0.013409,0.000384,0.122759,0.072357,0.073636,0.271824,0.000544,0.999514
0.428185,0.017345,0.209804,0.005505,0.047458,0.000544,0.013505,0.000352,0.100038,0.069668,0.075653,0.248911,0.000544,0.979065
0.447386,0.017633,0.208877,0.004864,0.047491,0.000576,0.013761,0.000352,0.103462,0.070020,0.071044,0.247694,0.000512,0.996250
0.428185,0.017281,0.209196,0.005281,0.047202,0.000769,0.013568,0.000352,0.105095,0.070756,0.076516,0.255567,0.000576,0.985209
0.427993,0.017537,0.208460,0.005313,0.047011,0.000608,0.013440,0.000352,0.094918,0.063876,0.070020,0.232014,0.000544,0.960216
0.444985,0.017442,0.208844,0.004960,0.046915,0.000544,0.013409,0.000352,0.096997,0.077925,0.077732,0.256174,0.000480,1.000890
0.428057,0.017537,0.209004,0.005281,0.047874,0.000609,0.013408,0.000416,0.105319,0.072132,0.078628,0.259663,0.000609,0.990074
0.427897,0.017377,0.209420,0.004928,0.047043,0.000512,0.013409,0.000416,0.098342,0.070628,0.074852,0.246862,0.000576,0.974936
0.429369,0.017505,0.208652,0.005056,0.047107,0.000512,0.013377,0.000320,0.119111,0.066307,0.068324,0.257103,0.000576,0.985818
0.428472,0.017377,0.208780,0.004864,0.047267,0.000576,0.013441,0.000352,0.102406,0.070852,0.072836,0.249262,0.000544,0.977432
0.429177,0.017345,0.209196,0.005024,0.046915,0.000576,0.013441,0.000352,0.104294,0.071716,0.077349,0.256271,0.000544,0.985689
0.428185,0.017857,0.209485,0.005312,0.047395,0.000608,0.013504,0.000352,0.102726,0.070468,0.077476,0.253934,0.000640,0.983801
0.428025,0.017537,0.208812,0.004928,0.046851,0.000576,0.013441,0.000416,0.100038,0.081028,0.075429,0.259535,0.000576,0.987449
0.428889,0.017409,0.209164,0.004992,0.047107,0.000576,0.013697,0.000352,0.101222,0.070692,0.072260,0.247150,0.000609,0.977497
0.428088,0.017409,0.209164,0.004896,0.047139,0.000576,0.013505,0.000416,0.100614,0.070244,0.078020,0.252206,0.000736,0.981208
0.442042,0.018145,0.208332,0.004864,0.046947,0.000576,0.013505,0.000352,0.112391,0.072132,0.071620,0.259471,0.000576,1.001018
0.428729,0.017473,0.209292,0.004896,0.047235,0.000576,0.013441,0.000352,0.106982,0.069828,0.076773,0.256719,0.000576,0.987065
0.428696,0.017345,0.208556,0.005440,0.046979,0.000512,0.013473,0.000384,0.095269,0.067204,0.069636,0.235501,0.000512,0.963447
0.427480,0.017313,0.224461,0.005536,0.047363,0.000544,0.013409,0.000384,0.094469,0.063556,0.068324,0.229677,0.000480,0.973048
0.427577,0.017281,0.208076,0.004928,0.047075,0.000544,0.013377,0.000352,0.091557,0.071012,0.071909,0.237870,0.000544,0.963416
0.427929,0.017505,0.208332,0.004897,0.046914,0.000576,0.013441,0.000416,0.095526,0.065412,0.073764,0.237710,0.000512,0.965112
0.429849,0.017345,0.208396,0.005440,0.046979,0.000576,0.013537,0.000384,0.103654,0.071684,0.075557,0.254063,0.000512,0.984057
0.428153,0.017345,0.208332,0.004929,0.046850,0.000576,0.013601,0.000352,0.099270,0.071332,0.075749,0.249327,0.000512,0.976377
0.428345,0.017985,0.208396,0.004896,0.047491,0.000768,0.013505,0.000352,0.098917,0.063556,0.073028,0.238637,0.000609,0.968505
0.428633,0.017409,0.208300,0.004896,0.047139,0.000544,0.013473,0.000352,0.101542,0.070980,0.071876,0.247662,0.000640,0.975641
0.453786,0.017633,0.213261,0.004928,0.048387,0.000576,0.013473,0.000384,0.111878,0.070980,0.074468,0.261391,0.000832,1.022427
